student_id,class_date,attendance_status,class_type
24900,2019-04-02 04:46:11,Present,Online
30979,2021-08-17 19:33:47,Present,Online
5194,2023-10-13 21:49:30,Present,Online
17575,2017-12-03 16:32:26,Present,Lecture
46441,2018-09-07 12:06:13,Present,Online
46354,2019-05-10 04:13:30,Present,Lecture
2699,2020-01-17 19:47:41,Present,Lecture
38259,2020-09-26 17:32:25,Absent,Online
36536,2024-06-12 13:50:07,Present,Lab
9842,2024-07-23 06:42:26,Present,Online
41192,2020-09-27 18:18:25,Present,Lecture
3276,2018-03-09 14:52:18,Present,Lecture
43972,2017-05-15 15:25:47,Present,Online
124,2023-09-07 13:23:14,Absent,Lab
37347,2023-09-20 18:56:59,Absent,Online
34515,2019-08-12 03:46:29,Present,Lecture
25983,2019-01-19 15:11:01,Present,Lecture
35641,2024-04-25 03:03:12,Present,Lecture
5051,2022-11-16 19:05:42,Absent,Lab
10897,2022-11-10 14:02:41,Present,Lecture
42211,2017-08-06 07:27:25,Present,Lab
10718,2017-11-16 03:12:06,Present,Lab
28524,2022-03-25 00:44:12,Present,Lecture
48664,2024-05-30 22:45:46,Absent,Lab
4852,2017-09-14 23:00:32,Present,Lecture
31404,2020-10-07 06:28:14,Present,Online
26935,2022-04-01 19:20:33,Present,Lab
23618,2024-11-18 14:39:41,Present,Lecture
41084,2019-08-12 05:29:17,Present,Lecture
15986,2024-11-11 10:52:00,Absent,Online
16524,2021-06-17 08:57:44,Present,Online
25998,2022-06-05 10:28:28,Present,Online
6954,2024-12-03 13:58:12,Absent,Lab
37361,2018-10-26 11:44:16,Present,Lab
8128,2017-10-07 01:43:24,Absent,Online
43278,2021-01-06 07:22:26,Absent,Lab
37373,2023-05-18 14:07:03,Present,Online
7930,2023-05-31 12:25:41,Present,Online
48361,2021-10-15 09:32:41,Present,Online
42350,2023-05-10 09:20:29,Present,Lab
1312,2019-05-25 12:09:12,Present,Lecture
1701,2018-02-22 01:24:02,Present,Online
24426,2017-09-20 20:02:37,Present,Online
28942,2017-03-21 09:07:45,Present,Lecture
3833,2019-02-17 02:18:22,Present,Lecture
5658,2022-10-09 02:57:31,Absent,Lecture
14839,2018-09-06 08:04:16,Present,Lecture
22428,2021-06-18 19:30:32,Absent,Lab
37683,2022-10-17 00:12:04,Present,Online
21607,2018-04-14 21:42:50,Present,Lab
20098,2022-06-07 22:10:41,Present,Online
264,2024-12-31 06:54:48,Absent,Lab
23954,2020-06-28 12:54:34,Absent,Lab
1937,2024-03-16 17:14:46,Present,Lab
17109,2024-09-23 12:52:49,Present,Lecture
45975,2021-04-07 14:37:09,Present,Lecture
38345,2021-12-10 12:19:16,Present,Online
33019,2018-09-02 03:05:03,Present,Online
40409,2019-08-12 10:55:52,Present,Lecture
32289,2017-05-27 04:51:37,Present,Lab
6659,2021-12-31 17:21:12,Present,Lab
38898,2017-12-23 20:32:57,Present,Online
22060,2022-11-26 10:56:22,Absent,Lab
31225,2019-08-14 18:53:27,Present,Online
16897,2022-09-01 01:48:25,Present,Lecture
6474,2020-03-09 13:06:09,Present,Online
24468,2018-03-07 12:55:49,Present,Online
35381,2020-11-22 20:10:22,Present,Lecture
16567,2020-03-07 04:53:16,Present,Online
30665,2023-07-31 00:46:35,Present,Online
47100,2023-03-12 21:55:14,Present,Lab
13573,2020-07-14 08:27:37,Present,Online
4699,2017-09-21 20:09:28,Present,Lab
15059,2023-04-22 23:25:57,Absent,Lecture
34762,2017-03-10 13:10:12,Present,Lecture
22145,2019-03-08 12:31:14,Present,Lab
46935,2019-07-14 16:11:20,Absent,Lecture
18454,2020-02-18 13:58:23,Absent,Lab
47164,2019-08-13 21:12:27,Present,Lab
17010,2024-08-26 22:45:06,Present,Online
49489,2024-08-09 07:41:22,Present,Lab
24700,2020-12-09 20:51:35,Present,Lab
14193,2024-06-08 15:14:57,Present,Lecture
41349,2023-04-30 09:04:59,Present,Lab
7166,2022-03-09 02:47:54,Present,Lab
39424,2021-05-18 00:39:24,Present,Online
23543,2018-12-21 18:15:50,Present,Lab
48097,2024-10-10 22:17:59,Present,Online
41966,2023-11-27 14:29:58,Present,Lecture
35083,2021-01-01 20:12:33,Present,Lecture
42461,2024-10-19 08:32:22,Absent,Online
22870,2020-07-19 09:08:55,Present,Lab
36646,2022-08-24 11:29:43,Present,Online
8313,2017-03-30 07:40:23,Present,Lecture
20048,2022-01-16 02:45:32,Present,Online
19981,2017-04-30 02:54:19,Present,Online
25969,2020-10-14 08:34:10,Present,Lab
20101,2022-01-18 03:38:57,Present,Online
9686,2017-01-17 19:52:23,Present,Online
23668,2022-03-28 14:16:13,Present,Lecture
46358,2019-07-29 16:13:19,Absent,Lab
21860,2022-06-06 07:15:40,Present,Lab
12441,2017-07-07 22:11:39,Present,Lab
31780,2017-03-06 22:31:36,Present,Lab
12921,2023-07-31 03:47:37,Absent,Lab
35204,2024-12-01 11:10:24,Present,Lab
3232,2019-12-15 13:46:02,Present,Lecture
49455,2019-12-05 04:27:59,Absent,Online
15763,2024-12-26 13:07:34,Absent,Online
1705,2019-03-30 11:16:28,Present,Lab
32414,2017-11-08 01:54:09,Present,Lab
12598,2021-02-26 18:02:19,Present,Lab
39641,2024-07-25 16:25:31,Absent,Lecture
20382,2024-06-07 01:06:28,Present,Lab
32575,2019-02-01 09:02:46,Present,Online
9670,2017-01-06 12:38:24,Present,Lab
5546,2023-05-19 01:52:45,Absent,Online
34960,2024-01-13 19:51:06,Present,Lab
38421,2019-09-15 08:38:01,Present,Lab
49345,2017-05-07 05:54:56,Present,Online
12034,2024-06-21 11:04:59,Present,Lab
9102,2019-02-02 07:00:32,Absent,Online
42590,2020-08-10 15:34:57,Absent,Lecture
3838,2023-12-08 19:18:45,Present,Lab
48908,2024-03-09 20:13:42,Present,Online
40403,2017-11-29 17:33:29,Present,Online
5377,2019-09-14 00:22:20,Present,Online
15043,2019-09-06 18:31:12,Present,Online
29048,2022-07-15 22:09:23,Present,Lecture
3916,2017-08-27 18:54:01,Present,Lab
37584,2021-05-17 04:56:28,Present,Online
27866,2020-11-21 04:38:25,Present,Lab
15655,2019-09-13 12:18:41,Present,Online
21791,2020-08-07 02:40:32,Present,Lab
49817,2023-05-04 03:57:44,Absent,Lab
28763,2017-07-20 17:56:56,Present,Lecture
37960,2022-11-17 19:53:43,Present,Lab
2129,2020-04-17 15:40:02,Present,Lab
24366,2023-07-14 03:06:55,Present,Lecture
33136,2018-06-21 00:07:13,Present,Lecture
13621,2018-02-23 10:45:06,Absent,Lab
27931,2020-04-15 15:34:32,Present,Lab
34668,2023-03-27 13:42:58,Absent,Lab
45859,2017-03-05 18:31:04,Absent,Lecture
36645,2021-10-23 08:39:19,Present,Lab
13482,2021-10-03 20:45:49,Present,Lecture
22041,2021-11-24 14:41:17,Present,Online
34026,2021-06-11 21:58:19,Present,Lecture
36961,2022-02-12 18:15:29,Present,Lecture
43762,2023-11-10 06:14:31,Present,Online
27411,2023-09-27 19:55:26,Present,Online
19052,2019-12-05 04:34:15,Present,Lecture
16322,2022-08-16 21:08:20,Present,Lab
46888,2019-11-15 13:30:22,Present,Lecture
2575,2018-03-28 12:10:19,Present,Lecture
1592,2023-12-24 22:46:25,Present,Lecture
32760,2017-01-22 23:01:06,Present,Lab
4894,2022-03-16 22:00:53,Present,Lab
8027,2019-04-07 16:43:43,Absent,Lecture
18206,2024-05-13 09:31:43,Present,Lecture
20737,2017-01-01 06:31:25,Present,Online
48006,2020-01-13 11:45:18,Present,Lab
19777,2022-11-07 21:07:42,Absent,Online
2071,2023-10-25 03:47:31,Absent,Online
34872,2017-07-27 22:43:02,Absent,Online
36691,2021-01-09 06:43:56,Absent,Lecture
19058,2020-12-05 15:03:06,Absent,Online
2702,2019-01-21 18:30:54,Present,Lab
22337,2018-10-16 03:41:26,Present,Lecture
39062,2019-05-16 13:44:35,Absent,Online
1094,2021-06-05 23:47:53,Present,Online
12347,2024-02-19 14:31:42,Present,Lecture
3136,2020-10-07 04:47:28,Present,Online
1747,2021-02-03 20:04:06,Present,Online
41732,2022-08-10 00:02:22,Present,Lab
29496,2017-04-05 23:43:17,Absent,Online
16706,2018-01-07 01:32:51,Present,Lab
11747,2021-05-02 16:55:15,Present,Lab
5406,2024-10-12 05:42:54,Present,Online
6739,2017-09-18 19:16:26,Present,Online
28792,2022-07-31 23:00:02,Present,Lab
2941,2019-10-02 03:27:27,Present,Lab
747,2020-01-11 02:57:08,Present,Lab
35262,2021-04-17 20:32:09,Present,Online
22923,2021-05-29 17:16:43,Present,Online
15680,2019-05-17 11:42:43,Present,Online
15798,2017-12-26 17:46:03,Present,Lecture
29319,2023-04-19 23:35:20,Present,Lecture
16641,2018-05-05 09:51:58,Present,Lecture
49377,2023-11-19 22:48:24,Present,Online
2115,2019-02-15 18:47:39,Present,Online
49728,2017-11-27 21:27:33,Present,Lecture
35855,2024-03-10 11:47:39,Present,Online
7103,2017-04-16 14:13:23,Present,Lecture
48204,2020-07-12 11:37:10,Present,Lab
24894,2023-04-22 03:38:40,Absent,Lecture
23438,2019-08-16 10:47:52,Present,Lecture
12914,2024-08-03 01:48:14,Present,Lecture
17514,2019-05-05 22:54:45,Present,Online
28677,2021-01-18 02:56:49,Absent,Lab
21730,2018-06-25 19:38:52,Absent,Online
6469,2023-07-08 04:58:46,Present,Lecture
36469,2021-05-24 17:39:43,Present,Online
22612,2024-11-09 13:13:05,Present,Online
27481,2017-04-09 08:04:36,Present,Lab
13252,2020-03-12 22:55:59,Absent,Lecture
1135,2024-05-21 03:56:57,Present,Lecture
20706,2021-09-08 21:25:15,Present,Lab
6643,2024-07-20 10:03:02,Present,Online
47415,2018-07-15 23:28:24,Present,Lecture
15288,2018-04-05 09:42:11,Present,Lecture
4895,2021-06-11 04:31:23,Absent,Lab
844,2024-04-16 01:15:27,Absent,Online
42122,2017-07-20 21:08:06,Present,Lab
42682,2024-07-21 03:23:20,Present,Lecture
29339,2022-12-31 16:16:30,Present,Lab
15122,2022-03-22 02:41:31,Absent,Online
44324,2018-07-23 20:27:33,Present,Lab
47462,2018-01-13 01:19:42,Present,Online
31597,2018-02-20 08:16:59,Present,Online
11399,2024-09-01 22:36:38,Present,Lecture
30046,2020-06-13 07:24:30,Present,Lecture
14746,2023-09-17 13:48:56,Present,Online
45644,2019-11-08 08:44:41,Present,Online
47621,2017-10-15 16:55:07,Present,Lab
37290,2018-07-05 06:08:49,Present,Lab
29961,2021-09-15 02:18:03,Present,Lecture
23482,2021-05-23 22:48:55,Present,Online
34325,2019-12-30 16:59:36,Present,Online
8548,2019-11-16 08:33:53,Present,Lab
32137,2017-11-03 22:39:18,Absent,Lecture
17522,2018-03-27 03:31:50,Present,Online
47927,2018-02-26 02:16:41,Present,Lab
10326,2023-10-09 00:14:17,Present,Lecture
507,2022-11-23 02:25:46,Absent,Lecture
26455,2017-04-03 04:22:49,Present,Lecture
10293,2023-12-27 01:55:45,Absent,Lab
40450,2018-05-22 01:26:57,Absent,Online
33982,2018-07-05 00:39:21,Present,Lecture
12612,2024-10-30 08:25:37,Present,Lab
30967,2021-06-11 14:19:21,Present,Online
7651,2018-11-15 09:08:11,Present,Lecture
33579,2019-07-11 17:51:57,Present,Online
32662,2021-08-16 14:11:34,Absent,Lab
29809,2024-09-13 03:21:31,Present,Online
15073,2024-11-27 08:22:01,Present,Online
10694,2022-10-21 15:47:22,Present,Lecture
770,2019-12-23 22:07:21,Absent,Lab
33914,2018-08-11 22:05:10,Absent,Online
2486,2019-01-29 09:45:13,Absent,Lab
17677,2021-05-20 06:54:31,Present,Lecture
23720,2018-11-28 03:46:47,Present,Lecture
44001,2018-09-09 00:38:34,Present,Online
18691,2024-03-05 23:11:55,Present,Lab
5745,2023-02-25 14:25:49,Present,Lecture
13057,2021-11-17 06:06:49,Absent,Online
6024,2022-03-20 21:27:53,Present,Lecture
23520,2019-06-29 19:54:47,Present,Lab
27513,2017-06-20 04:28:13,Present,Lab
3443,2023-02-10 10:14:07,Present,Lecture
2377,2019-07-31 13:32:27,Absent,Lecture
10283,2022-05-17 08:20:43,Present,Lab
20382,2017-02-12 11:25:03,Present,Lab
47384,2021-05-25 03:03:32,Present,Lecture
