user_id,course_id,videos_watched,hours_spent,completion_status,last_active_date
33774,1135,26,61,Incomplete,2019-11-06 22:20:40
38419,910,1,50,Completed,2018-01-15 07:26:33
22861,1346,5,168,Completed,2022-11-01 15:11:50
53680,466,58,21,Completed,2017-07-11 11:00:14
37113,2509,38,139,Incomplete,2020-12-07 17:00:01
24845,4948,45,64,Incomplete,2023-07-19 10:05:24
42009,1470,21,59,Completed,2022-02-15 14:16:23
422,349,31,178,Completed,2019-09-08 09:17:19
42249,939,58,31,Incomplete,2018-03-13 21:15:23
9695,2083,54,99,Incomplete,2017-05-24 00:57:14
26136,1881,27,141,Incomplete,2019-12-22 01:47:32
48098,3795,52,161,Completed,2023-01-30 13:25:28
13826,2764,25,24,Completed,2019-06-11 08:52:18
21316,2460,54,40,Completed,2023-06-06 11:48:07
47730,3318,42,16,Completed,2024-01-18 13:53:52
3757,3978,53,81,Incomplete,2019-06-21 03:54:11
24081,4461,53,32,Incomplete,2022-05-20 01:35:57
43391,830,26,152,Completed,2021-04-25 10:05:46
49797,2788,54,127,Incomplete,2022-11-21 17:02:18
15448,1745,36,65,Completed,2024-08-15 02:15:55
30684,1776,45,76,Completed,2024-06-11 08:29:14
34916,1107,44,195,Completed,2019-07-18 13:16:32
45878,1776,48,120,Completed,2017-06-20 02:33:00
29284,1114,13,96,Incomplete,2022-10-02 17:30:59
25991,2993,24,94,Incomplete,2019-01-12 05:42:21
13301,2566,39,113,Completed,2021-07-30 02:00:31
13473,3303,22,136,Incomplete,2017-09-10 20:27:49
16393,1869,23,134,Completed,2020-08-02 19:45:32
15011,580,15,32,Incomplete,2022-01-14 04:36:22
19587,4808,20,65,Completed,2017-05-29 02:28:46
30952,4747,0,110,Completed,2020-04-15 19:48:30
14530,2471,49,36,Incomplete,2017-09-05 04:48:41
33019,35,18,122,Completed,2018-08-29 08:12:26
6480,4311,38,126,Completed,2021-11-03 15:57:29
20751,3645,29,13,Incomplete,2022-02-09 01:24:07
28404,4700,10,32,Completed,2018-03-22 13:00:18
9025,1848,17,99,Incomplete,2023-06-09 11:26:47
53820,4662,53,189,Incomplete,2018-02-11 19:46:51
8202,346,21,110,Incomplete,2024-11-27 18:44:28
59007,104,25,52,Completed,2017-10-03 17:25:57
33512,875,29,27,Completed,2021-04-29 00:42:33
8149,4425,6,143,Completed,2019-07-19 18:28:28
4743,747,49,27,Incomplete,2022-01-04 11:39:17
19588,4564,47,166,Completed,2021-04-22 22:55:16
44039,2679,43,165,Incomplete,2022-09-26 18:09:16
53972,1947,42,162,Completed,2021-06-03 18:18:22
42815,901,40,57,Incomplete,2022-11-05 07:28:19
48735,2939,55,52,Completed,2021-07-15 09:02:18
43483,286,42,59,Incomplete,2021-08-09 10:46:43
38967,3851,22,94,Incomplete,2018-10-19 08:29:12
8377,2083,22,144,Completed,2018-05-25 13:12:17
21287,3997,9,109,Incomplete,2021-09-05 22:53:18
42266,3518,29,195,Completed,2017-11-28 01:15:06
3889,93,59,159,Incomplete,2018-05-21 19:55:04
6205,3441,23,38,Incomplete,2023-01-23 21:29:02
15294,3513,59,181,Completed,2020-07-13 07:51:44
30223,3491,30,172,Completed,2017-04-12 09:32:27
9083,1093,0,2,Completed,2021-12-19 05:42:56
33129,4766,17,77,Completed,2022-03-04 21:54:24
58203,2104,35,127,Completed,2022-01-09 00:43:20
5240,199,55,73,Completed,2021-05-22 05:04:12
5347,716,41,102,Incomplete,2019-11-13 15:01:27
20058,3341,31,19,Completed,2021-06-15 14:44:54
37477,4014,35,166,Completed,2017-10-05 23:40:27
12570,1459,19,104,Completed,2018-01-04 05:05:42
21051,532,23,114,Incomplete,2021-10-30 23:14:47
23685,2654,11,12,Completed,2023-04-10 15:24:00
59824,2795,44,123,Completed,2020-11-27 05:15:14
44271,970,58,166,Completed,2024-09-28 06:47:58
21526,3669,47,96,Completed,2019-04-23 09:11:09
