student_id,age,gender,city,education_level,enrollment_date
2306,24,Female,Kolkata,School,2022-06-11 21:23:22
32135,21,Female,Chennai,Undergraduate,2023-04-01 17:16:03
8987,22,Male,Delhi,Postgraduate,2021-07-04 17:23:50
29625,29,Female,Mumbai,Postgraduate,2020-02-11 11:11:05
39246,26,Male,Kolkata,School,2020-10-20 06:19:13
5662,20,Male,Delhi,Undergraduate,2021-01-08 16:11:16
14965,28,Male,Kolkata,School,2017-12-09 02:20:12
48541,15,Female,Delhi,Postgraduate,2022-09-30 00:12:34
7168,16,Female,Chennai,School,2024-12-17 09:35:20
1990,19,Female,Chennai,Postgraduate,2021-09-04 04:18:24
24525,21,Female,Chennai,Postgraduate,2020-07-23 06:13:45
29,28,Male,Bangalore,Undergraduate,2022-08-24 06:10:06
10883,20,Female,Bangalore,Undergraduate,2024-03-09 01:59:13
20919,27,Female,Mumbai,Postgraduate,2017-11-30 22:31:39
31438,22,Male,Chennai,Postgraduate,2021-04-03 05:25:04
25628,15,Female,Chennai,Undergraduate,2019-08-01 06:59:21
47585,21,Male,Bangalore,School,2021-05-25 03:45:40
21242,15,Female,Bangalore,Undergraduate,2022-07-19 11:50:37
6920,18,Female,Chennai,Postgraduate,2020-06-15 14:24:47
33928,18,Male,Delhi,School,2019-07-11 13:10:42
37488,21,Male,Bangalore,School,2018-06-25 15:41:27
33685,17,Female,Bangalore,Postgraduate,2023-06-11 23:39:28
4514,18,Male,Delhi,School,2020-04-23 04:23:23
21799,15,Male,Bangalore,School,2023-05-23 20:16:11
13338,25,Female,Kolkata,Postgraduate,2020-10-14 08:29:17
44357,23,Male,Mumbai,Postgraduate,2017-05-31 18:17:24
22129,17,Male,Chennai,Postgraduate,2018-12-07 15:44:11
18237,17,Female,Chennai,Undergraduate,2021-10-11 13:05:08
38930,26,Female,Delhi,Postgraduate,2019-12-28 06:54:44
26363,25,Male,Delhi,Undergraduate,2019-02-20 21:05:09
49354,15,Female,Delhi,School,2020-12-30 18:54:22
19573,25,Male,Chennai,Undergraduate,2023-01-07 13:42:28
44080,18,Female,Chennai,Undergraduate,2023-10-04 15:00:01
30110,19,Male,Chennai,School,2018-09-20 20:57:29
2410,23,Female,Mumbai,Undergraduate,2019-03-19 05:07:26
28000,15,Female,Bangalore,Postgraduate,2023-07-23 19:06:39
32734,29,Male,Bangalore,School,2019-01-04 18:34:17
14151,18,Female,Delhi,School,2021-11-13 05:38:40
44983,20,Male,Kolkata,Postgraduate,2023-05-07 00:12:42
12585,18,Female,Bangalore,Undergraduate,2017-10-07 06:40:42
9462,23,Female,Kolkata,Postgraduate,2024-05-22 17:50:48
1985,26,Male,Mumbai,Undergraduate,2020-09-12 18:30:54
33744,24,Male,Delhi,Undergraduate,2020-01-26 08:59:23
46596,25,Female,Bangalore,School,2024-11-24 23:07:27
18914,19,Male,Bangalore,Undergraduate,2019-07-04 01:00:00
26534,18,Female,Chennai,School,2018-02-07 05:01:35
20106,27,Male,Chennai,Postgraduate,2017-07-09 01:30:05
31897,17,Male,Bangalore,School,2018-11-08 16:04:39
5170,23,Male,Mumbai,Undergraduate,2020-02-12 00:34:14
26068,15,Male,Kolkata,Undergraduate,2019-04-15 11:27:33
43235,20,Female,Mumbai,School,2022-08-16 05:26:24
16676,17,Male,Chennai,Undergraduate,2018-10-16 12:23:49
17720,23,Female,Chennai,Undergraduate,2022-08-12 12:34:12
33028,21,Male,Mumbai,School,2021-08-02 22:12:19
41034,23,Female,Kolkata,Postgraduate,2020-09-22 01:57:56
44327,25,Male,Bangalore,Undergraduate,2023-10-29 00:32:58
42273,27,Male,Kolkata,School,2019-03-23 16:45:28
366,21,Female,Delhi,Postgraduate,2022-12-02 02:33:25
39526,27,Male,Kolkata,School,2021-04-21 04:48:15
9275,29,Female,Chennai,Postgraduate,2022-04-29 14:33:18
8727,28,Female,Mumbai,School,2018-05-04 13:31:43
29657,22,Male,Kolkata,Postgraduate,2018-04-21 21:43:17
17488,21,Female,Kolkata,School,2018-05-15 06:28:42
24716,17,Male,Delhi,Postgraduate,2023-09-02 06:28:47
49054,29,Male,Chennai,Undergraduate,2023-08-04 13:57:03
3981,17,Male,Kolkata,Undergraduate,2018-11-09 13:11:47
6908,20,Male,Chennai,Postgraduate,2021-02-10 05:07:33
11656,23,Male,Bangalore,School,2017-04-14 10:16:18
6024,15,Male,Chennai,Postgraduate,2017-03-12 16:37:00
11971,27,Male,Kolkata,Postgraduate,2019-08-06 19:41:36
32533,15,Male,Bangalore,Undergraduate,2022-01-24 20:53:05
40766,27,Female,Delhi,Postgraduate,2022-05-28 15:59:39
48805,19,Male,Bangalore,Undergraduate,2024-05-04 13:33:33
35105,23,Female,Bangalore,Undergraduate,2023-12-11 19:31:57
725,27,Female,Mumbai,School,2022-02-04 22:34:31
22595,28,Male,Delhi,Postgraduate,2018-10-01 02:06:00
9680,24,Male,Chennai,Undergraduate,2021-07-27 20:02:59
31553,26,Female,Chennai,School,2020-12-20 09:38:07
9103,17,Female,Kolkata,Undergraduate,2024-12-13 07:18:17
44450,17,Female,Bangalore,School,2024-02-27 15:18:58
10493,18,Male,Delhi,Undergraduate,2023-05-27 22:35:16
32673,26,Female,Chennai,Undergraduate,2018-09-09 04:55:50
30708,25,Female,Delhi,Postgraduate,2019-08-12 09:31:49
3380,19,Male,Bangalore,Postgraduate,2021-07-28 06:00:08
25713,21,Male,Chennai,Undergraduate,2022-04-10 19:30:49
37053,29,Male,Bangalore,Postgraduate,2017-05-29 03:57:20
6645,27,Male,Bangalore,Postgraduate,2018-07-29 19:30:47
47684,15,Female,Kolkata,Postgraduate,2023-11-03 01:21:23
46682,19,Male,Kolkata,School,2017-08-07 09:25:30
44102,20,Female,Kolkata,Undergraduate,2022-09-05 23:50:05
47416,28,Male,Kolkata,Postgraduate,2019-03-08 05:52:20
44966,16,Male,Mumbai,Postgraduate,2019-01-09 13:41:55
