session_id,page_visits,signups,purchases,dropoff_rate,funnel_date
263945,7348,3150,1766,0.76,2023-12-07 00:23:25
489496,15497,5071,2327,0.85,2021-10-17 02:41:00
287268,9596,4637,1548,0.84,2020-02-17 02:39:46
18683,5389,1043,165,0.97,2024-09-07 01:02:34
277893,18674,7656,3272,0.82,2018-10-25 00:19:36
452251,17034,5765,2477,0.85,2020-05-23 03:28:57
315751,17498,5938,2858,0.84,2020-12-30 22:55:07
460916,1500,529,97,0.94,2019-02-25 03:29:23
94309,16175,5226,1832,0.89,2022-01-14 09:02:06
369411,1473,715,318,0.78,2018-03-09 16:19:41
471310,13877,3526,710,0.95,2024-08-20 11:38:06
19354,9209,1522,555,0.94,2018-08-15 11:35:19
148938,9724,2058,458,0.95,2021-07-12 15:32:30
478760,16914,6326,3184,0.81,2021-07-24 20:26:34
424013,103,17,5,0.95,2022-03-05 02:25:02
8409,18937,7467,1248,0.93,2018-05-24 21:03:39
258024,6022,1202,181,0.97,2022-09-07 17:01:52
291416,14816,2381,812,0.95,2018-02-19 11:09:21
457159,15726,5592,3297,0.79,2018-01-26 16:41:01
262691,17173,4529,2301,0.87,2021-02-12 12:29:04
421823,19655,8297,3464,0.82,2024-08-25 13:12:56
192845,8864,2863,1695,0.81,2019-09-11 01:33:19
99082,8202,4045,940,0.89,2020-09-03 02:30:59
40289,12392,4620,1923,0.84,2020-04-19 09:59:11
127492,15106,2695,1583,0.9,2021-07-26 02:28:53
344327,9570,3718,2102,0.78,2019-09-13 00:41:53
364823,10508,3759,1653,0.84,2022-12-17 07:39:01
35108,2646,709,389,0.85,2023-03-22 13:18:26
139296,18828,4219,941,0.95,2018-05-07 09:23:12
444118,10074,3862,1812,0.82,2023-02-04 11:03:54
494822,19695,6254,2979,0.85,2019-10-22 06:45:56
25745,1263,404,219,0.83,2020-06-29 18:36:15
328086,7055,3216,1040,0.85,2019-09-08 17:56:57
421110,11963,1242,667,0.94,2018-10-01 02:03:09
254870,17517,5119,622,0.96,2022-10-27 10:22:28
301280,15796,1698,534,0.97,2023-12-02 22:18:28
177650,1162,129,64,0.94,2022-08-05 12:29:37
21874,8781,2431,390,0.96,2019-11-22 17:19:11
158697,16217,1939,398,0.98,2019-02-25 15:05:04
166234,234,53,18,0.92,2019-04-01 12:08:19
367226,12890,4020,2039,0.84,2023-03-28 11:28:04
105914,13280,4806,2101,0.84,2020-05-07 05:13:14
243984,2961,751,112,0.96,2022-05-24 20:00:41
414362,11623,4745,2306,0.8,2019-03-07 19:32:22
60362,19681,4891,2148,0.89,2024-09-05 12:59:46
287770,19778,7960,1412,0.93,2019-01-06 15:05:56
340633,6468,669,230,0.96,2022-09-26 15:41:19
327186,4085,1536,303,0.93,2018-06-15 06:36:30
245030,8128,2818,1686,0.79,2020-07-16 03:33:04
229854,15329,7421,3567,0.77,2024-06-04 12:48:46
345654,11357,1842,888,0.92,2024-03-01 01:39:35
459691,15869,2301,290,0.98,2019-03-20 14:15:03
476702,15759,2495,1313,0.92,2022-07-24 06:27:15
413694,4571,1217,586,0.87,2024-06-21 10:25:25
160819,659,182,72,0.89,2021-06-20 02:32:56
80393,13352,4683,2573,0.81,2020-11-15 14:26:12
409075,10774,3198,537,0.95,2023-12-24 07:52:09
280913,9489,3793,1704,0.82,2022-06-13 22:18:11
483935,7479,1999,287,0.96,2021-02-18 03:13:16
75971,14822,3519,2051,0.86,2020-04-02 15:55:52
491419,19255,3434,1070,0.94,2019-09-15 10:22:53
46829,1802,799,108,0.94,2018-09-24 02:00:14
481951,10755,1098,579,0.95,2024-02-10 20:11:14
79265,2823,1350,446,0.84,2024-09-20 10:27:47
399825,245,105,40,0.84,2021-11-02 01:56:10
196463,8938,1803,380,0.96,2022-10-01 03:46:53
256567,5980,2145,1210,0.8,2018-11-21 00:41:44
64425,6571,1578,862,0.87,2018-01-22 16:34:31
431882,665,123,52,0.92,2023-01-28 21:00:28
327552,3367,1635,547,0.84,2022-02-03 16:20:59
295760,2690,829,279,0.9,2024-02-07 00:07:53
195923,9448,4361,707,0.93,2020-04-25 01:58:52
286109,5561,854,343,0.94,2018-04-24 04:14:47
174320,14842,6382,1882,0.87,2019-08-08 09:41:29
352531,3503,1351,684,0.8,2024-03-30 10:30:19
219276,2643,606,142,0.95,2021-02-27 14:00:07
275343,10665,2491,1368,0.87,2020-05-16 08:14:36
27438,7312,3029,1345,0.82,2023-09-16 16:14:10
15953,17487,4548,555,0.97,2021-03-05 17:57:29
138741,1577,197,99,0.94,2021-02-14 13:03:15
39720,3307,1099,175,0.95,2019-02-15 18:02:47
66060,13001,1648,606,0.95,2019-01-27 00:11:16
334082,9848,4122,887,0.91,2018-01-13 21:43:35
136939,13065,2973,725,0.94,2019-10-16 05:02:29
191832,13712,4432,1210,0.91,2021-05-07 22:51:01
234289,15521,3369,398,0.97,2024-08-25 05:37:21
278306,4512,1922,403,0.91,2020-02-28 03:45:04
137906,17689,6925,1337,0.92,2018-05-12 19:57:31
334541,8923,3647,1493,0.83,2022-02-14 17:33:57
469912,19414,7988,4789,0.75,2021-07-30 21:14:22
291463,3759,574,185,0.95,2022-10-19 09:25:03
99647,19179,7917,3588,0.81,2019-02-10 14:37:52
220018,164,39,20,0.88,2023-02-20 21:07:42
207961,5743,1988,596,0.9,2024-07-26 14:48:51
46068,2708,852,288,0.89,2024-07-29 21:27:57
166169,6044,2336,638,0.89,2021-05-21 11:45:04
34826,15352,2752,1010,0.93,2023-03-22 16:42:06
191487,18404,3702,527,0.97,2023-03-03 13:18:39
317534,828,290,55,0.93,2022-11-06 01:58:30
266673,11037,1776,965,0.91,2018-01-07 07:50:01
454480,7144,1804,794,0.89,2021-11-11 15:17:36
233801,14140,7064,2754,0.81,2018-08-10 15:30:19
386542,13908,5142,2080,0.85,2023-07-30 03:16:20
304374,10323,1975,620,0.94,2023-12-03 02:13:51
307082,19792,6351,2064,0.9,2022-07-21 23:44:32
67968,17559,5280,3006,0.83,2023-05-25 14:59:03
332148,12109,4727,1660,0.86,2023-01-08 00:17:33
468947,3321,592,333,0.9,2021-04-10 13:02:56
186046,3990,684,277,0.93,2022-12-06 05:07:35
320728,15773,5504,896,0.94,2020-09-25 22:11:05
334035,2815,1335,259,0.91,2023-03-29 06:10:55
191051,8279,900,301,0.96,2019-05-04 03:01:18
242007,1571,263,31,0.98,2020-01-26 16:09:05
363414,6457,1715,275,0.96,2024-06-21 03:55:42
424730,11804,1875,360,0.97,2023-03-12 03:04:12
322131,7651,1771,880,0.88,2020-01-21 21:55:26
285231,7235,2704,376,0.95,2024-08-12 00:28:47
287579,2619,553,150,0.94,2022-05-01 13:02:53
489961,17187,4575,1717,0.9,2021-09-20 14:04:42
373703,10127,1187,527,0.95,2019-02-08 23:17:56
308376,15177,7513,2187,0.86,2020-03-03 13:59:18
386361,6240,2406,244,0.96,2020-11-05 10:35:40
147281,5088,1176,408,0.92,2021-11-03 14:00:43
421967,2687,1278,377,0.86,2023-10-02 23:49:40
335457,14070,5277,752,0.95,2022-01-08 00:09:23
273466,12181,3540,1813,0.85,2024-04-23 23:54:42
158177,5986,2541,1060,0.82,2018-03-27 12:57:21
339749,6672,2552,1344,0.8,2020-09-02 09:58:40
265641,16172,6340,637,0.96,2018-07-26 23:53:03
357894,6983,1549,535,0.92,2023-10-29 02:16:13
1156,6051,1128,375,0.94,2018-08-04 13:37:05
111462,2903,486,269,0.91,2018-02-25 13:35:54
471571,17971,8009,2634,0.85,2021-07-15 02:56:50
11617,9196,3730,1485,0.84,2023-07-23 01:20:30
