customer_id,monthly_revenue,customer_lifespan_months,customer_lifetime_value,segment
22771,5008,18,90144,High Value
15268,2861,8,22888,Mid Value
23072,3135,46,144210,High Value
10291,211,9,1899,Mid Value
19026,8695,31,269545,Mid Value
2367,3598,35,125930,Low Value
22860,8157,1,8157,Mid Value
11346,3829,11,42119,High Value
28100,4455,59,262845,High Value
19186,6408,1,6408,High Value
23755,3098,41,127018,Mid Value
29184,7246,32,231872,Mid Value
9220,6948,16,111168,Mid Value
7237,3719,12,44628,High Value
29294,9441,19,179379,Mid Value
128,1152,55,63360,Low Value
28690,2473,53,131069,Low Value
14143,2902,10,29020,Mid Value
1360,6578,28,184184,Mid Value
13822,3970,52,206440,Low Value
13304,3265,11,35915,High Value
18759,6787,34,230758,High Value
27481,8114,43,348902,Low Value
10315,4193,36,150948,High Value
3116,4131,31,128061,Mid Value
1400,1816,51,92616,High Value
25205,7667,47,360349,Low Value
5797,4226,51,215526,High Value
24295,550,4,2200,Low Value
16678,2826,25,70650,Mid Value
12982,9350,1,9350,Low Value
28597,3308,39,129012,Low Value
6456,1750,15,26250,High Value
23122,9976,8,79808,Low Value
25542,7842,16,125472,Low Value
21203,4330,3,12990,High Value
6508,7183,41,294503,High Value
10290,5787,32,185184,Mid Value
14865,8252,9,74268,Low Value
25247,2653,43,114079,Low Value
12573,8655,42,363510,Mid Value
4603,5981,31,185411,High Value
4254,2546,26,66196,Low Value
10829,7535,55,414425,High Value
17272,1293,36,46548,Low Value
5857,525,47,24675,Low Value
23332,2199,19,41781,Low Value
26771,3352,35,117320,High Value
23991,9004,26,234104,Low Value
9288,1938,3,5814,High Value
29539,6129,31,189999,Mid Value
7804,8329,24,199896,High Value
4255,7201,44,316844,High Value
21131,4427,20,88540,Mid Value
21288,1565,4,6260,High Value
13844,9865,56,552440,Mid Value
10246,4738,1,4738,High Value
22043,5342,27,144234,Mid Value
19363,8498,12,101976,Mid Value
25353,7914,21,166194,High Value
20576,5468,30,164040,Mid Value
23615,1092,46,50232,Mid Value
24317,7848,47,368856,Mid Value
27055,8844,4,35376,High Value
3801,2083,19,39577,High Value
18712,9478,31,293818,Mid Value
21601,9326,43,401018,High Value
29690,4778,5,23890,High Value
27843,8287,41,339767,Low Value
24959,6042,1,6042,Low Value
15160,4813,57,274341,Mid Value
931,1706,50,85300,Low Value
2151,4970,45,223650,High Value
8323,2496,20,49920,Mid Value
943,1668,38,63384,Mid Value
29287,8190,11,90090,Low Value
12417,6690,1,6690,Mid Value
6918,7973,39,310947,Mid Value
17428,6189,28,173292,High Value
12498,459,22,10098,Mid Value
11311,4448,49,217952,High Value
431,2587,22,56914,High Value
19565,5962,13,77506,High Value
26869,2211,59,130449,Low Value
13242,5131,21,107751,Mid Value
22468,9959,49,487991,Low Value
24040,6533,58,378914,Mid Value
18128,3700,22,81400,Low Value
20836,5695,15,85425,High Value
20216,7589,18,136602,Mid Value
25881,6020,43,258860,Low Value
19540,9195,27,248265,High Value
19599,3129,32,100128,Mid Value
8465,7515,53,398295,Mid Value
23819,392,56,21952,High Value
9442,7853,26,204178,Mid Value
6808,8283,35,289905,High Value
15013,9417,11,103587,Mid Value
23803,1918,29,55622,Mid Value
7766,6091,20,121820,High Value
8144,2145,57,122265,Mid Value
25818,1948,15,29220,High Value
15695,1827,24,43848,Low Value
7548,9111,36,327996,Low Value
12570,7996,52,415792,Mid Value
8794,679,1,679,High Value
17854,481,19,9139,Low Value
13502,9621,4,38484,Low Value
1233,5581,17,94877,Low Value
424,3683,41,151003,Low Value
2024,6023,39,234897,High Value
4834,4707,2,9414,High Value
6531,3760,33,124080,High Value
9233,9634,2,19268,Low Value
19505,6258,18,112644,High Value
18765,6312,17,107304,High Value
28912,1897,25,47425,Mid Value
29505,2860,25,71500,Low Value
10393,1951,18,35118,Low Value
3060,6832,33,225456,Low Value
4356,6753,21,141813,Mid Value
8407,838,9,7542,Mid Value
8236,7498,15,112470,Low Value
1656,9503,25,237575,Low Value
1564,3092,13,40196,High Value
21456,7935,27,214245,High Value
11530,3929,43,168947,Mid Value
4922,9400,50,470000,High Value
11120,1133,28,31724,High Value
6461,9401,25,235025,Low Value
23020,3612,22,79464,High Value
9518,8817,40,352680,High Value
23725,1896,54,102384,Mid Value
18209,6966,39,271674,Low Value
26931,9479,36,341244,High Value
27894,6471,24,155304,High Value
8812,1611,23,37053,Low Value
19897,8253,12,99036,Low Value
25517,2729,37,100973,Mid Value
9100,9184,34,312256,High Value
24714,8612,24,206688,High Value
5346,7020,29,203580,High Value
10524,3764,21,79044,High Value
24486,4436,55,243980,Low Value
9638,7844,11,86284,Mid Value
25830,7435,19,141265,High Value
4183,419,42,17598,Mid Value
17918,1034,48,49632,Low Value
29618,8411,35,294385,Low Value
12087,1898,19,36062,Low Value
27901,8262,28,231336,High Value
11308,8519,49,417431,Low Value
805,3323,25,83075,High Value
4940,9288,45,417960,Low Value
2573,3852,52,200304,High Value
7836,530,51,27030,Mid Value
25054,9973,51,508623,Mid Value
6082,1372,55,75460,Low Value
17616,5947,28,166516,High Value
26318,8296,58,481168,High Value
5951,1748,45,78660,Low Value
7224,9267,16,148272,Low Value
27851,2937,30,88110,Mid Value
18690,7582,46,348772,Mid Value
6913,2523,53,133719,Low Value
4198,5280,30,158400,Low Value
28786,5132,1,5132,Mid Value
11454,3231,16,51696,High Value
12757,1489,59,87851,High Value
13700,9507,23,218661,High Value
19103,7568,6,45408,Low Value
5358,9871,42,414582,Low Value
15552,2057,51,104907,Low Value
8527,1886,9,16974,High Value
20814,9359,52,486668,Mid Value
27596,6361,34,216274,High Value
12655,7171,26,186446,High Value
15070,9676,24,232224,High Value
10652,9244,28,258832,Mid Value
18893,5843,30,175290,Low Value
837,2587,45,116415,Low Value
14095,359,3,1077,Low Value
1264,7257,29,210453,High Value
4651,2433,23,55959,Mid Value
12952,5388,10,53880,High Value
2962,7862,2,15724,Low Value
8218,7465,58,432970,High Value
11858,4309,19,81871,High Value
22247,8209,9,73881,High Value
649,9917,33,327261,Low Value
