influencer_id,platform,followers,campaign_sales,roi,campaign_date
8352,TikTok,698610,2992,4502.21,2024-08-05 00:24:32
10114,YouTube,1543132,8238,12198.65,2019-11-12 21:29:52
6648,YouTube,1149477,9274,22628.73,2020-09-12 20:44:24
667,TikTok,592094,4778,5177.75,2023-12-06 14:55:36
6913,YouTube,1585697,1252,825.65,2023-04-08 02:29:47
2771,YouTube,316334,824,1576.11,2019-04-28 21:35:07
11133,TikTok,353444,2281,3213.25,2022-02-19 08:13:59
10275,TikTok,297174,2327,2696.11,2024-06-11 12:30:00
2997,TikTok,1479776,17974,31838.36,2024-01-16 00:35:06
12109,TikTok,727715,2769,2828.56,2021-11-12 13:22:55
4994,YouTube,191572,3108,2247.45,2024-06-23 20:10:06
3079,TikTok,1598906,9060,21554.99,2024-01-18 16:01:45
12538,YouTube,1410427,23313,30440.96,2021-03-04 09:48:17
5033,YouTube,636633,5413,3712.31,2024-05-18 10:41:11
9198,Instagram,362636,5670,5978.32,2024-08-04 07:05:43
10995,TikTok,883532,7607,4159.01,2020-10-22 02:28:56
10900,YouTube,965573,2916,3531.64,2018-09-23 09:55:12
14324,TikTok,1448430,845,819.11,2019-08-31 19:06:53
578,YouTube,65994,264,161.84,2023-08-05 10:00:01
14400,Instagram,1626506,16268,9864.81,2022-10-12 11:45:48
8808,Instagram,930693,5017,4850.31,2019-10-09 00:58:07
1869,TikTok,1244246,13949,7284.73,2018-09-01 03:28:15
7254,YouTube,349789,3027,7233.23,2018-09-02 21:06:26
1182,YouTube,1354257,11616,13278.98,2019-07-14 22:56:15
8995,TikTok,889296,10126,13727.99,2023-11-25 13:31:30
8206,YouTube,379297,6047,9681.8,2024-05-22 16:50:04
7621,Instagram,78942,1361,2577.86,2022-09-24 15:53:36
8717,YouTube,745564,1486,3222.57,2020-07-22 12:31:03
10186,Instagram,1169765,2933,6060.67,2020-05-28 11:18:01
5154,TikTok,1050383,4074,10068.71,2021-01-10 03:11:28
10381,Instagram,83082,165,370.05,2022-11-04 06:46:44
7321,YouTube,1265850,11250,19846.34,2022-01-13 17:22:29
10008,TikTok,712943,9686,12573.36,2019-09-27 08:14:16
11842,TikTok,879392,12136,13695.99,2018-04-07 08:17:06
9034,TikTok,1125900,21971,19627.87,2023-09-28 06:36:44
63,YouTube,915952,16971,24640.28,2018-03-01 13:03:56
3341,Instagram,931586,5138,11743.11,2024-11-17 18:11:12
3655,TikTok,867326,11501,13886.14,2024-10-05 11:14:33
4826,TikTok,1968875,25630,40082.52,2022-07-08 14:06:50
4086,Instagram,1484655,14559,28065.87,2023-07-21 21:55:27
3643,YouTube,932028,6924,10791.39,2020-04-04 17:53:29
3424,Instagram,970823,2117,2675.31,2020-01-05 07:57:20
6309,Instagram,1401078,1727,2244.7,2023-09-30 06:43:37
11004,Instagram,1708167,7338,5850.83,2022-05-15 14:45:36
12374,Instagram,1290242,25024,18715.28,2020-10-24 15:19:55
2578,Instagram,840223,9021,11852.75,2019-05-12 19:30:11
1320,TikTok,1153455,15045,28258.76,2018-06-22 00:58:55
12352,Instagram,1675683,24793,52115.46,2018-05-17 03:24:04
6853,Instagram,1379754,18722,46695.17,2018-10-15 00:15:25
3362,YouTube,816215,2567,4172.93,2018-11-26 05:59:04
13019,Instagram,1105016,16600,27251.34,2018-02-08 15:07:11
14496,TikTok,1532791,2321,1304.9,2018-10-26 09:51:44
8871,YouTube,1974994,29442,26570.28,2021-06-12 01:44:06
11817,TikTok,781864,727,802.82,2019-05-22 01:06:03
9320,YouTube,1855945,35770,65860.21,2022-08-12 05:55:58
881,TikTok,1055280,3422,4340.74,2024-10-31 15:43:46
3026,TikTok,197175,285,190.62,2020-08-03 15:07:03
6393,TikTok,181981,331,260.25,2018-08-12 01:15:32
1281,Instagram,1844158,28425,14559.15,2020-03-03 09:02:20
12346,YouTube,365093,6624,16033.37,2021-08-28 03:12:39
5895,YouTube,10660,93,114.84,2021-06-25 11:29:32
1691,TikTok,1037941,12199,28703.46,2024-07-23 07:02:49
9371,Instagram,351986,3796,8571.31,2019-05-12 12:00:26
4809,Instagram,1631560,26841,54402.44,2022-07-10 07:16:16
12326,TikTok,1972499,18638,42239.69,2020-08-14 07:41:01
13170,YouTube,916594,3658,8832.43,2023-05-08 01:38:16
4301,YouTube,352601,2264,2719.53,2019-07-10 12:03:14
14471,YouTube,484331,7711,9909.94,2020-03-04 18:43:25
7916,TikTok,636893,10806,16609.85,2018-07-30 08:32:23
11558,YouTube,910246,9451,6455.68,2021-09-24 09:00:10
