month,new_users,active_users,revenue,growth_rate_percent
2025-08,271,12720,3544431,2.03
2023-05,8332,20910,4794194,8.19
2022-03,6282,11337,2255607,21.38
2023-03,6126,40263,3399162,2.09
2023-12,1826,3831,3230812,23.56
2024-01,9765,19750,4987341,8.88
2023-02,1474,24759,3469024,16.39
2022-08,4638,33339,3264511,19.12
2025-01,5055,46130,1693868,6.21
2023-07,825,27406,4643206,3.19
2021-07,8863,17698,4253872,6.46
2021-09,5449,41794,1733680,8.96
2024-10,6785,29331,2109932,8.18
2023-04,5050,7126,1192404,1.92
2022-12,1756,2016,3052759,11.61
2023-03,2915,3759,3333503,10.75
2024-06,9388,14863,4335209,12.64
2021-11,2222,46102,1089000,15.36
2023-01,6549,10256,742532,18.53
2025-06,6390,38423,1246941,4.45
2024-04,2254,39029,2756516,16.3
2023-05,3277,43216,4712535,2.49
2023-01,3655,3893,652512,1.92
2022-03,6566,42292,3289863,20.91
2023-09,7545,35024,1402847,5.83
2023-11,4064,21676,1157974,3.05
2025-11,7912,16805,3638021,1.28
2024-08,9131,14381,2448225,10.72
2023-11,4489,15476,2733079,1.57
2022-10,2603,24147,2297584,6.45
2022-10,416,14051,4596869,1.4
2025-11,4611,22638,551158,14.0
2025-06,423,44789,1831364,11.71
2023-04,9205,33815,1602004,1.96
2024-11,5642,45835,2586985,4.31
2023-10,1382,4278,1487855,24.24
2022-02,424,3979,119622,2.81
2021-11,3952,34365,1312771,20.66
2024-08,2193,22845,2343545,23.86
2022-03,1392,13875,3923275,6.69
2023-09,3000,17613,2187253,4.87
2021-04,4308,4924,1877209,22.2
2024-03,7128,31088,2423169,16.61
2022-06,5264,46782,4097924,10.43
2025-04,1893,43337,2709373,21.18
2022-09,1591,49920,3257578,18.07
2024-08,9618,28107,3108213,6.38
2023-01,1162,27086,2640035,20.23
2022-01,8969,1509,178287,23.49
2025-03,7545,23250,4153280,15.68
2023-07,7909,1255,3090883,8.5
2025-10,6676,35547,1098321,2.95
2022-07,9550,14755,2233626,10.64
2025-07,9700,16628,1772278,20.3
2023-12,2223,14429,598207,11.73
2021-05,759,43746,3317130,2.7
2023-07,6472,18335,100686,20.19
2024-10,9667,28247,1791299,19.19
2023-10,8271,13713,2675312,14.29
2024-09,4612,8564,2325624,7.85
2023-07,1677,35139,475494,17.77
2021-06,1667,45886,2232432,22.45
2022-01,7020,25711,4174567,11.68
2023-02,7209,49436,4608491,5.17
2024-02,6723,45064,2235108,13.87
2024-10,6496,25060,4917994,12.04
2025-07,1332,40892,2589979,14.04
2025-08,1660,30224,4383003,2.51
2022-11,9505,1588,1490407,7.65
2023-04,9952,14952,4181914,16.88
2024-03,4228,6950,1740723,21.4
2025-05,2924,35238,3286298,24.77
2023-04,3663,4624,2230698,16.05
2025-10,2196,47621,3783892,6.81
2022-09,8419,30694,2710994,2.8
2021-10,4780,6495,2014838,22.88
2023-03,762,7566,4218635,16.4
2023-01,7261,13379,3135662,18.54
2021-02,4398,7604,3942539,17.48
2025-06,6430,4012,2918570,12.62
2022-11,3833,5981,2812537,20.24
2025-03,7885,21213,2347128,7.09
2021-05,3975,8142,227308,3.04
2023-03,7170,31780,1637979,6.99
2022-03,7199,25741,1637840,14.17
2025-08,2209,24847,194940,3.55
2024-03,1362,25999,1163314,4.16
2021-03,1084,15160,1528605,22.83
2022-03,3093,15727,4277622,13.24
2023-09,1352,978,2832463,6.18
2023-08,8514,17764,4568447,11.59
2024-04,7413,17394,3058447,2.24
2025-07,7052,38462,3467027,12.49
2023-11,7460,18548,1965414,20.46
2025-09,503,5343,3715539,23.01
2021-10,1967,23894,620758,16.98
2022-10,6705,14613,3588037,3.21
2022-04,6740,13729,3837405,6.91
2022-09,5856,37031,1245454,8.59
2022-05,5458,42141,4285115,10.95
2025-07,3564,4582,4538808,5.06
2021-01,2566,24597,4447605,2.08
2021-07,7211,38357,2961122,15.9
2021-04,7408,27571,1991466,7.51
2024-01,4711,25486,347120,15.64
2021-03,964,40669,4698748,10.04
2023-02,6130,19962,3945366,14.45
2024-06,4337,28692,4786508,16.6
2024-08,2394,11898,1591323,7.02
2023-09,2563,18738,1199335,10.37
2024-08,4064,29657,385199,10.54
2023-11,7973,24577,1137275,17.37
2024-08,3912,40587,3999962,9.2
2023-04,4735,15508,945982,15.16
2022-12,4550,41412,622156,18.5
2025-06,9186,34524,1557678,16.2
2023-03,5002,40197,4333045,1.23
2021-09,7756,48931,1011397,8.56
2024-02,1748,2487,3424980,23.16
2023-10,2724,29283,3300693,5.24
2025-01,9996,17841,3420591,5.51
2022-12,1559,34650,2155969,4.56
2024-03,9375,37275,4143356,4.04
2024-09,7201,41897,680684,7.57
