month,new_mrr,expansion_mrr,churned_mrr,net_mrr
2022-08,673467,455584,162449,760764
2025-04,254296,77652,339368,691412
2024-05,732624,482801,189898,527549
2024-02,765228,155742,385539,613695
2022-04,246704,452271,29685,881214
2025-01,267298,358116,246931,168778
2025-09,128812,159559,128641,144148
2025-11,166020,327269,340820,203868
2022-03,283323,377870,98763,827865
2023-10,604169,37385,182500,599870
2025-03,702032,396126,166886,94286
2022-05,673302,171746,52928,50414
2021-03,499188,131638,373643,784779
2023-12,675832,337568,106563,757268
2021-05,780484,331745,154997,785289
2024-08,405544,209294,283868,574666
2023-08,585846,44428,27252,432287
2025-01,205551,483911,28785,432391
2024-06,278538,89626,197451,789025
2023-05,346622,433312,76952,198122
2022-04,139447,48090,303223,291628
2024-06,569206,127360,250769,728825
2021-07,276394,360562,244185,898659
2021-04,614782,263956,11742,841798
2023-10,580432,60728,250618,503097
2024-07,697543,285770,28293,226284
2022-10,558565,231254,352432,153499
2023-09,513586,352344,224811,365563
2023-11,584596,295710,215525,352474
2023-03,309654,335615,368765,573121
2023-07,122760,415712,70310,428038
2021-09,591711,154417,99378,623127
2023-12,571268,403858,134925,430717
2024-02,81929,122112,10365,250717
2021-02,447812,476914,315715,467446
2024-06,52177,302768,118826,501527
2023-03,703192,109114,218174,712826
2022-10,251012,260021,219476,209549
2021-07,461772,298230,147257,132592
2024-07,560425,199479,30747,263704
2024-09,109850,197125,12675,484475
2023-05,141744,151937,113600,315408
2024-07,668921,309207,378407,631104
2025-08,666846,109839,276707,252662
2021-07,604967,183534,22662,813718
2022-01,318598,373408,290261,620439
2023-01,162263,441353,10145,190939
2021-12,324485,486814,115226,641685
2021-01,357878,30692,144707,338269
2024-06,651585,217308,163864,767657
2021-11,674204,417157,106012,108715
2023-05,522800,124499,327507,707557
2025-10,166601,278571,84414,630008
2025-06,260485,201514,88317,270872
2025-05,96283,28278,342697,322153
2021-05,666245,462766,202886,54880
2021-03,772754,220648,253424,485246
2024-10,59049,419242,328796,171027
2022-10,773063,97963,111110,735487
2024-07,609825,58934,274779,659679
2025-04,729939,342543,266812,422306
2025-08,611039,322465,350329,443049
2025-01,392054,315776,98408,585296
2025-05,781446,438668,325679,248815
2022-08,316596,404745,135936,146515
2025-07,367855,111720,231481,306008
2023-04,234471,467941,157172,341034
2023-01,493139,416636,28236,743299
2025-01,191137,344340,147892,223425
2022-06,136115,379922,197336,752204
2021-06,588838,264159,269804,121204
2025-09,703383,84861,310049,67576
2023-04,359859,128003,138999,431176
2023-09,293193,56525,59616,261180
2023-03,308430,373051,125685,514657
2025-04,368931,403905,318799,132161
2021-08,225926,333996,217990,805362
2022-06,72903,122866,212173,55658
2024-10,302364,376408,259725,361154
2023-07,317653,226554,125156,194276
2025-08,147246,428025,227913,585827
2023-03,588958,299790,365987,845292
2022-06,458013,261797,342054,543335
2022-06,235442,79354,156068,222266
2023-04,253292,305107,230059,110740
2025-07,403506,300268,277632,778006
2021-04,500204,87000,79684,537651
2021-07,167396,59772,119315,87889
2023-10,475949,131982,179110,825598
2022-04,161524,204346,78316,136677
2025-06,687307,364360,158303,388842
2024-06,790791,137120,36864,643851
2023-11,768910,475832,373570,786238
2024-05,112878,278678,328306,111304
2024-02,565127,264927,235175,361915
2023-05,96890,159480,370710,537813
2025-03,437909,276952,148523,705728
2025-05,605686,334822,62919,151531
2023-10,584462,332659,278262,497070
2021-08,392541,244827,141547,277552
2023-11,583990,103169,277767,669270
2022-03,783208,126254,299864,824909
2023-06,553960,494823,249585,681717
2021-10,393471,128031,11327,686055
2022-08,756349,334262,308671,847607
2025-09,62529,436923,334476,846213
2025-11,746437,376247,255064,782576
2023-04,335263,446133,21564,437307
2023-09,539946,484038,121178,371821
2021-08,283325,107208,45287,324702
2024-04,584874,482896,37452,696431
2021-09,281033,418987,377044,428280
2025-07,649736,320657,397383,224281
2024-08,404568,112934,122430,230229
2024-12,638259,63183,360828,259048
2022-12,128948,376311,302282,177258
2025-02,136422,432082,229972,596796
2021-10,420643,143675,10055,847722
2021-12,384953,94584,145712,405765
2023-09,715305,91441,205613,85232
2024-05,685255,94273,305861,619709
2021-02,333647,283218,390175,236736
2022-12,299129,383191,190792,795828
2025-01,320641,348180,338594,827406
2023-09,400966,258442,131615,219382
2023-09,719278,465370,231311,378790
2021-06,150942,265132,163354,204271
2023-08,493830,275860,297716,895702
2021-06,601560,300045,145195,378480
2022-05,440316,389676,136036,238871
2024-09,243094,419615,221875,768599
2025-03,563095,318127,391842,813645
2025-08,736044,386176,193233,232970
2022-09,52606,223697,313285,881593
2023-07,454500,142751,147358,659895
2025-11,744738,292805,193021,262985
2025-08,723448,358559,267315,336249
2021-03,335906,478794,374643,423169
2025-11,97354,466123,388511,230887
2024-02,332685,348357,259124,823545
2022-12,50753,109229,134321,355094
2022-10,682528,132312,217701,136041
2025-12,511244,162462,195846,176732
2023-03,104866,148964,267144,763943
2024-07,343266,451869,193917,796854
2024-01,557973,263795,150480,677003
2024-01,283108,154192,88570,657842
2024-10,556075,265721,73094,370646
2024-11,371751,297500,285959,798769
2022-06,60607,294618,130970,220593
2024-10,100678,161193,290025,114306
2025-09,590633,81600,386323,715118
2025-03,631178,447815,322598,69634
2021-07,376375,241015,285862,794026
2025-05,430614,279769,152680,457410
2025-05,735223,232741,151765,168916
2025-04,325778,266288,334819,894326
2024-10,323411,53658,137452,67906
2021-03,125242,411859,390894,309449
2023-09,753587,142496,252113,601927
2023-07,220931,106751,256789,468911
2021-03,764721,302981,261585,686097
2022-09,734529,31720,334340,101848
2022-05,723861,179381,255300,510500
2025-06,375544,339443,84255,747219
2022-02,339004,118464,238136,346218
2021-09,130480,171925,136769,803563
2023-07,776557,37708,300644,72346
2025-05,675646,108349,40903,800781
2021-10,414855,443374,154209,538778
2024-10,570356,482740,125258,99710
2025-11,588522,78714,362187,709394
2023-12,302598,342933,172556,704666
2021-01,648246,379017,311019,196353
2025-03,158968,272697,123780,285038
2024-04,110602,121117,145175,341686
2022-09,740000,403339,30293,522942
2021-03,384391,101561,106929,179865
2021-04,114643,49016,63698,91120
2021-08,409670,247061,40276,129182
2022-06,337468,459887,108314,582137
2022-12,740584,81154,366801,210722
2025-11,669112,494189,208429,480565
2022-11,352310,210299,330978,838854
2022-04,589598,270801,343820,608120
2024-02,355089,27238,243103,455081
2024-12,73332,213992,96616,213031
2022-08,166713,476262,322327,118977
2024-01,473716,161079,370046,785752
2024-07,348009,72837,92782,534715
2022-07,515804,390319,146592,746010
2021-06,295344,445449,371976,264731
2025-06,277665,154193,269084,415745
2025-11,750044,344146,103689,327071
2023-07,381695,57783,397458,235004
2023-12,449262,215340,40012,104106
2022-02,84936,225020,316945,658115
2024-11,259143,287671,359552,524282
2022-06,170379,472093,117999,461205
2025-08,795886,109551,193120,354780
2023-05,626065,245408,225485,194227
2023-06,95535,447561,290818,259434
2022-05,50486,237043,264459,827591
2024-05,756007,46728,86932,775238
2025-11,386575,65544,236134,55538
2024-12,384499,70154,29873,377937
2023-03,479872,181544,301270,648568
2021-05,428165,77570,332822,256379
2025-04,475904,383926,277129,251265
2022-03,567336,437654,74151,577297
2023-04,798704,321080,88879,544167
2024-11,105958,352105,76917,125024
2023-07,291613,491516,301548,366467
2024-03,460296,311242,133180,811910
2025-02,150991,345693,212684,371129
2021-01,512181,22818,176679,440816
2024-06,518854,469371,146861,338341
2023-06,305220,205290,84706,857497
2023-12,496112,384696,42666,238437
2025-04,524028,108394,342097,704683
2021-12,170127,191505,170222,748318
2023-02,647459,203456,103616,841291
2021-07,82973,23778,65242,335060
2021-10,407564,389994,263855,487047
2023-06,303860,454296,37482,479248
2022-02,676765,363890,91543,746675
2021-07,766532,207143,33066,409116
