experiment_id,pricing_variant,price,conversion_rate,experiment_date
9289,B,499,0.321,2022-05-12 08:40:52
5894,B,499,0.214,2021-11-22 23:53:32
8377,A,499,0.309,2022-12-08 22:35:51
5674,A,999,0.314,2021-05-28 22:55:00
1180,A,999,0.221,2023-10-30 05:32:42
1570,B,499,0.198,2019-08-29 04:12:48
1400,A,999,0.132,2019-09-25 09:32:35
4716,A,499,0.268,2018-09-12 23:10:35
7246,A,999,0.286,2018-01-14 04:32:28
5103,A,699,0.141,2022-02-09 06:11:24
5768,A,999,0.071,2024-10-27 09:29:40
4500,B,499,0.266,2024-02-29 06:22:49
4822,B,999,0.334,2024-01-30 01:21:32
1782,A,699,0.319,2018-08-28 10:17:07
5251,B,999,0.203,2022-01-13 22:57:22
5778,A,699,0.122,2023-06-21 10:39:10
5874,A,999,0.293,2024-06-01 13:52:29
2610,B,999,0.209,2020-03-23 21:53:14
8554,A,499,0.143,2020-06-30 22:18:33
9035,A,499,0.202,2020-11-23 11:26:10
8022,B,499,0.126,2020-01-21 07:28:04
6010,A,699,0.062,2021-11-06 07:12:32
2117,A,999,0.067,2021-09-16 22:21:14
6041,A,699,0.345,2022-12-26 16:44:47
402,B,699,0.275,2022-10-23 15:14:10
6450,A,999,0.313,2020-08-31 07:02:28
9547,B,699,0.158,2023-02-23 11:48:48
6869,B,699,0.131,2022-08-20 13:38:26
2176,B,699,0.28,2018-10-03 01:57:04
9072,A,699,0.114,2020-04-28 15:22:54
5606,B,999,0.175,2023-01-06 02:48:13
3424,A,699,0.23,2019-03-10 07:52:16
1252,A,999,0.187,2021-07-25 23:22:00
3879,B,699,0.075,2021-06-10 14:54:51
5071,B,999,0.17,2024-07-05 05:21:05
5563,B,699,0.181,2019-01-23 15:04:58
8494,B,499,0.291,2023-02-22 04:58:31
8675,A,699,0.332,2022-04-14 00:05:15
3106,B,699,0.317,2018-08-15 00:04:22
4899,A,699,0.306,2023-04-29 01:27:32
6557,B,499,0.233,2023-04-15 08:26:55
2219,A,499,0.054,2022-09-21 10:33:12
9245,B,499,0.303,2021-10-18 01:42:12
6971,A,499,0.079,2023-02-09 09:01:24
8702,A,499,0.08,2022-03-16 17:14:34
1084,B,699,0.335,2023-01-01 20:17:03
191,B,699,0.072,2023-04-23 21:55:16
9950,B,499,0.23,2024-07-29 13:46:26
2371,B,699,0.177,2018-03-21 08:44:18
4053,A,999,0.264,2020-04-28 22:24:36
5861,A,999,0.066,2023-07-08 19:47:07
9018,B,999,0.312,2023-07-14 18:43:00
8797,B,999,0.172,2024-01-05 23:07:42
1469,A,999,0.291,2020-10-26 02:19:19
8752,B,499,0.227,2023-11-16 10:09:41
4714,A,999,0.123,2023-05-13 06:57:42
3177,B,999,0.157,2019-09-26 18:07:23
9986,B,699,0.24,2021-09-18 10:58:04
9980,A,999,0.167,2021-08-25 02:55:32
8841,B,699,0.113,2023-03-03 15:10:16
8863,B,999,0.302,2019-09-18 10:35:40
5890,B,999,0.164,2022-05-24 20:17:10
626,B,499,0.267,2020-10-15 06:48:11
8364,A,699,0.071,2023-09-07 03:35:57
5034,A,999,0.067,2019-09-28 07:38:25
593,A,499,0.266,2023-05-12 13:20:45
6766,B,699,0.235,2018-09-10 15:44:21
3873,A,499,0.168,2020-08-02 02:29:04
7204,A,499,0.109,2023-05-31 08:22:52
2102,B,999,0.243,2024-06-02 09:10:08
5982,A,499,0.336,2021-09-03 20:10:51
4722,A,499,0.197,2024-03-12 22:21:36
6425,A,699,0.211,2023-02-03 20:01:58
4813,B,499,0.296,2022-11-19 10:44:11
392,B,999,0.211,2021-04-08 13:42:36
7754,A,999,0.073,2023-07-16 01:19:11
3631,A,999,0.114,2018-03-02 22:10:43
2330,B,999,0.227,2021-12-08 00:26:46
7232,A,499,0.155,2023-09-26 07:06:07
8824,A,699,0.2,2020-06-20 19:16:39
2442,B,499,0.264,2021-07-23 12:05:42
1342,B,999,0.142,2023-07-28 08:19:44
7299,B,499,0.279,2018-07-18 08:05:17
520,B,499,0.179,2018-01-19 19:37:03
2884,A,699,0.108,2023-07-10 19:32:51
9939,B,999,0.169,2023-08-23 23:35:45
9709,B,499,0.08,2021-11-26 05:00:34
9321,A,699,0.126,2018-08-22 05:50:56
6900,B,699,0.085,2024-11-18 21:54:19
4774,B,699,0.235,2018-02-03 16:36:42
2609,B,999,0.314,2020-11-01 18:34:30
316,A,999,0.213,2019-02-14 12:08:27
3604,A,499,0.193,2019-02-01 03:35:08
8385,B,499,0.347,2018-07-26 17:29:49
9202,A,699,0.196,2019-09-09 04:14:24
1901,B,499,0.232,2022-04-04 21:59:01
9723,B,499,0.297,2020-09-19 05:12:14
7166,B,499,0.208,2024-06-05 01:46:56
6474,B,499,0.244,2020-01-18 08:02:47
9301,B,499,0.271,2022-04-11 20:45:31
