user_id,subscription_plan,tenure_months,monthly_price,churn
13198,Pro,38,499,No
12615,Basic,46,2499,No
45532,Basic,23,2499,No
5056,Basic,12,499,No
14535,Pro,20,499,No
1984,Enterprise,9,999,No
34366,Basic,15,2499,No
2417,Pro,29,2499,No
44683,Basic,7,999,No
35468,Basic,45,499,No
46817,Enterprise,12,2499,No
49441,Pro,17,499,No
5662,Enterprise,46,999,No
34281,Enterprise,18,499,No
18623,Basic,36,499,No
48552,Enterprise,46,499,No
9630,Enterprise,20,499,No
48942,Enterprise,1,499,Yes
2121,Basic,2,999,Yes
16776,Enterprise,42,499,No
32134,Pro,42,499,No
2714,Basic,21,2499,No
38258,Basic,2,999,Yes
49737,Basic,34,2499,No
28274,Pro,46,2499,No
13246,Basic,17,2499,No
34087,Pro,37,2499,No
29713,Pro,18,2499,No
8410,Enterprise,3,999,Yes
34411,Basic,24,499,No
8256,Basic,42,499,No
35633,Basic,35,499,No
461,Pro,25,999,No
18044,Pro,22,2499,No
24403,Basic,42,2499,No
34642,Pro,30,999,No
6628,Basic,19,499,No
47861,Pro,9,499,No
30371,Basic,3,2499,Yes
41704,Pro,25,499,No
39371,Basic,9,499,No
14099,Enterprise,36,2499,No
42832,Basic,17,499,No
16132,Pro,37,999,No
27118,Enterprise,29,999,No
1890,Pro,19,2499,No
18597,Basic,35,2499,No
13777,Basic,33,999,No
27265,Enterprise,44,499,No
15059,Basic,7,999,No
26945,Enterprise,13,999,No
9900,Enterprise,8,999,No
10221,Enterprise,23,499,No
14710,Enterprise,29,999,No
33976,Basic,21,2499,No
1198,Enterprise,8,499,No
4500,Pro,9,999,No
43928,Basic,15,2499,No
43132,Pro,2,499,Yes
20066,Pro,24,2499,No
33485,Pro,17,999,No
29247,Enterprise,13,499,No
9455,Pro,9,499,No
22801,Pro,26,499,No
6236,Enterprise,27,2499,No
29071,Enterprise,18,999,No
33999,Pro,11,499,No
67,Basic,27,999,No
7334,Pro,2,2499,Yes
15973,Enterprise,32,499,No
20979,Pro,36,499,No
6254,Basic,17,499,No
12479,Basic,26,999,No
2468,Enterprise,42,499,No
48956,Basic,34,499,No
3051,Pro,13,2499,No
20076,Pro,33,499,No
9328,Pro,24,2499,No
20428,Pro,4,499,Yes
31508,Enterprise,5,499,Yes
15456,Basic,39,499,No
17769,Enterprise,21,499,No
29859,Basic,17,499,No
16155,Pro,26,499,No
7831,Pro,43,499,No
5708,Enterprise,44,2499,No
34814,Basic,2,2499,Yes
6097,Pro,47,499,No
14178,Basic,16,999,No
45583,Basic,6,2499,No
26489,Pro,22,499,No
23667,Basic,23,999,No
17162,Basic,32,2499,No
25196,Basic,2,2499,Yes
21955,Basic,39,499,No
36921,Basic,35,999,No
14551,Pro,37,499,No
14045,Enterprise,43,499,No
24036,Enterprise,31,999,No
40563,Pro,19,499,No
36033,Basic,6,999,No
10489,Enterprise,4,499,Yes
26891,Enterprise,47,499,No
4474,Enterprise,28,999,No
3473,Basic,5,499,Yes
41418,Basic,1,499,Yes
44924,Basic,32,2499,No
13136,Basic,44,999,No
49346,Enterprise,34,999,No
26033,Enterprise,38,499,No
38510,Pro,7,499,No
20699,Basic,46,2499,No
36860,Enterprise,22,499,No
35624,Pro,44,499,No
34379,Enterprise,37,999,No
8405,Basic,29,999,No
5423,Pro,16,499,No
39672,Pro,26,499,No
20471,Pro,34,2499,No
25092,Basic,23,2499,No
48944,Enterprise,17,499,No
48613,Pro,28,2499,No
12783,Pro,14,2499,No
4819,Basic,7,2499,No
16780,Basic,7,2499,No
31893,Enterprise,31,999,No
35264,Enterprise,4,2499,Yes
42218,Enterprise,24,499,No
33063,Basic,5,499,Yes
40751,Basic,23,999,No
11758,Pro,36,2499,No
22412,Enterprise,29,999,No
19936,Enterprise,12,2499,No
29338,Enterprise,44,499,No
30883,Basic,18,999,No
20740,Pro,10,999,No
35712,Enterprise,14,999,No
19152,Enterprise,19,499,No
37543,Enterprise,43,499,No
17473,Basic,21,2499,No
31953,Enterprise,20,499,No
26748,Enterprise,44,2499,No
43292,Basic,20,2499,No
39425,Basic,20,2499,No
26293,Basic,19,499,No
2856,Enterprise,36,499,No
36330,Basic,24,499,No
5828,Basic,30,2499,No
7676,Pro,12,499,No
10651,Enterprise,45,999,No
15979,Basic,35,2499,No
12525,Enterprise,9,499,No
32179,Basic,23,999,No
2858,Enterprise,21,499,No
28050,Basic,24,499,No
8897,Enterprise,21,499,No
25528,Enterprise,7,999,No
30768,Basic,47,499,No
32337,Enterprise,14,2499,No
21595,Enterprise,28,2499,No
41380,Enterprise,33,999,No
14806,Enterprise,34,2499,No
28227,Enterprise,41,499,No
22917,Pro,37,2499,No
49924,Enterprise,12,2499,No
9666,Enterprise,13,2499,No
31276,Enterprise,19,499,No
41093,Pro,36,2499,No
22542,Pro,20,2499,No
12686,Basic,15,499,No
18207,Basic,11,499,No
30402,Enterprise,2,499,Yes
14048,Pro,45,2499,No
10264,Basic,45,2499,No
241,Enterprise,21,499,No
12166,Basic,14,2499,No
37718,Basic,35,499,No
15631,Enterprise,17,499,No
47185,Enterprise,39,999,No
41886,Basic,37,499,No
28015,Pro,43,2499,No
27263,Enterprise,40,2499,No
554,Basic,18,2499,No
1088,Pro,41,2499,No
10438,Pro,37,999,No
48412,Pro,15,999,No
49386,Basic,40,999,No
28368,Enterprise,36,499,No
29794,Basic,15,2499,No
43228,Pro,47,999,No
5125,Basic,22,2499,No
7140,Enterprise,12,999,No
26852,Basic,13,499,No
30360,Basic,47,2499,No
34404,Basic,43,499,No
48313,Pro,11,2499,No
6891,Pro,1,2499,Yes
27899,Basic,47,999,No
2599,Basic,47,2499,No
12573,Enterprise,43,999,No
26969,Pro,44,2499,No
43018,Basic,3,2499,Yes
45533,Enterprise,42,999,No
12198,Basic,45,2499,No
37043,Enterprise,12,999,No
35733,Basic,18,2499,No
33353,Basic,13,2499,No
35818,Basic,8,499,No
37257,Pro,9,999,No
11010,Pro,4,999,Yes
8891,Basic,1,499,Yes
11085,Pro,44,2499,No
4112,Basic,2,2499,Yes
30448,Enterprise,45,499,No
14462,Pro,32,499,No
28397,Basic,47,999,No
19812,Pro,47,999,No
523,Basic,23,999,No
13250,Pro,9,2499,No
39615,Basic,28,499,No
46623,Basic,28,499,No
44247,Pro,1,499,Yes
49677,Enterprise,12,499,No
15073,Basic,37,2499,No
1471,Enterprise,14,2499,No
9096,Pro,14,2499,No
41487,Pro,24,999,No
38739,Pro,25,499,No
1857,Basic,3,499,Yes
4078,Basic,6,499,No
30880,Pro,16,2499,No
32937,Basic,33,999,No
27971,Enterprise,20,499,No
45457,Enterprise,26,499,No
34727,Enterprise,47,999,No
12604,Pro,26,999,No
27603,Enterprise,15,999,No
28867,Basic,17,999,No
20695,Pro,28,999,No
1807,Enterprise,28,999,No
25035,Basic,34,499,No
8190,Basic,38,999,No
40541,Basic,8,2499,No
19292,Enterprise,40,499,No
44161,Enterprise,39,499,No
27138,Basic,35,2499,No
29949,Enterprise,44,2499,No
22968,Enterprise,10,499,No
30427,Enterprise,42,999,No
9384,Pro,28,2499,No
14673,Enterprise,28,999,No
13442,Basic,38,2499,No
31589,Pro,15,999,No
22095,Basic,39,999,No
49580,Basic,13,499,No
46076,Pro,23,499,No
19891,Pro,42,999,No
45929,Enterprise,6,999,No
44913,Enterprise,14,2499,No
33665,Basic,25,999,No
8458,Pro,40,2499,No
8741,Pro,31,2499,No
31475,Pro,46,2499,No
48203,Pro,5,2499,Yes
14379,Pro,19,2499,No
37211,Enterprise,46,999,No
39694,Enterprise,16,999,No
25349,Enterprise,27,999,No
35290,Enterprise,44,999,No
8392,Pro,40,2499,No
13299,Basic,46,999,No
30509,Enterprise,20,499,No
13098,Enterprise,40,2499,No
41686,Basic,44,999,No
11919,Basic,20,499,No
31018,Enterprise,17,2499,No
29189,Enterprise,26,2499,No
6357,Pro,26,499,No
12774,Pro,9,499,No
16013,Enterprise,1,999,Yes
30562,Pro,1,999,Yes
9333,Basic,21,499,No
20188,Pro,21,499,No
14031,Pro,41,499,No
7580,Basic,43,2499,No
19791,Enterprise,19,999,No
38831,Basic,2,499,Yes
31188,Pro,43,999,No
11254,Pro,44,999,No
21399,Pro,43,999,No
36320,Pro,10,999,No
14495,Basic,21,999,No
39662,Enterprise,40,2499,No
33260,Basic,40,2499,No
14635,Enterprise,28,2499,No
48888,Pro,30,2499,No
9712,Basic,41,499,No
23716,Basic,27,2499,No
16995,Basic,44,999,No
9217,Pro,15,2499,No
29059,Basic,24,2499,No
7035,Enterprise,32,499,No
42570,Enterprise,16,999,No
29003,Enterprise,24,499,No
21516,Pro,39,499,No
44502,Pro,4,2499,Yes
19756,Basic,2,2499,Yes
3061,Pro,1,499,Yes
48352,Basic,10,2499,No
1886,Pro,25,499,No
29079,Enterprise,17,999,No
2827,Enterprise,3,999,Yes
44799,Enterprise,25,499,No
34342,Basic,13,2499,No
38015,Pro,17,999,No
14662,Enterprise,23,499,No
31406,Pro,36,499,No
13761,Enterprise,25,499,No
12463,Basic,26,499,No
1847,Basic,21,499,No
14930,Basic,19,999,No
46199,Enterprise,28,499,No
3066,Enterprise,24,499,No
39907,Enterprise,5,499,Yes
5630,Enterprise,40,499,No
8257,Pro,26,999,No
44557,Basic,6,499,No
26925,Pro,27,499,No
48010,Enterprise,39,499,No
27531,Pro,33,2499,No
1618,Pro,11,499,No
6996,Enterprise,15,999,No
2919,Basic,24,2499,No
14531,Basic,41,2499,No
41359,Basic,15,499,No
30727,Enterprise,37,999,No
49704,Enterprise,1,499,Yes
34399,Pro,6,999,No
2024,Basic,31,499,No
14368,Basic,31,2499,No
15571,Basic,10,499,No
42246,Basic,34,2499,No
35638,Basic,9,999,No
5251,Pro,27,499,No
5252,Pro,16,499,No
17489,Enterprise,29,499,No
14637,Basic,42,999,No
46450,Pro,8,499,No
19037,Basic,29,2499,No
26775,Pro,7,999,No
26973,Pro,14,2499,No
37632,Pro,2,499,Yes
42582,Pro,33,499,No
458,Pro,31,2499,No
38033,Enterprise,3,999,Yes
11000,Enterprise,29,499,No
22785,Enterprise,24,999,No
19904,Basic,21,499,No
47258,Enterprise,45,2499,No
221,Pro,40,2499,No
2207,Pro,41,499,No
38266,Pro,15,499,No
33768,Enterprise,32,499,No
39418,Basic,25,2499,No
45111,Enterprise,47,2499,No
30003,Basic,23,499,No
21078,Pro,13,2499,No
22652,Basic,13,2499,No
2997,Enterprise,30,499,No
677,Pro,5,499,Yes
33371,Pro,18,999,No
38142,Enterprise,22,499,No
37058,Enterprise,42,999,No
43275,Pro,5,2499,Yes
29982,Enterprise,14,2499,No
514,Enterprise,33,2499,No
42310,Basic,42,2499,No
22459,Basic,33,2499,No
37413,Enterprise,17,499,No
43009,Enterprise,7,999,No
1391,Basic,36,2499,No
14619,Pro,30,999,No
434,Basic,26,999,No
22230,Enterprise,5,999,Yes
11509,Enterprise,30,499,No
25607,Basic,40,2499,No
24499,Enterprise,21,2499,No
6087,Pro,43,499,No
36753,Enterprise,13,999,No
22925,Enterprise,7,499,No
32639,Pro,43,999,No
48438,Enterprise,15,499,No
37917,Pro,41,999,No
11571,Enterprise,1,999,Yes
19373,Pro,28,499,No
17571,Pro,43,999,No
23063,Pro,34,2499,No
22824,Enterprise,38,499,No
18883,Pro,26,499,No
33268,Basic,28,2499,No
38533,Basic,45,2499,No
46969,Pro,22,499,No
29323,Enterprise,9,999,No
28046,Enterprise,1,2499,Yes
34579,Basic,28,999,No
32089,Pro,9,2499,No
37234,Pro,33,2499,No
34243,Pro,15,499,No
40770,Basic,37,999,No
35660,Enterprise,8,499,No
43609,Pro,31,499,No
26330,Pro,36,499,No
46501,Basic,35,999,No
9959,Enterprise,23,2499,No
42169,Pro,35,2499,No
2346,Enterprise,6,499,No
13976,Enterprise,1,2499,Yes
24737,Basic,39,2499,No
7411,Pro,43,999,No
2148,Enterprise,26,999,No
11311,Enterprise,23,499,No
41969,Pro,36,2499,No
6270,Enterprise,44,499,No
33529,Enterprise,13,999,No
21236,Enterprise,46,499,No
38782,Enterprise,4,2499,Yes
17512,Basic,34,999,No
32368,Pro,33,499,No
24285,Basic,44,2499,No
1028,Basic,18,499,No
45643,Enterprise,31,2499,No
6023,Pro,30,499,No
41071,Basic,42,2499,No
9673,Basic,45,999,No
37518,Pro,19,2499,No
49831,Basic,6,499,No
46834,Basic,24,2499,No
45722,Enterprise,15,999,No
44597,Enterprise,34,499,No
36466,Pro,45,499,No
10687,Enterprise,3,999,Yes
35311,Enterprise,8,2499,No
7550,Basic,4,999,Yes
37026,Basic,4,2499,Yes
43035,Basic,19,999,No
47657,Basic,21,499,No
7978,Pro,24,999,No
37441,Pro,33,2499,No
1944,Basic,38,2499,No
9309,Pro,11,999,No
12008,Pro,41,999,No
37769,Basic,8,999,No
24967,Enterprise,7,999,No
2124,Pro,36,499,No
12152,Enterprise,12,499,No
17560,Pro,31,499,No
9660,Enterprise,2,2499,Yes
2955,Basic,32,2499,No
1466,Basic,23,499,No
15898,Pro,18,499,No
23622,Pro,44,2499,No
13966,Basic,35,499,No
10361,Basic,8,999,No
41917,Basic,33,2499,No
9814,Enterprise,8,2499,No
45375,Pro,18,999,No
26467,Basic,47,999,No
212,Enterprise,39,499,No
2769,Pro,16,999,No
6550,Basic,5,499,Yes
27369,Enterprise,33,499,No
20393,Enterprise,34,499,No
32266,Pro,29,999,No
44184,Basic,20,2499,No
45349,Enterprise,27,2499,No
25326,Enterprise,17,499,No
9646,Enterprise,23,499,No
31877,Pro,19,999,No
15874,Basic,35,2499,No
27967,Basic,34,2499,No
21286,Pro,19,499,No
48469,Enterprise,4,2499,Yes
5347,Basic,41,499,No
8240,Pro,35,999,No
48642,Enterprise,9,2499,No
7304,Pro,13,499,No
19127,Basic,8,999,No
23985,Enterprise,27,499,No
31167,Pro,40,2499,No
32076,Basic,7,999,No
14320,Basic,9,2499,No
27626,Enterprise,26,999,No
11458,Basic,30,499,No
42378,Enterprise,33,999,No
8634,Basic,29,499,No
4657,Pro,24,2499,No
22573,Basic,46,2499,No
16063,Basic,7,499,No
36906,Pro,27,999,No
23501,Enterprise,46,999,No
31039,Pro,12,499,No
9611,Enterprise,24,2499,No
27021,Enterprise,11,499,No
35776,Enterprise,2,2499,Yes
40067,Enterprise,33,2499,No
46477,Basic,39,999,No
973,Enterprise,38,499,No
38534,Pro,35,2499,No
10030,Basic,37,2499,No
4497,Enterprise,9,999,No
15143,Pro,39,999,No
