user_id,trial_days_used,features_used,converted_to_paid,trial_start_date
8739,6,9,No,2018-01-31 16:00:16
48883,26,7,Yes,2022-04-08 15:19:33
11400,16,3,No,2024-02-29 17:04:26
13327,25,9,No,2022-09-24 10:17:34
26501,23,6,No,2023-08-20 20:29:32
20191,12,5,Yes,2019-09-14 10:56:53
39989,24,1,Yes,2022-11-20 06:37:17
28821,26,2,No,2023-01-08 01:30:33
24594,20,7,No,2019-04-14 15:01:51
10407,15,1,Yes,2022-08-15 16:01:23
45784,23,2,No,2022-09-09 18:13:56
4900,8,4,Yes,2019-07-08 08:07:10
14462,11,5,Yes,2018-11-14 05:21:43
16574,14,9,No,2019-10-26 16:27:38
9734,20,2,Yes,2023-06-03 21:44:07
43942,11,2,Yes,2018-05-20 06:56:55
10889,29,1,No,2020-04-08 05:32:58
21143,15,1,Yes,2018-08-01 01:25:45
48033,1,2,No,2021-01-19 22:50:55
24996,23,2,No,2023-06-17 12:06:33
15601,24,2,No,2019-12-16 17:32:21
16998,7,4,Yes,2020-04-23 07:24:52
27677,2,1,No,2020-07-05 01:15:43
17356,20,8,Yes,2018-10-01 10:25:34
24207,29,7,No,2024-07-17 18:52:17
41314,8,8,No,2024-09-14 23:39:32
8585,26,1,Yes,2019-06-20 15:20:31
37147,9,2,Yes,2021-04-02 16:22:23
4455,20,1,Yes,2024-03-27 04:34:56
1638,29,2,No,2022-08-10 12:25:25
38101,9,6,Yes,2022-06-21 12:25:57
30326,5,3,Yes,2018-05-29 05:54:22
6879,16,6,No,2023-12-24 02:59:34
767,14,5,No,2020-11-27 09:21:41
7874,24,7,Yes,2019-02-21 07:44:03
9824,18,9,No,2024-09-30 23:51:04
35346,13,6,No,2024-07-17 08:51:10
13121,25,7,No,2021-11-20 12:14:50
46326,25,9,No,2018-02-08 12:11:40
9246,9,9,Yes,2022-01-23 06:44:44
34142,23,2,Yes,2024-07-06 10:14:28
35224,6,3,Yes,2022-01-13 12:11:07
36126,15,1,Yes,2023-03-21 10:07:29
44964,27,8,Yes,2024-12-06 03:21:24
8289,2,9,Yes,2022-06-21 17:11:13
23856,4,1,Yes,2020-09-11 03:40:25
2679,27,5,No,2022-03-02 08:07:59
38182,4,5,No,2022-10-14 03:35:51
43161,1,2,No,2021-09-10 21:39:23
