user_id,daily_active_minutes,sessions_per_day,feature_clicks,activity_date
2306,230,6,39,2023-06-28 03:13:28
32135,250,4,21,2019-06-26 14:09:06
8987,132,8,18,2022-01-07 15:14:19
29625,252,8,1,2018-11-13 03:08:34
39246,71,9,47,2023-06-04 21:16:15
5662,160,7,37,2022-03-18 01:13:07
14965,88,3,2,2020-03-17 16:07:04
48541,42,6,11,2021-03-22 08:55:13
7168,152,1,26,2021-10-08 08:15:42
1990,154,6,41,2019-11-10 14:42:46
24525,121,1,17,2024-04-12 14:41:46
29,60,2,1,2023-01-10 07:52:40
10883,121,3,3,2024-04-16 07:31:45
20919,175,6,18,2018-08-05 04:04:04
31438,186,9,20,2021-08-15 23:04:33
25628,27,4,0,2021-02-14 14:03:22
47585,196,6,18,2021-01-19 06:06:33
21242,188,4,23,2023-07-18 18:25:57
6920,247,1,17,2020-03-16 00:14:47
33928,141,5,37,2024-04-01 05:52:32
37488,278,4,2,2021-03-14 21:13:09
33685,152,1,12,2021-11-29 02:50:44
4514,191,4,47,2022-07-16 23:54:35
21799,62,6,27,2018-11-05 14:48:59
13338,165,9,29,2024-11-09 05:54:26
44357,124,7,38,2021-08-09 11:22:26
22129,221,2,36,2020-08-27 15:03:28
18237,139,6,45,2018-07-19 06:42:32
38930,26,4,0,2023-08-19 17:24:15
26363,126,5,40,2022-04-12 06:35:01
49354,188,9,42,2019-08-09 20:51:57
19573,22,6,38,2020-03-03 11:27:21
44080,4,9,11,2024-02-04 15:07:11
30110,239,8,24,2023-05-31 01:09:27
2410,267,4,32,2024-04-06 22:32:54
28000,188,5,30,2024-09-11 12:59:14
32734,254,5,12,2021-10-13 20:49:42
14151,72,2,4,2024-04-24 06:35:41
44983,209,7,16,2021-06-20 18:44:10
12585,275,8,30,2019-01-27 09:19:21
9462,101,1,40,2022-12-19 18:59:28
1985,172,5,2,2023-06-03 21:11:37
33744,78,3,8,2020-03-14 09:07:04
46596,10,9,44,2021-02-20 12:21:25
18914,166,5,24,2020-06-24 09:26:35
26534,80,1,35,2020-03-13 23:28:20
20106,278,7,46,2018-10-04 00:29:36
31897,91,2,9,2019-01-12 12:58:16
5170,229,4,28,2023-08-19 22:17:43
26068,295,2,29,2022-02-09 11:54:34
43235,60,7,6,2020-04-15 23:37:44
16676,88,3,39,2020-09-17 01:36:56
17720,269,4,30,2023-08-09 16:53:48
33028,275,8,4,2018-05-29 22:57:04
41034,109,7,19,2023-05-08 16:13:31
44327,112,6,45,2023-02-14 11:05:21
42273,227,3,33,2023-02-17 06:31:10
366,228,8,0,2020-02-14 18:25:42
39526,207,7,4,2022-01-21 21:07:43
9275,120,1,38,2019-07-21 21:44:35
8727,277,6,29,2023-11-12 12:59:53
29657,236,8,8,2024-02-12 07:07:03
17488,154,8,46,2019-10-21 00:33:57
24716,5,9,17,2021-03-25 19:14:15
49054,88,3,47,2019-06-29 06:55:22
3981,240,1,36,2023-04-21 13:32:58
6908,47,6,13,2023-09-14 23:20:17
11656,68,8,13,2019-04-23 16:30:18
6024,257,4,48,2024-02-15 05:12:26
11971,105,2,27,2024-01-29 14:53:59
32533,62,8,34,2020-04-18 19:45:38
40766,7,6,41,2021-04-09 23:22:32
48805,65,8,43,2024-11-11 07:59:43
35105,61,9,11,2024-07-28 08:06:30
725,176,3,4,2018-08-08 21:12:54
22595,211,8,9,2024-10-19 05:18:46
9680,260,7,25,2020-04-29 18:43:51
31553,208,2,11,2024-08-30 12:15:56
9103,200,5,11,2024-04-22 08:00:41
44450,36,3,45,2018-12-02 03:47:25
10493,161,4,0,2019-07-24 02:27:44
32673,252,4,41,2024-09-16 01:23:31
30708,257,4,19,2023-11-21 14:49:32
3380,192,7,9,2019-11-30 10:50:35
25713,211,4,3,2019-08-25 19:21:59
37053,87,1,11,2021-08-10 07:10:35
6645,296,6,4,2023-08-08 16:25:23
47684,154,8,43,2019-04-27 04:39:40
46682,16,8,44,2024-12-08 00:41:07
44102,35,3,29,2023-02-24 02:17:20
47416,295,9,35,2024-01-12 07:15:48
44966,208,4,49,2018-09-23 23:03:37
