applicant_id,entrance_score,board_percentage,preferred_stream,admission_status,application_date
8799,98,55,Commerce,Admitted,2023-04-14 11:31:44
33990,87,93,Science,Admitted,2021-05-19 12:37:37
25234,88,45,Science,Rejected,2022-07-22 22:33:35
24865,52,49,Science,Rejected,2021-06-17 06:08:23
7817,79,53,Arts,Rejected,2020-02-24 03:02:37
33010,36,96,Commerce,Admitted,2023-07-02 13:56:07
45641,74,49,Arts,Rejected,2019-03-04 00:46:32
51849,59,83,Commerce,Rejected,2019-12-08 01:41:01
26572,69,57,Commerce,Rejected,2020-05-01 05:57:40
23058,72,62,Science,Admitted,2018-02-12 07:06:10
30773,87,86,Science,Admitted,2022-09-12 18:09:47
11055,92,95,Science,Admitted,2022-10-10 18:23:33
59992,67,72,Commerce,Rejected,2020-09-27 23:59:33
21470,52,78,Science,Rejected,2024-05-01 06:26:05
36287,82,62,Science,Rejected,2024-06-15 04:56:16
37666,37,93,Arts,Rejected,2022-05-27 21:06:07
14484,92,53,Commerce,Rejected,2023-07-26 14:34:20
48372,57,60,Arts,Rejected,2019-03-07 05:09:30
7801,65,82,Arts,Admitted,2023-01-02 02:16:19
52098,99,55,Commerce,Admitted,2023-12-15 15:15:20
50677,91,95,Commerce,Rejected,2023-11-07 23:32:32
20935,57,76,Commerce,Admitted,2024-02-17 02:20:13
57763,39,85,Arts,Admitted,2023-06-01 10:18:04
37477,45,60,Science,Admitted,2024-05-03 08:31:26
13984,37,47,Science,Admitted,2020-05-07 06:04:53
25677,76,80,Commerce,Rejected,2020-09-12 00:07:12
9408,81,51,Commerce,Admitted,2018-06-26 11:02:25
42930,83,77,Science,Admitted,2023-04-26 16:21:04
37317,79,73,Commerce,Admitted,2023-09-13 13:33:58
49345,68,62,Arts,Admitted,2023-11-26 14:58:59
33722,78,80,Arts,Admitted,2019-10-27 07:43:05
39832,43,53,Science,Admitted,2020-08-08 07:34:54
20150,40,52,Arts,Rejected,2022-06-15 23:17:20
1609,59,64,Arts,Admitted,2023-05-21 20:52:10
10336,47,93,Arts,Admitted,2017-06-28 05:15:52
41499,77,56,Science,Admitted,2022-03-27 18:59:39
802,32,81,Science,Admitted,2023-07-22 02:08:32
13173,81,85,Science,Rejected,2018-04-23 19:19:02
43123,72,46,Science,Rejected,2018-03-22 23:58:17
40229,72,54,Science,Rejected,2020-07-15 13:01:28
4011,78,66,Science,Admitted,2021-10-24 04:15:57
10561,76,62,Arts,Rejected,2023-11-29 04:52:35
55415,38,72,Science,Rejected,2021-10-31 18:21:01
33877,36,74,Science,Admitted,2024-08-31 07:36:30
45318,87,77,Commerce,Admitted,2024-12-09 23:08:48
27539,45,66,Arts,Rejected,2021-08-24 22:30:09
41885,43,69,Commerce,Rejected,2019-05-01 10:19:41
31703,30,54,Commerce,Admitted,2019-01-29 19:35:52
59301,51,73,Science,Rejected,2024-04-02 15:06:28
6752,33,74,Commerce,Admitted,2017-07-07 05:45:46
28834,75,67,Arts,Rejected,2018-11-10 06:20:45
22780,31,53,Commerce,Admitted,2018-10-11 18:39:49
59411,96,45,Commerce,Rejected,2021-03-02 21:29:21
36715,75,52,Science,Admitted,2024-07-18 04:55:25
55057,55,48,Arts,Rejected,2017-05-28 05:42:18
57276,57,98,Arts,Admitted,2024-04-20 04:32:01
31384,47,49,Commerce,Admitted,2022-03-20 01:06:32
31607,34,75,Commerce,Admitted,2018-10-17 02:48:58
22171,58,88,Science,Rejected,2021-02-05 15:43:45
29575,65,87,Commerce,Admitted,2022-07-06 08:09:17
7712,81,64,Arts,Admitted,2022-02-15 02:03:30
5737,36,65,Science,Admitted,2022-11-22 23:08:33
34984,58,88,Arts,Admitted,2024-04-06 17:03:29
11345,62,85,Arts,Admitted,2023-08-16 17:42:47
45037,44,78,Arts,Rejected,2019-11-05 17:41:25
11688,55,99,Commerce,Admitted,2021-06-17 19:10:49
36618,68,94,Commerce,Rejected,2021-07-01 13:44:23
16428,30,61,Arts,Rejected,2018-09-13 15:49:53
28821,85,89,Arts,Admitted,2018-03-19 01:54:31
40459,96,86,Science,Rejected,2018-10-14 22:46:29
56108,63,70,Commerce,Rejected,2017-10-20 08:32:17
7622,64,45,Arts,Rejected,2017-04-15 10:41:05
52819,75,48,Arts,Admitted,2024-01-04 10:24:46
56612,98,58,Science,Rejected,2022-06-30 01:14:13
4107,68,97,Science,Admitted,2019-01-31 16:06:17
27676,92,81,Science,Admitted,2024-01-06 11:02:25
34139,73,50,Arts,Rejected,2022-03-14 13:23:23
3373,77,97,Arts,Rejected,2024-10-29 09:48:28
26007,78,94,Science,Rejected,2019-05-10 04:00:11
16144,35,67,Arts,Admitted,2022-01-16 15:28:30
52389,82,46,Arts,Admitted,2022-02-16 22:08:52
33759,57,51,Commerce,Admitted,2017-07-20 04:41:00
31202,74,92,Commerce,Rejected,2021-12-02 03:40:24
207,55,91,Commerce,Rejected,2022-12-03 00:17:12
38776,61,73,Science,Admitted,2022-07-14 21:22:46
25976,37,66,Arts,Admitted,2020-04-04 22:36:47
1950,75,49,Arts,Admitted,2024-02-03 09:22:00
23742,68,72,Arts,Admitted,2022-02-14 23:41:15
28382,56,75,Science,Admitted,2019-04-24 04:25:06
32110,67,97,Commerce,Rejected,2018-02-02 01:03:57
21778,74,58,Commerce,Rejected,2017-08-24 09:42:30
9750,92,68,Science,Admitted,2020-11-06 08:52:12
7105,32,68,Science,Admitted,2023-01-25 17:31:37
44122,55,50,Science,Admitted,2022-01-26 01:16:12
37761,31,70,Commerce,Admitted,2019-04-13 16:08:35
31638,58,70,Commerce,Admitted,2020-06-16 06:45:09
27568,51,68,Commerce,Rejected,2020-02-18 04:58:10
