user_id,subscription_plan,monthly_fee,months_active,churn_risk
50033,Basic,999,33,High
22715,Basic,499,23,Low
58845,Basic,499,8,High
13598,Premium,0,26,Low
9652,Basic,0,1,High
43237,Free,0,9,Low
45575,Premium,499,16,High
38933,Basic,499,21,High
41311,Basic,0,29,High
42165,Basic,0,16,High
31674,Basic,999,12,High
53665,Basic,999,12,Low
39343,Basic,0,24,High
49430,Basic,499,1,High
4963,Free,0,18,High
35158,Free,499,25,Low
38816,Premium,0,32,High
38290,Basic,999,1,High
9430,Free,0,18,Low
40256,Basic,999,25,Low
28563,Free,999,28,Low
42242,Free,499,30,High
43304,Free,499,2,High
35538,Free,499,13,Low
25892,Basic,999,2,High
29634,Free,0,4,Low
36313,Premium,999,29,High
13166,Basic,499,17,Low
26766,Premium,0,33,High
15716,Premium,0,7,High
12750,Basic,499,5,Low
2349,Basic,499,4,Low
45809,Free,999,14,High
58031,Premium,999,24,Low
22613,Premium,999,20,High
20296,Free,999,23,High
34896,Basic,0,17,Low
40628,Basic,499,4,Low
34278,Free,0,12,Low
54343,Free,999,23,High
18570,Free,999,24,High
45263,Free,999,23,Low
2944,Premium,499,33,Low
7660,Basic,499,8,High
26090,Premium,499,30,Low
52629,Basic,999,3,Low
23283,Premium,499,31,High
8650,Basic,999,10,Low
6270,Premium,0,28,Low
57730,Free,999,18,Low
37253,Premium,499,32,Low
21565,Premium,0,23,Low
12880,Free,0,35,High
57002,Premium,0,11,Low
15612,Free,0,21,Low
57720,Basic,499,28,High
11734,Basic,999,3,Low
49581,Premium,999,34,Low
3988,Basic,0,33,Low
2496,Basic,999,31,High
24189,Basic,0,9,Low
51356,Basic,999,4,Low
24300,Basic,499,1,High
29818,Premium,999,29,Low
3863,Premium,999,15,Low
45901,Free,999,27,Low
8307,Premium,0,5,High
33591,Free,499,10,Low
45576,Basic,499,22,Low
53459,Basic,499,8,Low
9299,Basic,0,32,High
27916,Basic,499,14,Low
59765,Basic,0,26,Low
16915,Premium,999,7,Low
42217,Basic,0,5,Low
27961,Basic,999,28,High
2843,Basic,0,15,Low
29598,Premium,0,32,Low
8150,Premium,0,29,Low
35974,Free,999,12,Low
27054,Basic,999,35,Low
38859,Premium,999,21,Low
33515,Free,0,15,High
12888,Premium,499,15,Low
29284,Basic,499,17,Low
5514,Premium,0,8,High
2380,Premium,999,1,Low
25661,Basic,0,16,High
50381,Basic,999,25,Low
19154,Premium,999,11,High
28124,Premium,999,1,Low
2945,Basic,499,26,Low
48546,Premium,499,4,Low
4685,Premium,0,3,Low
22081,Basic,999,25,Low
43771,Basic,499,34,High
52924,Free,0,23,High
39433,Basic,0,3,Low
2570,Premium,0,29,Low
25799,Premium,499,12,High
19173,Premium,499,33,Low
22836,Basic,999,6,Low
56378,Free,999,29,High
1056,Free,0,8,High
40917,Free,999,25,High
14860,Basic,999,5,Low
42446,Free,999,32,Low
10266,Premium,999,4,High
35393,Free,999,11,Low
10486,Premium,999,15,Low
20938,Free,999,34,High
3302,Free,999,28,Low
700,Premium,0,35,High
25486,Basic,999,6,High
28519,Free,0,19,Low
58558,Premium,999,8,Low
27798,Free,499,16,Low
32044,Free,499,16,High
18183,Premium,499,13,High
29267,Premium,499,2,High
38150,Basic,999,28,Low
10616,Basic,499,30,High
55170,Premium,999,21,High
26272,Basic,499,21,Low
49948,Premium,499,19,Low
20380,Free,499,6,High
57564,Basic,0,31,Low
52675,Basic,999,31,Low
17522,Basic,0,26,Low
27466,Premium,999,7,Low
34929,Premium,499,20,Low
22953,Free,999,20,Low
52123,Premium,499,23,High
38464,Premium,0,31,Low
32787,Premium,999,30,Low
47269,Premium,499,31,Low
9614,Basic,0,12,High
10356,Free,999,35,Low
41319,Basic,0,27,Low
48116,Basic,999,11,High
17741,Premium,499,31,High
4903,Basic,499,12,Low
13478,Free,999,33,Low
10663,Premium,0,17,High
57044,Free,0,13,Low
3789,Free,0,24,High
56618,Premium,999,22,High
9308,Free,499,19,Low
30628,Free,999,9,Low
14986,Basic,999,35,High
31122,Premium,999,8,Low
10257,Basic,0,8,High
18102,Free,999,18,High
30455,Basic,999,16,Low
32762,Free,0,31,Low
33096,Free,999,11,Low
58214,Premium,499,23,High
1570,Free,499,24,Low
35635,Free,999,17,Low
23067,Premium,0,28,High
50476,Premium,0,21,Low
10613,Premium,999,1,High
17352,Basic,499,20,Low
14403,Premium,0,10,High
2778,Free,499,20,Low
52725,Premium,499,8,Low
55621,Basic,0,14,High
42622,Premium,999,32,Low
33657,Free,499,19,Low
16618,Premium,0,31,High
43195,Free,0,27,Low
21228,Premium,0,32,High
44843,Free,499,1,Low
41458,Basic,0,6,High
43472,Basic,999,10,Low
26838,Free,499,33,Low
25869,Premium,499,33,Low
10868,Basic,999,27,Low
57946,Basic,499,21,Low
16646,Free,999,21,High
28394,Free,999,21,Low
59127,Basic,499,5,Low
57304,Basic,0,34,Low
18448,Premium,999,26,High
13280,Basic,499,24,Low
40943,Basic,999,5,High
39096,Premium,499,24,High
14128,Premium,0,21,Low
9308,Basic,499,25,Low
41062,Basic,999,20,Low
1965,Basic,0,3,High
43052,Free,499,8,Low
59167,Basic,0,7,Low
1896,Free,499,10,Low
11102,Premium,999,19,Low
18901,Premium,0,10,High
35544,Premium,999,11,Low
47585,Free,999,15,High
21784,Premium,499,22,Low
3325,Premium,999,29,Low
19096,Basic,999,7,Low
28535,Basic,999,12,Low
14797,Premium,999,12,Low
37573,Premium,499,27,Low
32387,Premium,0,4,Low
41028,Premium,999,33,Low
32925,Basic,999,26,Low
51360,Basic,999,18,High
49251,Premium,999,10,Low
18436,Free,499,13,Low
475,Basic,999,32,High
25465,Premium,999,11,High
198,Premium,999,12,Low
21521,Premium,499,13,Low
54667,Free,499,21,High
53755,Basic,0,2,Low
27301,Premium,0,15,High
4670,Free,999,1,Low
52666,Premium,999,27,Low
13115,Premium,499,19,Low
34790,Free,499,7,Low
2624,Premium,999,19,Low
53240,Free,999,9,Low
1081,Free,999,28,Low
2795,Basic,499,13,Low
14811,Basic,499,26,Low
4371,Free,499,32,Low
32561,Free,999,28,High
14920,Free,499,2,High
51561,Premium,0,12,High
44978,Premium,499,7,Low
23541,Free,0,31,High
17592,Premium,999,17,Low
53100,Free,999,7,Low
49292,Premium,0,1,Low
11023,Basic,499,27,Low
29591,Free,499,30,High
15763,Premium,999,15,High
13820,Free,499,3,Low
15974,Free,499,21,Low
51669,Free,999,32,High
39449,Premium,999,6,Low
4674,Free,999,11,Low
2592,Basic,999,5,Low
20527,Basic,0,16,Low
31225,Free,0,1,High
22880,Premium,499,6,High
41646,Basic,0,3,High
22905,Free,0,32,High
1403,Basic,0,21,High
46407,Free,0,26,Low
51729,Basic,0,17,Low
57455,Premium,499,7,Low
57167,Free,0,1,Low
16145,Basic,0,21,Low
49610,Free,0,15,Low
40770,Premium,0,13,Low
48832,Basic,0,11,High
510,Free,999,8,Low
20857,Basic,499,15,High
45544,Premium,999,8,High
49672,Basic,999,27,Low
21638,Basic,999,17,Low
6860,Basic,999,31,Low
50518,Basic,999,9,Low
21149,Basic,999,8,Low
28157,Premium,0,33,Low
125,Basic,499,24,High
37664,Free,499,14,Low
6027,Basic,0,14,Low
46266,Free,999,23,Low
8946,Basic,999,9,Low
24843,Premium,0,15,Low
10262,Basic,0,28,Low
17833,Free,0,31,High
34424,Basic,499,25,Low
45315,Basic,0,18,Low
7496,Free,0,12,High
34298,Basic,999,9,High
3157,Basic,0,23,Low
30230,Free,999,12,Low
42349,Free,0,17,Low
11947,Premium,0,18,Low
38374,Premium,999,22,Low
54987,Free,0,29,High
14529,Free,999,8,Low
2034,Free,0,32,Low
35777,Basic,0,34,Low
34304,Free,0,30,Low
55763,Free,999,19,Low
11216,Basic,0,2,High
44066,Basic,499,12,Low
41240,Free,999,18,Low
55470,Basic,999,16,Low
35152,Basic,999,18,Low
27331,Free,0,31,High
35058,Premium,499,33,Low
57566,Basic,0,21,High
16614,Basic,0,31,High
34840,Free,499,26,High
25207,Free,499,1,High
4947,Premium,0,5,Low
56201,Basic,0,13,Low
24914,Free,499,25,Low
33107,Basic,0,31,High
14963,Basic,0,27,Low
42036,Premium,0,15,Low
31117,Premium,0,27,Low
28751,Premium,0,25,High
