student_id,subject,score,grade,exam_date
26858,Science,49,D,2018-10-21 09:44:33
19013,Science,84,B,2017-12-16 17:19:53
25542,Computer,13,F,2021-07-28 18:31:03
30271,English,84,B,2018-08-10 20:25:25
35636,History,28,F,2020-06-30 17:42:58
14842,History,91,A,2021-06-09 03:07:28
7118,Computer,68,C,2017-09-01 08:28:51
34199,English,0,,2018-10-21 08:56:33
40379,Computer,93,A,2017-04-20 06:04:04
24856,Science,79,B,2024-02-18 04:58:04
6195,English,2,F,2019-12-14 03:57:16
12403,History,54,D,2021-05-07 04:05:30
47756,Computer,6,F,2022-01-07 12:29:55
20445,Computer,7,F,2023-07-20 15:21:06
27387,Maths,74,C,2018-09-03 18:48:59
35415,English,90,B,2018-09-28 20:16:20
29256,Computer,87,B,2023-06-13 20:07:53
39920,History,77,B,2019-07-30 11:12:07
47326,English,10,F,2017-03-30 22:06:27
10609,Science,99,A,2019-02-27 13:47:34
11509,Science,83,B,2023-01-10 08:29:46
40003,Maths,64,C,2023-09-13 01:12:52
8476,History,99,A,2024-06-11 23:19:48
978,Maths,57,D,2018-09-06 10:57:57
42120,Computer,76,B,2022-06-28 23:51:30
7787,History,29,F,2018-03-08 09:50:49
31595,Maths,78,B,2020-05-01 20:38:34
2157,Computer,4,F,2023-06-04 21:54:12
6918,History,53,D,2020-02-28 14:13:43
23319,Computer,88,B,2023-07-04 15:16:12
16670,Science,75,C,2021-05-12 12:27:09
14828,Computer,66,C,2018-05-18 03:47:43
35958,Science,56,D,2017-05-19 14:56:50
10074,English,99,A,2020-08-17 00:00:15
30664,Maths,87,B,2021-05-05 02:19:24
32616,Maths,72,C,2023-03-12 06:33:49
25235,Science,34,F,2024-12-07 00:20:12
10012,History,50,D,2017-09-12 11:53:21
20989,Maths,7,F,2024-04-01 04:23:13
39879,English,50,D,2018-07-03 20:44:07
3208,History,42,D,2023-04-06 09:18:46
7660,Science,54,D,2019-05-06 03:47:46
27356,History,71,C,2024-08-12 20:10:44
42133,Science,20,F,2024-11-09 02:14:13
11969,Maths,50,D,2019-01-23 19:10:45
40348,Maths,30,F,2023-06-19 18:12:01
43165,Computer,60,D,2022-01-11 13:28:02
8000,Computer,73,C,2024-10-09 14:37:30
39437,Computer,3,F,2024-09-28 13:25:52
4515,Maths,54,D,2017-12-11 13:39:28
25080,English,16,F,2017-12-15 12:59:25
21208,Computer,14,F,2024-12-04 17:30:23
33713,Computer,97,A,2021-12-04 22:44:52
25294,History,85,B,2022-10-06 19:19:09
44401,Maths,22,F,2018-02-06 04:43:50
13413,Maths,37,F,2022-12-14 18:31:50
21148,History,22,F,2024-05-22 02:19:24
41957,History,88,B,2018-01-31 14:54:20
18833,Science,98,A,2017-01-13 14:07:53
27849,History,46,D,2022-01-19 10:10:20
17981,Maths,28,F,2022-05-02 16:01:59
13415,English,67,C,2018-12-01 01:32:06
17026,English,37,F,2024-06-19 00:02:15
31948,History,93,A,2024-12-29 17:19:33
6116,History,89,B,2020-06-24 18:28:45
28061,Science,66,C,2018-10-05 06:39:44
8638,Maths,3,F,2021-10-06 07:46:52
3576,Computer,5,F,2020-12-11 23:52:07
48495,History,97,A,2020-08-23 16:42:03
9239,History,98,A,2018-12-31 09:28:48
7042,English,81,B,2019-02-16 18:08:52
15738,Computer,20,F,2020-03-07 23:24:13
33892,Computer,2,F,2018-05-26 16:24:17
25193,History,25,F,2024-03-28 17:37:00
42685,Computer,50,D,2022-08-16 14:42:51
9169,Computer,57,D,2019-07-22 17:20:29
16462,English,90,B,2018-12-05 08:43:20
41750,Computer,33,F,2022-07-02 19:11:43
42510,Maths,75,C,2021-11-27 18:31:01
47521,History,25,F,2017-10-25 16:22:41
42403,English,55,D,2017-02-21 12:41:01
12652,Science,87,B,2021-10-28 09:34:28
15213,English,97,A,2024-11-04 13:23:07
44547,English,26,F,2024-02-03 05:07:18
44602,Maths,77,B,2018-05-07 23:54:13
41012,English,24,F,2017-09-16 12:37:20
23466,Computer,19,F,2019-07-31 02:14:41
18747,Maths,15,F,2023-06-12 20:25:25
25030,Maths,37,F,2018-09-05 22:43:09
31242,Science,33,F,2017-12-25 22:24:01
35863,Science,50,D,2022-10-11 01:17:29
8738,English,25,F,2017-11-07 23:46:57
30175,Maths,78,B,2022-05-21 23:27:01
34843,Maths,64,C,2021-01-09 00:09:11
32549,History,67,C,2017-07-27 14:58:22
1624,Science,15,F,2024-03-24 19:29:39
5927,English,44,D,2021-09-24 17:26:35
5491,Computer,62,C,2023-05-15 12:45:16
29149,Science,79,B,2018-12-11 08:49:40
4146,Maths,59,D,2021-12-26 20:04:09
39726,English,84,B,2022-09-29 12:16:57
10028,History,68,C,2018-12-11 19:55:08
3091,English,78,B,2020-03-24 01:25:22
47621,English,44,D,2017-01-16 00:00:44
19593,English,57,D,2023-11-21 17:37:22
3407,English,52,D,2020-09-12 20:35:03
37937,History,81,B,2017-08-25 19:55:31
47816,Maths,18,F,2018-05-28 04:47:01
40210,English,54,D,2017-08-22 23:31:50
5043,History,82,B,2018-11-01 05:37:17
7269,English,13,F,2023-09-14 04:43:34
41818,Science,64,C,2021-01-02 20:28:09
27620,History,99,A,2019-08-12 06:13:45
35990,English,31,F,2021-01-02 15:09:45
45307,History,84,B,2017-03-15 00:22:30
7450,Science,6,F,2017-02-04 08:32:13
21106,Science,27,F,2018-05-12 02:45:46
27528,English,62,C,2021-10-26 20:33:23
22871,Science,23,F,2021-12-20 00:39:56
3368,Maths,41,D,2019-01-25 10:39:08
37444,Computer,25,F,2019-10-08 16:27:12
4430,History,25,F,2018-07-20 12:20:47
1308,Science,54,D,2018-08-27 00:07:59
31789,Computer,1,F,2020-02-02 21:53:26
4813,Maths,88,B,2018-03-09 02:48:12
5776,Science,63,C,2017-12-10 17:14:26
31873,History,67,C,2020-12-05 07:17:22
18612,English,53,D,2018-11-23 21:30:12
33740,Science,46,D,2018-01-15 21:10:12
44881,Science,85,B,2024-09-22 20:08:39
49756,Computer,92,A,2024-07-28 14:36:13
40470,English,98,A,2020-07-26 21:11:52
543,Computer,94,A,2022-09-11 09:32:27
49211,Science,18,F,2024-09-21 06:09:40
41080,Maths,17,F,2019-07-22 17:59:40
23223,Maths,35,F,2018-07-28 06:18:59
27957,History,9,F,2023-12-03 18:41:09
42799,Maths,44,D,2023-12-10 04:51:16
45626,History,3,F,2023-09-16 14:47:53
27537,Science,18,F,2017-04-22 17:41:15
5382,Maths,48,D,2020-05-09 09:33:02
46138,English,97,A,2017-04-13 09:13:47
1431,Computer,49,D,2018-09-08 03:57:29
48264,Science,27,F,2021-07-11 10:43:26
7138,English,94,A,2024-07-19 18:04:33
28131,Maths,60,D,2017-04-30 22:08:47
9066,Computer,19,F,2022-08-27 06:14:54
48261,Maths,7,F,2017-06-26 08:03:54
19081,Computer,90,B,2023-03-28 23:12:00
25183,Science,85,B,2020-08-03 13:49:57
6173,History,16,F,2017-11-25 03:32:14
24251,History,19,F,2020-08-20 06:22:54
2917,Computer,59,D,2018-08-14 03:39:48
2168,Maths,32,F,2017-07-15 17:59:13
44741,Computer,26,F,2017-10-13 21:00:15
34150,Maths,84,B,2017-05-24 20:20:07
41421,Maths,67,C,2023-07-13 18:51:06
9783,English,25,F,2020-06-12 22:02:11
11854,Maths,42,D,2017-09-07 00:30:20
3497,Science,88,B,2021-08-23 01:24:55
43784,Maths,8,F,2019-02-09 05:18:50
34719,Computer,93,A,2017-08-15 01:52:37
22510,Computer,54,D,2019-03-16 23:47:40
34007,English,37,F,2017-11-24 17:12:23
47960,English,98,A,2019-03-28 14:25:27
46991,Science,78,B,2021-06-16 22:44:37
36927,Computer,15,F,2024-01-24 00:17:57
38608,Computer,38,F,2018-05-16 01:17:30
46794,Science,9,F,2018-06-28 20:39:04
36097,Science,34,F,2020-05-07 17:46:50
34321,Maths,0,,2020-12-23 12:30:28
21296,Maths,72,C,2017-01-04 05:51:42
39272,Maths,61,C,2019-07-06 22:53:38
39068,Maths,24,F,2021-07-26 09:19:30
37583,Computer,65,C,2020-12-02 11:10:31
2956,English,91,A,2017-12-22 08:01:46
41159,Computer,46,D,2022-08-05 03:54:00
16939,Science,60,D,2021-01-25 11:28:37
7189,Computer,97,A,2024-12-19 14:20:27
