student_id,family_income,merit_score,scholarship_amount,scholarship_awarded
7995,788391,77,0,No
4382,616687,67,0,No
2534,274084,69,98161,Yes
44983,362747,53,0,No
5826,444824,74,0,No
8620,562565,78,0,No
43809,170480,80,26546,Yes
44496,547386,60,0,No
3586,658464,91,0,No
23654,268641,97,37683,Yes
20749,67665,87,73225,Yes
43408,253326,59,67513,Yes
24467,376530,91,0,No
177,593213,50,0,No
49410,407659,73,0,No
1497,90294,68,50061,Yes
25243,731322,68,0,No
20377,535944,64,0,No
15212,733115,80,0,No
36786,621038,87,0,No
27575,306374,81,0,No
43,489027,79,0,No
9339,172497,90,81693,Yes
6451,344889,83,0,No
30008,187553,87,91040,Yes
35702,201693,78,36459,Yes
35223,97398,68,65261,Yes
40989,272648,83,80240,Yes
45950,274366,77,85667,Yes
29063,217451,91,29901,Yes
19536,272125,84,60706,Yes
34833,96452,87,91506,Yes
26590,647845,57,0,No
9568,152414,71,98796,Yes
25133,540043,50,0,No
44206,416535,92,0,No
1089,500473,92,0,No
15104,210618,95,46121,Yes
5867,260724,93,96682,Yes
15117,258925,80,25518,Yes
37863,624621,83,0,No
8840,799678,77,0,No
8178,180679,58,36054,Yes
33459,526792,61,0,No
19252,50954,87,70825,Yes
44757,411599,93,0,No
27896,217731,51,37939,Yes
32631,682277,79,0,No
5965,330065,51,0,No
49418,551072,84,0,No
25826,409357,99,0,No
30892,574665,93,0,No
28037,189073,76,95928,Yes
9999,607851,83,0,No
17577,773373,79,0,No
32274,484224,79,0,No
12532,78357,51,49103,Yes
23502,359262,50,0,No
1354,789693,94,0,No
30088,613489,82,0,No
27137,774264,95,0,No
21867,225809,53,97105,Yes
4357,419651,69,0,No
27607,732492,79,0,No
32002,89734,57,45391,Yes
15855,730830,61,0,No
39751,518446,86,0,No
9632,265234,76,61064,Yes
49343,656550,63,0,No
24162,652390,73,0,No
40946,264108,51,51369,Yes
43738,589013,59,0,No
32423,479303,52,0,No
46798,621822,85,0,No
48116,152359,55,94935,Yes
45612,701109,59,0,No
21362,107139,73,40526,Yes
19078,676060,53,0,No
5972,67855,89,83012,Yes
37742,783769,55,0,No
38052,137207,72,93412,Yes
28627,123707,94,58626,Yes
5128,678676,94,0,No
10381,434701,97,0,No
8932,75275,85,87671,Yes
14075,354865,55,0,No
32110,390276,99,0,No
17919,507819,75,0,No
45815,789822,63,0,No
39140,527125,85,0,No
39075,611418,78,0,No
36197,786671,53,0,No
15775,415271,55,0,No
20363,639187,63,0,No
20896,706274,68,0,No
6625,434787,84,0,No
9219,175755,95,57203,Yes
21605,377851,62,0,No
11037,194175,67,40468,Yes
43736,114219,76,50360,Yes
45475,636630,95,0,No
34682,618780,89,0,No
11132,225541,87,84205,Yes
42466,215154,87,99378,Yes
19752,332074,64,0,No
26486,483317,87,0,No
46888,298781,79,65309,Yes
42031,287090,52,49647,Yes
