student_id,attendance_percent,assignment_score,exam_score,final_grade
31959,93,84,60,Pass
38158,86,60,57,Pass
21935,82,99,91,Pass
13000,62,83,69,Fail
22311,64,49,93,Fail
27112,51,60,52,Fail
41868,62,61,45,Fail
28258,53,74,52,Fail
7294,92,84,92,Pass
46778,67,52,94,Fail
28808,53,42,77,Fail
43698,92,66,54,Pass
13764,76,78,43,Pass
23907,91,50,92,Pass
21875,62,69,91,Fail
35783,83,47,44,Pass
42450,89,86,57,Pass
47243,98,76,93,Pass
16367,76,61,85,Pass
31712,88,58,49,Pass
9445,89,68,82,Pass
14589,71,73,42,Fail
45076,82,46,72,Pass
37001,51,69,69,Fail
15827,89,67,86,Pass
35278,76,40,53,Pass
28819,67,60,95,Fail
32346,59,97,79,Fail
2364,73,82,58,Fail
37386,75,92,99,Fail
13980,91,67,53,Pass
3697,83,46,71,Pass
8894,74,56,37,Fail
18020,79,64,99,Pass
2208,68,46,76,Fail
28133,99,60,84,Pass
33607,87,89,36,Pass
5281,74,82,47,Fail
42232,62,44,54,Fail
34603,90,80,61,Pass
33841,76,52,45,Pass
9220,65,68,52,Fail
6596,85,78,77,Pass
11991,72,71,40,Fail
21038,85,86,98,Pass
19210,94,55,81,Pass
46451,99,49,64,Pass
49788,97,43,57,Pass
44591,58,47,52,Fail
32219,58,81,70,Fail
9392,95,62,54,Pass
22145,67,85,97,Fail
15742,57,87,37,Fail
38208,61,52,82,Fail
23340,81,99,68,Pass
24984,78,40,92,Pass
36765,77,87,72,Pass
14868,96,87,85,Pass
38455,57,52,84,Fail
3586,74,65,66,Fail
8167,51,68,71,Fail
9397,62,78,62,Fail
10081,57,53,53,Fail
19175,64,56,43,Fail
20929,89,51,84,Pass
46427,85,95,51,Pass
36334,76,45,56,Pass
19709,69,71,73,Fail
14338,84,45,63,Pass
23357,60,86,40,Fail
46379,75,42,88,Fail
42981,83,41,92,Pass
15264,64,44,80,Fail
21347,84,88,45,Pass
4090,53,46,36,Fail
34330,88,91,57,Pass
35276,60,91,98,Fail
9400,92,70,74,Pass
23924,66,57,44,Fail
9076,54,86,77,Fail
33695,65,48,72,Fail
33937,84,64,44,Pass
16562,57,57,68,Fail
33894,83,49,66,Pass
46695,57,90,72,Fail
30376,96,66,67,Pass
11303,56,48,92,Fail
29810,78,84,85,Pass
44473,71,70,73,Fail
21564,79,82,47,Pass
2267,63,41,37,Fail
49034,92,40,37,Pass
3908,68,76,75,Fail
36642,58,72,53,Fail
42601,65,64,85,Fail
1560,57,43,99,Fail
30822,73,48,95,Fail
44248,73,85,74,Fail
41466,85,72,85,Pass
48722,61,99,42,Fail
22008,60,73,40,Fail
21052,54,81,66,Fail
45562,66,53,37,Fail
4671,93,91,61,Pass
28217,50,57,48,Fail
13271,86,49,90,Pass
38522,75,43,35,Fail
37984,79,57,41,Pass
3007,62,78,70,Fail
6911,55,76,66,Fail
46122,82,83,72,Pass
26154,78,75,47,Pass
11166,50,94,59,Fail
8074,61,40,41,Fail
7254,83,84,65,Pass
36938,50,56,47,Fail
22975,90,75,51,Pass
36376,57,73,35,Fail
14501,73,49,58,Fail
19,52,50,86,Fail
38512,99,66,37,Pass
45351,65,76,88,Fail
6839,81,57,62,Pass
37127,93,51,55,Pass
42482,57,53,54,Fail
6974,57,52,36,Fail
10702,58,80,47,Fail
14893,57,66,64,Fail
25195,99,44,57,Pass
22687,86,59,64,Pass
33968,75,64,70,Fail
17471,93,73,81,Pass
14762,68,41,76,Fail
26217,79,79,52,Pass
43470,93,67,48,Pass
47322,73,57,83,Fail
45175,82,71,60,Pass
41356,52,78,38,Fail
24187,78,80,71,Pass
5161,69,53,96,Fail
40454,72,42,45,Fail
16549,78,68,89,Pass
32340,53,79,74,Fail
15560,98,58,85,Pass
11906,65,75,79,Fail
3482,66,98,52,Fail
21428,98,76,41,Pass
36491,79,84,40,Pass
7800,90,51,64,Pass
31507,60,82,90,Fail
5597,94,49,68,Pass
7748,88,84,43,Pass
25020,77,68,91,Pass
3975,61,54,66,Fail
16015,66,93,82,Fail
36042,60,94,48,Fail
15676,58,55,74,Fail
41483,52,65,65,Fail
14232,58,73,71,Fail
32268,52,86,67,Fail
36474,83,84,69,Pass
13146,92,87,49,Pass
39161,51,57,52,Fail
39464,83,94,36,Pass
15812,79,48,78,Pass
16401,54,72,81,Fail
2811,86,76,70,Pass
15354,62,90,91,Fail
18982,53,83,80,Fail
1607,94,90,79,Pass
3806,81,72,74,Pass
10242,63,75,54,Fail
146,87,60,39,Pass
17340,91,73,62,Pass
43020,61,78,50,Fail
15561,83,63,55,Pass
13942,80,97,57,Pass
25634,61,70,46,Fail
48551,88,47,48,Pass
21975,75,81,97,Fail
31396,62,42,67,Fail
49029,51,43,43,Fail
34787,57,89,48,Fail
25131,50,81,79,Fail
30191,89,58,47,Pass
47701,50,72,88,Fail
30264,51,85,49,Fail
4868,92,79,51,Pass
45798,75,88,92,Fail
4134,58,66,42,Fail
41167,87,58,45,Pass
37936,50,89,81,Fail
48091,81,49,82,Pass
17805,91,90,69,Pass
26622,72,63,42,Fail
26333,90,55,60,Pass
44508,86,67,75,Pass
26120,92,44,98,Pass
21690,83,93,56,Pass
29168,56,56,52,Fail
41897,79,90,47,Pass
47878,90,70,56,Pass
49183,84,91,67,Pass
29842,68,77,92,Fail
36161,99,55,85,Pass
42098,70,59,98,Fail
18538,65,87,45,Fail
660,96,53,45,Pass
39885,72,76,57,Fail
25373,84,71,70,Pass
17888,96,93,60,Pass
18442,83,42,85,Pass
33513,77,78,65,Pass
43026,82,61,57,Pass
16277,87,64,98,Pass
46656,80,75,39,Pass
28337,56,48,96,Fail
5917,78,61,80,Pass
40743,53,57,69,Fail
3142,50,90,67,Fail
18631,61,49,84,Fail
43549,66,90,40,Fail
3258,71,74,72,Fail
19789,99,81,68,Pass
29117,67,51,98,Fail
43688,59,67,42,Fail
16796,84,52,60,Pass
19289,68,98,94,Fail
42733,72,52,80,Fail
43458,55,95,69,Fail
23647,59,54,72,Fail
31599,73,58,94,Fail
6303,92,63,49,Pass
1642,50,61,86,Fail
47569,69,97,65,Fail
27662,57,74,94,Fail
44686,66,52,49,Fail
6235,74,46,82,Fail
20423,85,86,47,Pass
7836,94,94,62,Pass
10259,84,81,77,Pass
29212,57,57,51,Fail
20577,60,59,60,Fail
26106,73,79,43,Fail
15926,81,67,63,Pass
26212,73,68,70,Fail
17625,97,54,88,Pass
10384,90,97,68,Pass
38570,79,90,35,Pass
10403,80,74,63,Pass
8054,71,78,38,Fail
25693,55,47,40,Fail
29742,59,87,61,Fail
32711,64,95,98,Fail
13756,93,86,42,Pass
21216,51,54,44,Fail
44779,57,78,48,Fail
24630,66,92,80,Fail
15083,88,83,79,Pass
25737,55,43,64,Fail
40691,81,96,42,Pass
7046,92,84,72,Pass
37559,93,49,59,Pass
29062,79,79,87,Pass
13324,92,97,68,Pass
38749,62,89,47,Fail
45101,87,98,43,Pass
28858,95,83,76,Pass
25846,51,54,51,Fail
27490,58,53,42,Fail
14842,91,40,38,Pass
43722,71,74,85,Fail
31834,65,92,79,Fail
23597,59,96,41,Fail
21540,56,64,71,Fail
16951,83,46,88,Pass
39487,89,62,91,Pass
49104,67,99,97,Fail
4192,94,98,83,Pass
22969,95,49,97,Pass
9093,93,82,83,Pass
8788,91,66,72,Pass
5785,92,44,47,Pass
32437,90,95,39,Pass
48373,64,88,92,Fail
46468,75,75,74,Fail
14297,60,74,61,Fail
24039,82,92,69,Pass
40269,95,85,60,Pass
26278,81,64,92,Pass
37903,77,89,81,Pass
47426,81,73,48,Pass
6393,69,54,43,Fail
25051,91,68,49,Pass
29768,73,87,98,Fail
22352,65,67,67,Fail
17294,72,45,84,Fail
28697,66,89,57,Fail
20450,86,41,92,Pass
400,76,74,69,Pass
7404,65,81,51,Fail
23986,75,69,40,Fail
9426,83,55,65,Pass
36537,92,83,82,Pass
40694,93,64,38,Pass
23642,79,49,68,Pass
17952,75,87,49,Fail
48137,72,57,56,Fail
15288,95,65,95,Pass
46158,52,78,95,Fail
34642,53,56,62,Fail
48156,89,66,49,Pass
35518,91,64,94,Pass
41476,79,47,53,Pass
29295,62,42,50,Fail
41989,67,88,92,Fail
16364,96,50,75,Pass
18904,69,66,52,Fail
40429,81,83,49,Pass
10743,98,90,52,Pass
9037,92,78,86,Pass
37100,70,71,74,Fail
28198,97,50,97,Pass
26226,83,49,84,Pass
37989,57,94,75,Fail
26025,77,71,91,Pass
6527,63,47,69,Fail
44412,78,92,77,Pass
30938,88,59,54,Pass
38635,72,87,66,Fail
30385,96,62,35,Pass
46502,99,41,42,Pass
46977,78,80,60,Pass
44070,55,86,39,Fail
49044,92,64,86,Pass
33521,96,65,91,Pass
17463,92,55,67,Pass
40536,89,59,75,Pass
4928,81,90,46,Pass
46616,84,98,73,Pass
10990,73,77,36,Fail
18708,87,92,94,Pass
11756,61,61,99,Fail
41763,63,55,79,Fail
27328,66,76,78,Fail
39429,98,86,53,Pass
31525,74,58,65,Fail
45051,93,45,45,Pass
45001,82,80,74,Pass
14325,69,79,59,Fail
6293,74,67,56,Fail
17701,68,88,85,Fail
8088,92,74,98,Pass
13854,80,52,51,Pass
40556,94,83,76,Pass
11192,55,76,60,Fail
8680,77,63,53,Pass
43501,92,93,61,Pass
43646,63,73,52,Fail
48966,61,72,60,Fail
15244,66,93,86,Fail
43031,97,89,78,Pass
31469,64,74,67,Fail
40569,53,64,95,Fail
23934,80,96,47,Pass
3543,80,73,84,Pass
26516,65,96,75,Fail
44625,80,71,73,Pass
20532,51,79,76,Fail
48481,69,51,53,Fail
16045,82,48,55,Pass
26421,66,95,36,Fail
20281,88,75,75,Pass
15490,99,43,91,Pass
37523,57,97,72,Fail
41900,58,40,39,Fail
5434,71,95,47,Fail
38447,74,86,73,Fail
16873,52,85,54,Fail
8542,85,44,96,Pass
43667,83,77,47,Pass
33620,97,58,79,Pass
23667,63,71,51,Fail
1858,80,52,53,Pass
9157,81,48,43,Pass
48847,89,78,62,Pass
17305,92,83,66,Pass
14015,98,52,39,Pass
7342,65,56,79,Fail
19018,98,68,49,Pass
14442,56,72,59,Fail
49228,97,68,47,Pass
17888,74,64,46,Fail
9163,85,75,97,Pass
8436,81,92,68,Pass
20305,70,57,93,Fail
36115,90,98,61,Pass
33601,79,64,75,Pass
7661,93,47,35,Pass
16952,56,82,63,Fail
16209,58,82,81,Fail
5787,90,56,75,Pass
39766,50,52,65,Fail
43719,67,94,96,Fail
9319,81,73,76,Pass
38479,73,71,92,Fail
42034,80,54,65,Pass
7273,83,99,70,Pass
40190,97,90,72,Pass
15348,71,84,42,Fail
44153,63,89,98,Fail
10527,90,66,54,Pass
43447,90,90,69,Pass
45865,72,75,53,Fail
40214,94,95,75,Pass
24198,54,62,39,Fail
22459,78,49,99,Pass
23831,51,54,92,Fail
41820,70,42,59,Fail
15611,89,50,44,Pass
39565,81,80,72,Pass
26132,83,94,58,Pass
39195,68,53,66,Fail
24440,55,50,88,Fail
31934,72,47,43,Fail
8076,61,86,78,Fail
33981,80,40,79,Pass
37785,63,98,83,Fail
15798,92,74,91,Pass
28720,80,82,68,Pass
19849,89,64,91,Pass
33284,63,47,52,Fail
18996,58,52,46,Fail
5296,99,66,69,Pass
19706,96,68,52,Pass
19036,63,54,95,Fail
23259,80,59,83,Pass
27674,73,57,38,Fail
44046,80,87,74,Pass
48225,55,76,40,Fail
17600,77,60,74,Pass
26730,76,81,64,Pass
917,73,78,74,Fail
42878,86,87,95,Pass
8685,69,82,39,Fail
39322,73,48,37,Fail
15171,86,85,38,Pass
46411,51,80,81,Fail
4284,71,74,96,Fail
15933,53,56,52,Fail
36153,74,55,63,Fail
15211,95,84,89,Pass
5991,98,83,37,Pass
1056,87,91,56,Pass
12372,85,47,56,Pass
12061,78,79,69,Pass
42115,60,93,82,Fail
3353,88,59,58,Pass
47879,82,63,74,Pass
36139,94,40,38,Pass
47216,90,94,67,Pass
23197,50,40,55,Fail
16460,81,56,86,Pass
45631,55,45,49,Fail
37601,83,92,36,Pass
24224,61,58,53,Fail
4538,97,86,70,Pass
21264,77,98,44,Pass
18612,51,74,67,Fail
24781,98,59,66,Pass
3487,98,77,52,Pass
45749,98,68,88,Pass
20428,58,65,48,Fail
6139,99,68,88,Pass
19484,95,96,78,Pass
38988,64,89,56,Fail
24517,50,64,97,Fail
19271,88,95,83,Pass
38413,99,93,83,Pass
48170,87,98,38,Pass
35226,50,78,54,Fail
10071,64,94,85,Fail
17737,58,52,36,Fail
38872,97,43,41,Pass
17675,93,90,55,Pass
25038,80,91,95,Pass
27385,63,46,94,Fail
15626,59,87,44,Fail
43074,87,42,67,Pass
48478,77,78,62,Pass
2551,93,98,67,Pass
13075,86,69,58,Pass
7742,52,74,39,Fail
45296,93,85,97,Pass
4452,98,91,41,Pass
27213,89,76,45,Pass
6481,65,67,53,Fail
21179,68,65,68,Fail
22310,63,45,54,Fail
21111,68,91,53,Fail
31314,91,93,77,Pass
40001,77,42,97,Pass
22213,56,51,48,Fail
42499,55,79,35,Fail
825,57,58,89,Fail
9948,86,94,62,Pass
23310,86,94,41,Pass
823,60,50,81,Fail
27492,58,50,58,Fail
5490,78,59,79,Pass
7099,74,50,48,Fail
36482,76,98,80,Pass
9908,87,67,99,Pass
30012,81,46,35,Pass
2234,97,64,81,Pass
438,50,42,71,Fail
13832,70,88,60,Fail
2301,58,77,41,Fail
37775,76,78,62,Pass
11612,94,61,84,Pass
46543,82,68,48,Pass
43929,62,54,75,Fail
39603,86,96,36,Pass
5530,92,47,67,Pass
40822,65,80,58,Fail
36421,53,52,42,Fail
5000,85,71,84,Pass
30797,90,48,53,Pass
40792,62,76,81,Fail
40408,90,71,88,Pass
6648,55,53,54,Fail
48988,95,89,94,Pass
28240,73,72,97,Fail
9864,59,77,71,Fail
13063,52,61,60,Fail
1391,68,58,74,Fail
16802,65,91,90,Fail
38949,55,99,55,Fail
9449,82,98,91,Pass
24108,86,49,89,Pass
33624,73,76,35,Fail
9739,56,58,72,Fail
48955,99,46,42,Pass
42777,64,40,80,Fail
14268,57,75,99,Fail
