teacher_id,subject,student_feedback_score,experience_years,evaluation_date
3037,Science,3.4,29,2024-03-21 06:31:08
336,Computer,2.9,25,2024-12-24 00:30:57
4045,Science,1.66,18,2021-08-04 00:11:04
6318,Science,1.51,15,2021-07-13 21:43:37
7459,Science,3.04,6,2022-03-28 18:53:47
7569,Science,1.27,23,2019-05-23 15:33:30
7624,Computer,4.47,10,2021-09-19 08:57:43
4547,English,2.86,26,2017-11-23 11:26:32
6526,Computer,3.22,1,2018-04-13 04:15:51
3311,Computer,4.05,11,2018-03-03 22:13:20
8905,Computer,2.28,24,2024-06-30 07:37:14
9298,Science,2.83,2,2017-10-06 03:08:55
8159,English,4.67,7,2018-08-01 21:19:26
6368,Science,2.35,11,2019-03-18 08:01:13
1570,Computer,2.06,25,2024-04-13 20:12:48
806,Science,3.72,24,2019-10-23 18:14:52
8262,Maths,2.35,10,2022-06-13 14:13:52
7502,English,1.15,1,2024-08-23 11:59:40
9611,Maths,1.9,2,2022-10-24 22:15:27
8944,Maths,1.06,3,2024-05-05 08:51:12
746,Computer,2.36,4,2023-11-18 14:37:37
6315,Maths,2.66,18,2020-11-08 23:07:33
6054,Computer,2.86,12,2018-09-11 08:20:22
9705,Computer,3.09,3,2023-03-17 16:40:36
8464,Science,3.67,7,2018-03-10 03:26:12
8244,English,2.05,19,2020-06-12 05:10:21
1259,Maths,4.17,4,2022-10-29 01:09:18
3401,Maths,2.54,19,2024-06-22 21:56:36
8526,English,4.08,11,2021-03-26 10:46:44
3379,Science,2.03,4,2022-02-23 09:23:14
1978,English,2.52,14,2020-09-02 17:29:39
5398,Science,4.96,27,2022-08-28 00:51:54
2094,English,4.6,24,2017-04-14 04:47:36
1696,English,2.93,5,2018-06-01 13:05:32
5441,Maths,1.6,4,2024-01-25 08:33:53
8904,Computer,1.79,23,2023-05-10 05:33:29
7614,Computer,3.19,28,2023-04-10 16:10:50
2217,English,3.43,27,2024-09-03 03:55:24
757,Science,4.67,18,2021-11-16 19:55:43
9534,Computer,4.32,3,2023-05-01 12:08:46
29,Maths,3.27,17,2018-08-02 17:25:54
552,Computer,2.0,8,2018-02-08 17:19:06
809,Maths,1.01,11,2021-12-16 17:43:02
3377,Computer,3.47,2,2023-06-03 02:33:12
1502,English,2.79,23,2024-03-26 14:00:34
9098,English,4.0,19,2021-03-01 09:56:42
210,English,2.33,18,2018-05-07 03:45:12
2735,Science,3.46,15,2023-08-27 03:20:53
3842,English,3.85,5,2022-08-07 16:12:52
7441,Science,1.94,1,2017-08-26 13:47:53
3366,Maths,1.18,15,2020-07-13 21:07:56
4395,Maths,2.9,5,2019-04-27 00:40:28
7177,Science,4.88,11,2021-04-09 02:05:21
1706,Maths,2.54,6,2017-07-08 09:20:21
3596,English,1.82,7,2020-08-10 08:59:40
5032,English,1.07,22,2024-06-11 10:26:23
5856,Maths,4.42,3,2022-12-10 17:26:15
5203,Maths,3.25,2,2017-08-18 20:42:39
654,English,2.78,14,2019-01-08 21:35:46
7982,Computer,4.02,13,2017-02-19 06:33:04
1601,Maths,2.84,15,2021-01-11 05:09:09
6570,Science,2.76,8,2018-03-02 17:39:11
2361,Science,3.49,15,2018-01-19 19:16:20
2584,Computer,1.65,18,2018-05-14 09:45:03
4821,Maths,1.69,29,2019-06-20 01:58:42
4220,Maths,1.97,5,2023-10-16 22:49:30
3134,Maths,4.11,16,2021-02-05 16:18:05
3833,Computer,3.77,29,2017-09-09 18:21:14
780,English,2.14,20,2017-05-04 01:53:07
4974,Maths,3.35,18,2023-09-12 13:27:14
1827,Science,2.51,12,2017-09-09 16:10:59
4394,Computer,4.13,26,2017-08-30 20:30:51
2522,Maths,4.98,16,2022-05-06 03:06:31
3914,Maths,1.36,9,2017-05-02 08:37:42
9233,Maths,4.27,19,2018-07-17 13:14:28
5379,English,3.01,14,2021-06-03 07:39:33
1628,Maths,1.21,15,2018-09-05 13:44:35
7662,Computer,1.37,15,2024-09-05 16:12:11
9361,Science,3.67,22,2024-11-11 17:52:15
2173,Science,2.36,18,2023-06-06 16:48:56
6279,Maths,3.22,9,2024-06-05 01:09:20
1096,English,3.91,13,2020-12-19 04:22:18
4883,Computer,1.6,7,2017-10-02 00:48:34
9235,Science,2.71,17,2021-02-21 01:48:34
8137,Science,3.55,13,2017-05-05 07:02:05
9099,Maths,3.34,28,2018-05-15 08:14:44
2179,Science,3.26,2,2023-07-28 13:53:18
1790,Maths,4.61,20,2020-06-29 17:51:17
9270,Computer,2.98,12,2020-10-14 08:38:50
8473,Maths,4.82,2,2021-06-30 13:16:34
224,Maths,4.91,2,2020-02-04 16:10:00
2629,Science,1.0,20,2024-12-05 04:08:14
1327,English,3.54,24,2019-10-03 21:59:34
7379,Maths,4.5,2,2019-06-10 03:47:10
9898,English,1.1,15,2024-09-10 18:11:21
