employee_id,absent_days,sick_leaves,workload_level,absence_risk
33618,8,4,Medium,Low
61366,9,9,Low,Low
17946,17,0,Medium,High
76537,12,1,Medium,High
76796,18,3,Low,High
61920,1,3,High,Low
75888,0,7,Low,Low
18755,14,13,Medium,High
84222,16,14,Medium,High
38864,2,5,Medium,Low
19171,0,4,High,Low
29297,18,5,Low,High
20142,4,5,Medium,Low
7309,13,13,High,High
10340,26,0,Medium,High
10348,16,3,Low,High
30552,2,9,High,Low
13883,23,3,High,High
68641,13,2,High,High
6250,17,10,Low,High
39853,3,12,Medium,Low
3483,13,4,Medium,High
29412,9,1,Low,Low
69047,17,9,Low,High
8137,17,7,Low,High
48845,5,10,Low,Low
56465,27,10,Medium,High
17775,8,5,High,Low
62909,12,2,Low,High
41817,1,3,High,Low
35529,23,9,High,High
79790,6,5,Low,Low
53126,9,14,Low,Low
51267,3,10,Medium,Low
28898,14,10,Medium,High
35731,17,14,Medium,High
80855,11,4,High,High
5073,21,8,Medium,High
41475,8,3,Medium,Low
4975,6,2,Low,Low
15061,14,0,High,High
1864,23,6,High,High
50016,1,13,High,Low
69260,16,10,Low,High
64153,26,5,Medium,High
64611,7,6,Low,Low
55777,26,13,High,High
40221,8,2,Low,Low
76048,13,12,Low,High
30199,10,5,Low,Low
51519,9,11,High,Low
73817,6,10,Medium,Low
83903,1,8,High,Low
49568,1,1,High,Low
52863,20,13,Medium,High
72510,26,14,Medium,High
56873,3,8,Medium,Low
18639,27,4,Medium,High
79932,17,0,Medium,High
84298,25,12,Low,High
11804,5,12,Medium,Low
48354,16,9,Low,High
41010,14,14,High,High
31035,11,13,Low,High
83519,27,9,Medium,High
81186,20,0,Low,High
70748,7,12,Low,Low
54694,8,14,Low,Low
29086,28,6,Medium,High
51142,24,0,High,High
15069,25,0,Low,High
69715,6,10,Medium,Low
42009,12,0,Low,High
75846,7,4,High,Low
82499,3,2,High,Low
12854,6,9,High,Low
44370,29,5,Low,High
2856,18,3,High,High
71999,20,13,Low,High
25472,27,9,Medium,High
