employee_id,age,salary,job_satisfaction,attrition_risk
61429,33,105534,4,Low
9194,38,199718,1,High
55590,43,135680,4,Low
46483,45,195420,3,Low
20419,23,135595,4,Low
65734,34,221268,2,High
29454,32,227912,2,High
24009,37,201171,3,Low
28987,59,27162,1,High
66055,33,115181,1,High
55106,25,76115,1,High
43014,26,35332,4,Low
7470,42,49761,2,High
48847,57,44629,3,Low
67083,40,77775,5,Low
72019,53,176310,4,Low
38640,47,91890,1,High
79931,38,72976,3,Low
15547,35,79521,4,Low
39121,30,38666,4,Low
33690,37,188161,3,Low
71194,46,200826,4,Low
7303,21,54574,4,Low
77708,43,174706,5,Low
2557,47,119350,4,Low
9789,26,83675,3,Low
40007,41,176873,3,Low
46686,48,84443,4,Low
12521,21,29698,3,Low
32429,57,97036,1,High
19021,37,23993,4,Low
72838,39,42251,3,Low
11123,57,58430,1,High
61699,42,172679,2,High
8205,32,103223,1,High
70025,33,101114,3,Low
58631,32,55264,3,Low
10090,34,229591,1,High
27323,43,126477,1,High
29032,28,126845,1,High
37260,33,118826,2,High
38199,53,172313,4,Low
13283,57,86746,1,High
75183,56,200604,2,High
39763,54,108570,5,Low
13111,23,226330,3,Low
67461,34,58793,3,Low
8371,37,48109,4,Low
33066,40,170630,5,Low
29162,31,195847,5,Low
52482,54,137592,3,Low
75467,40,229111,2,High
14099,55,22157,1,High
36892,59,134236,4,Low
35212,49,222459,3,Low
64728,51,32568,1,High
27803,47,99689,3,Low
51995,31,151131,5,Low
30252,38,242133,1,High
13432,55,136995,4,Low
70998,52,130060,2,High
39704,33,95160,3,Low
63250,37,107080,5,Low
29835,22,191833,5,Low
18907,51,186433,1,High
38138,46,22750,3,Low
44484,27,160424,5,Low
380,57,15462,3,Low
383,22,51828,1,High
66213,31,183233,4,Low
40100,27,244526,4,Low
71924,34,226584,4,Low
3472,48,142833,5,Low
70773,37,84956,5,Low
38018,34,199337,1,High
69529,38,237412,4,Low
53759,25,188054,4,Low
38373,42,144138,5,Low
21419,36,136934,5,Low
62069,22,40103,1,High
55331,55,16483,1,High
3579,32,144721,2,High
69282,49,120949,5,Low
44841,42,239663,2,High
13679,22,158083,4,Low
9654,44,75216,4,Low
25822,22,23970,1,High
74960,31,134760,3,Low
75464,31,166009,1,High
47685,46,56255,2,High
31962,59,223834,4,Low
26244,50,95946,1,High
57014,57,78111,4,Low
35023,26,139119,3,Low
24854,39,97310,4,Low
47837,37,211690,5,Low
4872,49,133096,3,Low
8467,29,28491,1,High
23824,46,63285,3,Low
19880,32,187798,3,Low
26398,29,127410,1,High
40579,29,76385,2,High
73137,32,109575,2,High
4882,56,190503,2,High
9731,34,189729,4,Low
5891,50,225278,4,Low
22638,54,185564,3,Low
42612,54,55997,4,Low
22838,57,205167,4,Low
9665,43,112630,5,Low
44551,25,181448,3,Low
28657,33,221488,2,High
22615,43,226287,4,Low
51725,50,70881,4,Low
62558,26,136690,1,High
53023,46,127020,5,Low
56505,22,139614,4,Low
70466,39,153046,1,High
13974,48,223638,3,Low
50552,35,195068,3,Low
79840,24,202012,4,Low
13949,57,245002,4,Low
51217,51,226346,1,High
12390,36,84311,2,High
73925,34,164202,5,Low
49548,37,151586,2,High
26024,28,210783,2,High
56537,25,88648,1,High
17899,53,210755,4,Low
