employee_id,age,salary,job_satisfaction,attrition_risk
11309,50,229204,2,High
67374,22,71939,2,High
63413,50,184407,1,High
59064,32,208868,4,Low
16355,52,220011,3,Low
68800,23,156699,4,Low
26343,32,140144,5,Low
71445,29,112430,5,Low
17474,55,216778,1,High
26974,28,101360,1,High
46412,49,135242,3,Low
55389,57,215477,1,High
47948,44,23428,2,High
40733,27,198741,1,High
43139,36,159828,2,High
63426,57,238424,3,Low
16209,53,194130,4,Low
33265,52,29134,1,High
26585,32,231290,5,Low
52900,58,205127,3,Low
4029,49,171875,3,Low
14349,56,241835,5,Low
14004,40,131874,2,High
52038,44,189009,5,Low
55730,36,61351,4,Low
42870,25,21911,4,Low
66506,50,170487,2,High
71684,55,207058,3,Low
56890,53,38299,1,High
73371,59,201313,3,Low
38081,36,179612,5,Low
62575,37,93769,3,Low
14280,22,81527,1,High
54644,28,194088,4,Low
51823,32,242206,5,Low
73097,29,238201,2,High
3603,34,223167,4,Low
15325,44,173801,3,Low
1939,46,218607,2,High
16095,38,119554,1,High
35387,58,210385,3,Low
78757,28,90447,3,Low
15052,53,230262,5,Low
14023,37,92613,2,High
51783,32,34913,5,Low
28897,50,247243,2,High
49729,49,236010,5,Low
49146,32,210113,1,High
13642,38,82274,1,High
48758,51,88533,4,Low
51042,22,161402,1,High
3159,31,211760,5,Low
57829,41,148467,5,Low
77708,52,196328,1,High
25513,35,84847,4,Low
74387,28,78814,3,Low
14802,24,26183,4,Low
46169,52,160032,1,High
23128,59,61260,2,High
76792,54,36424,5,Low
4440,30,67778,5,Low
76255,55,108593,4,Low
19692,40,129010,5,Low
64515,53,67839,4,Low
40353,59,131055,3,Low
1694,47,91331,5,Low
11358,37,45049,2,High
1201,58,245633,2,High
11116,35,191001,1,High
8534,53,131957,4,Low
14726,21,87838,5,Low
14445,57,117900,5,Low
23190,53,174668,5,Low
76716,42,174091,2,High
6792,27,218084,2,High
3714,27,115387,4,Low
7129,23,149111,3,Low
60453,28,124310,2,High
53798,57,41858,4,Low
59957,38,93040,5,Low
19781,55,24436,2,High
70431,41,102238,3,Low
61023,35,60156,1,High
71309,34,17946,5,Low
29861,53,135590,5,Low
65413,30,117633,5,Low
77625,40,71292,4,Low
21120,48,238910,2,High
62005,45,191569,4,Low
66288,32,182733,4,Low
44918,32,84906,1,High
45519,29,237871,1,High
20325,39,62207,1,High
24009,29,57461,5,Low
39901,56,64123,5,Low
70265,24,81232,1,High
47957,26,185281,3,Low
42629,53,243399,2,High
1754,53,60290,4,Low
24936,53,76854,2,High
40868,42,112209,5,Low
47839,33,96575,1,High
