employee_id,gender,department,leadership_role
4887,Male,Finance,0
60356,Female,Tech,1
39700,Male,Tech,1
73180,Other,HR,1
19197,Female,Tech,1
26849,Male,Finance,1
39556,Male,Finance,1
70670,Male,HR,0
21000,Other,HR,1
26667,Other,Tech,0
73908,Male,Sales,1
72073,Other,HR,0
20635,Male,HR,0
29410,Female,Sales,1
56493,Female,Sales,0
73359,Other,HR,1
71319,Other,Tech,1
51343,Male,Tech,0
11598,Male,Tech,0
71814,Male,Sales,1
38071,Other,Finance,0
40453,Female,Tech,1
75112,Other,Sales,0
7985,Female,Sales,0
46735,Female,Sales,1
68756,Male,Tech,0
60236,Female,Tech,0
52343,Male,Sales,1
32267,Other,Finance,1
35927,Female,Tech,1
57960,Other,Tech,0
68663,Female,Finance,1
65881,Other,HR,1
18423,Male,Sales,0
73054,Female,Tech,1
35061,Female,Sales,1
66905,Other,HR,0
4472,Male,Sales,1
482,Female,Sales,0
32330,Female,Tech,0
44808,Male,Finance,1
6625,Male,Finance,0
42361,Female,Tech,1
32778,Other,Finance,0
65845,Male,Tech,1
3503,Male,Tech,0
5361,Other,HR,1
32494,Male,Sales,0
21813,Male,HR,1
55484,Female,Sales,0
58527,Other,HR,1
76071,Other,HR,0
16801,Other,Tech,0
11733,Female,HR,0
99,Male,HR,0
12322,Other,Tech,1
61269,Male,Sales,0
68917,Female,Tech,0
387,Male,Finance,0
10835,Female,Finance,1
49396,Other,HR,0
27906,Female,Finance,1
2916,Female,HR,0
50190,Other,HR,1
70118,Male,Tech,1
39579,Male,Sales,0
65294,Male,Finance,1
2154,Male,Tech,1
12886,Other,HR,1
32616,Male,Tech,0
27744,Other,Finance,0
39798,Female,Sales,0
636,Female,Finance,1
32480,Male,Finance,0
10523,Other,HR,0
39172,Male,Tech,1
21833,Other,Finance,0
25584,Female,Finance,1
17073,Male,HR,0
54116,Male,Sales,1
25758,Female,Sales,0
64490,Male,Tech,1
39656,Other,Finance,0
14778,Other,HR,1
25865,Female,Finance,1
42895,Female,Finance,0
44609,Other,Tech,1
69517,Female,Sales,0
3026,Other,Finance,1
61450,Female,HR,1
31299,Other,Tech,1
20134,Female,Finance,1
10810,Female,HR,1
5375,Female,Tech,0
63428,Other,Sales,0
13149,Female,Tech,1
78951,Male,HR,1
47898,Other,Finance,0
14580,Male,Finance,1
44056,Female,HR,1
26801,Other,HR,0
40832,Male,HR,1
65039,Other,Finance,1
30461,Male,Sales,0
27369,Female,Sales,1
33897,Male,Tech,0
77113,Female,Sales,1
19952,Male,Finance,1
59545,Female,Tech,0
63022,Male,Sales,0
18582,Female,Sales,0
19384,Other,Finance,0
55270,Female,Tech,0
67186,Other,Tech,1
34813,Other,Finance,0
56909,Other,Sales,0
61186,Other,Tech,1
57473,Other,Tech,1
78060,Male,HR,0
78197,Male,Tech,1
8495,Other,Sales,1
20857,Other,Tech,1
41618,Other,Finance,0
41996,Other,Finance,1
19717,Other,Tech,0
5475,Other,Finance,0
1226,Male,Tech,0
58503,Other,Sales,0
63699,Other,HR,1
13620,Male,HR,0
59220,Male,HR,1
54612,Female,HR,0
24008,Female,Finance,0
1981,Female,HR,0
1356,Female,Finance,1
6648,Female,Sales,1
26803,Male,HR,1
17533,Female,Sales,0
11859,Male,Tech,1
56373,Male,HR,1
49968,Other,HR,1
28494,Male,Tech,1
73577,Female,Tech,0
29527,Female,Tech,1
55987,Female,Sales,1
38285,Female,Sales,1
20578,Other,Tech,1
10098,Female,Finance,0
30867,Male,Tech,1
72671,Other,Finance,0
54509,Male,HR,1
32501,Other,Tech,1
35945,Female,HR,1
29673,Female,Finance,1
42436,Other,HR,0
65903,Other,Sales,0
37739,Other,Sales,0
32210,Female,HR,0
46946,Male,Finance,1
68458,Female,HR,0
36170,Other,Tech,0
13911,Other,Finance,1
57531,Female,Sales,1
16792,Other,HR,0
7025,Female,Sales,0
732,Male,Finance,1
68367,Female,Tech,1
65084,Other,Sales,1
58626,Female,Tech,1
18324,Other,Finance,1
58152,Other,Finance,0
52348,Female,Sales,0
64515,Other,Finance,1
14810,Other,Sales,0
31044,Other,Sales,0
54880,Female,Finance,0
55610,Female,Finance,1
42010,Female,Tech,1
10882,Female,Sales,1
73231,Female,Sales,0
38174,Male,Finance,0
51344,Male,Tech,1
78650,Other,Tech,0
49240,Male,HR,0
