employee_id,date,attendance_status,hours_worked
29338,2018-07-21 20:25:08,Present,4
32122,2021-11-03 14:27:34,Present,6
39600,2022-09-10 16:20:58,Leave,8
43328,2020-02-05 06:14:59,Present,6
33251,2023-10-21 11:04:37,Present,7
50106,2023-09-10 15:54:57,Leave,6
34863,2023-10-23 08:27:50,Present,9
28198,2023-05-06 14:54:37,Leave,4
42464,2019-09-14 13:59:40,Present,4
32556,2018-12-20 12:20:34,Present,6
23111,2018-05-02 03:02:25,Present,8
7019,2023-09-22 01:02:45,Present,9
6497,2024-06-08 03:17:32,Present,9
2414,2022-05-14 21:28:49,Absent,6
14151,2022-09-20 20:45:51,Present,7
53130,2020-08-12 01:46:58,Leave,7
54658,2020-09-07 09:49:25,Present,6
59783,2018-07-06 06:48:07,Present,9
13432,2022-08-27 17:07:05,Present,8
38248,2023-01-30 13:19:11,Present,6
41512,2021-02-17 12:29:02,Present,9
20124,2020-11-27 12:35:30,Present,5
3527,2020-02-04 06:44:52,Present,8
40555,2024-03-22 09:24:42,Absent,9
6370,2021-10-20 01:56:25,Present,6
5883,2019-11-02 17:46:54,Present,8
7449,2024-04-19 23:21:38,Present,6
49669,2019-02-02 05:04:39,Present,7
24813,2019-06-22 04:11:01,Absent,4
14930,2022-02-26 14:57:49,Present,9
16444,2021-06-16 08:54:25,Present,4
514,2020-05-21 06:22:04,Present,4
25382,2018-03-22 20:47:19,Leave,6
25982,2018-12-31 17:09:15,Present,7
26898,2023-10-25 18:10:45,Present,5
32488,2019-12-30 15:23:57,Present,7
57671,2018-03-16 10:41:55,Present,9
57754,2024-05-05 01:38:48,Present,9
12765,2021-09-22 09:39:41,Absent,9
40715,2024-07-13 19:27:48,Present,5
25891,2019-11-07 23:53:17,Present,9
24633,2018-01-30 14:33:12,Present,7
4206,2018-05-23 14:54:04,Present,5
51663,2021-08-30 15:49:15,Present,8
48062,2021-04-28 01:37:35,Present,4
18558,2023-08-29 16:14:10,Present,6
1741,2020-12-21 05:54:35,Present,8
29846,2019-12-27 10:49:17,Present,7
26450,2018-08-24 06:25:35,Present,9
36642,2023-03-29 06:38:58,Present,7
20825,2020-12-27 16:43:08,Leave,9
56464,2023-07-03 20:35:29,Present,5
10248,2020-05-31 14:41:21,Present,4
38776,2021-01-06 04:17:06,Present,5
49568,2020-04-05 21:54:25,Present,6
15890,2024-12-30 11:18:50,Present,7
34105,2021-06-23 10:28:36,Present,4
2567,2019-06-08 08:41:45,Present,4
30949,2019-04-01 09:46:49,Present,7
2355,2021-02-23 01:54:15,Present,7
44689,2022-06-21 03:39:37,Present,5
51636,2022-06-15 10:09:14,Leave,7
20638,2022-01-17 04:10:36,Present,7
42011,2023-06-17 23:32:20,Present,7
49638,2018-04-14 04:04:36,Present,4
35876,2019-10-08 02:38:31,Present,5
25345,2020-06-10 09:42:40,Present,6
47007,2021-05-08 10:30:05,Present,8
26629,2020-02-21 13:20:44,Present,4
49652,2021-08-25 00:16:13,Present,7
12875,2023-02-22 07:32:05,Present,5
50710,2019-01-21 03:24:37,Present,4
32868,2022-03-27 22:00:26,Present,9
47578,2023-09-24 07:19:38,Present,6
51121,2021-07-31 05:41:28,Absent,8
22989,2020-02-11 09:31:03,Present,6
55569,2024-05-23 15:51:34,Present,8
17884,2023-03-10 06:47:35,Present,9
45588,2019-09-19 03:31:12,Present,8
11763,2024-07-15 13:46:00,Leave,9
48323,2022-05-01 00:26:21,Present,9
2040,2022-02-01 08:11:26,Absent,8
6467,2019-09-25 13:37:08,Present,6
54581,2018-01-01 15:35:16,Present,6
38435,2018-06-25 18:52:34,Leave,4
32841,2024-06-17 13:52:24,Present,5
30359,2024-05-18 21:41:33,Present,9
27283,2022-10-28 23:40:01,Present,8
6580,2022-04-07 04:34:25,Present,8
53896,2019-05-15 04:33:11,Present,7
17394,2020-06-22 23:59:28,Leave,6
52465,2022-08-10 21:07:48,Leave,4
47352,2018-08-12 05:35:28,Present,8
38281,2023-02-12 23:54:27,Present,5
37856,2021-12-10 05:58:30,Present,4
49593,2023-09-24 02:36:47,Present,9
19198,2022-11-26 08:36:33,Leave,8
22988,2023-05-18 04:32:28,Present,8
12251,2020-10-22 10:14:42,Present,5
58477,2018-12-23 03:21:41,Present,5
3043,2024-01-09 18:26:41,Present,4
41500,2022-04-23 19:18:45,Leave,8
41845,2022-08-31 20:12:11,Present,7
59544,2019-08-07 19:07:53,Present,7
8745,2023-08-17 20:39:32,Present,6
8483,2020-04-18 12:17:34,Present,7
39999,2019-10-21 01:28:02,Present,7
49810,2020-05-02 08:23:14,Absent,8
58247,2022-02-15 15:32:15,Present,5
8708,2024-09-17 01:44:43,Present,9
37547,2024-04-24 08:25:47,Present,4
32215,2021-12-28 07:54:38,Leave,7
19486,2024-04-03 00:15:23,Present,7
19081,2020-02-03 01:08:08,Present,9
25123,2023-12-12 17:22:30,Present,4
47307,2021-04-11 03:45:25,Absent,6
941,2024-08-17 19:15:07,Present,7
49848,2022-05-11 03:04:05,Present,8
34676,2022-04-17 08:55:28,Present,6
32116,2022-09-01 22:37:57,Present,5
57968,2021-06-15 10:55:43,Present,6
41107,2024-04-04 14:41:46,Present,9
28934,2021-11-05 12:56:28,Absent,5
25098,2022-11-17 06:37:14,Present,7
