employee_id,years_at_company,job_satisfaction,work_life_balance,attrition
35715,5,2,4,No
1717,4,1,5,No
34608,7,4,1,No
54275,14,5,3,No
40333,13,4,5,No
35388,11,2,2,No
23961,6,1,3,No
11786,2,2,5,Yes
47448,12,5,3,No
53146,12,3,4,No
53500,9,4,1,No
45255,1,3,2,No
46502,6,3,2,No
44353,2,1,3,Yes
14448,10,1,1,No
33733,3,4,3,No
29219,1,3,1,No
23780,1,4,5,No
34808,14,1,4,No
31398,8,3,3,No
15629,3,3,4,No
56016,0,4,1,No
32875,3,1,4,Yes
21050,11,1,3,No
27333,12,3,4,No
17322,8,3,4,No
4915,14,5,1,No
678,0,2,2,Yes
32647,12,1,1,No
46357,11,2,5,No
53118,12,1,1,No
3631,3,2,4,Yes
29667,7,1,3,No
897,2,2,1,Yes
45209,13,1,5,No
26946,5,3,5,No
3010,6,2,4,No
45595,11,1,2,No
7413,8,4,2,No
8035,9,2,3,No
32878,12,5,1,No
14255,9,1,3,No
204,8,3,1,No
48681,10,2,4,No
49171,0,3,3,No
30383,10,4,5,No
45524,8,3,4,No
5381,7,3,3,No
21850,1,5,5,No
47242,12,5,3,No
1364,13,4,4,No
8012,12,3,4,No
34693,0,2,5,Yes
30249,14,4,5,No
23866,11,1,2,No
47639,11,3,5,No
6448,9,5,5,No
24105,6,3,1,No
46117,10,3,5,No
32882,7,3,4,No
27073,6,3,5,No
57161,9,3,5,No
42420,2,5,3,No
23263,11,3,2,No
3246,10,5,4,No
35747,9,2,3,No
59875,2,4,5,No
48853,8,2,3,No
15034,12,5,2,No
59269,12,4,3,No
38668,14,2,3,No
48827,11,1,5,No
30899,14,4,4,No
46031,3,4,3,No
49974,1,1,3,Yes
21067,11,1,2,No
42331,8,2,2,No
44688,1,1,4,Yes
13764,5,3,2,No
41225,2,2,5,Yes
38017,2,4,5,No
35338,9,3,2,No
11280,12,5,2,No
4019,13,1,2,No
48556,13,1,2,No
32167,4,5,3,No
53911,5,3,5,No
8561,7,2,4,No
56545,7,2,3,No
45347,6,5,2,No
57499,3,5,1,No
52747,7,1,2,No
12115,10,1,2,No
35449,8,1,1,No
7373,8,5,5,No
31196,5,2,3,No
32915,5,4,5,No
3389,11,3,2,No
53957,8,2,5,No
22814,14,3,3,No
12916,12,5,5,No
51831,3,3,4,No
38891,12,5,2,No
1365,6,2,4,No
18063,11,4,5,No
42451,10,3,4,No
676,3,4,5,No
35393,7,4,3,No
27734,13,5,3,No
54965,2,3,5,No
23026,11,1,3,No
56238,6,5,2,No
4357,2,1,2,Yes
41117,3,3,3,No
27139,8,5,2,No
275,4,4,1,No
29584,12,4,5,No
20297,3,5,1,No
39948,0,2,2,Yes
8307,6,1,2,No
36783,2,3,2,No
26379,1,1,4,Yes
38225,14,4,3,No
54866,10,5,4,No
11618,10,4,1,No
5038,5,1,1,No
49898,10,3,3,No
56689,6,1,3,No
18251,2,1,2,Yes
7941,10,5,3,No
1189,0,3,5,No
