employee_id,age,years_at_company,monthly_salary,job_satisfaction,attrition_risk
15796,50,9,238591,4,Low
861,53,18,166372,5,Low
76821,56,24,243489,3,Low
54887,52,4,117664,5,Low
6266,34,18,55346,2,High
82387,40,17,91411,3,Low
37195,47,15,59899,4,Low
87499,53,3,204449,3,Low
44132,52,17,93845,2,High
60264,49,8,208538,2,High
16024,56,15,243962,1,High
41091,27,7,159010,2,High
67222,42,8,229167,2,High
64821,45,24,170281,2,High
770,31,2,22445,1,High
59736,23,14,90566,2,High
62956,25,1,57452,4,High
64926,53,23,239852,5,Low
67970,29,11,239882,4,Low
5312,31,16,201332,4,Low
83105,23,12,234480,2,High
53708,28,20,131861,2,High
85306,56,3,245537,3,Low
28694,29,11,70133,2,High
71933,56,16,204731,3,Low
25659,53,16,246980,4,Low
84479,43,7,106290,1,High
18432,23,23,33291,2,High
2748,36,17,80817,2,High
59151,28,4,63830,2,High
65726,21,3,155437,1,High
84655,44,10,145359,3,Low
35774,49,11,135519,5,Low
67436,33,12,221694,3,Low
56887,22,7,246720,1,High
66804,53,18,212115,5,Low
31552,34,7,103053,3,Low
11395,30,10,29293,5,Low
69093,24,23,195586,4,Low
3891,36,17,199273,3,Low
41607,53,18,68515,2,High
80039,33,14,58833,4,Low
87314,25,13,69693,3,Low
10628,28,1,147069,3,High
8793,28,8,169652,2,High
73970,51,19,131231,4,Low
43002,41,8,55894,3,Low
76553,30,5,97068,1,High
23898,41,7,53889,2,High
68149,31,11,100343,3,Low
23484,44,7,200000,3,Low
48556,48,4,42482,3,Low
17160,51,16,40942,2,High
80078,32,13,202690,4,Low
35921,44,7,103014,5,Low
67122,48,23,136443,4,Low
69480,38,20,187299,2,High
89476,53,9,102651,5,Low
19458,35,18,235277,1,High
66558,48,22,171202,2,High
77190,48,6,136061,2,High
78954,32,1,186220,2,High
52996,43,21,223902,3,Low
40758,50,11,96655,5,Low
9693,44,0,99846,4,High
45759,29,0,129921,2,High
72410,33,22,164951,4,Low
71212,40,22,193862,1,High
65698,39,16,178908,5,Low
37066,24,20,193793,2,High
32607,46,19,28457,3,Low
