employee_id,age,gender,marital_status,education_level,department,date_of_joining
1,51,Female,Married,PhD,Marketing,2024-04-28 09:33:18
2,39,Male,Single,Graduate,Finance,2022-04-18 10:39:54
3,51,Female,Divorced,Post-Graduate,HR,2023-07-12 12:23:43
4,33,Male,Married,Graduate,Marketing,2020-02-06 01:43:01
5,24,Female,Single,Graduate,IT,2024-03-21 03:44:59
6,40,Male,Married,Post-Graduate,Marketing,2023-03-19 00:09:16
7,33,Male,Single,Post-Graduate,Marketing,2024-01-07 20:53:48
8,53,Male,Divorced,Post-Graduate,Marketing,2018-06-14 11:17:25
9,43,Male,Divorced,PhD,Operations,2020-04-09 03:17:11
10,58,Male,Divorced,PhD,Finance,2020-03-25 05:56:35
11,31,Female,Divorced,PhD,Sales,2024-08-09 09:32:13
12,35,Male,Single,PhD,Operations,2020-03-20 18:23:36
13,54,Male,Divorced,Graduate,IT,2019-05-20 17:43:33
14,58,Female,Divorced,Post-Graduate,Operations,2021-12-14 17:59:50
15,44,Female,Married,PhD,HR,2021-11-30 11:13:16
16,58,Female,Married,Graduate,Operations,2024-12-06 11:58:02
17,41,Male,Single,PhD,Marketing,2024-06-09 19:56:59
18,37,Male,Married,Post-Graduate,IT,2021-06-27 06:19:21
19,21,Male,Divorced,Graduate,Marketing,2022-05-19 05:47:04
20,24,Male,Married,Graduate,Sales,2018-07-30 03:40:45
21,57,Male,Divorced,PhD,HR,2023-05-19 14:11:35
22,46,Female,Married,PhD,HR,2020-02-17 11:23:18
23,38,Male,Divorced,Graduate,Finance,2021-10-20 06:57:48
24,37,Male,Married,Graduate,Sales,2019-07-26 21:18:58
25,32,Male,Single,Post-Graduate,Marketing,2024-01-15 14:57:41
26,21,Male,Divorced,PhD,Marketing,2023-06-08 08:33:36
27,49,Female,Married,PhD,IT,2021-01-06 21:47:28
28,54,Female,Single,Graduate,Operations,2020-05-18 16:38:30
29,30,Female,Divorced,PhD,HR,2022-01-21 06:40:41
30,48,Male,Divorced,Post-Graduate,Finance,2021-08-29 08:26:05
31,34,Female,Divorced,Post-Graduate,Finance,2022-07-11 01:04:04
32,47,Female,Married,Graduate,HR,2022-06-25 05:57:55
33,57,Female,Single,Graduate,HR,2022-05-06 19:40:45
34,36,Female,Married,Graduate,IT,2020-10-01 18:43:53
35,58,Male,Single,Graduate,Operations,2024-11-26 01:09:46
36,49,Female,Divorced,Graduate,IT,2021-11-25 22:26:29
37,52,Male,Divorced,Graduate,Finance,2020-05-24 00:36:42
38,52,Male,Divorced,Graduate,Sales,2018-07-16 00:26:57
39,30,Female,Divorced,Graduate,HR,2022-12-21 17:05:11
40,26,Female,Single,PhD,Marketing,2018-08-12 15:29:55
41,42,Female,Single,PhD,Sales,2021-03-04 01:20:23
42,49,Male,Divorced,Graduate,HR,2021-05-21 05:12:55
43,38,Male,Single,Graduate,Sales,2024-06-09 19:40:32
44,58,Female,Divorced,PhD,Operations,2018-09-17 20:24:28
45,28,Male,Divorced,Graduate,HR,2024-07-20 17:08:17
46,59,Male,Divorced,Graduate,Operations,2021-08-06 20:23:46
47,45,Male,Single,PhD,HR,2023-07-30 11:59:47
48,36,Male,Single,Graduate,Marketing,2020-03-24 03:14:57
49,29,Female,Single,Graduate,HR,2023-07-09 00:55:26
50,36,Male,Married,Graduate,Marketing,2021-06-19 00:04:47
51,46,Female,Single,Graduate,Marketing,2023-10-30 03:17:58
52,42,Female,Divorced,Post-Graduate,Sales,2018-12-20 11:18:35
53,39,Male,Divorced,PhD,IT,2021-03-06 02:19:37
54,30,Female,Single,Post-Graduate,Sales,2018-05-07 22:05:01
55,53,Female,Single,Graduate,HR,2020-02-11 00:45:57
56,55,Male,Married,PhD,Marketing,2023-01-31 06:43:23
57,57,Male,Single,PhD,Marketing,2018-02-15 02:59:15
58,53,Female,Married,Graduate,Operations,2018-12-30 16:25:28
59,55,Male,Single,PhD,Marketing,2020-06-30 20:25:39
60,37,Female,Married,Graduate,IT,2018-12-15 16:37:33
61,36,Male,Married,PhD,Marketing,2022-08-22 07:30:26
62,43,Male,Single,PhD,Sales,2023-06-06 15:42:32
63,43,Female,Single,Post-Graduate,Marketing,2023-04-01 17:53:01
