employee_id,engagement_score,survey_participation,feedback_count
50575,4.17,No,3
39696,4.48,Yes,2
59868,1.75,Yes,7
24835,1.1,Yes,3
4794,2.79,Yes,6
50440,3.37,Yes,0
22578,2.5,Yes,4
48260,4.28,No,2
23754,3.26,Yes,3
18036,2.86,Yes,5
11102,3.79,No,1
30976,2.63,No,1
28287,2.37,No,5
3610,2.86,Yes,7
52626,1.25,Yes,6
51925,3.2,No,4
46436,2.75,Yes,4
42224,3.83,Yes,7
24216,4.02,Yes,0
22730,1.97,Yes,2
5384,2.4,Yes,5
24628,1.9,Yes,3
21524,1.96,Yes,1
25437,1.66,Yes,1
29157,1.32,Yes,0
9025,4.38,No,6
53425,3.59,Yes,1
10132,4.74,Yes,5
20496,2.82,Yes,1
6175,2.85,Yes,5
26198,2.57,Yes,5
6119,4.36,Yes,0
33570,3.83,No,6
34336,2.52,No,6
39360,4.97,Yes,4
31669,1.42,Yes,2
49361,4.58,Yes,3
49792,3.91,No,6
3602,1.44,Yes,2
37126,2.08,Yes,6
53670,3.49,Yes,1
6924,1.42,Yes,0
37459,4.67,No,1
37043,2.59,Yes,2
1800,4.68,Yes,4
51374,3.68,Yes,7
51696,2.54,Yes,4
26919,3.51,Yes,3
23391,3.56,Yes,7
14679,2.13,Yes,6
56365,3.64,Yes,3
49151,1.39,Yes,0
18287,2.89,Yes,2
18987,3.91,Yes,6
1246,2.52,Yes,4
51182,3.69,Yes,7
58741,3.75,Yes,7
47546,2.03,Yes,3
58233,4.47,Yes,1
21160,3.54,Yes,2
12538,2.03,Yes,5
38159,4.9,Yes,3
20722,1.66,Yes,0
44095,3.0,Yes,7
22661,2.93,Yes,2
30455,4.48,No,0
17074,2.14,Yes,2
36803,4.72,Yes,3
13189,2.88,No,2
5629,3.04,No,2
25255,3.52,No,6
22580,3.51,Yes,2
37239,2.29,Yes,7
51064,2.04,No,1
43585,2.81,Yes,4
47932,2.94,Yes,4
52961,2.39,Yes,4
57301,2.07,No,4
24249,3.91,No,2
239,2.82,Yes,5
4299,3.44,Yes,4
25520,4.34,Yes,0
29153,1.34,Yes,6
20615,1.66,Yes,1
48146,3.21,Yes,3
56519,2.06,Yes,0
56391,2.86,Yes,5
8791,3.27,No,7
34396,1.49,Yes,3
41566,4.57,Yes,3
34185,4.82,Yes,7
23881,3.88,No,5
52835,2.92,Yes,4
13986,3.93,Yes,3
56644,2.0,Yes,0
6494,3.92,Yes,7
55561,1.45,Yes,4
13105,2.5,Yes,3
51984,1.58,No,2
28766,1.91,No,7
48162,4.52,Yes,1
38765,4.39,Yes,7
42494,3.32,Yes,0
31218,1.24,Yes,3
44433,3.54,Yes,6
53504,2.45,Yes,4
43138,3.22,Yes,1
42429,4.87,Yes,0
40953,3.1,Yes,0
24719,4.33,Yes,2
19279,4.63,Yes,6
20256,3.34,Yes,2
13132,1.39,Yes,4
25765,1.1,Yes,4
24245,4.41,Yes,6
7962,4.36,Yes,1
36426,4.62,Yes,0
38121,2.86,Yes,4
40604,1.36,No,5
8381,3.01,Yes,6
5035,3.12,No,5
27273,4.49,No,5
34235,2.79,Yes,7
11078,4.24,Yes,3
36946,1.06,Yes,7
43316,3.03,Yes,1
26325,1.32,Yes,1
6962,3.1,No,3
1641,3.73,Yes,1
21841,3.36,No,4
3381,1.18,Yes,3
1768,3.31,Yes,3
16863,1.03,Yes,4
54631,2.98,No,4
27545,1.49,Yes,5
18254,2.29,No,2
15845,2.81,No,1
45017,3.74,Yes,0
17645,2.15,Yes,1
6986,3.05,No,2
38315,2.06,Yes,5
25803,3.58,Yes,0
15116,4.95,Yes,1
54302,1.91,Yes,7
39141,4.71,Yes,4
59276,4.26,Yes,5
32788,4.11,Yes,6
46912,3.28,No,3
36869,2.06,No,7
33312,2.54,Yes,3
37215,2.44,Yes,7
13004,3.94,Yes,4
54823,1.01,Yes,4
51460,4.59,Yes,2
18875,3.88,Yes,5
5135,3.56,Yes,5
41598,4.98,Yes,1
59286,2.52,Yes,0
37581,1.79,Yes,1
26965,3.84,No,3
33751,4.87,Yes,6
17198,3.73,No,5
8368,2.65,No,2
49923,2.93,Yes,3
1156,2.78,Yes,2
1333,3.29,Yes,7
54398,1.85,No,5
35310,4.48,Yes,1
56004,2.23,Yes,1
1357,4.91,No,6
59926,4.67,Yes,6
52505,4.37,Yes,3
36524,3.97,Yes,6
15433,3.84,Yes,2
38363,1.49,Yes,6
2976,3.29,Yes,0
5547,3.14,Yes,0
