employee_id,performance_rating,projects_completed,manager_feedback_score,review_date
40515,3,2,4.8,2020-11-15 17:26:43
30609,3,9,4.8,2019-02-22 13:41:51
39667,3,7,3.4,2020-05-17 05:42:06
10287,1,3,3.3,2024-09-09 10:54:17
11437,4,7,2.7,2023-08-30 11:16:57
53338,1,9,2.7,2020-02-14 23:16:35
9731,5,3,4.7,2021-07-03 16:47:42
37094,2,5,2.2,2019-05-16 05:42:02
41303,3,7,4.8,2022-01-26 18:20:52
4905,5,9,1.2,2022-10-15 17:30:22
494,2,5,3.3,2019-12-25 15:37:26
19884,3,5,4.0,2023-10-09 19:37:35
57092,1,4,4.8,2023-11-04 04:50:51
29798,5,9,1.2,2019-04-21 18:12:11
53231,2,3,1.1,2022-08-31 23:30:57
32873,4,2,4.5,2021-12-23 03:40:09
59856,4,11,2.4,2019-07-10 13:15:59
38833,3,6,4.9,2018-07-11 02:50:16
38405,2,8,3.0,2023-08-07 19:48:13
21767,1,2,1.5,2020-03-25 02:24:26
37962,4,1,3.6,2024-03-21 14:42:52
22106,4,11,4.2,2022-05-18 17:08:24
8783,3,6,1.7,2023-07-04 13:11:19
18145,4,10,1.2,2024-04-05 00:03:54
21658,4,9,4.8,2019-11-01 23:13:18
23457,1,11,2.4,2018-02-09 18:50:44
16337,4,5,3.8,2022-02-24 23:18:09
33165,4,3,3.3,2024-03-13 01:01:24
34277,4,7,1.7,2018-08-14 08:42:36
47767,1,0,1.2,2018-06-16 03:57:28
35951,1,0,2.3,2024-09-01 06:07:39
22699,5,5,1.6,2021-08-21 13:00:57
34523,2,5,2.7,2024-11-27 08:12:18
4081,3,5,4.4,2023-01-16 10:49:41
56304,5,6,3.2,2023-02-10 15:08:04
19528,3,2,3.1,2021-06-16 06:57:45
9454,1,11,4.3,2021-10-29 19:33:53
59612,5,10,2.6,2018-09-23 19:54:22
33388,3,10,3.3,2021-02-01 14:25:44
10529,4,6,2.4,2021-12-13 15:25:07
51784,2,5,4.6,2022-11-03 22:16:55
27924,2,5,2.4,2021-03-18 22:11:57
24235,1,0,2.3,2018-06-02 13:35:06
35467,2,6,2.2,2020-12-13 08:03:27
45775,3,3,2.6,2023-08-08 02:39:44
39393,4,6,3.2,2019-05-25 15:16:01
59970,1,5,2.1,2018-06-02 13:57:36
6588,4,10,3.6,2019-08-03 23:28:34
45681,4,3,4.0,2018-01-06 07:24:01
56674,2,10,4.6,2019-07-14 19:26:22
36528,5,10,1.7,2018-07-11 00:07:12
16188,3,8,2.7,2023-10-13 03:18:03
49323,4,6,2.0,2018-10-10 18:26:46
24160,5,11,4.3,2021-03-24 10:29:31
27276,2,3,3.6,2021-08-12 20:50:46
25955,4,1,3.9,2022-12-19 18:35:07
14249,5,5,4.6,2018-05-22 21:56:27
36937,2,4,4.5,2018-09-15 16:56:10
36108,5,6,1.7,2019-02-13 22:14:14
3731,5,2,2.9,2020-11-04 10:17:38
58845,5,8,2.0,2019-04-10 20:48:00
