employee_id,avg_daily_hours,tasks_completed,work_mode,productivity_level
2774,4.2,20,Remote,High
6410,6.6,11,Onsite,Normal
56158,5.7,22,Onsite,High
66161,10.5,13,Hybrid,Normal
55207,4.7,12,Remote,Normal
77318,5.9,23,Remote,High
66857,6.4,3,Remote,Normal
29461,9.8,5,Onsite,Normal
3003,9.6,5,Hybrid,Normal
25191,5.3,23,Remote,High
45198,4.6,9,Onsite,Normal
67188,9.6,16,Onsite,Normal
44745,7.1,13,Onsite,Normal
50823,10.9,2,Hybrid,Normal
59260,8.4,1,Hybrid,Normal
84406,9.0,11,Onsite,Normal
37514,9.4,1,Remote,Normal
49511,5.9,5,Onsite,Normal
41163,4.6,17,Onsite,High
73297,9.9,2,Remote,Normal
81422,5.7,24,Onsite,High
36750,12.0,15,Onsite,Normal
76833,10.6,2,Remote,Normal
62559,6.5,20,Onsite,High
53120,8.6,16,Onsite,High
64298,8.4,9,Hybrid,Normal
73955,9.0,2,Onsite,Normal
28260,6.4,4,Onsite,Normal
44426,7.8,11,Remote,Normal
37208,5.9,16,Onsite,High
55375,6.2,19,Remote,High
58622,10.7,20,Hybrid,Normal
49841,8.9,18,Hybrid,High
24745,8.9,12,Onsite,Normal
38890,6.5,4,Onsite,Normal
22966,5.3,7,Remote,Normal
48473,4.1,15,Hybrid,Normal
72796,9.5,18,Onsite,Normal
50654,8.8,21,Remote,High
58937,10.9,24,Hybrid,Normal
21051,4.6,14,Hybrid,Normal
63031,7.0,23,Hybrid,High
19078,6.4,1,Remote,Normal
65410,10.6,11,Hybrid,Normal
21514,6.3,21,Onsite,High
42744,11.8,22,Hybrid,Normal
41417,5.8,23,Hybrid,High
46754,4.3,19,Remote,High
56725,8.3,16,Hybrid,High
32422,11.2,21,Hybrid,Normal
35172,8.4,24,Onsite,High
89597,6.1,19,Remote,High
12697,8.2,14,Remote,Normal
44631,6.1,3,Onsite,Normal
31647,6.7,14,Onsite,Normal
25106,10.7,24,Remote,Normal
73492,6.2,12,Hybrid,Normal
313,9.5,15,Onsite,Normal
20828,8.1,4,Remote,Normal
48543,8.2,21,Onsite,High
33332,7.2,8,Remote,Normal
