employee_id,base_salary,bonus,stock_options,salary_revision_date,total_compensation
43166,84173,34329,114763,2022-07-25 20:45:05,233265
7421,111500,45770,124930,2024-10-01 11:05:22,282200
32873,35524,36515,72968,2024-12-04 01:06:56,145007
16707,108289,49156,148407,2018-06-28 14:00:26,305852
53881,63692,25917,47375,2024-11-01 15:55:34,136984
39707,58395,42303,181437,2024-09-22 01:07:14,282135
32161,49719,32716,123230,2021-03-18 02:38:16,205665
55386,148037,39624,48166,2024-02-17 17:43:58,235827
32514,122997,30631,177988,2019-04-01 22:04:20,331616
46184,143169,10493,26617,2024-02-15 16:56:42,180279
35987,139651,33822,75700,2024-06-05 08:02:09,249173
14789,86740,41850,120327,2021-08-05 10:45:43,248917
57193,87157,5466,5327,2023-05-08 23:59:55,97950
58648,50146,16037,173769,2019-08-11 16:18:45,239952
58942,103331,9298,3734,2018-01-14 06:14:00,116363
46899,43674,22303,170343,2024-03-26 19:20:36,236320
28405,140413,43789,20736,2021-02-02 12:58:03,204938
564,69706,18041,132765,2018-05-14 19:42:30,220512
13410,32979,6421,145660,2019-12-25 11:28:08,185060
54695,44294,25713,73551,2019-08-31 13:22:42,143558
11765,89776,18417,167344,2024-04-27 00:36:18,275537
30787,126936,8207,135475,2018-07-25 16:34:19,270618
34225,131768,35379,191463,2022-08-20 06:59:13,358610
1760,85811,8935,129303,2024-05-06 17:01:15,224049
54047,127491,8539,106772,2018-02-01 07:46:18,242802
9721,109898,4822,53625,2018-03-17 17:31:22,168345
57066,109316,46850,195262,2018-05-28 20:15:43,351428
34955,44891,17026,47180,2023-06-30 21:05:00,109097
20308,35821,49461,28897,2020-07-12 21:00:56,114179
43968,135546,3854,50055,2022-02-23 22:15:39,189455
8742,27750,22043,158760,2019-01-24 19:26:37,208553
37675,113428,31205,165187,2022-01-10 01:23:11,309820
48789,123033,45031,104160,2023-01-22 01:51:57,272224
6245,30173,5916,112295,2022-09-24 01:56:13,148384
55532,26605,13550,115421,2024-07-20 11:23:36,155576
5630,88242,38142,3983,2020-03-25 14:32:27,130367
6986,66085,7837,65362,2021-10-05 04:15:32,139284
41974,68618,9541,155186,2022-06-24 20:03:50,233345
42736,116529,26259,98138,2022-10-16 11:41:10,240926
8193,59777,17146,69407,2019-03-24 01:40:40,146330
11231,86739,11603,81579,2024-10-04 09:06:26,179921
43859,76016,33746,66135,2022-07-02 05:57:02,175897
59700,66257,5754,91206,2020-04-20 06:32:00,163217
28752,59971,12584,25797,2021-09-29 12:01:53,98352
37049,41226,23533,93912,2018-09-10 08:42:23,158671
823,90966,10508,123589,2024-05-21 04:16:15,225063
52686,145441,27080,56193,2019-07-11 22:38:25,228714
8133,143957,918,81792,2024-09-13 18:24:20,226667
1221,73548,34690,120693,2024-05-09 03:24:25,228931
9417,48047,24060,176803,2021-08-17 01:23:45,248910
49648,139137,44038,177687,2023-03-07 21:58:23,360862
7812,69879,27847,33085,2023-06-09 18:17:00,130811
51220,50353,39924,167236,2023-12-23 06:23:05,257513
36788,64021,44181,184770,2021-09-15 21:42:05,292972
31823,56031,46316,159050,2022-07-05 15:41:35,261397
47737,40285,48074,145110,2020-12-18 05:15:18,233469
31974,26710,25578,51322,2019-02-16 08:24:32,103610
55571,112857,22692,101230,2023-03-12 19:06:22,236779
38003,97864,46536,162498,2024-10-31 16:55:10,306898
2141,145698,5446,26850,2021-11-19 01:24:41,177994
16047,44598,7892,147452,2023-12-31 04:05:29,199942
21882,77018,37352,39721,2019-05-05 07:05:05,154091
54535,125719,20797,128781,2024-12-25 22:29:41,275297
52729,65283,43418,189850,2019-08-29 20:39:21,298551
41464,81815,27611,99672,2024-09-18 07:02:15,209098
26675,68659,41417,107069,2023-12-08 19:24:10,217145
32864,46179,17296,107201,2020-02-10 06:28:26,170676
3045,59279,3328,158119,2020-07-20 22:20:39,220726
27042,50618,12322,105179,2023-10-07 01:26:35,168119
22350,80921,38922,116125,2018-08-19 18:29:24,235968
53911,104638,8937,15997,2024-02-11 20:40:56,129572
57663,35651,35068,120349,2019-12-10 20:02:24,191068
18359,47163,9325,169569,2019-01-19 00:56:13,226057
37693,142449,41261,121213,2023-12-09 05:27:50,304923
25863,102901,16776,139834,2018-05-28 07:39:30,259511
50738,99880,47120,101821,2023-10-20 14:10:37,248821
1937,66148,3084,128582,2022-05-12 12:44:26,197814
48144,75132,43433,48407,2019-12-30 00:16:08,166972
20496,139603,49451,165798,2019-12-28 12:05:03,354852
52804,123454,38341,29432,2024-09-09 12:50:08,191227
39128,147640,47828,138976,2018-08-19 15:43:09,334444
14215,148245,43550,100879,2018-09-07 07:44:51,292674
29321,71883,42381,136872,2021-10-14 07:18:57,251136
15417,30388,30406,152711,2021-05-06 10:29:08,213505
9376,51174,15137,25229,2024-08-02 04:50:57,91540
48846,69250,41742,68237,2021-12-27 07:05:29,179229
6572,119067,31581,176219,2024-01-15 14:09:41,326867
