employee_id,training_program,training_hours,completion_status
29074,Technical,86,Completed
56220,Leadership,92,Completed
32014,Compliance,18,In Progress
58607,Leadership,73,Completed
19121,Leadership,48,In Progress
10225,Compliance,79,In Progress
15320,Soft Skills,80,Completed
1713,Leadership,11,Completed
3359,Soft Skills,32,In Progress
39756,Soft Skills,112,Completed
40414,Technical,26,Completed
25450,Leadership,18,Completed
29749,Compliance,50,Completed
8121,Soft Skills,25,In Progress
42108,Leadership,35,In Progress
31872,Leadership,21,In Progress
16537,Leadership,46,In Progress
20073,Technical,29,Completed
27275,Leadership,94,Completed
7605,Leadership,36,Completed
13883,Technical,63,Completed
56439,Soft Skills,55,Completed
50100,Leadership,73,In Progress
19937,Compliance,51,Completed
53455,Soft Skills,14,Completed
59632,Soft Skills,42,In Progress
47172,Leadership,82,In Progress
5718,Soft Skills,37,Completed
14663,Technical,19,In Progress
18836,Technical,89,Completed
34477,Technical,24,Completed
12584,Technical,22,Completed
3573,Compliance,49,Completed
40574,Technical,31,Completed
33893,Technical,105,Completed
30945,Technical,42,Completed
51291,Soft Skills,33,Completed
37123,Soft Skills,68,Completed
8474,Soft Skills,46,Completed
39477,Soft Skills,41,Completed
51302,Compliance,91,In Progress
30735,Soft Skills,26,Completed
40980,Soft Skills,28,In Progress
59165,Compliance,39,In Progress
57179,Soft Skills,57,Completed
5572,Technical,39,Completed
52247,Compliance,30,Completed
44656,Soft Skills,31,Completed
2692,Leadership,74,Completed
17037,Compliance,28,Completed
2773,Leadership,83,In Progress
8212,Compliance,108,Completed
23932,Technical,82,Completed
48072,Technical,15,Completed
13860,Leadership,13,Completed
14892,Compliance,36,Completed
3633,Soft Skills,21,In Progress
51677,Technical,23,Completed
3012,Compliance,30,Completed
33498,Leadership,35,Completed
30814,Compliance,117,Completed
10536,Soft Skills,103,Completed
39440,Compliance,97,Completed
52975,Compliance,67,Completed
4,Soft Skills,11,In Progress
59051,Compliance,53,Completed
46167,Leadership,60,In Progress
5693,Soft Skills,41,In Progress
27177,Soft Skills,68,In Progress
40397,Soft Skills,17,Completed
46170,Leadership,24,In Progress
49319,Compliance,24,Completed
8581,Technical,61,Completed
49183,Compliance,85,Completed
34597,Leadership,13,Completed
3765,Soft Skills,96,Completed
52594,Technical,114,In Progress
58408,Soft Skills,72,Completed
47072,Compliance,14,In Progress
59894,Compliance,115,In Progress
5818,Soft Skills,60,Completed
15741,Technical,54,Completed
7624,Leadership,62,In Progress
23268,Compliance,116,Completed
32166,Soft Skills,70,Completed
36637,Leadership,118,Completed
22944,Compliance,21,Completed
9905,Compliance,110,Completed
40695,Soft Skills,98,In Progress
51379,Leadership,83,Completed
5906,Technical,39,Completed
19391,Compliance,17,Completed
8440,Compliance,39,Completed
43914,Soft Skills,33,In Progress
50560,Technical,113,In Progress
35006,Soft Skills,30,In Progress
58832,Technical,35,Completed
35391,Soft Skills,102,In Progress
19746,Leadership,8,Completed
27547,Leadership,74,Completed
54147,Leadership,15,Completed
2326,Leadership,103,Completed
17010,Leadership,76,In Progress
18919,Compliance,55,Completed
30501,Technical,110,Completed
26307,Compliance,100,Completed
51884,Soft Skills,7,Completed
39963,Technical,54,Completed
52909,Leadership,53,Completed
55874,Leadership,72,Completed
30808,Leadership,72,Completed
33011,Technical,44,Completed
11611,Compliance,34,Completed
34506,Technical,26,Completed
32270,Compliance,103,Completed
31096,Technical,116,In Progress
55459,Technical,100,In Progress
16007,Leadership,114,Completed
57475,Leadership,111,Completed
33314,Leadership,6,Completed
11366,Soft Skills,90,In Progress
17442,Soft Skills,26,Completed
48644,Leadership,74,Completed
49839,Leadership,27,Completed
24980,Soft Skills,114,Completed
16590,Leadership,88,Completed
36733,Compliance,53,In Progress
14500,Compliance,15,Completed
51344,Compliance,54,Completed
24477,Compliance,10,Completed
4067,Leadership,25,Completed
33021,Technical,49,Completed
14742,Compliance,51,Completed
11966,Compliance,4,Completed
45510,Soft Skills,88,Completed
40724,Compliance,52,In Progress
45782,Soft Skills,5,Completed
2968,Technical,18,Completed
49230,Technical,49,Completed
25170,Leadership,107,Completed
36578,Compliance,8,Completed
56090,Compliance,99,In Progress
26485,Technical,114,Completed
40928,Leadership,81,Completed
45389,Soft Skills,79,Completed
29556,Compliance,41,Completed
4032,Technical,30,In Progress
17933,Technical,88,In Progress
54418,Technical,12,Completed
44441,Soft Skills,26,In Progress
49018,Technical,46,In Progress
22248,Compliance,18,Completed
53784,Soft Skills,6,Completed
28256,Technical,19,Completed
55148,Leadership,90,Completed
5379,Compliance,103,Completed
39961,Leadership,99,Completed
22618,Compliance,25,In Progress
14260,Leadership,33,Completed
28808,Leadership,27,Completed
50139,Soft Skills,75,Completed
27938,Leadership,60,Completed
1063,Compliance,21,Completed
58410,Soft Skills,45,Completed
52611,Soft Skills,18,Completed
2521,Compliance,21,Completed
52521,Soft Skills,47,Completed
4840,Soft Skills,54,Completed
56334,Compliance,57,In Progress
38099,Soft Skills,92,Completed
50959,Compliance,6,In Progress
44848,Technical,78,Completed
50589,Leadership,84,In Progress
45780,Compliance,14,Completed
27243,Soft Skills,4,In Progress
26877,Compliance,23,Completed
6105,Leadership,31,Completed
7274,Technical,66,In Progress
40001,Compliance,12,In Progress
40782,Soft Skills,94,Completed
49917,Soft Skills,112,Completed
23297,Technical,47,Completed
25525,Soft Skills,114,Completed
10924,Soft Skills,51,Completed
43195,Technical,109,Completed
4209,Soft Skills,44,Completed
50478,Compliance,98,Completed
26238,Soft Skills,82,Completed
18580,Compliance,33,Completed
39928,Soft Skills,82,Completed
45346,Leadership,83,Completed
20708,Technical,35,Completed
35177,Compliance,36,Completed
41318,Leadership,20,Completed
44186,Compliance,83,Completed
34438,Technical,85,In Progress
53460,Technical,10,Completed
36081,Compliance,69,Completed
13720,Leadership,28,In Progress
30747,Technical,95,Completed
1875,Compliance,17,Completed
7034,Technical,112,Completed
49269,Soft Skills,65,In Progress
55341,Soft Skills,54,Completed
9331,Compliance,31,Completed
46735,Technical,62,Completed
1545,Leadership,54,Completed
36445,Leadership,114,In Progress
3197,Compliance,37,In Progress
13587,Leadership,20,Completed
6251,Compliance,105,Completed
35947,Leadership,32,Completed
56046,Technical,48,Completed
31633,Technical,70,Completed
52225,Compliance,105,Completed
26352,Technical,33,Completed
56250,Soft Skills,30,In Progress
29503,Compliance,31,Completed
10894,Soft Skills,100,In Progress
19365,Compliance,99,In Progress
16460,Technical,107,In Progress
52626,Compliance,68,Completed
6720,Compliance,65,Completed
57445,Technical,105,Completed
52599,Leadership,8,Completed
23267,Compliance,6,Completed
41553,Soft Skills,6,Completed
30953,Compliance,108,Completed
52328,Compliance,37,Completed
51231,Leadership,84,In Progress
29109,Technical,37,Completed
1187,Technical,87,In Progress
35174,Soft Skills,58,Completed
25854,Soft Skills,43,Completed
24705,Leadership,60,Completed
34149,Compliance,89,In Progress
58897,Compliance,75,In Progress
30649,Leadership,85,In Progress
32427,Technical,22,Completed
42416,Technical,47,Completed
32831,Soft Skills,87,In Progress
37793,Leadership,38,Completed
43256,Soft Skills,25,Completed
15490,Soft Skills,97,Completed
31292,Soft Skills,97,In Progress
3822,Soft Skills,114,Completed
21646,Soft Skills,81,In Progress
17031,Technical,96,Completed
23475,Compliance,37,Completed
20456,Soft Skills,99,In Progress
59131,Leadership,59,Completed
1652,Compliance,13,Completed
3462,Leadership,22,In Progress
48477,Technical,43,Completed
319,Leadership,34,Completed
5399,Compliance,6,Completed
29481,Compliance,51,Completed
28054,Leadership,8,Completed
22698,Compliance,74,Completed
4970,Leadership,73,Completed
54264,Soft Skills,15,Completed
57360,Technical,114,Completed
53919,Compliance,4,Completed
19926,Compliance,17,Completed
37410,Technical,75,In Progress
27947,Technical,64,Completed
45558,Compliance,33,Completed
13741,Leadership,109,Completed
34722,Technical,42,Completed
10398,Technical,80,Completed
18173,Compliance,19,Completed
48409,Soft Skills,47,In Progress
27931,Leadership,88,Completed
51321,Compliance,108,Completed
5614,Leadership,80,Completed
33527,Technical,28,In Progress
52613,Compliance,14,In Progress
25311,Leadership,112,In Progress
52146,Compliance,45,Completed
1479,Compliance,76,In Progress
17478,Leadership,54,Completed
54702,Soft Skills,15,Completed
54895,Soft Skills,36,In Progress
25202,Leadership,41,Completed
36374,Compliance,110,Completed
23004,Technical,82,In Progress
45657,Compliance,118,Completed
27325,Technical,106,Completed
6114,Leadership,23,In Progress
31324,Leadership,82,Completed
15551,Soft Skills,98,Completed
33007,Technical,44,In Progress
397,Technical,44,Completed
39516,Compliance,44,Completed
25598,Leadership,81,Completed
5607,Soft Skills,99,In Progress
22981,Soft Skills,97,In Progress
41115,Leadership,24,Completed
24702,Technical,95,In Progress
16781,Soft Skills,119,Completed
55539,Soft Skills,60,Completed
33903,Technical,111,Completed
43966,Soft Skills,46,In Progress
12602,Leadership,34,Completed
45550,Soft Skills,86,Completed
40753,Compliance,105,Completed
24918,Leadership,25,Completed
20769,Leadership,20,In Progress
6209,Compliance,117,Completed
3231,Soft Skills,103,Completed
53506,Soft Skills,40,In Progress
15402,Compliance,94,Completed
56725,Soft Skills,86,In Progress
37726,Soft Skills,92,In Progress
15055,Compliance,63,Completed
25878,Leadership,111,Completed
44581,Technical,99,Completed
46988,Soft Skills,39,Completed
58998,Soft Skills,26,Completed
21762,Compliance,25,Completed
18608,Leadership,31,Completed
55114,Compliance,87,Completed
44292,Compliance,87,In Progress
26408,Technical,112,In Progress
44278,Soft Skills,25,Completed
10087,Compliance,103,Completed
49374,Soft Skills,107,Completed
39080,Compliance,56,Completed
57012,Compliance,77,Completed
19435,Technical,83,Completed
12348,Compliance,48,Completed
47807,Leadership,107,In Progress
59024,Leadership,43,Completed
9085,Technical,106,Completed
52413,Soft Skills,83,Completed
22950,Leadership,36,Completed
4113,Compliance,113,Completed
1940,Compliance,66,In Progress
43223,Leadership,49,Completed
11910,Soft Skills,93,Completed
49147,Technical,78,Completed
40513,Leadership,27,Completed
53120,Compliance,39,In Progress
21758,Compliance,13,Completed
10718,Technical,6,Completed
29323,Leadership,48,In Progress
18229,Compliance,97,In Progress
7912,Soft Skills,116,Completed
25159,Leadership,93,In Progress
44099,Technical,6,Completed
17974,Leadership,25,Completed
28898,Compliance,115,Completed
13107,Soft Skills,87,Completed
36722,Leadership,114,Completed
6464,Soft Skills,74,In Progress
26446,Soft Skills,103,Completed
35164,Technical,11,In Progress
38201,Technical,28,Completed
28710,Technical,18,Completed
35515,Leadership,88,In Progress
36505,Soft Skills,89,Completed
52,Soft Skills,25,Completed
49338,Soft Skills,35,In Progress
8875,Compliance,93,Completed
59882,Soft Skills,108,Completed
49455,Soft Skills,35,In Progress
43425,Technical,7,Completed
18696,Soft Skills,116,Completed
46770,Compliance,6,Completed
17950,Soft Skills,25,In Progress
21816,Leadership,76,In Progress
20547,Leadership,57,Completed
41375,Compliance,35,Completed
36382,Technical,71,In Progress
55068,Technical,53,Completed
15823,Leadership,36,Completed
20718,Leadership,75,Completed
15749,Technical,69,In Progress
40931,Technical,45,Completed
41971,Technical,65,Completed
59688,Compliance,20,Completed
40013,Soft Skills,97,Completed
34833,Technical,94,Completed
57614,Compliance,106,Completed
15537,Soft Skills,44,Completed
47381,Technical,51,In Progress
51811,Technical,47,Completed
2565,Compliance,111,Completed
41687,Leadership,87,In Progress
48946,Compliance,25,Completed
25837,Compliance,70,Completed
42666,Compliance,15,In Progress
40038,Technical,8,In Progress
11564,Compliance,56,Completed
6842,Compliance,26,In Progress
48895,Technical,91,Completed
27315,Compliance,10,In Progress
3947,Technical,19,Completed
55842,Compliance,41,Completed
5860,Leadership,50,Completed
13534,Technical,32,Completed
43485,Soft Skills,27,Completed
40074,Technical,67,In Progress
30997,Technical,80,In Progress
53268,Soft Skills,106,Completed
258,Leadership,82,Completed
52677,Soft Skills,10,Completed
48237,Leadership,23,Completed
43749,Technical,74,In Progress
7561,Soft Skills,48,Completed
51065,Compliance,82,In Progress
38324,Leadership,105,In Progress
46309,Technical,93,Completed
19735,Leadership,97,Completed
41128,Soft Skills,32,Completed
30746,Compliance,70,Completed
39567,Leadership,37,Completed
57700,Technical,41,In Progress
22258,Leadership,86,Completed
20034,Leadership,84,Completed
35032,Soft Skills,88,Completed
43158,Soft Skills,100,Completed
8375,Leadership,68,Completed
36037,Technical,21,Completed
40601,Compliance,56,In Progress
51782,Technical,37,In Progress
45341,Soft Skills,64,Completed
36288,Technical,84,In Progress
29487,Technical,94,Completed
55807,Technical,13,Completed
37497,Compliance,10,In Progress
7817,Compliance,67,In Progress
22665,Technical,112,Completed
37715,Compliance,118,Completed
50499,Soft Skills,97,In Progress
58627,Technical,45,Completed
39928,Soft Skills,27,In Progress
33805,Soft Skills,95,Completed
4591,Soft Skills,47,In Progress
2710,Leadership,16,Completed
32384,Technical,30,Completed
42186,Soft Skills,61,Completed
28453,Compliance,81,In Progress
35820,Leadership,108,In Progress
19326,Leadership,95,In Progress
35194,Technical,40,Completed
40766,Leadership,38,In Progress
47523,Leadership,45,In Progress
20790,Soft Skills,111,Completed
32186,Soft Skills,14,Completed
15805,Leadership,24,In Progress
26735,Soft Skills,54,In Progress
16611,Technical,118,Completed
12795,Soft Skills,24,Completed
6426,Technical,112,Completed
18174,Compliance,113,Completed
22766,Soft Skills,87,Completed
14205,Compliance,51,Completed
36934,Compliance,20,Completed
54370,Technical,83,Completed
8416,Soft Skills,16,In Progress
26141,Technical,36,In Progress
10614,Compliance,41,In Progress
42588,Leadership,83,Completed
8736,Technical,4,Completed
28681,Compliance,76,Completed
56707,Soft Skills,112,Completed
6875,Compliance,42,Completed
29879,Leadership,7,In Progress
18910,Soft Skills,59,Completed
55625,Technical,67,In Progress
12330,Soft Skills,109,Completed
9512,Technical,72,Completed
55117,Technical,78,Completed
20514,Leadership,101,Completed
49221,Technical,103,Completed
20488,Leadership,9,Completed
19202,Technical,23,Completed
56978,Technical,10,Completed
17474,Soft Skills,58,Completed
44322,Leadership,81,In Progress
40791,Soft Skills,45,Completed
19144,Compliance,10,Completed
17057,Leadership,118,Completed
21961,Leadership,72,In Progress
600,Technical,70,Completed
54816,Soft Skills,71,Completed
34230,Compliance,85,Completed
56240,Compliance,103,In Progress
36998,Technical,105,Completed
39040,Soft Skills,50,Completed
5246,Soft Skills,118,Completed
624,Compliance,31,Completed
23177,Technical,42,In Progress
31513,Leadership,54,Completed
15065,Compliance,34,Completed
28833,Soft Skills,92,Completed
18311,Compliance,53,Completed
27477,Soft Skills,89,In Progress
971,Technical,41,Completed
52321,Compliance,45,Completed
49419,Leadership,8,Completed
18823,Soft Skills,18,Completed
31996,Leadership,5,Completed
31244,Compliance,104,Completed
21810,Compliance,14,Completed
3275,Leadership,99,Completed
30415,Compliance,50,Completed
25374,Soft Skills,9,In Progress
42010,Leadership,77,Completed
47589,Soft Skills,25,In Progress
58017,Leadership,33,Completed
27574,Compliance,59,Completed
24867,Technical,17,Completed
38603,Soft Skills,47,Completed
54002,Soft Skills,64,Completed
22844,Leadership,7,Completed
3998,Compliance,104,Completed
20749,Compliance,62,In Progress
43224,Soft Skills,66,Completed
53822,Technical,63,Completed
54278,Leadership,59,In Progress
23554,Compliance,38,Completed
4810,Leadership,52,Completed
13192,Technical,44,In Progress
53240,Technical,14,Completed
1031,Soft Skills,20,In Progress
30708,Compliance,87,Completed
59604,Compliance,55,In Progress
38616,Soft Skills,83,Completed
4723,Soft Skills,30,Completed
57091,Soft Skills,40,Completed
27495,Technical,99,Completed
38809,Soft Skills,52,Completed
53054,Compliance,77,Completed
4271,Leadership,102,Completed
52545,Technical,15,Completed
57560,Compliance,61,Completed
17772,Technical,22,Completed
1369,Soft Skills,8,Completed
4353,Compliance,50,Completed
15774,Compliance,50,Completed
41143,Soft Skills,23,Completed
20416,Technical,51,Completed
19991,Soft Skills,81,Completed
55736,Leadership,77,Completed
4311,Soft Skills,44,In Progress
38819,Soft Skills,77,In Progress
49047,Technical,75,Completed
40458,Leadership,105,In Progress
31207,Soft Skills,43,Completed
32765,Technical,12,In Progress
55243,Compliance,33,In Progress
18412,Technical,11,Completed
5314,Soft Skills,107,In Progress
19486,Leadership,18,Completed
46352,Leadership,56,Completed
9473,Leadership,59,Completed
58966,Technical,37,Completed
27949,Technical,96,Completed
48946,Leadership,75,Completed
14118,Leadership,7,In Progress
6063,Compliance,118,In Progress
37013,Leadership,48,In Progress
15131,Soft Skills,42,In Progress
47330,Soft Skills,97,Completed
48171,Soft Skills,30,In Progress
10669,Compliance,30,Completed
17591,Technical,105,In Progress
34722,Compliance,53,Completed
37513,Leadership,29,Completed
1586,Technical,66,Completed
12124,Compliance,59,In Progress
37356,Soft Skills,34,In Progress
2211,Soft Skills,114,Completed
21480,Leadership,20,Completed
9235,Compliance,91,In Progress
5204,Leadership,84,In Progress
57744,Leadership,18,Completed
42610,Soft Skills,11,In Progress
4007,Technical,30,Completed
33840,Soft Skills,74,Completed
42513,Technical,12,Completed
52380,Soft Skills,60,In Progress
9221,Technical,61,Completed
10676,Technical,74,Completed
13834,Technical,115,In Progress
19212,Leadership,25,In Progress
27932,Leadership,35,Completed
58301,Compliance,116,Completed
19500,Leadership,71,Completed
50441,Soft Skills,34,Completed
22522,Leadership,98,In Progress
44629,Compliance,96,Completed
56157,Technical,42,Completed
28512,Compliance,57,In Progress
57795,Leadership,12,Completed
56569,Technical,57,Completed
7617,Compliance,98,Completed
13475,Leadership,58,In Progress
14537,Leadership,19,Completed
26086,Technical,80,In Progress
17576,Leadership,76,Completed
39706,Soft Skills,104,Completed
24797,Compliance,40,Completed
58304,Soft Skills,56,Completed
35653,Leadership,102,Completed
4516,Leadership,107,Completed
23355,Leadership,9,In Progress
48579,Compliance,47,Completed
36232,Leadership,90,Completed
7142,Soft Skills,25,In Progress
56678,Technical,34,In Progress
38386,Leadership,65,Completed
18158,Leadership,98,Completed
37305,Soft Skills,25,Completed
27790,Technical,97,Completed
49534,Technical,93,Completed
27429,Soft Skills,105,Completed
43123,Technical,13,Completed
21189,Technical,14,In Progress
47360,Compliance,32,Completed
57968,Technical,19,In Progress
27757,Leadership,15,Completed
46994,Technical,24,Completed
36191,Soft Skills,54,In Progress
7232,Compliance,16,Completed
39959,Leadership,67,Completed
30048,Soft Skills,14,Completed
32433,Compliance,86,In Progress
1780,Soft Skills,94,Completed
44355,Technical,28,In Progress
14533,Compliance,81,Completed
51431,Leadership,51,Completed
24858,Soft Skills,67,Completed
2166,Leadership,39,Completed
5115,Leadership,13,Completed
22002,Leadership,37,Completed
33116,Technical,77,Completed
10037,Technical,91,In Progress
18988,Technical,21,Completed
19595,Soft Skills,78,Completed
25670,Compliance,96,Completed
42428,Soft Skills,25,In Progress
18561,Leadership,44,In Progress
38221,Technical,79,In Progress
13113,Soft Skills,61,Completed
39212,Leadership,48,Completed
25722,Soft Skills,49,Completed
52876,Compliance,101,Completed
28493,Soft Skills,78,Completed
56824,Soft Skills,80,In Progress
43129,Compliance,15,In Progress
22070,Technical,83,Completed
18440,Leadership,21,Completed
42499,Soft Skills,98,Completed
14569,Technical,9,Completed
45587,Leadership,16,In Progress
20387,Leadership,54,Completed
21349,Technical,44,In Progress
48311,Technical,27,Completed
10330,Soft Skills,29,In Progress
29955,Compliance,80,In Progress
2192,Compliance,34,Completed
59570,Soft Skills,6,In Progress
18676,Compliance,46,Completed
10034,Technical,45,Completed
1261,Leadership,111,Completed
57232,Leadership,13,Completed
26833,Leadership,115,Completed
36907,Compliance,96,Completed
51066,Soft Skills,50,Completed
49902,Soft Skills,112,Completed
23950,Technical,41,In Progress
46153,Compliance,37,In Progress
7183,Leadership,15,Completed
39112,Soft Skills,12,Completed
14864,Technical,54,In Progress
21131,Leadership,93,In Progress
8902,Leadership,59,Completed
23331,Soft Skills,98,Completed
35776,Technical,66,Completed
9675,Compliance,12,Completed
40463,Leadership,59,Completed
29016,Leadership,4,Completed
56443,Soft Skills,75,Completed
48363,Compliance,37,In Progress
21373,Leadership,70,Completed
34678,Soft Skills,95,Completed
40375,Soft Skills,75,In Progress
26120,Compliance,80,Completed
23955,Leadership,106,Completed
24635,Technical,112,Completed
8761,Soft Skills,114,In Progress
55032,Soft Skills,36,Completed
22130,Technical,4,Completed
22071,Compliance,37,In Progress
6265,Leadership,23,Completed
32514,Compliance,84,In Progress
25486,Leadership,80,Completed
40611,Soft Skills,32,Completed
19718,Technical,104,Completed
19972,Technical,9,Completed
16587,Leadership,56,Completed
3724,Soft Skills,12,Completed
2545,Technical,100,Completed
37318,Technical,99,Completed
19698,Soft Skills,89,Completed
48933,Compliance,79,In Progress
2899,Leadership,92,In Progress
30787,Compliance,78,Completed
32966,Leadership,97,Completed
13303,Leadership,59,In Progress
24829,Technical,59,In Progress
59643,Technical,94,In Progress
57715,Technical,102,Completed
51189,Technical,64,Completed
21825,Soft Skills,78,Completed
4647,Compliance,45,Completed
8883,Technical,22,Completed
32515,Compliance,47,Completed
45819,Soft Skills,68,Completed
