employee_id,age,salary,job_satisfaction,attrition_risk
40947,42,146789,5,Low
10365,57,232120,3,Low
11610,23,40471,2,High
77304,47,32186,3,Low
17242,22,182847,4,Low
28225,21,149731,4,Low
17140,50,30864,3,Low
70664,42,169764,1,High
14333,48,90139,3,Low
56808,32,211518,5,Low
4480,44,248269,3,Low
55483,45,19475,3,Low
71129,22,185110,3,Low
38355,23,217142,1,High
40487,53,15885,4,Low
46552,53,39006,4,Low
9235,59,80862,5,Low
34919,30,205037,4,Low
26972,47,137735,2,High
23954,38,122779,3,Low
344,30,115145,5,Low
42577,38,120204,2,High
7217,52,124080,2,High
67947,42,49533,4,Low
43735,59,43915,2,High
66472,40,30477,4,Low
44726,39,158392,4,Low
2789,54,45729,1,High
1361,41,249924,1,High
54691,43,125880,4,Low
18004,37,35957,1,High
12480,39,171044,5,Low
59811,22,52877,4,Low
26509,40,63898,1,High
61646,46,53632,4,Low
9776,37,171915,5,Low
5963,37,221981,2,High
74318,24,220987,3,Low
71762,51,46301,3,Low
52106,28,125492,1,High
53148,23,237628,4,Low
61025,35,86860,5,Low
76606,42,245982,5,Low
25216,44,203768,1,High
52909,50,98255,4,Low
4602,37,92868,3,Low
19047,21,34103,2,High
60988,34,52413,5,Low
860,49,178550,3,Low
45875,42,206521,3,Low
57418,48,63983,2,High
37500,25,214490,5,Low
34323,36,114902,4,Low
43043,41,122656,3,Low
17090,51,67226,2,High
32020,56,56964,5,Low
9761,37,114496,2,High
55658,36,95356,2,High
77186,23,246853,2,High
38354,47,203925,5,Low
39323,51,23145,3,Low
46659,44,240567,2,High
17177,23,193779,2,High
29563,37,248209,1,High
56185,50,47667,4,Low
27991,37,160580,2,High
10870,53,170113,2,High
66449,48,211062,3,Low
17444,53,152737,4,Low
55665,41,166932,5,Low
79289,46,238921,3,Low
37925,43,123726,2,High
75185,21,143522,5,Low
60879,31,53158,3,Low
42473,37,154118,5,Low
21304,48,122410,2,High
15943,53,206734,5,Low
32622,55,50472,5,Low
76397,43,234129,5,Low
61022,21,48711,2,High
25924,35,103980,1,High
78247,52,81031,4,Low
63411,51,37203,1,High
27743,29,81472,1,High
61756,46,177943,1,High
35715,56,239211,4,Low
36438,56,174387,3,Low
5822,57,231878,3,Low
4147,27,169099,2,High
78474,29,136544,3,Low
35661,26,87673,2,High
16512,53,233677,4,Low
49700,50,69141,2,High
13108,35,80222,2,High
78874,24,130132,4,Low
44882,57,157221,5,Low
27502,41,31177,3,Low
66130,55,146129,1,High
7825,22,37663,5,Low
40014,26,176342,4,Low
66027,34,134896,2,High
651,57,237611,5,Low
75449,24,150955,2,High
22058,27,195716,1,High
30405,36,166847,3,Low
45154,27,102146,4,Low
74072,44,130572,3,Low
66806,26,224682,4,Low
69946,52,171506,3,Low
8918,57,122476,2,High
49770,52,60713,4,Low
77323,57,110017,4,Low
27101,52,241230,1,High
8876,31,218598,5,Low
68649,30,128867,2,High
51673,46,167908,1,High
28041,41,119739,5,Low
1145,34,155080,4,Low
22388,43,63537,3,Low
79340,25,113519,2,High
22483,51,42593,1,High
40713,53,234761,4,Low
52930,49,88539,1,High
65816,55,43604,5,Low
32628,45,96206,3,Low
51749,44,111109,3,Low
47956,23,99785,3,Low
21053,41,181910,4,Low
1979,55,180171,1,High
52073,32,154905,5,Low
2795,45,54627,1,High
29070,22,170560,2,High
32397,47,178931,1,High
39979,48,241355,3,Low
23676,28,132444,4,Low
76240,54,206877,1,High
