candidate_id,job_role,interview_rounds,assessment_score,hiring_decision
52947,Manager,3,61,Rejected
61292,Sales,2,59,Rejected
34528,Analyst,5,83,Selected
32946,Engineer,1,56,Rejected
43105,Manager,4,98,Selected
65845,Sales,2,96,Selected
104825,Manager,1,84,Selected
108850,Manager,5,97,Selected
38989,Analyst,2,87,Selected
19430,Sales,4,55,Rejected
35025,Analyst,3,49,Rejected
20724,Sales,1,64,Rejected
37346,Analyst,1,78,Selected
26834,Manager,1,97,Selected
108461,Sales,5,74,Selected
99728,Manager,3,74,Selected
63460,Manager,4,54,Rejected
37782,Engineer,2,46,Rejected
80602,Manager,2,63,Rejected
102273,Manager,2,87,Selected
75101,Sales,5,92,Selected
726,Manager,4,89,Selected
45924,Sales,2,68,Rejected
74528,Sales,5,70,Rejected
101064,Manager,4,80,Selected
76681,Analyst,5,58,Rejected
47993,Analyst,1,56,Rejected
14577,Analyst,4,61,Rejected
95040,Manager,1,72,Selected
116302,Manager,2,42,Rejected
85532,Analyst,1,48,Rejected
67626,Manager,4,92,Selected
32502,Sales,1,95,Selected
92571,Engineer,2,59,Rejected
39658,Analyst,2,57,Rejected
114188,Analyst,1,59,Rejected
114757,Manager,4,93,Selected
54514,Manager,2,87,Selected
22674,Manager,3,62,Rejected
110542,Analyst,4,99,Selected
69711,Sales,4,77,Selected
48842,Sales,5,40,Rejected
113206,Engineer,5,69,Rejected
105545,Engineer,3,56,Rejected
44809,Sales,3,94,Selected
113536,Sales,1,79,Selected
84759,Engineer,5,93,Selected
33108,Engineer,5,43,Rejected
76453,Engineer,3,55,Rejected
33314,Engineer,2,98,Selected
18441,Manager,3,76,Selected
7188,Sales,2,50,Rejected
89345,Sales,4,53,Rejected
103404,Engineer,4,50,Rejected
36769,Analyst,1,71,Selected
6634,Engineer,3,92,Selected
116294,Manager,4,88,Selected
80601,Sales,1,79,Selected
2548,Manager,5,55,Rejected
75994,Analyst,5,58,Rejected
14950,Manager,3,99,Selected
76627,Sales,3,73,Selected
36732,Analyst,4,80,Selected
19839,Engineer,2,68,Rejected
67145,Sales,3,67,Rejected
106480,Manager,4,77,Selected
26171,Sales,4,73,Selected
