employee_id,age,salary,job_satisfaction,attrition_risk
4816,40,245576,5,Low
16446,30,235937,5,Low
55977,49,58621,4,Low
17716,52,59689,4,Low
41749,48,71928,5,Low
10832,25,178212,5,Low
16253,59,128712,1,High
79179,30,67348,1,High
65759,38,85069,3,Low
40726,37,117801,4,Low
67319,59,224119,4,Low
42409,51,197275,5,Low
42928,55,162058,5,Low
68997,32,26599,1,High
21855,33,206604,2,High
28497,56,133672,4,Low
19156,23,201992,1,High
64108,59,168218,4,Low
54533,48,46624,3,Low
1676,44,32529,4,Low
57132,33,107423,5,Low
28526,30,107282,3,Low
78629,21,115396,5,Low
29190,26,177360,1,High
70150,29,127181,1,High
24751,32,134416,2,High
50764,57,167661,5,Low
53885,52,32317,1,High
36603,35,58772,4,Low
55428,51,108221,2,High
69445,46,30383,1,High
61040,21,135029,1,High
10979,22,245096,5,Low
30886,27,127462,2,High
8078,33,237624,5,Low
46054,51,58890,5,Low
59647,43,62268,1,High
67952,25,15798,3,Low
54088,39,109260,1,High
21879,52,19454,1,High
42714,56,82894,5,Low
26132,22,32010,2,High
14803,32,156286,3,Low
24838,48,42699,3,Low
49483,26,20620,4,Low
33484,28,222337,1,High
48508,52,117693,5,Low
29685,47,117359,5,Low
46206,37,206759,3,Low
48661,57,45013,5,Low
46995,21,28267,2,High
6248,56,66976,1,High
34897,39,55436,1,High
49379,29,176203,4,Low
19685,36,186234,2,High
24428,38,49966,3,Low
48374,32,77581,2,High
79966,59,196660,2,High
41043,59,48086,4,Low
16178,49,204726,1,High
45860,33,127444,1,High
73066,36,161101,3,Low
427,27,216424,3,Low
13808,38,247445,3,Low
5813,22,227409,3,Low
51055,55,211563,4,Low
43867,44,140420,2,High
59468,47,151019,3,Low
31220,26,220202,3,Low
5581,49,116684,3,Low
24333,27,235307,4,Low
57603,24,163586,5,Low
58679,46,122419,1,High
72808,21,246878,3,Low
74842,34,77750,2,High
37168,42,220634,4,Low
21612,47,19896,5,Low
39607,27,26903,3,Low
15895,56,65881,4,Low
36983,56,208556,2,High
10123,43,41198,3,Low
66131,46,206767,1,High
61292,26,175166,5,Low
1566,34,171003,5,Low
13218,31,144440,2,High
46043,48,67525,4,Low
44898,33,54435,3,Low
48560,56,189200,4,Low
5624,21,244500,5,Low
67219,51,179933,1,High
54332,21,118049,3,Low
66578,46,146888,2,High
4315,48,114712,3,Low
74516,31,122164,4,Low
72395,37,208748,4,Low
49474,21,228037,4,Low
33957,59,138941,5,Low
12292,52,161148,3,Low
41108,33,109488,4,Low
61047,35,91665,5,Low
65797,44,81259,4,Low
4123,43,95686,4,Low
20773,59,48968,3,Low
31488,39,188039,2,High
74236,37,213250,2,High
76098,50,179531,2,High
11208,32,168270,1,High
7895,26,62578,3,Low
44705,33,147419,2,High
70102,41,129176,3,Low
48529,30,224617,1,High
55217,38,227309,1,High
40620,53,31989,5,Low
59311,47,36970,4,Low
35577,49,50459,1,High
42830,31,92275,5,Low
49974,59,82548,1,High
1892,36,161818,2,High
48599,57,110105,3,Low
39479,42,29855,1,High
59776,33,133485,3,Low
29986,24,197610,1,High
72716,35,188585,1,High
67817,45,120964,1,High
780,39,244639,5,Low
26005,32,166722,5,Low
6109,51,102996,3,Low
43276,30,126808,5,Low
77253,27,136491,4,Low
27925,36,167293,5,Low
71629,40,198050,5,Low
35922,31,137187,3,Low
35857,57,219548,2,High
4854,22,177980,1,High
70586,27,59018,5,Low
68041,55,70831,4,Low
77448,44,177379,1,High
16112,31,212316,2,High
9354,47,163359,3,Low
47191,27,118400,4,Low
27721,29,101661,4,Low
49439,44,241109,5,Low
60514,51,144547,1,High
61980,52,40691,5,Low
46685,46,223608,3,Low
75417,48,185246,1,High
47085,42,181025,5,Low
48860,26,64998,1,High
