employee_id,self_rating,manager_rating,rating_gap
17975,5,2,3
58218,5,3,2
39573,2,2,0
14281,4,5,-1
38646,4,4,0
3621,2,3,-1
48304,4,3,1
8272,4,1,3
66151,1,4,-3
50830,5,4,1
32331,1,5,-4
14931,2,4,-2
34808,2,4,-2
26019,5,2,3
55715,2,1,1
49854,4,1,3
10554,4,3,1
27959,5,5,0
44887,2,5,-3
11139,1,4,-3
35230,4,3,1
58189,2,3,-1
46699,2,3,-1
58645,4,2,2
31908,1,1,0
37546,1,4,-3
43969,5,1,4
4595,4,4,0
42297,2,5,-3
20406,3,3,0
1529,2,4,-2
64424,5,2,3
63509,4,4,0
16697,4,3,1
19362,5,1,4
29054,1,1,0
38178,4,4,0
22489,5,4,1
34314,1,1,0
34500,2,4,-2
17397,3,1,2
48998,4,3,1
37212,2,1,1
49983,1,3,-2
29055,5,1,4
12183,5,1,4
40401,5,5,0
62575,5,1,4
45568,1,1,0
29962,5,3,2
19965,3,2,1
13430,3,4,-1
9161,4,2,2
26676,5,4,1
6501,2,3,-1
9258,1,5,-4
32059,4,1,3
19614,1,3,-2
19972,3,4,-1
55006,5,1,4
35740,2,4,-2
19015,4,2,2
24959,4,5,-1
63164,1,3,-2
26403,3,1,2
23626,1,4,-3
67623,3,4,-1
187,1,3,-2
56074,3,4,-1
37808,4,5,-1
31751,3,4,-1
10693,1,2,-1
5457,5,1,4
22815,2,3,-1
17580,3,3,0
18545,1,4,-3
16803,1,2,-1
49248,3,1,2
45146,3,4,-1
60444,5,1,4
39164,4,1,3
69336,4,1,3
38181,1,2,-1
38331,3,4,-1
45310,3,2,1
17338,4,2,2
41977,2,3,-1
61776,4,3,1
65090,4,1,3
46883,4,5,-1
53607,5,1,4
66933,3,3,0
16956,3,2,1
36263,3,2,1
3643,5,4,1
60809,4,3,1
22833,4,3,1
11928,2,4,-2
21002,5,3,2
42202,4,4,0
68127,2,3,-1
330,3,3,0
5349,3,4,-1
40437,4,5,-1
58960,5,5,0
49435,5,4,1
67108,3,1,2
32388,5,3,2
44682,2,4,-2
58226,2,2,0
2170,5,4,1
46447,2,1,1
44768,3,5,-2
55263,2,5,-3
66797,2,1,1
21026,5,2,3
69813,4,3,1
17760,3,1,2
27257,2,4,-2
45088,3,4,-1
32843,2,1,1
26933,4,1,3
47942,1,1,0
1778,4,2,2
33806,5,2,3
13814,1,4,-3
47197,5,1,4
12009,4,4,0
22864,2,4,-2
39876,3,4,-1
10563,1,2,-1
5331,1,4,-3
34979,2,1,1
19004,3,4,-1
25797,3,1,2
42612,1,2,-1
64027,1,4,-3
29525,1,5,-4
