employee_id,age,salary,job_satisfaction,attrition_risk
15402,49,190464,5,Low
9407,48,173249,1,High
44885,59,172745,1,High
69646,21,58397,4,Low
48752,49,47695,2,High
26363,22,50903,1,High
41787,59,41585,4,Low
65430,28,145328,5,Low
49900,31,94478,3,Low
40191,49,68182,4,Low
45472,34,73413,3,Low
30787,42,228534,2,High
7553,26,194511,2,High
4272,30,169018,2,High
38045,36,23770,1,High
36278,51,77810,2,High
41573,38,181591,3,Low
18243,59,35196,2,High
42554,30,160924,4,Low
43684,23,194208,5,Low
9275,51,132592,5,Low
79959,36,70605,5,Low
31641,41,78736,4,Low
58486,30,145317,4,Low
67685,42,176292,5,Low
39634,48,42536,2,High
9800,24,175150,1,High
38867,27,221670,5,Low
3061,49,165570,4,Low
3723,50,98933,4,Low
56062,38,236267,4,Low
25703,56,173326,1,High
8450,21,241589,4,Low
4400,45,44917,3,Low
25749,22,42712,3,Low
34913,26,168256,1,High
67604,29,142634,3,Low
23180,47,220433,5,Low
76633,41,109795,1,High
59770,55,116860,4,Low
48048,58,75291,2,High
41056,39,191618,4,Low
68315,58,232223,2,High
52853,30,135869,2,High
73312,42,226404,2,High
62755,36,240233,3,Low
65639,55,45138,2,High
9004,45,162047,4,Low
43388,21,213350,1,High
39925,58,191376,4,Low
17058,24,79719,1,High
10841,25,63615,2,High
12252,31,65190,5,Low
4342,50,72124,1,High
16526,58,161971,1,High
40438,43,239783,4,Low
62448,43,180537,4,Low
28562,24,190280,4,Low
68390,38,241781,5,Low
50727,27,63923,5,Low
76330,30,98465,2,High
69122,45,87869,1,High
11911,43,221088,2,High
41173,38,147671,2,High
56693,22,19954,2,High
9877,27,51237,4,Low
75216,29,128497,1,High
3646,31,17070,4,Low
64115,41,195389,2,High
20672,56,169662,3,Low
12539,45,182930,4,Low
54904,38,51692,3,Low
53183,46,45220,3,Low
19147,24,199835,5,Low
34211,37,126199,5,Low
16808,49,193756,2,High
53624,27,69376,5,Low
29434,44,142870,2,High
72158,53,47017,4,Low
74772,34,41596,4,Low
64926,58,81160,2,High
53768,51,205580,4,Low
20914,42,170432,5,Low
6436,21,58095,5,Low
35540,33,120467,2,High
8861,40,238046,5,Low
66270,42,170486,1,High
17243,59,141871,5,Low
29004,33,191861,2,High
44237,44,152237,3,Low
21095,27,193363,1,High
36683,26,73955,5,Low
3576,44,106772,4,Low
14131,43,37511,4,Low
66179,39,238182,2,High
75689,29,55261,1,High
42221,49,225234,2,High
48976,28,193999,5,Low
63567,30,217807,2,High
54924,25,152335,5,Low
66761,31,131840,2,High
30525,48,44128,5,Low
50787,24,201248,3,Low
28128,59,37074,2,High
42729,57,135226,4,Low
69149,34,153806,5,Low
9092,23,100798,5,Low
7507,28,186409,1,High
68684,27,39624,4,Low
5742,54,181699,1,High
7102,36,173552,2,High
25937,57,171864,3,Low
39996,25,151774,1,High
17263,30,42095,4,Low
2424,28,130338,2,High
13072,43,222414,5,Low
7357,36,52815,4,Low
55525,30,243717,2,High
28177,32,173347,3,Low
23129,22,139720,5,Low
371,46,200830,3,Low
16649,30,29014,1,High
30969,54,63446,2,High
29811,25,97378,5,Low
17462,37,105585,2,High
15621,24,99979,5,Low
68148,40,133954,4,Low
48084,47,125181,3,Low
52710,45,132142,5,Low
31047,36,101752,1,High
14944,44,22862,5,Low
27631,37,186743,3,Low
1501,26,178298,5,Low
22920,59,228578,3,Low
26304,44,249167,4,Low
73760,49,221955,5,Low
2830,43,125730,1,High
40636,56,178331,3,Low
22962,40,100846,1,High
75943,47,194900,2,High
79339,23,66709,3,Low
1291,51,34451,3,Low
29272,49,174117,4,Low
79791,36,152115,3,Low
17235,34,186225,5,Low
32093,58,222786,3,Low
79398,45,77805,5,Low
26678,27,15909,2,High
3588,37,108606,1,High
12628,35,209534,3,Low
21019,42,101287,3,Low
26564,31,29199,5,Low
37009,29,88572,1,High
62195,22,230040,4,Low
50314,23,51367,2,High
44961,33,86494,4,Low
53053,53,88228,5,Low
27441,47,16636,5,Low
12454,53,223290,5,Low
48761,54,107178,2,High
60702,39,83045,4,Low
75126,27,188985,5,Low
16640,27,189310,1,High
62426,34,161890,5,Low
57717,33,161261,3,Low
35481,24,79584,4,Low
36109,40,24419,5,Low
60915,30,80394,2,High
1590,55,246003,2,High
31007,46,234491,5,Low
60404,38,206947,3,Low
20249,54,65418,1,High
60578,55,212779,3,Low
37224,49,244109,2,High
21774,45,245988,5,Low
74350,41,26887,2,High
48518,40,200645,3,Low
16726,57,227839,5,Low
77325,36,48183,5,Low
35550,58,146995,1,High
25331,23,133673,2,High
9155,46,45968,5,Low
79106,28,145706,1,High
78973,44,116122,2,High
20873,42,35388,2,High
9595,34,37324,1,High
54544,42,20025,5,Low
53616,24,128685,4,Low
3392,35,197104,3,Low
56829,49,80377,3,Low
14446,47,15790,2,High
21155,49,25151,2,High
10260,37,204311,2,High
42312,43,236945,3,Low
