employee_id,current_level,years_in_current_role,promotion_eligible
17814,Junior,0,No
8985,Junior,1,No
54487,Senior,7,No
49241,Lead,4,No
20548,Junior,4,Yes
42192,Senior,2,No
8641,Junior,4,No
52061,Lead,4,No
37957,Junior,0,Yes
13639,Mid,4,Yes
22955,Lead,4,Yes
15253,Junior,7,Yes
27941,Junior,7,Yes
50373,Junior,1,No
4636,Junior,2,Yes
3365,Lead,3,No
58118,Mid,7,Yes
26915,Mid,0,No
21302,Senior,6,Yes
48477,Mid,5,No
26732,Senior,7,Yes
13923,Mid,4,Yes
10045,Senior,6,No
17331,Junior,1,Yes
14810,Junior,3,No
17120,Lead,4,No
16675,Mid,6,No
38428,Junior,4,Yes
23580,Junior,0,No
57339,Lead,3,No
5168,Mid,1,Yes
58438,Junior,3,No
31264,Senior,3,No
31585,Senior,6,Yes
44536,Senior,5,No
16696,Senior,5,No
39456,Mid,7,No
49352,Senior,1,No
59004,Senior,6,No
50678,Mid,5,No
41490,Senior,2,Yes
18570,Junior,5,No
42971,Mid,5,No
58851,Lead,2,Yes
59787,Mid,3,No
28232,Junior,2,Yes
49849,Senior,0,No
3536,Mid,7,Yes
13369,Senior,6,No
2635,Lead,4,Yes
5457,Junior,2,Yes
27807,Senior,4,Yes
3948,Mid,2,No
31977,Junior,3,No
59243,Lead,7,No
36763,Mid,5,Yes
1391,Junior,7,Yes
57985,Senior,4,No
55593,Lead,3,Yes
29829,Lead,0,Yes
24153,Lead,3,Yes
17113,Junior,3,Yes
13927,Senior,5,Yes
34905,Mid,7,Yes
53663,Mid,1,Yes
22228,Junior,0,Yes
36809,Mid,4,No
17381,Mid,5,No
58427,Mid,0,No
682,Junior,0,Yes
46709,Senior,3,Yes
23996,Senior,2,No
10712,Mid,7,No
45052,Senior,5,No
56243,Lead,5,No
35384,Lead,6,No
24548,Senior,1,Yes
47949,Lead,2,No
19797,Lead,0,No
18192,Lead,0,Yes
12933,Lead,7,No
49389,Senior,4,No
49946,Junior,1,No
39846,Junior,7,Yes
37542,Lead,2,No
21898,Mid,7,No
6624,Lead,6,Yes
34299,Junior,3,No
32703,Junior,7,Yes
59123,Mid,4,No
17830,Mid,3,No
40108,Mid,3,No
57160,Mid,3,No
37754,Lead,0,No
51218,Lead,4,Yes
22971,Senior,5,No
58806,Junior,4,No
42259,Senior,4,No
18810,Senior,1,No
13711,Junior,2,No
21380,Mid,7,Yes
106,Junior,0,No
10407,Mid,3,Yes
18280,Lead,3,No
19668,Junior,0,No
18807,Mid,1,No
9881,Junior,4,No
27447,Mid,7,Yes
47247,Mid,0,No
52348,Junior,5,Yes
16832,Junior,6,Yes
11395,Mid,0,No
37680,Senior,7,No
4189,Mid,1,No
6954,Lead,3,No
14203,Mid,5,Yes
32465,Junior,4,No
47306,Lead,7,No
2666,Mid,1,No
18930,Lead,5,Yes
59896,Junior,1,Yes
22874,Junior,0,No
46214,Lead,7,No
38114,Mid,0,No
4765,Mid,7,Yes
18069,Junior,2,No
51322,Senior,7,No
53596,Mid,4,No
49371,Senior,0,Yes
43687,Senior,3,Yes
8512,Mid,6,Yes
49353,Mid,2,Yes
17225,Mid,4,Yes
53571,Mid,5,Yes
55315,Junior,3,No
14023,Mid,7,No
34679,Mid,1,Yes
2942,Lead,0,Yes
57291,Mid,2,No
44897,Senior,3,No
57799,Senior,0,Yes
6862,Mid,6,No
2930,Senior,3,No
23893,Lead,7,No
32542,Senior,3,No
14256,Lead,7,No
29539,Senior,1,No
58979,Senior,4,Yes
43499,Junior,6,Yes
8595,Junior,4,No
24765,Senior,4,No
53070,Lead,5,No
10565,Junior,0,No
18130,Senior,2,No
48097,Junior,3,Yes
6326,Mid,0,No
31811,Senior,0,Yes
43483,Senior,1,No
28349,Junior,3,Yes
12745,Senior,4,No
35735,Junior,6,Yes
36471,Junior,4,Yes
59023,Junior,7,No
13974,Senior,0,Yes
12741,Junior,5,Yes
36299,Senior,5,No
52239,Senior,2,Yes
4904,Senior,1,No
53154,Lead,4,No
58111,Lead,5,No
10999,Senior,1,No
6872,Mid,3,No
981,Senior,6,No
35447,Senior,7,No
54378,Mid,0,Yes
46314,Senior,4,No
36875,Senior,2,No
38515,Lead,0,No
36936,Mid,1,No
19176,Senior,4,No
37085,Mid,0,No
37844,Junior,2,No
17268,Mid,6,No
22090,Mid,3,Yes
30418,Junior,1,Yes
39070,Lead,5,No
21109,Mid,3,No
53854,Lead,2,Yes
27946,Lead,6,Yes
4283,Junior,3,No
11666,Lead,1,Yes
28447,Junior,2,Yes
17794,Junior,4,No
40243,Lead,0,No
44747,Mid,5,Yes
17765,Junior,4,No
54589,Junior,2,Yes
34947,Lead,6,No
55,Lead,5,No
28558,Junior,0,No
1518,Junior,5,Yes
16351,Senior,2,Yes
14955,Mid,2,No
43162,Mid,3,Yes
34694,Junior,7,No
48051,Mid,1,No
10743,Lead,2,No
21852,Lead,7,Yes
19,Lead,1,Yes
30040,Senior,1,No
21747,Junior,2,Yes
22226,Junior,3,No
53883,Mid,2,Yes
21517,Senior,5,No
35886,Senior,1,No
6252,Senior,7,No
31310,Lead,6,Yes
38339,Junior,0,No
6192,Senior,1,No
59758,Lead,1,No
30159,Senior,5,Yes
41661,Lead,6,No
40733,Lead,1,No
41611,Lead,5,Yes
53034,Senior,3,No
59905,Mid,3,No
32896,Junior,0,No
45714,Lead,6,Yes
32565,Lead,2,Yes
4363,Senior,4,Yes
15792,Senior,5,No
36107,Lead,7,No
37035,Mid,7,Yes
41246,Lead,3,No
4157,Mid,3,Yes
10041,Junior,0,Yes
19977,Senior,0,No
48081,Senior,2,No
22359,Mid,4,Yes
3029,Lead,0,No
8267,Junior,2,Yes
58072,Mid,5,No
44060,Senior,6,No
38268,Lead,1,No
50103,Mid,7,Yes
27285,Senior,6,No
37483,Lead,1,No
23406,Senior,4,Yes
51062,Mid,1,No
56553,Mid,1,Yes
56249,Lead,7,Yes
44616,Senior,1,Yes
41469,Junior,5,No
5076,Junior,5,No
123,Lead,7,Yes
5348,Mid,5,No
42261,Senior,4,Yes
40234,Junior,2,No
56237,Lead,0,No
57284,Junior,2,Yes
54060,Mid,2,No
47469,Junior,2,No
34365,Junior,2,No
37229,Lead,2,No
26433,Senior,0,No
18427,Senior,1,Yes
11569,Senior,5,Yes
6657,Senior,3,No
35858,Lead,4,No
4901,Lead,0,No
20437,Senior,0,No
21994,Lead,5,Yes
46640,Junior,7,No
53491,Senior,5,Yes
55423,Lead,6,No
57744,Senior,7,No
785,Mid,0,No
545,Lead,7,No
47952,Junior,7,Yes
13884,Mid,7,No
38630,Senior,7,No
14949,Junior,1,Yes
36028,Senior,5,Yes
206,Lead,3,No
59132,Lead,4,Yes
23818,Senior,7,No
11350,Senior,0,No
40215,Mid,0,No
59315,Junior,2,No
17946,Mid,4,Yes
46350,Senior,4,Yes
23405,Mid,6,No
41028,Mid,6,Yes
58799,Senior,2,No
28806,Mid,4,No
42199,Mid,7,Yes
28557,Mid,4,Yes
24795,Lead,3,Yes
25362,Senior,5,No
56659,Senior,3,No
58250,Senior,7,No
15995,Junior,4,No
6097,Lead,7,No
52283,Mid,6,No
33035,Senior,1,No
23873,Junior,0,No
30619,Junior,5,No
29306,Senior,1,No
22447,Lead,0,No
41510,Mid,5,No
31861,Senior,0,No
52835,Junior,5,Yes
31727,Mid,7,No
47567,Junior,3,Yes
34098,Lead,5,No
47600,Lead,1,No
55388,Junior,4,No
22214,Mid,1,No
27742,Mid,7,No
30296,Lead,0,No
17139,Junior,7,Yes
3646,Mid,4,Yes
20924,Lead,4,No
26612,Junior,5,No
29515,Senior,3,No
48896,Senior,3,Yes
29765,Lead,4,No
33919,Lead,2,No
2201,Mid,5,No
16602,Senior,5,Yes
16266,Mid,5,No
649,Mid,7,Yes
27669,Senior,7,No
40327,Junior,4,Yes
39357,Lead,6,No
18141,Lead,3,No
54980,Junior,6,No
34780,Junior,3,No
56872,Senior,2,Yes
30810,Lead,7,No
55715,Senior,4,Yes
56755,Mid,2,No
1107,Junior,1,No
5293,Lead,6,Yes
213,Junior,2,Yes
54762,Lead,6,No
8808,Lead,2,No
27714,Mid,1,No
