candidate_id,position,experience_years,interview_score,source,hired
100001,Analyst,7,3.3,Referral,No
100002,Analyst,13,9.7,LinkedIn,Yes
100003,Software Engineer,1,4.1,Job Portal,No
100004,Manager,11,1.6,LinkedIn,No
100005,Software Engineer,4,9.1,Referral,Yes
100006,Manager,10,9.0,LinkedIn,Yes
100007,Software Engineer,14,3.1,Campus,No
100008,Manager,7,4.2,LinkedIn,No
100009,HR Executive,3,2.8,Campus,No
100010,HR Executive,11,9.3,Job Portal,Yes
100011,Manager,13,1.5,Job Portal,No
100012,HR Executive,0,9.9,Campus,Yes
100013,Manager,10,6.2,LinkedIn,No
100014,HR Executive,11,3.7,Campus,No
100015,Manager,2,8.7,Campus,Yes
100016,Manager,7,3.0,Referral,No
100017,Manager,4,7.3,Job Portal,Yes
100018,Manager,9,7.3,Job Portal,Yes
100019,Software Engineer,13,7.6,LinkedIn,Yes
100020,Analyst,6,3.8,LinkedIn,No
100021,Software Engineer,14,5.9,Job Portal,No
100022,Manager,14,5.6,Job Portal,No
100023,Analyst,12,1.4,Job Portal,No
100024,Manager,13,7.7,Campus,Yes
100025,HR Executive,8,8.7,Referral,Yes
100026,Analyst,14,4.0,Referral,No
100027,Software Engineer,14,5.9,LinkedIn,No
100028,Analyst,6,6.9,Job Portal,Yes
100029,Manager,1,1.7,LinkedIn,No
100030,Manager,13,9.2,Campus,Yes
100031,HR Executive,9,6.1,Campus,No
100032,HR Executive,0,4.1,Campus,No
100033,Analyst,8,1.2,Job Portal,No
100034,HR Executive,12,3.4,Referral,No
100035,Software Engineer,10,1.7,Campus,No
100036,HR Executive,12,7.4,LinkedIn,Yes
100037,Software Engineer,1,1.7,Referral,No
100038,HR Executive,2,1.1,LinkedIn,No
100039,Manager,10,4.5,LinkedIn,No
100040,Manager,0,3.1,Campus,No
100041,Analyst,5,1.6,LinkedIn,No
100042,Analyst,12,8.8,Job Portal,Yes
100043,HR Executive,7,3.1,Referral,No
100044,HR Executive,10,6.8,Job Portal,Yes
100045,Analyst,9,4.1,Job Portal,No
100046,Manager,6,2.9,LinkedIn,No
100047,Software Engineer,6,6.5,Campus,Yes
100048,Analyst,0,9.3,Campus,Yes
100049,HR Executive,7,6.7,LinkedIn,Yes
100050,Manager,6,5.2,LinkedIn,No
100051,HR Executive,10,8.5,Campus,Yes
100052,HR Executive,0,5.4,Job Portal,No
100053,Manager,5,9.4,Job Portal,Yes
100054,Manager,3,6.9,Referral,Yes
100055,Analyst,10,7.3,Referral,Yes
100056,Manager,2,5.9,Job Portal,No
100057,Manager,8,2.7,Job Portal,No
100058,Manager,9,4.5,LinkedIn,No
100059,Analyst,13,2.4,Job Portal,No
100060,HR Executive,6,2.7,Campus,No
100061,HR Executive,10,4.4,Referral,No
100062,Manager,5,5.8,Job Portal,No
100063,HR Executive,13,6.4,Referral,No
100064,Software Engineer,14,9.5,LinkedIn,Yes
100065,Software Engineer,9,5.2,Campus,No
100066,Software Engineer,13,3.2,LinkedIn,No
100067,Analyst,2,5.9,Job Portal,No
100068,HR Executive,7,3.1,LinkedIn,No
100069,Software Engineer,4,5.2,LinkedIn,No
100070,Analyst,3,1.7,Referral,No
100071,Software Engineer,2,1.3,Referral,No
100072,Analyst,4,4.7,LinkedIn,No
100073,Manager,4,3.9,Campus,No
100074,Software Engineer,6,9.9,Job Portal,Yes
100075,Analyst,1,8.1,LinkedIn,Yes
100076,HR Executive,7,3.2,Job Portal,No
100077,Manager,6,9.3,Campus,Yes
100078,Software Engineer,0,9.4,Referral,Yes
100079,HR Executive,9,4.9,Job Portal,No
100080,Analyst,4,4.6,Referral,No
100081,Analyst,12,4.6,Campus,No
100082,Software Engineer,3,8.1,LinkedIn,Yes
100083,Manager,11,1.6,LinkedIn,No
100084,HR Executive,5,6.2,Campus,No
100085,Manager,11,4.0,Job Portal,No
100086,Software Engineer,10,7.0,Job Portal,Yes
100087,Analyst,2,1.1,LinkedIn,No
100088,Software Engineer,9,5.0,Campus,No
100089,Analyst,14,6.6,Job Portal,Yes
100090,Analyst,12,1.5,Job Portal,No
100091,HR Executive,12,5.5,Campus,No
100092,Software Engineer,6,2.3,Campus,No
100093,Analyst,7,7.0,Job Portal,Yes
100094,HR Executive,2,8.2,Campus,Yes
100095,HR Executive,12,7.8,Job Portal,Yes
100096,Analyst,7,6.7,Job Portal,Yes
100097,Analyst,3,8.1,Referral,Yes
100098,Manager,6,4.5,Job Portal,No
100099,Analyst,13,7.1,Job Portal,Yes
100100,Software Engineer,13,2.7,Job Portal,No
100101,Software Engineer,5,6.4,Job Portal,No
100102,Manager,3,6.3,LinkedIn,No
100103,Software Engineer,13,3.1,Campus,No
100104,Analyst,4,6.3,Campus,No
100105,Manager,12,8.5,LinkedIn,Yes
100106,Software Engineer,4,1.1,Job Portal,No
100107,HR Executive,6,5.5,Campus,No
100108,HR Executive,11,8.9,Referral,Yes
100109,HR Executive,8,9.8,LinkedIn,Yes
100110,HR Executive,9,5.3,LinkedIn,No
100111,Software Engineer,6,7.3,Campus,Yes
100112,HR Executive,8,3.7,Campus,No
100113,Manager,3,5.5,Job Portal,No
100114,Software Engineer,3,2.6,Referral,No
100115,Analyst,14,7.5,Referral,Yes
100116,HR Executive,10,6.2,Campus,No
100117,Manager,8,5.3,Referral,No
100118,Software Engineer,8,5.6,Referral,No
100119,Software Engineer,8,7.9,Campus,Yes
100120,Software Engineer,6,6.7,Job Portal,Yes
100121,Software Engineer,11,9.4,LinkedIn,Yes
100122,HR Executive,11,3.7,Campus,No
100123,Manager,14,3.3,Job Portal,No
100124,Analyst,12,4.9,Referral,No
100125,HR Executive,7,1.4,Job Portal,No
100126,Analyst,11,5.1,Job Portal,No
100127,Software Engineer,11,1.3,Job Portal,No
100128,HR Executive,12,9.7,LinkedIn,Yes
100129,HR Executive,10,5.7,LinkedIn,No
100130,HR Executive,9,4.0,Campus,No
100131,Manager,8,3.9,Referral,No
100132,HR Executive,14,9.1,Referral,Yes
