employee_id,age,salary,job_satisfaction,attrition_risk
26837,47,128548,3,Low
15864,55,60107,2,High
32346,39,65170,2,High
27640,31,136906,5,Low
30793,53,31801,4,Low
10312,25,74920,5,Low
37354,54,228129,4,Low
68877,42,215767,5,Low
59534,59,237420,1,High
64735,50,134375,1,High
24972,39,45716,4,Low
62976,51,138874,4,Low
25038,33,170168,4,Low
13616,57,22414,1,High
67180,56,149393,4,Low
9293,56,186839,2,High
50242,49,248697,5,Low
20613,32,37182,1,High
25019,38,119974,5,Low
63770,34,154626,4,Low
32876,44,156417,5,Low
51198,28,207097,2,High
30913,45,153458,1,High
29089,45,239768,2,High
48588,52,143232,3,Low
49924,50,17899,4,Low
59334,34,67674,2,High
28771,47,71708,4,Low
53643,52,191074,3,Low
59439,25,225260,5,Low
15574,57,245599,4,Low
65782,35,35388,2,High
50598,57,146797,2,High
51507,59,160390,4,Low
74980,42,138096,3,Low
76980,57,143921,4,Low
78470,23,234410,5,Low
38922,54,114072,2,High
79068,21,155146,3,Low
64644,45,32587,5,Low
12318,21,124172,1,High
49668,46,119936,4,Low
58410,51,93005,4,Low
12117,59,68627,2,High
47892,35,51005,4,Low
14895,41,217788,1,High
20186,41,70243,5,Low
14346,35,73410,3,Low
20882,46,48633,2,High
21861,32,74051,2,High
78828,42,136064,5,Low
29101,24,67764,2,High
35912,40,191558,2,High
79323,42,189110,4,Low
16233,37,75238,3,Low
63542,23,98863,2,High
27722,23,18268,1,High
68046,59,144206,5,Low
67233,55,108341,2,High
68547,53,99439,3,Low
56004,50,153745,5,Low
34839,58,145425,4,Low
47390,25,61466,3,Low
26881,59,212496,1,High
72921,57,45659,3,Low
62493,58,204931,2,High
13452,55,205718,4,Low
57680,26,163584,3,Low
3099,22,234949,2,High
31230,37,69369,3,Low
48446,25,27002,4,Low
33349,56,220779,5,Low
45147,46,99905,4,Low
76324,36,187143,4,Low
57572,22,22166,3,Low
72478,29,56523,2,High
38874,39,186088,4,Low
66887,45,74686,2,High
64916,47,80914,5,Low
11718,29,83812,3,Low
41543,43,91858,3,Low
14286,38,156984,1,High
11309,51,146821,2,High
78476,30,23944,1,High
46325,53,106864,4,Low
40776,21,118951,4,Low
71778,26,45282,4,Low
2867,51,243270,3,Low
39202,57,158217,3,Low
38561,49,20259,1,High
53721,39,247100,5,Low
52707,46,115913,3,Low
44933,57,67091,3,Low
72590,46,84187,2,High
19050,33,228467,5,Low
63901,36,149746,5,Low
20462,41,193475,5,Low
57473,35,45828,1,High
9973,46,194697,4,Low
70661,40,193349,2,High
15273,51,148757,4,Low
77087,23,242088,2,High
31995,45,43063,1,High
77127,29,43431,4,Low
14453,33,123243,5,Low
48502,49,125286,5,Low
22377,47,143227,4,Low
38961,29,130560,5,Low
62398,22,243263,3,Low
74621,26,246225,5,Low
11776,41,79462,5,Low
69118,21,42566,4,Low
22839,29,157406,3,Low
28671,24,133221,3,Low
38063,53,51584,5,Low
48595,36,114029,2,High
33411,58,69542,4,Low
9922,42,178413,5,Low
17888,25,46666,2,High
8472,59,133122,3,Low
48408,53,54197,1,High
58071,40,170147,2,High
61343,24,179550,1,High
62748,52,197760,4,Low
23607,59,243405,4,Low
32378,37,111811,4,Low
49601,35,226807,4,Low
65234,27,46731,2,High
73812,23,138817,1,High
28209,59,185066,3,Low
21621,52,122713,4,Low
24817,55,56653,5,Low
19995,36,163818,2,High
50013,35,188838,3,Low
57507,47,29711,3,Low
19811,29,214744,2,High
25400,36,45965,1,High
32957,53,249142,5,Low
19721,41,57384,2,High
23376,25,66140,3,Low
10985,32,40337,3,Low
15545,41,156554,1,High
24171,39,43781,5,Low
68332,57,139911,4,Low
20526,24,162979,1,High
21012,31,172722,1,High
8972,41,119256,2,High
17776,57,199064,1,High
41657,59,203308,1,High
26150,52,192364,3,Low
74942,21,132119,5,Low
18231,41,138100,1,High
23330,56,82418,5,Low
4125,41,135872,5,Low
43001,39,172535,5,Low
20957,29,216383,4,Low
9540,59,23800,5,Low
53396,34,46313,2,High
26119,22,50417,4,Low
61389,57,202975,5,Low
20486,51,179609,5,Low
26388,28,194693,2,High
27953,25,157308,4,Low
65135,29,108982,4,Low
39123,59,180382,3,Low
67337,39,39775,3,Low
13461,43,16960,1,High
33084,28,170506,5,Low
21199,31,134644,3,Low
37646,23,204315,2,High
23836,50,167433,1,High
69087,37,89430,1,High
40350,44,38138,2,High
76952,42,67514,4,Low
49841,23,204491,3,Low
11065,21,80305,3,Low
18924,53,94637,3,Low
64854,33,25204,1,High
36476,38,175746,1,High
56144,28,87136,4,Low
42312,40,143951,4,Low
25978,49,46839,5,Low
13733,59,181712,2,High
78809,29,237880,2,High
52688,58,21351,1,High
1157,35,98079,5,Low
1954,48,206835,5,Low
34097,40,31731,3,Low
78641,31,147896,1,High
12989,46,123560,2,High
13168,49,199369,5,Low
60514,38,51037,2,High
21277,22,22309,3,Low
31796,35,202156,5,Low
59441,52,160325,2,High
55121,47,180176,3,Low
47807,21,233937,4,Low
68739,35,73646,5,Low
56007,40,231743,1,High
4743,41,200946,2,High
47115,34,168693,1,High
26982,35,249354,5,Low
78973,30,94031,5,Low
65040,55,122054,1,High
28588,21,88454,2,High
39828,25,64777,5,Low
65834,29,201045,1,High
7767,30,170361,3,Low
10077,38,213668,1,High
