employee_id,remote_days_per_month,performance_score,work_life_balance_score,remote_suitability
64831,20,59,3,Low
51898,5,84,5,High
17152,20,88,2,Low
79900,3,59,4,Low
40739,13,65,3,Low
16488,6,60,4,Low
43966,3,93,1,Low
23003,16,84,5,High
2161,10,54,3,Low
839,19,60,4,Low
42349,3,80,4,High
63339,12,71,2,Low
87968,19,73,3,Low
23946,4,73,1,Low
6590,14,52,5,Low
73783,10,79,4,High
34117,11,84,1,Low
81506,18,96,1,Low
19345,16,74,5,High
82397,17,54,1,Low
18791,19,54,2,Low
2729,0,62,3,Low
660,4,98,1,Low
76280,16,68,1,Low
86956,4,60,3,Low
88194,12,71,5,High
12988,9,96,3,Low
50756,10,90,5,High
7633,1,80,1,Low
2210,1,58,2,Low
24354,0,62,4,Low
36303,2,62,3,Low
33087,16,52,1,Low
48626,13,79,2,Low
43760,20,66,4,Low
59333,2,96,2,Low
71034,14,58,1,Low
67695,21,97,5,High
62484,21,76,5,High
64863,17,59,1,Low
81742,17,70,4,Low
2243,2,86,1,Low
165,4,81,1,Low
14234,11,56,4,Low
21325,13,86,2,Low
224,7,62,1,Low
77728,21,51,5,Low
40904,9,71,1,Low
21600,12,88,4,High
33479,20,71,2,Low
40214,12,65,3,Low
55161,11,82,3,Low
70189,2,82,3,Low
12261,11,72,4,High
48992,5,58,5,Low
89790,19,88,5,High
11495,15,66,1,Low
33936,16,67,3,Low
73836,13,93,1,Low
59891,16,72,5,High
7120,14,58,1,Low
25555,2,83,5,High
67026,5,69,5,Low
18305,4,71,3,Low
23388,17,98,3,Low
18936,12,96,3,Low
29690,16,58,5,Low
66440,13,92,3,Low
74878,15,54,2,Low
48076,6,83,1,Low
14875,9,56,2,Low
60094,21,55,3,Low
66626,20,64,2,Low
56951,1,76,1,Low
77508,10,55,4,Low
85182,8,71,4,High
38272,5,65,1,Low
41390,10,72,4,High
51326,12,82,4,High
18564,14,85,4,High
84816,6,83,2,Low
28049,7,50,5,Low
3633,9,90,4,High
8008,4,67,5,Low
46134,1,72,5,High
63099,20,95,2,Low
58326,9,90,5,High
65860,3,90,3,Low
20152,9,59,4,Low
61520,8,98,2,Low
25806,6,77,2,Low
27058,14,65,3,Low
73230,17,89,5,High
71648,5,67,4,Low
34375,1,69,5,Low
79201,12,60,5,Low
82123,7,86,5,High
26754,14,78,2,Low
78051,10,93,2,Low
69371,21,54,2,Low
29411,20,90,5,High
28596,16,76,1,Low
85105,20,70,5,Low
67352,16,67,1,Low
73020,18,68,2,Low
59361,19,66,1,Low
24333,2,66,5,Low
51343,21,59,4,Low
13397,20,81,1,Low
52638,3,78,1,Low
75435,2,65,2,Low
59443,12,61,4,Low
9787,1,84,1,Low
57188,1,60,1,Low
74842,12,61,5,Low
7462,2,76,3,Low
60856,0,90,3,Low
77976,18,90,2,Low
70585,20,86,5,High
15390,8,96,1,Low
5415,13,83,1,Low
75152,12,88,4,High
29492,2,76,4,High
21055,7,96,3,Low
451,21,98,5,High
27834,19,59,2,Low
40622,5,56,2,Low
61913,7,85,1,Low
76592,7,89,3,Low
21144,11,67,3,Low
41432,0,52,5,Low
3958,1,80,4,High
48503,10,78,1,Low
17763,0,63,2,Low
47140,5,53,4,Low
66937,16,93,2,Low
58318,12,63,5,Low
37623,1,53,5,Low
62577,18,52,4,Low
28313,7,60,1,Low
28607,2,77,2,Low
38961,5,83,5,High
30229,12,76,3,Low
37736,12,90,1,Low
55319,2,96,1,Low
21581,2,65,5,Low
11160,13,92,2,Low
52117,20,80,4,High
50728,12,67,3,Low
67034,3,88,4,High
12801,9,53,1,Low
78376,20,74,3,Low
25105,3,54,1,Low
68304,8,66,1,Low
63824,19,92,4,High
79323,9,92,3,Low
2029,2,55,4,Low
30779,11,73,3,Low
23955,4,96,4,High
41991,1,50,4,Low
50038,16,96,4,High
65434,18,60,1,Low
64518,1,93,3,Low
36300,1,64,1,Low
