employee_id,age,salary,job_satisfaction,attrition_risk
21395,28,98395,2,High
28278,56,126304,2,High
43388,53,132193,5,Low
67805,25,227037,1,High
8706,46,125571,5,Low
51562,48,31881,4,Low
39282,36,87226,5,Low
56863,23,151443,1,High
773,58,62566,3,Low
16562,31,90110,3,Low
74959,54,130168,4,Low
2064,45,152312,3,Low
60574,49,48049,3,Low
44101,45,149679,4,Low
70811,24,178302,3,Low
71744,27,166517,1,High
39687,32,212139,5,Low
25937,38,109510,3,Low
54356,47,185265,5,Low
65103,55,209409,1,High
76628,27,213253,2,High
30034,40,140577,5,Low
26397,31,239932,1,High
64863,52,175363,4,Low
13007,37,180647,1,High
4599,54,61348,3,Low
79609,38,137864,1,High
11868,52,138060,3,Low
26761,40,215691,5,Low
34882,44,119166,5,Low
38827,31,181982,2,High
11326,29,211091,5,Low
60363,27,234450,4,Low
58429,39,27504,1,High
48892,32,191239,1,High
27719,36,200263,4,Low
20674,32,142237,2,High
59682,57,97910,5,Low
27212,27,195401,3,Low
41654,52,211146,5,Low
27677,49,67534,3,Low
13913,48,121754,1,High
79905,45,70193,2,High
75183,38,128853,4,Low
42133,37,201887,1,High
40309,39,19406,4,Low
21043,46,20318,3,Low
37724,32,120568,1,High
69897,30,216043,2,High
72435,32,104184,2,High
34463,30,70388,1,High
16722,55,225897,2,High
6239,43,202583,2,High
68895,45,138886,4,Low
6957,34,35272,1,High
13449,27,61664,4,Low
39915,33,127334,4,Low
9731,26,83845,2,High
57885,56,118391,1,High
66980,44,31802,1,High
15974,26,98265,5,Low
5027,39,208822,1,High
66493,56,74156,5,Low
76611,23,147071,1,High
60183,30,242757,5,Low
15962,34,120959,2,High
72111,49,192446,1,High
8568,33,18331,3,Low
14664,48,108437,2,High
52793,35,110251,1,High
75513,45,196225,2,High
66378,59,110356,2,High
18676,44,230317,3,Low
69702,56,55581,4,Low
77606,51,232308,2,High
55475,30,23076,2,High
14626,39,29462,5,Low
50843,41,84706,1,High
78017,37,62652,2,High
28852,55,178240,1,High
16654,55,29262,2,High
26014,52,184144,4,Low
47798,56,84779,3,Low
52463,35,31944,3,Low
18048,45,17702,4,Low
40240,33,163077,2,High
46945,36,49298,4,Low
57259,23,151335,2,High
7522,57,54364,1,High
70685,33,91291,1,High
49159,29,165921,4,Low
9110,52,50589,1,High
23916,40,82466,2,High
24209,28,82012,1,High
77018,50,201944,3,Low
29306,52,227827,3,Low
5326,28,160570,1,High
