employee_id,age,salary,job_satisfaction,attrition_risk
52201,24,127674,1,High
73022,41,201837,3,Low
49038,37,187546,4,Low
3748,38,80024,4,Low
44580,28,178182,2,High
74326,40,87396,5,Low
42951,38,221229,2,High
73052,32,140485,1,High
60592,49,106135,1,High
26292,39,100668,2,High
51094,32,77457,5,Low
32274,54,246253,5,Low
51529,48,173764,2,High
24494,55,215865,1,High
50063,57,48512,2,High
33091,29,184354,2,High
11623,36,150256,4,Low
70538,56,160164,1,High
5381,58,117954,4,Low
63459,24,244190,5,Low
15477,59,187266,1,High
60663,37,141946,1,High
75981,39,41679,5,Low
48799,53,159117,1,High
63929,58,129872,4,Low
35713,29,210560,5,Low
13384,55,190038,1,High
51615,51,65578,2,High
43394,53,106242,5,Low
10884,37,61520,3,Low
46046,33,143318,1,High
45337,59,44141,2,High
52701,31,234486,3,Low
65402,26,21303,3,Low
36671,31,231090,4,Low
35528,33,17380,1,High
47012,25,87804,1,High
77915,58,72335,2,High
46836,33,211907,1,High
21207,54,55594,3,Low
56058,26,127638,4,Low
36573,33,134984,2,High
61115,44,40256,4,Low
57405,51,239429,3,Low
33312,25,210930,2,High
42568,24,58588,5,Low
27794,47,177092,2,High
41705,43,214648,2,High
67340,52,106137,3,Low
67267,34,41969,2,High
72110,33,106328,3,Low
24736,57,84326,5,Low
4456,21,51775,5,Low
27517,46,40960,5,Low
28025,31,210286,2,High
42710,25,114861,2,High
63918,29,84236,5,Low
24253,23,240185,5,Low
52958,21,18517,2,High
48642,24,161004,2,High
76459,38,141157,1,High
23098,56,31624,3,Low
42456,44,230208,5,Low
70166,56,123020,4,Low
7627,26,52937,2,High
27230,51,82562,5,Low
48509,48,90678,5,Low
488,40,135687,2,High
55761,39,49751,5,Low
23468,48,39623,1,High
47009,51,108119,2,High
60330,32,110745,5,Low
47803,46,49607,5,Low
34843,53,48027,1,High
24245,47,135033,3,Low
47364,34,153618,2,High
50851,44,236542,3,Low
62493,35,96107,3,Low
38494,43,207937,2,High
34152,23,123489,5,Low
7724,25,184832,3,Low
30969,44,37965,1,High
56789,49,71460,1,High
55624,59,55233,3,Low
33827,47,39379,1,High
54929,24,186970,4,Low
25234,46,67978,1,High
45200,54,63209,1,High
4409,52,36279,4,Low
39139,53,78617,2,High
50623,36,194376,3,Low
7909,47,119426,5,Low
33490,44,134719,3,Low
45070,31,49104,3,Low
67442,27,143071,4,Low
20416,25,172562,2,High
72511,51,132191,4,Low
77140,50,177833,1,High
28424,48,77899,2,High
76501,24,209658,1,High
32184,56,172758,5,Low
42709,47,79082,3,Low
67452,57,161010,1,High
32834,22,171969,3,Low
21627,27,48277,4,Low
61564,38,215862,3,Low
76939,28,104011,2,High
20701,37,29615,2,High
69265,30,182322,3,Low
9636,44,196770,2,High
520,49,166166,3,Low
52097,24,140416,5,Low
10528,40,177011,4,Low
48752,49,74433,1,High
60961,54,178655,2,High
43612,47,133478,5,Low
65537,32,188368,5,Low
10209,51,118256,2,High
71935,26,122375,1,High
53688,54,34127,3,Low
21053,23,189560,4,Low
57808,25,220396,1,High
31268,52,227553,3,Low
8111,40,151222,1,High
44017,41,111008,2,High
57800,57,32442,2,High
20900,29,211802,1,High
54593,21,172640,4,Low
62672,37,130389,2,High
41616,21,40682,1,High
55048,28,88053,2,High
12858,57,136216,5,Low
33829,45,203594,2,High
31954,35,134601,4,Low
56007,23,35313,4,Low
13877,34,123753,4,Low
47167,33,237736,1,High
65058,58,50348,3,Low
79984,29,45444,3,Low
32505,41,92857,4,Low
31578,32,181113,3,Low
5080,21,132606,2,High
56969,39,132750,2,High
61373,41,105387,5,Low
5336,32,67945,2,High
79107,43,79072,2,High
21489,32,128753,2,High
23043,42,179566,5,Low
67147,55,107771,5,Low
2743,22,241984,2,High
61933,49,194325,3,Low
55980,33,201730,4,Low
75445,44,142026,3,Low
60163,52,123752,1,High
506,33,40996,1,High
24214,58,16017,2,High
58383,48,76661,2,High
68889,23,121149,4,Low
15657,43,89790,3,Low
2891,28,128498,2,High
20390,29,162674,2,High
44151,42,204250,1,High
78922,30,190940,4,Low
21848,46,37625,5,Low
70449,42,243822,1,High
68914,56,118908,1,High
32772,35,139814,4,Low
58223,21,157585,3,Low
29538,24,85366,5,Low
2807,41,48141,5,Low
1941,27,38280,1,High
36233,29,247262,2,High
55126,34,117385,5,Low
42912,58,117071,2,High
29634,39,220225,3,Low
19281,28,215798,1,High
31266,47,80442,5,Low
20443,55,28772,4,Low
73776,57,123981,2,High
51448,28,183584,2,High
49172,31,150389,3,Low
26301,32,204554,5,Low
8939,33,109699,3,Low
34022,59,236594,4,Low
39958,35,160937,1,High
29802,25,170785,2,High
60575,37,119931,2,High
45053,25,184471,5,Low
28800,42,131608,3,Low
62897,31,193922,1,High
2186,57,128200,4,Low
62312,32,237888,5,Low
47237,31,209375,2,High
59649,37,74949,4,Low
17982,56,167043,2,High
67532,40,248020,5,Low
52946,37,64865,5,Low
10489,51,114693,4,Low
67917,56,67282,4,Low
25767,56,220046,4,Low
8205,28,67476,5,Low
31717,39,127606,4,Low
17783,34,189289,2,High
6447,30,43506,4,Low
35165,36,70594,2,High
66902,56,237325,3,Low
2914,56,98572,3,Low
41565,47,109695,2,High
30181,28,152775,5,Low
39453,48,225779,3,Low
63624,44,138075,5,Low
29304,54,132808,1,High
45025,28,237414,2,High
1915,45,123548,2,High
12719,28,203657,1,High
5121,32,162462,5,Low
24663,31,229586,3,Low
55408,53,167830,3,Low
71539,47,177622,1,High
67862,51,135844,4,Low
29139,40,239439,2,High
66927,59,239011,4,Low
49310,39,34764,1,High
36939,53,85281,2,High
52640,39,171567,4,Low
69603,27,244389,3,Low
56262,59,22320,4,Low
2932,38,207943,5,Low
39701,47,108950,2,High
64734,57,192257,4,Low
68929,46,242351,4,Low
