employee_id,training_hours,pre_training_score,post_training_score,skill_improvement
57459,20,58,80,22
7310,68,40,85,45
60129,4,64,75,11
14265,1,49,80,31
4318,110,70,90,20
43215,101,73,67,-6
27008,29,52,84,32
29589,7,77,69,-8
59065,59,76,92,16
62662,21,50,79,29
28714,112,44,65,21
11564,66,64,62,-2
28196,94,58,99,41
19805,96,70,68,-2
55514,24,43,98,55
59576,99,51,66,15
60018,21,77,75,-2
48306,66,62,99,37
16742,52,73,78,5
1448,34,51,95,44
46881,72,54,64,10
20587,119,46,73,27
40364,39,65,72,7
20365,59,48,63,15
26343,44,57,91,34
69510,37,40,86,46
49805,69,79,76,-3
45837,106,78,63,-15
69142,83,49,68,19
22559,83,50,85,35
57718,21,71,91,20
21402,37,53,85,32
30004,38,68,98,30
22402,89,70,65,-5
52869,97,64,72,8
16701,5,60,75,15
22228,35,61,70,9
13395,26,69,74,5
31186,18,41,72,31
44218,14,48,84,36
51377,50,55,94,39
26644,87,50,99,49
27110,61,64,95,31
29095,63,45,78,33
13662,66,45,69,24
42710,92,48,80,32
58861,118,73,79,6
23662,92,71,78,7
34450,92,41,60,19
17419,19,55,65,10
24316,20,60,90,30
55678,20,64,86,22
17261,31,76,63,-13
5459,38,52,75,23
24524,114,54,97,43
65319,27,66,64,-2
59657,81,71,68,-3
12668,9,75,70,-5
15613,28,78,96,18
46318,63,55,67,12
37794,0,78,79,1
35762,12,41,93,52
46136,8,56,96,40
18871,23,78,65,-13
45295,63,74,91,17
18896,55,48,81,33
29872,99,72,60,-12
63303,9,40,70,30
53609,6,74,65,-9
2579,53,78,96,18
36446,0,76,90,14
14021,15,66,90,24
9856,104,74,99,25
884,52,72,66,-6
22697,114,67,99,32
33777,99,71,79,8
9120,84,77,86,9
34726,50,50,70,20
60183,87,77,71,-6
33574,68,69,67,-2
635,61,48,67,19
56721,84,66,70,4
6715,67,76,62,-14
25860,104,48,62,14
13947,118,59,60,1
27964,56,45,90,45
45855,78,65,72,7
57399,37,55,98,43
60473,111,66,99,33
15954,105,75,61,-14
5275,105,43,91,48
8393,21,61,76,15
68499,109,40,72,32
45681,73,49,85,36
41046,2,51,82,31
34579,99,47,89,42
69643,63,46,86,40
44818,59,67,69,2
17193,95,64,77,13
15039,74,43,91,48
45410,79,74,95,21
3015,103,72,61,-11
36668,83,59,78,19
56495,104,40,95,55
10626,70,67,81,14
66659,25,54,92,38
58259,69,74,93,19
17653,23,70,87,17
60730,3,76,69,-7
9063,90,55,81,26
25420,51,47,88,41
36212,29,76,86,10
37992,38,49,80,31
53789,38,76,82,6
6631,95,79,89,10
10542,43,77,64,-13
28102,11,45,97,52
38971,3,75,64,-11
46573,90,67,90,23
52144,77,62,85,23
15212,65,57,94,37
24859,65,47,93,46
20346,46,70,71,1
62690,113,57,84,27
8503,5,50,77,27
51345,34,53,91,38
58273,92,45,75,30
62147,82,70,84,14
50547,69,51,89,38
30621,66,66,81,15
31495,0,71,82,11
67387,32,45,74,29
51452,61,75,82,7
46404,83,69,84,15
21992,27,67,92,25
3568,87,79,94,15
44445,67,61,68,7
44545,76,59,64,5
66622,114,64,60,-4
12317,34,76,84,8
30637,74,79,75,-4
42615,8,56,65,9
28962,33,79,86,7
19575,118,49,88,39
34034,85,76,95,19
61969,73,44,86,42
31587,109,77,63,-14
20267,9,52,96,44
62944,6,45,78,33
65376,41,67,83,16
62442,76,67,62,-5
4872,50,67,97,30
55972,94,46,76,30
9856,5,53,72,19
57778,57,56,63,7
45463,101,79,66,-13
28868,19,46,85,39
18613,27,66,77,11
58086,107,69,93,24
28981,49,70,95,25
27464,55,43,71,28
62911,105,78,62,-16
36804,29,46,65,19
12241,32,77,96,19
56173,57,70,96,26
42514,19,55,60,5
5416,17,52,81,29
65739,72,55,73,18
44020,4,62,99,37
35577,8,67,79,12
49560,69,78,72,-6
45246,14,43,77,34
69666,113,50,91,41
55554,31,70,79,9
65120,42,77,62,-15
54381,44,40,64,24
44366,94,46,87,41
69856,54,73,84,11
54116,27,62,86,24
23349,81,50,76,26
29850,8,75,91,16
7108,57,61,88,27
44076,101,52,61,9
67362,103,40,63,23
39460,7,65,86,21
22691,63,41,79,38
62714,32,55,98,43
45842,48,59,66,7
51544,43,70,89,19
63322,32,44,87,43
38598,85,40,62,22
12045,79,68,80,12
47189,26,47,72,25
37426,3,40,87,47
8566,70,42,93,51
16020,27,69,67,-2
20752,88,65,86,21
3543,72,45,69,24
17618,80,45,63,18
19832,90,44,97,53
37665,23,64,74,10
64204,36,66,74,8
54612,90,72,73,1
43343,61,72,88,16
57515,93,66,98,32
33027,87,76,77,1
13355,28,62,95,33
1703,25,78,90,12
62963,45,63,60,-3
8854,38,60,62,2
36031,112,43,89,46
19889,43,68,76,8
54515,119,44,60,16
47823,14,77,98,21
8490,96,52,75,23
32496,100,71,85,14
61752,48,72,94,22
31858,74,61,68,7
15043,6,62,93,31
15667,19,47,60,13
17995,63,52,78,26
25193,45,62,80,18
23978,24,54,76,22
48871,52,55,64,9
50529,52,46,93,47
9455,92,41,78,37
7741,85,54,60,6
24615,14,43,63,20
27529,112,64,88,24
46379,70,70,89,19
60068,119,73,89,16
16379,46,43,94,51
10422,80,52,89,37
8328,64,57,94,37
66989,54,65,80,15
25239,83,69,78,9
51457,42,58,97,39
52138,52,69,72,3
36886,83,61,70,9
41750,88,51,95,44
9972,92,61,72,11
58415,30,71,96,25
39188,101,67,85,18
961,70,45,81,36
28922,14,50,75,25
3677,36,45,90,45
25202,33,77,71,-6
21673,74,58,95,37
41773,37,71,73,2
15995,20,42,63,21
41615,12,49,82,33
42729,106,40,86,46
12340,75,60,96,36
40492,69,58,87,29
33599,107,77,84,7
16789,75,71,75,4
5429,30,76,77,1
24149,9,64,90,26
26242,15,69,97,28
38849,113,76,74,-2
3561,81,75,81,6
18389,61,40,78,38
6002,60,50,65,15
6351,91,73,98,25
39631,0,55,75,20
67852,101,60,99,39
31126,100,75,65,-10
29263,92,69,83,14
18621,111,68,93,25
9266,41,47,64,17
67142,91,67,66,-1
10639,96,64,63,-1
54566,111,61,63,2
14662,20,43,78,35
5540,111,54,93,39
7926,21,40,91,51
23203,7,55,84,29
26036,76,68,66,-2
58082,17,76,63,-13
35340,99,62,86,24
25796,19,40,74,34
12334,111,42,99,57
56236,113,54,64,10
59877,66,56,99,43
6628,81,46,91,45
56552,50,57,65,8
60255,30,64,84,20
51091,94,58,99,41
840,95,72,98,26
40913,18,77,78,1
5854,2,47,66,19
65853,105,47,72,25
12738,52,69,97,28
49259,20,73,67,-6
27787,45,78,81,3
37661,48,55,61,6
50625,119,73,82,9
47918,48,50,96,46
17063,28,76,66,-10
50161,119,45,61,16
56249,90,65,85,20
52273,0,67,91,24
234,0,77,71,-6
37239,38,70,95,25
10750,63,55,62,7
6768,113,76,75,-1
47938,4,43,98,55
8554,70,51,88,37
509,34,79,65,-14
54072,84,68,85,17
37519,71,65,89,24
9683,116,75,93,18
45542,58,40,86,46
31290,60,55,98,43
67735,109,54,78,24
50752,113,71,80,9
40418,82,69,67,-2
12460,86,63,72,9
45084,110,71,71,0
3631,70,42,63,21
5389,7,45,84,39
36969,31,51,66,15
52875,112,45,75,30
42128,77,47,75,28
57451,74,51,63,12
12909,34,74,85,11
17051,73,70,84,14
16720,48,70,92,22
12411,47,50,64,14
15057,81,64,90,26
42970,85,68,92,24
29854,93,47,91,44
10307,22,55,84,29
29631,113,69,99,30
37606,112,61,61,0
60435,110,55,90,35
17449,43,56,61,5
35665,37,76,97,21
29552,10,45,83,38
60356,52,63,77,14
4897,113,65,98,33
25603,12,57,66,9
44293,65,48,86,38
470,32,66,91,25
51173,86,58,71,13
11851,94,45,61,16
45774,28,68,78,10
119,46,72,76,4
46929,65,61,97,36
9967,75,63,68,5
7022,77,67,98,31
27137,2,51,89,38
19704,114,67,62,-5
1884,94,43,65,22
35462,66,65,92,27
46811,95,61,70,9
42226,114,52,89,37
1267,23,59,78,19
19110,40,77,97,20
54746,119,73,74,1
7210,2,52,80,28
31992,45,45,97,52
30089,31,61,97,36
11979,112,54,97,43
66385,116,51,91,40
26907,66,66,71,5
3748,7,61,87,26
53477,13,46,79,33
32022,16,62,92,30
4005,47,74,60,-14
69058,112,62,95,33
8448,61,50,80,30
45585,87,51,88,37
40033,33,64,87,23
1313,27,72,73,1
58349,115,44,62,18
28593,30,61,85,24
54606,114,70,82,12
54370,8,79,76,-3
67638,24,41,80,39
1690,16,41,89,48
41372,45,72,89,17
42057,8,53,64,11
18812,93,42,61,19
2621,88,43,87,44
15606,48,64,65,1
25935,107,41,88,47
24568,58,78,82,4
33748,50,47,80,33
27476,80,75,82,7
4151,63,72,66,-6
61622,114,58,65,7
67930,87,53,93,40
35979,69,72,74,2
31630,3,45,65,20
26026,20,74,77,3
22950,13,58,83,25
22206,19,56,79,23
37316,86,44,76,32
42034,98,43,87,44
52814,72,66,88,22
920,5,75,99,24
34830,28,57,98,41
21222,21,66,81,15
22593,103,49,95,46
59122,78,60,80,20
40020,115,44,85,41
11762,41,46,66,20
39169,59,75,89,14
5614,39,52,64,12
