employee_id,age,salary,job_satisfaction,attrition_risk
75217,52,40215,4,Low
53358,57,200900,4,Low
12762,47,108526,3,Low
22273,30,159040,1,High
77011,27,15552,5,Low
13168,35,198849,5,Low
68030,46,106749,2,High
55436,47,174820,5,Low
6103,53,196737,1,High
33020,24,22357,3,Low
64272,40,87401,5,Low
59235,27,157023,3,Low
53285,33,130876,3,Low
47919,48,49636,1,High
61802,32,172051,4,Low
14134,22,92113,2,High
15992,53,171020,4,Low
55021,41,188579,5,Low
58282,48,224488,2,High
58959,27,108427,1,High
36690,26,114987,3,Low
10157,39,52142,3,Low
43058,56,51811,4,Low
9861,28,149322,5,Low
40905,25,181240,1,High
17130,46,176411,4,Low
28477,36,156561,4,Low
42360,53,200792,3,Low
4740,30,154962,2,High
6407,59,208805,4,Low
47428,36,117316,4,Low
19789,32,25162,5,Low
34896,51,21250,3,Low
67799,44,93813,3,Low
75257,25,183420,4,Low
48788,38,222299,1,High
49386,39,51453,3,Low
34062,54,124377,4,Low
40289,45,23038,3,Low
46636,37,169869,5,Low
23540,54,186197,2,High
1069,34,211576,5,Low
25034,35,47660,2,High
42656,23,84661,1,High
37007,35,112719,4,Low
73411,42,195465,2,High
46863,52,61827,3,Low
14351,28,66327,2,High
36145,39,92481,4,Low
54397,33,21266,1,High
61859,49,243308,1,High
62047,45,208264,5,Low
4770,40,119645,5,Low
45216,36,44622,3,Low
13267,43,121551,1,High
2436,26,126238,1,High
5940,57,77038,3,Low
57531,26,58326,3,Low
54463,56,136739,3,Low
69045,35,151954,5,Low
32249,39,237240,3,Low
49869,31,175730,3,Low
18058,56,92052,3,Low
6711,44,95509,4,Low
70809,37,94578,4,Low
52441,51,129861,5,Low
19777,47,120917,5,Low
42784,23,219552,3,Low
10206,55,105317,1,High
39726,52,133562,1,High
4368,31,137032,1,High
59727,33,225893,5,Low
1065,31,151152,3,Low
41197,59,17700,1,High
45563,35,196688,4,Low
62460,24,59972,5,Low
14410,33,200447,1,High
37033,49,113087,5,Low
8261,38,17024,3,Low
49838,39,149345,4,Low
51410,59,174793,2,High
78546,57,155205,4,Low
32863,53,122853,1,High
79279,42,173167,4,Low
14328,49,55807,3,Low
8247,30,175722,2,High
20150,57,130056,2,High
38126,24,221050,5,Low
68843,47,186112,4,Low
13569,37,184665,2,High
10144,36,236811,2,High
22979,22,102678,1,High
36457,22,222866,5,Low
16894,42,161540,5,Low
12417,58,166227,5,Low
51064,27,75969,3,Low
37578,55,169355,1,High
34050,44,84715,3,Low
46650,31,219610,3,Low
72776,48,110474,2,High
66115,34,172236,1,High
6147,34,228906,4,Low
835,58,191820,3,Low
34521,29,197332,3,Low
30389,30,112740,1,High
37977,24,149313,1,High
35322,31,140664,5,Low
4271,46,81090,3,Low
10632,59,18004,3,Low
61850,40,198012,5,Low
12818,33,65358,3,Low
14047,40,185634,2,High
72819,34,242351,1,High
32174,58,161314,3,Low
28760,49,244711,4,Low
28925,29,161647,2,High
12271,31,234052,5,Low
17850,32,124766,1,High
17681,58,122460,3,Low
13293,21,224442,2,High
23933,23,86234,2,High
1925,55,212299,1,High
71750,48,104724,5,Low
54108,56,189942,4,Low
51296,53,222030,1,High
43340,30,129987,5,Low
23459,45,188408,2,High
35028,39,111854,3,Low
68514,27,23918,4,Low
19091,37,41982,4,Low
37764,50,163343,3,Low
69621,57,71902,2,High
35640,33,162091,1,High
39155,56,146181,5,Low
39960,45,60972,3,Low
73834,29,208560,3,Low
73626,28,150103,1,High
18943,58,187156,1,High
15087,34,97185,5,Low
25236,44,133860,2,High
16237,44,39878,2,High
52895,41,115189,2,High
75861,27,197270,1,High
69887,37,100665,1,High
76495,51,166574,3,Low
68167,39,214799,2,High
19652,46,161153,2,High
14265,30,118649,5,Low
61741,59,183773,3,Low
52010,27,32510,5,Low
28549,31,70859,2,High
79610,57,72430,3,Low
24045,29,28665,2,High
64910,27,169824,3,Low
41698,59,49197,4,Low
24298,24,37505,5,Low
5948,43,231262,4,Low
75076,33,125047,1,High
50722,54,237685,5,Low
3534,30,95205,3,Low
23284,32,156808,2,High
14,45,18970,1,High
25379,38,153128,3,Low
13215,33,47716,4,Low
66471,45,167757,4,Low
23776,48,27670,1,High
73404,46,29551,5,Low
5974,54,167081,1,High
71780,21,55561,2,High
3232,41,107258,5,Low
35310,33,43120,2,High
68908,53,82270,1,High
16474,46,147419,2,High
34740,29,123243,1,High
45632,30,148460,4,Low
30145,38,105839,5,Low
15496,23,175014,5,Low
33009,48,16375,5,Low
8652,34,209868,5,Low
17767,33,184283,5,Low
60369,21,207605,1,High
