department,current_headcount,projected_growth_pct,future_headcount
Finance,93,0.97,94.0
Tech,172,0.38,173.0
Tech,175,21.1,212.0
Sales,174,16.1,202.0
Tech,271,-2.37,265.0
Finance,79,-8.78,72.0
Tech,254,-1.75,250.0
HR,267,-0.49,266.0
Finance,250,5.12,263.0
Finance,158,3.98,164.0
Tech,269,8.73,292.0
HR,294,6.98,315.0
Sales,54,-6.73,50.0
Tech,222,23.26,274.0
Sales,139,12.09,156.0
HR,35,-0.54,35.0
Finance,5,9.9,5.0
Finance,66,12.29,74.0
Tech,270,24.49,336.0
Tech,284,-0.03,284.0
Sales,13,17.71,15.0
Finance,80,14.79,92.0
HR,59,3.28,61.0
Finance,284,7.32,305.0
Finance,81,6.98,87.0
Tech,30,10.04,33.0
Tech,293,-0.54,291.0
HR,179,-7.17,166.0
Sales,221,9.79,243.0
Sales,189,17.92,223.0
Sales,159,14.54,182.0
Sales,50,9.82,55.0
Finance,298,22.87,366.0
Tech,27,18.88,32.0
HR,61,21.5,74.0
Finance,214,-5.97,201.0
Tech,116,13.24,131.0
Finance,80,11.44,89.0
Finance,236,-9.86,213.0
Finance,293,-6.27,275.0
Sales,138,1.24,140.0
Sales,209,2.44,214.0
Tech,276,24.33,343.0
Sales,266,19.11,317.0
Tech,20,4.93,21.0
Sales,135,-4.5,129.0
Finance,94,1.24,95.0
Finance,146,13.91,166.0
Finance,54,17.96,64.0
HR,71,14.71,81.0
HR,289,5.22,304.0
Finance,254,5.93,269.0
Finance,191,18.54,226.0
HR,75,14.77,86.0
Finance,47,19.46,56.0
Tech,169,20.92,204.0
Sales,29,-4.52,28.0
Finance,56,21.35,68.0
Tech,79,8.36,86.0
Sales,110,16.8,128.0
Sales,129,4.55,135.0
Tech,286,23.91,354.0
Tech,84,15.3,97.0
Sales,86,9.92,95.0
Finance,38,0.68,38.0
Sales,266,3.1,274.0
HR,58,20.69,70.0
Sales,299,7.65,322.0
Tech,215,13.57,244.0
Sales,19,16.32,22.0
Tech,160,-0.58,159.0
Finance,21,-2.73,20.0
HR,234,-4.26,224.0
Tech,57,11.56,64.0
Tech,191,19.37,228.0
Tech,8,11.36,9.0
Finance,236,-9.47,214.0
HR,139,3.7,144.0
Sales,269,-3.5,260.0
HR,48,-4.89,46.0
Sales,279,15.53,322.0
Finance,122,-4.68,116.0
Finance,254,1.38,258.0
Sales,196,1.35,199.0
Sales,204,-8.73,186.0
Finance,93,12.71,105.0
Finance,174,12.04,195.0
Finance,197,-5.78,186.0
Finance,76,16.63,89.0
HR,280,12.41,315.0
Finance,92,9.5,101.0
Sales,113,24.54,141.0
Tech,61,2.13,62.0
Finance,283,5.78,299.0
Sales,194,16.17,225.0
Tech,180,16.1,209.0
HR,224,-4.9,213.0
Tech,163,9.85,179.0
HR,215,-3.88,207.0
Sales,120,-3.62,116.0
HR,104,7.11,111.0
Sales,207,8.74,225.0
HR,214,21.54,260.0
Finance,90,22.35,110.0
Tech,143,6.64,152.0
HR,281,-7.68,259.0
Finance,100,-5.18,95.0
HR,176,17.59,207.0
Finance,198,-2.03,194.0
Sales,195,-5.86,184.0
Finance,126,16.06,146.0
Sales,281,-0.13,281.0
Tech,253,4.43,264.0
HR,232,14.88,267.0
Sales,128,15.43,148.0
Sales,213,-1.0,211.0
Finance,36,23.05,44.0
Finance,153,20.46,184.0
Tech,67,4.39,70.0
Finance,256,19.79,307.0
Finance,174,12.48,196.0
Sales,177,6.54,189.0
Finance,11,-0.92,11.0
Finance,34,-2.44,33.0
HR,183,8.64,199.0
Tech,107,15.12,123.0
Tech,89,-3.91,86.0
Finance,295,-1.39,291.0
HR,290,-8.16,266.0
HR,44,9.93,48.0
Finance,121,23.65,150.0
Tech,273,13.56,310.0
Sales,129,0.65,130.0
Finance,256,21.95,312.0
HR,62,-3.97,60.0
Finance,252,21.73,307.0
HR,298,22.03,364.0
HR,162,18.72,192.0
HR,86,-5.52,81.0
Tech,262,7.36,281.0
HR,85,22.97,105.0
Sales,86,5.97,91.0
Tech,100,19.73,120.0
HR,37,12.42,42.0
Tech,289,5.3,304.0
Finance,133,-5.94,125.0
Sales,254,3.49,263.0
Tech,147,-6.34,138.0
Finance,122,-1.02,121.0
Sales,17,4.07,18.0
Finance,112,11.7,125.0
Sales,127,2.66,130.0
Tech,240,2.73,247.0
HR,237,19.93,284.0
Tech,134,19.37,160.0
Finance,136,-9.73,123.0
Sales,73,20.63,88.0
