department,current_headcount,projected_hiring,projected_attrition,planning_year
Sales,276,50,31,2024
HR,335,51,11,2026
IT,57,40,1,2024
Sales,397,19,75,2024
Finance,122,25,39,2026
Sales,114,86,1,2025
Finance,107,0,3,2024
Sales,157,49,3,2025
IT,490,27,56,2026
HR,468,93,38,2026
IT,373,12,2,2026
Finance,169,68,26,2024
Sales,451,99,40,2026
HR,434,52,64,2025
Finance,23,81,58,2025
IT,252,45,35,2026
HR,457,84,40,2025
Operations,201,94,25,2024
HR,283,14,23,2024
HR,431,24,28,2026
Operations,461,19,68,2024
IT,476,9,6,2026
Operations,290,4,18,2024
Finance,476,62,56,2026
Sales,90,6,14,2025
Finance,50,12,39,2026
HR,389,14,58,2025
Finance,69,45,20,2026
Finance,153,6,43,2025
Operations,198,38,39,2025
HR,223,44,55,2025
IT,296,43,7,2024
IT,161,73,75,2026
Finance,94,19,0,2025
HR,460,2,34,2026
Finance,419,66,25,2026
Sales,63,13,75,2024
Operations,247,16,76,2025
HR,206,22,70,2026
Finance,34,57,65,2024
IT,477,22,42,2026
Sales,480,51,19,2024
Operations,121,45,27,2025
Operations,465,66,47,2026
Sales,86,89,2,2025
HR,436,12,12,2025
Marketing,140,95,12,2026
Marketing,485,29,65,2026
Sales,491,85,58,2026
Finance,442,33,16,2026
Marketing,230,44,28,2024
Marketing,65,99,44,2024
Sales,453,40,34,2026
Finance,257,49,22,2024
Marketing,337,49,50,2024
Marketing,450,77,65,2025
Marketing,110,35,12,2024
HR,185,49,46,2024
IT,114,22,18,2026
Operations,197,62,68,2025
Finance,285,43,79,2026
IT,328,25,69,2026
IT,251,16,29,2025
Sales,261,74,79,2024
Operations,262,73,52,2025
Finance,281,98,26,2024
Sales,150,91,78,2024
Operations,332,89,53,2024
IT,105,67,71,2026
HR,251,29,55,2026
Operations,299,46,75,2024
HR,350,31,43,2024
Operations,167,55,37,2026
IT,246,11,27,2026
HR,184,59,71,2024
IT,419,24,47,2024
HR,97,96,1,2026
Operations,56,29,42,2026
HR,449,18,52,2026
HR,450,43,2,2026
IT,180,19,0,2025
Finance,125,52,39,2025
Operations,484,69,76,2024
IT,174,40,53,2026
Finance,92,28,31,2024
Marketing,198,39,26,2026
Sales,458,0,26,2025
Marketing,285,76,44,2025
Finance,320,26,48,2024
Operations,34,40,21,2026
IT,21,37,55,2025
Operations,64,13,50,2026
IT,156,34,30,2024
Operations,144,12,5,2024
Operations,326,26,38,2025
Marketing,219,59,30,2025
IT,69,34,45,2025
Sales,244,97,28,2025
Finance,449,57,7,2025
Finance,63,70,32,2024
Marketing,427,16,14,2026
Marketing,171,78,21,2024
Operations,138,77,11,2024
HR,343,42,63,2025
Finance,422,25,36,2024
IT,186,84,59,2024
Operations,417,83,42,2026
Sales,58,5,31,2026
Marketing,205,83,4,2024
IT,304,92,20,2025
Marketing,346,66,22,2026
Marketing,472,84,20,2024
IT,392,98,22,2026
IT,228,6,18,2024
Operations,177,40,49,2026
HR,175,29,59,2025
Operations,427,43,24,2024
IT,294,92,23,2026
Marketing,259,79,44,2024
Marketing,432,28,40,2026
HR,187,31,67,2026
Finance,97,52,13,2025
HR,295,28,41,2024
IT,340,19,75,2026
HR,470,7,13,2025
Operations,454,42,17,2026
HR,207,86,26,2025
Finance,497,63,60,2024
Marketing,386,88,21,2025
Marketing,463,26,20,2024
Sales,119,2,74,2025
Finance,161,82,19,2024
HR,330,31,70,2024
Sales,88,78,39,2025
