respondent_id,brand_recall_score,purchase_intent_score,survey_channel,survey_date
42090,8,8,Offline,2023-12-13 16:14:03
43172,6,3,Online,2022-12-02 21:47:13
26712,2,3,Online,2023-12-14 09:53:43
49289,2,10,Online,2022-08-28 12:09:18
46214,7,4,Online,2021-10-05 06:36:19
14706,10,8,Online,2020-07-04 10:19:19
31878,5,1,Online,2024-05-11 23:49:08
16255,10,3,Online,2022-10-28 01:07:18
24889,3,1,Offline,2018-01-17 17:12:06
29761,3,3,Offline,2020-10-30 05:25:10
49448,5,8,Offline,2021-06-02 18:14:18
46126,1,9,Online,2024-05-06 12:00:19
23032,6,1,Online,2020-03-21 19:18:49
33054,10,6,Offline,2023-07-26 10:14:58
46432,4,9,Online,2019-11-22 09:01:47
8505,4,4,Online,2018-12-10 00:45:13
40478,1,4,Offline,2019-09-29 06:49:16
43750,5,8,Offline,2021-04-30 06:20:47
25234,9,8,Offline,2020-07-23 00:04:42
47107,1,4,Online,2018-05-14 03:05:00
2524,9,8,Offline,2021-09-29 02:11:54
28152,6,9,Offline,2021-08-26 17:50:53
6539,1,8,Online,2018-08-26 07:52:16
39554,9,3,Online,2018-07-18 07:34:28
21364,9,7,Online,2024-04-06 20:00:43
2769,10,2,Online,2024-08-29 05:35:18
1869,4,4,Offline,2020-02-13 00:46:21
48825,3,10,Online,2022-06-16 08:25:47
3941,5,1,Online,2020-07-19 16:18:13
9349,9,5,Offline,2019-07-02 03:25:48
3068,5,4,Offline,2021-02-03 00:57:51
48690,4,5,Offline,2019-10-23 21:42:52
19618,1,9,Offline,2024-03-20 04:05:57
33331,5,7,Offline,2019-10-31 17:35:50
42140,2,4,Online,2019-12-03 04:37:04
34680,7,9,Online,2018-06-13 04:49:22
49301,10,8,Online,2023-09-03 21:09:44
8311,8,9,Offline,2019-10-11 03:23:46
35508,4,6,Online,2024-07-08 01:47:33
6686,3,10,Offline,2024-07-01 02:02:31
23754,6,6,Offline,2024-10-13 15:56:56
18798,7,3,Offline,2018-04-08 10:11:36
49063,1,9,Offline,2021-02-18 15:45:38
4629,10,2,Online,2020-03-11 08:28:55
14878,7,4,Online,2022-11-18 17:25:59
33143,3,3,Online,2024-06-13 04:53:43
26789,3,8,Online,2020-10-04 08:38:11
19262,9,3,Online,2019-06-16 04:39:44
35437,5,1,Offline,2023-12-02 20:24:11
28392,10,4,Offline,2021-11-23 05:20:02
24749,1,3,Online,2020-05-05 22:12:11
6848,2,8,Offline,2018-02-11 23:50:52
35191,7,7,Online,2021-01-12 02:30:45
44,5,6,Online,2020-11-22 06:10:30
48776,9,6,Offline,2023-03-09 17:01:44
10105,10,7,Offline,2021-01-12 01:09:12
18336,3,4,Offline,2020-09-07 09:15:37
44675,10,5,Offline,2021-07-05 06:04:41
41156,9,1,Offline,2022-07-08 03:47:34
35066,10,3,Offline,2018-05-12 21:50:26
10801,3,10,Offline,2020-12-07 18:46:26
49736,1,9,Online,2023-10-22 19:26:38
31496,8,8,Offline,2022-08-23 21:16:14
46497,9,3,Offline,2018-04-07 00:04:13
16290,8,7,Online,2022-09-02 19:37:23
950,5,8,Online,2024-09-18 02:41:44
34786,8,8,Offline,2018-08-08 16:09:59
46490,3,2,Offline,2021-11-25 20:21:05
30817,7,6,Offline,2019-08-14 02:56:48
21518,3,6,Offline,2022-05-28 11:07:35
10378,10,3,Offline,2021-06-18 12:20:26
16892,1,8,Offline,2021-09-18 15:30:59
28095,8,1,Offline,2018-03-14 13:39:29
19301,10,10,Offline,2020-07-26 08:53:48
15379,4,4,Offline,2020-03-20 17:51:00
26482,9,10,Offline,2023-01-29 11:07:33
27371,2,5,Online,2022-08-18 21:11:51
31420,2,4,Online,2022-11-22 16:50:24
46471,4,9,Offline,2022-04-26 02:18:56
14466,1,7,Online,2021-04-10 05:43:56
23269,3,5,Offline,2022-06-15 16:42:54
45120,9,5,Offline,2019-09-28 07:31:18
10842,9,1,Offline,2021-06-14 03:09:39
48820,8,9,Online,2023-08-19 10:25:13
35304,5,6,Online,2019-05-11 18:21:46
40979,1,9,Online,2023-02-21 11:51:27
45266,1,10,Online,2024-04-15 11:22:02
43935,2,8,Offline,2021-06-04 06:48:00
34018,5,5,Online,2019-06-11 11:06:28
5664,1,5,Offline,2023-08-24 06:45:44
49907,5,3,Online,2020-03-02 08:37:07
3836,4,5,Online,2023-03-07 03:03:40
38354,10,5,Online,2022-10-25 18:33:04
32950,7,7,Offline,2018-09-07 16:50:59
6357,3,9,Offline,2021-12-01 03:31:49
28167,1,10,Online,2022-07-31 17:00:05
23801,6,9,Offline,2022-06-27 12:25:03
47585,2,3,Online,2024-06-25 05:13:43
25202,8,8,Online,2024-07-31 07:22:21
36165,5,10,Offline,2020-06-20 13:46:24
13671,10,1,Offline,2024-08-16 01:15:38
24502,1,2,Offline,2024-07-31 22:50:29
18287,4,4,Offline,2019-07-26 16:16:02
9970,9,4,Online,2023-05-31 01:38:08
46887,7,5,Online,2020-11-03 07:42:26
30797,5,3,Offline,2022-08-26 17:57:02
2878,7,1,Offline,2019-04-15 12:07:39
