user_id,acquisition_channel,acquisition_cost,time_to_convert_days,converted,signup_date
28826,Social,4411,14,No,2018-07-09 10:40:26
22124,Referral,2634,8,No,2019-06-29 09:36:06
16210,Organic,1477,6,Yes,2019-09-11 05:21:38
22042,Organic,4276,17,No,2022-03-27 18:58:07
23431,Social,3967,36,No,2022-11-25 02:11:41
21350,Organic,1887,37,Yes,2022-02-08 03:15:15
19067,Organic,1879,37,Yes,2021-03-07 07:02:42
26915,Paid Search,3221,13,No,2019-06-28 18:38:07
27796,Organic,4043,35,No,2022-12-09 02:23:52
3250,Paid Search,3548,13,No,2018-11-15 02:20:34
10102,Organic,2813,41,No,2022-11-19 21:04:23
29959,Paid Search,1478,18,Yes,2018-11-08 16:00:01
27757,Paid Search,4097,40,No,2023-10-24 04:35:08
8928,Paid Search,4991,22,No,2024-03-02 15:26:43
26644,Social,1732,19,Yes,2022-05-23 04:46:15
24652,Referral,223,30,Yes,2023-01-23 10:38:05
11770,Paid Search,2303,31,No,2019-11-13 20:35:40
25314,Referral,4569,38,No,2023-01-31 17:01:34
25056,Referral,3729,5,No,2020-03-02 03:22:44
714,Organic,2321,9,No,2024-12-20 05:44:33
264,Referral,3191,17,No,2019-05-15 05:54:10
24897,Paid Search,4197,5,No,2018-02-14 02:58:54
14188,Organic,2554,31,No,2022-05-20 10:09:57
7394,Paid Search,4564,1,No,2019-11-19 12:32:40
26986,Social,2346,16,No,2022-08-23 02:37:29
56,Organic,632,14,Yes,2020-09-16 00:10:04
19318,Referral,1584,0,Yes,2020-03-04 20:53:18
9864,Organic,1599,31,Yes,2018-10-29 02:00:36
27893,Referral,3692,11,No,2018-03-20 21:04:29
3752,Social,379,10,Yes,2020-08-13 13:51:40
877,Paid Search,4987,5,No,2019-10-14 23:41:33
13664,Paid Search,1558,6,Yes,2024-05-11 03:27:35
8645,Organic,3167,40,No,2019-01-13 03:03:52
15589,Social,1899,11,Yes,2023-02-20 11:14:15
18656,Social,4021,29,No,2022-04-10 12:30:09
17795,Referral,1939,38,Yes,2024-10-20 16:46:29
1709,Paid Search,2419,22,No,2023-06-24 19:37:17
4291,Paid Search,2541,12,No,2023-12-11 04:34:37
5869,Social,1570,41,Yes,2023-07-01 21:33:06
26400,Organic,2904,12,No,2019-01-16 06:50:33
10899,Referral,2397,29,No,2021-11-29 22:09:33
28366,Organic,2987,8,No,2022-11-10 13:26:07
28195,Referral,2968,6,No,2018-12-11 12:16:14
25073,Social,521,20,Yes,2022-12-08 09:55:45
16384,Referral,2017,18,No,2018-01-22 21:13:06
24221,Referral,2905,28,No,2023-05-17 12:57:51
28803,Referral,2036,13,No,2022-02-02 11:16:56
22727,Referral,4323,39,No,2024-02-17 04:29:26
27866,Paid Search,3591,13,No,2022-01-31 03:48:10
22361,Social,3121,40,No,2024-08-11 01:24:39
23025,Referral,1409,39,Yes,2023-10-14 20:40:41
17067,Paid Search,4112,4,No,2024-01-17 03:41:49
4300,Paid Search,500,1,Yes,2024-05-18 08:32:19
24041,Referral,1409,43,Yes,2022-02-05 12:00:28
7920,Social,4192,40,No,2022-07-13 15:17:04
23603,Social,3506,24,No,2019-04-21 19:44:49
214,Referral,2076,25,No,2023-03-27 19:27:31
23461,Referral,1503,7,Yes,2018-04-18 19:12:54
16055,Paid Search,4991,41,No,2023-01-06 13:49:33
16645,Organic,1353,41,Yes,2022-03-29 14:07:38
29890,Social,3737,14,No,2022-05-08 08:21:42
25011,Referral,4085,41,No,2019-05-03 20:47:39
26196,Social,839,41,Yes,2021-12-07 10:02:40
17150,Referral,3700,35,No,2023-10-30 19:56:46
14912,Paid Search,3988,44,No,2022-10-24 00:40:45
7245,Referral,3557,17,No,2020-11-27 23:12:20
12854,Referral,2553,34,No,2019-01-10 15:37:28
24203,Paid Search,3473,31,No,2023-03-02 03:09:40
19250,Referral,310,26,Yes,2022-02-13 04:16:57
23221,Referral,4093,39,No,2024-03-16 05:36:15
27128,Paid Search,214,33,Yes,2023-10-05 19:57:43
17143,Referral,4713,22,No,2019-04-30 03:09:42
27332,Social,4195,35,No,2018-10-30 23:27:44
17249,Referral,3605,20,No,2019-06-08 21:51:20
11326,Social,343,26,Yes,2020-12-06 16:36:06
29411,Paid Search,4118,3,No,2023-11-30 04:48:16
20193,Paid Search,1789,0,Yes,2024-01-20 02:24:26
893,Organic,238,42,Yes,2024-01-15 05:29:03
2810,Organic,4320,18,No,2020-06-15 17:43:52
7796,Organic,2706,36,No,2019-05-29 10:37:15
17445,Paid Search,2635,15,No,2020-10-19 20:08:49
19765,Social,2647,20,No,2021-06-02 06:42:04
23575,Social,1121,30,Yes,2018-06-08 02:03:08
5000,Paid Search,1698,12,Yes,2023-12-27 14:22:11
22143,Organic,3599,32,No,2022-03-29 16:42:42
22562,Social,4155,26,No,2018-09-24 08:24:34
17155,Social,2595,31,No,2021-02-05 00:48:26
9223,Referral,4584,1,No,2023-07-01 20:56:38
12762,Referral,4383,11,No,2020-08-16 17:49:09
29666,Social,2407,18,No,2019-01-05 21:22:45
5395,Organic,4547,39,No,2023-06-06 09:55:41
11205,Organic,1210,35,Yes,2019-12-03 04:45:09
21798,Organic,2316,8,No,2020-05-16 11:58:13
20767,Social,1422,17,Yes,2018-09-02 00:04:06
16894,Paid Search,814,13,Yes,2019-11-05 14:54:12
