campaign_id,emails_sent,emails_opened,emails_clicked,open_rate,click_rate,send_date
13800,6683,2763,525,0.41,0.08,2022-11-02 08:54:09
14204,24458,8667,2371,0.35,0.1,2022-05-06 19:40:00
537,8625,1889,419,0.22,0.05,2018-06-20 21:51:50
6267,45237,26426,7518,0.58,0.17,2021-04-29 12:32:37
9003,35133,16292,3608,0.46,0.1,2020-01-30 03:36:54
13843,44575,14517,2900,0.33,0.07,2018-03-05 17:03:18
12007,37273,13055,3536,0.35,0.09,2018-12-04 18:47:00
18422,7195,1700,573,0.24,0.08,2022-06-06 06:28:00
15227,7940,3285,1107,0.41,0.14,2022-10-31 08:25:56
696,29788,8488,3061,0.28,0.1,2024-11-21 10:59:02
15062,10652,1969,561,0.18,0.05,2018-02-28 14:31:41
6748,1326,331,86,0.25,0.06,2022-05-31 11:34:44
13378,12528,2427,656,0.19,0.05,2024-09-08 00:25:30
7675,2828,731,147,0.26,0.05,2024-12-03 10:03:24
7423,8364,3290,961,0.39,0.11,2020-11-28 14:37:03
15342,1300,527,48,0.41,0.04,2018-12-10 12:10:03
14715,29394,12359,1283,0.42,0.04,2024-01-13 14:19:01
15819,21124,4841,1023,0.23,0.05,2022-11-06 18:15:47
14524,17560,6042,1508,0.34,0.09,2021-01-20 19:16:50
18030,19844,6338,1926,0.32,0.1,2018-10-27 12:02:54
991,13359,2999,747,0.22,0.06,2020-01-11 14:39:03
16582,45851,21003,2520,0.46,0.05,2024-04-11 18:58:45
4827,7715,1661,130,0.22,0.02,2020-01-14 08:54:56
9488,3830,1883,689,0.49,0.18,2019-03-20 18:36:53
5206,8151,4582,555,0.56,0.07,2024-09-09 02:10:13
324,19295,5225,1935,0.27,0.1,2020-04-11 23:44:40
7976,41849,24491,8950,0.59,0.21,2022-11-21 06:16:06
17688,36383,15896,2815,0.44,0.08,2021-02-28 21:11:17
7685,17776,7792,405,0.44,0.02,2020-05-26 18:44:44
9639,24389,12479,1944,0.51,0.08,2022-12-13 19:23:17
13408,41900,15177,4984,0.36,0.12,2021-08-23 05:34:48
12081,48261,23950,3326,0.5,0.07,2018-02-08 19:29:58
13285,14687,5728,2007,0.39,0.14,2020-03-01 00:38:13
10686,29781,16741,3951,0.56,0.13,2023-09-22 13:59:19
6850,31079,5887,2223,0.19,0.07,2020-02-24 09:19:14
3672,40993,13312,2792,0.32,0.07,2018-12-24 07:42:58
10216,33097,10442,3805,0.32,0.11,2022-07-30 02:06:10
234,15491,6328,923,0.41,0.06,2021-11-09 21:28:55
14885,45580,17951,2882,0.39,0.06,2018-09-03 09:15:24
16731,28236,5226,1962,0.19,0.07,2023-04-22 07:11:57
14021,14912,4786,760,0.32,0.05,2021-08-12 12:01:56
3619,20802,11057,1456,0.53,0.07,2023-09-23 21:03:38
4921,36757,11857,4183,0.32,0.11,2019-12-27 22:15:21
352,6021,2418,353,0.4,0.06,2023-03-04 00:28:11
11822,34103,16899,2627,0.5,0.08,2018-03-18 02:17:41
409,32393,11101,3026,0.34,0.09,2023-04-14 08:40:29
19040,24111,7870,1999,0.33,0.08,2019-02-13 14:16:06
8236,34314,9691,1173,0.28,0.03,2019-05-03 04:21:13
8865,35489,5456,1420,0.15,0.04,2021-02-28 01:04:59
6231,14015,7698,1494,0.55,0.11,2022-09-27 03:02:43
16917,31134,18237,6876,0.59,0.22,2018-12-16 14:06:37
7660,31150,16731,3050,0.54,0.1,2020-11-29 15:58:20
12363,14923,5047,1992,0.34,0.13,2024-07-02 12:41:42
13689,27486,11025,3734,0.4,0.14,2021-07-25 18:18:30
5971,17221,10081,3265,0.59,0.19,2022-01-10 14:40:36
5353,11117,4303,1271,0.39,0.11,2023-12-17 14:52:01
10698,46923,9589,2869,0.2,0.06,2024-06-20 03:23:53
10722,764,312,19,0.41,0.02,2018-09-13 00:20:56
284,18578,4394,1288,0.24,0.07,2023-04-23 05:00:52
