user_id,cohort_month,months_active,retained
1611,2024-06,34,Yes
7590,2024-01,27,No
23175,2024-01,11,Yes
20918,2023-06,33,Yes
18335,2023-01,16,Yes
28868,2024-06,9,No
74,2023-06,30,Yes
7382,2024-06,9,Yes
8699,2024-06,8,Yes
20573,2023-01,14,No
7652,2023-06,11,Yes
21126,2023-06,22,Yes
7110,2023-06,3,Yes
93,2023-01,26,Yes
1254,2023-06,3,Yes
27500,2023-01,25,Yes
22274,2023-01,30,No
18077,2023-01,20,Yes
24435,2024-06,30,No
24946,2024-06,16,No
24073,2023-06,28,No
1594,2023-06,11,Yes
11917,2024-01,27,Yes
10700,2023-01,6,Yes
20962,2024-06,16,No
25336,2024-06,6,No
23911,2023-06,23,Yes
2796,2023-01,28,No
4242,2023-01,11,Yes
28343,2023-01,14,No
332,2023-01,31,No
4033,2023-01,2,No
882,2024-01,31,Yes
26070,2024-01,27,No
15706,2024-06,34,No
13747,2024-01,33,No
24966,2024-01,35,No
26994,2023-01,3,No
27406,2023-01,28,No
15440,2024-06,31,Yes
4712,2024-01,9,No
9508,2024-06,12,Yes
20355,2024-06,18,No
13888,2023-06,1,No
1420,2023-01,15,Yes
28860,2024-01,5,Yes
5733,2024-01,13,No
29171,2024-06,2,Yes
12731,2024-01,7,Yes
13001,2023-01,9,Yes
1408,2023-01,5,No
10265,2023-06,7,Yes
3746,2023-01,13,Yes
7855,2024-01,9,No
22491,2023-01,31,Yes
29187,2024-06,20,No
18118,2023-01,20,Yes
19354,2024-06,24,Yes
2967,2023-06,34,Yes
22056,2023-01,5,Yes
6352,2024-06,2,No
17941,2024-06,35,No
10973,2023-01,19,Yes
6095,2024-06,17,No
20068,2024-06,9,Yes
4400,2024-06,15,Yes
3441,2024-06,2,Yes
9872,2024-01,9,Yes
26759,2024-01,35,Yes
9439,2023-06,28,No
19321,2023-01,25,Yes
3781,2024-06,19,Yes
13831,2023-01,6,Yes
13574,2023-06,26,Yes
15834,2024-01,14,Yes
26695,2024-06,12,Yes
1671,2024-01,13,Yes
6109,2024-01,3,Yes
26780,2024-01,17,No
12272,2024-06,32,No
14573,2024-06,21,Yes
3943,2023-06,29,Yes
28569,2024-06,16,Yes
23863,2023-01,12,No
11242,2024-06,11,Yes
15809,2024-06,17,Yes
26560,2023-01,20,Yes
17769,2024-06,28,No
27462,2023-01,18,Yes
1696,2023-01,20,Yes
22100,2024-06,4,Yes
29467,2023-01,25,No
28867,2023-06,29,Yes
10266,2024-06,31,No
26450,2024-01,11,No
26518,2024-01,10,Yes
27688,2024-01,1,Yes
25069,2023-01,24,Yes
7571,2024-01,19,Yes
3294,2023-06,19,Yes
16152,2023-01,15,Yes
25836,2024-01,31,Yes
4915,2024-01,32,No
14652,2023-01,30,No
9900,2023-06,34,No
17961,2024-06,29,No
27085,2024-01,19,Yes
26256,2023-01,34,Yes
1758,2023-01,28,No
18186,2024-01,35,Yes
25985,2023-06,8,Yes
10360,2024-06,22,No
8317,2023-01,1,Yes
8349,2023-06,31,Yes
26581,2023-01,34,Yes
21691,2023-06,28,Yes
25964,2024-06,9,Yes
19197,2023-01,12,Yes
4241,2024-06,2,No
1287,2023-01,30,No
24411,2024-06,2,No
286,2023-01,35,Yes
1253,2024-06,27,Yes
26537,2024-01,34,No
938,2024-01,30,Yes
18973,2024-01,30,Yes
25571,2023-01,2,No
23420,2024-01,1,No
26606,2023-01,33,Yes
26020,2023-01,4,No
9055,2023-01,20,No
8088,2023-06,30,Yes
19017,2024-01,8,No
1385,2024-01,12,Yes
25496,2023-06,27,No
8142,2023-01,14,Yes
9767,2023-01,24,Yes
29602,2024-06,2,Yes
10692,2023-06,10,Yes
27084,2024-06,3,Yes
6659,2024-06,6,No
21741,2024-01,10,Yes
25802,2023-01,24,Yes
17814,2023-06,4,No
21975,2024-06,6,No
26173,2024-01,23,Yes
25962,2023-06,6,No
10994,2024-01,26,Yes
7836,2024-06,14,No
9113,2024-01,29,No
12964,2023-06,4,Yes
28628,2023-06,6,No
9866,2023-01,14,Yes
24524,2023-06,19,Yes
23065,2023-06,35,Yes
928,2023-01,13,Yes
14356,2024-01,18,Yes
1103,2023-06,27,No
14780,2023-01,15,No
8738,2023-01,30,No
18356,2023-06,3,Yes
6280,2023-06,9,Yes
7900,2023-06,13,No
21783,2023-06,14,Yes
26251,2024-06,20,Yes
