ad_id,platform,reach,engagements,engagement_rate,ad_date
24833,LinkedIn,81182,19675,0.2424,2020-03-04 09:46:15
15667,LinkedIn,115283,9720,0.0843,2018-09-26 05:55:04
1652,Instagram,104130,27786,0.2668,2018-11-03 20:31:47
28195,Instagram,17404,4294,0.2467,2020-10-01 15:38:32
6495,Facebook,25166,927,0.0368,2021-02-08 23:17:54
21257,LinkedIn,24033,4596,0.1912,2023-06-19 02:25:50
15286,LinkedIn,72605,10933,0.1506,2021-03-05 16:20:44
4838,Instagram,171096,35856,0.2096,2022-12-26 07:27:15
3647,Twitter,112885,27549,0.244,2021-10-21 18:51:59
2073,Twitter,171287,13845,0.0808,2018-02-12 15:30:09
25906,Instagram,155892,22352,0.1434,2021-11-09 15:53:40
934,LinkedIn,167616,9861,0.0588,2024-03-09 03:28:11
10771,Instagram,71869,13958,0.1942,2020-09-18 19:22:02
11110,Instagram,156616,40134,0.2563,2019-10-20 12:44:09
21890,Instagram,159943,11390,0.0712,2024-03-24 10:49:37
9483,Instagram,190825,8032,0.0421,2018-04-08 23:03:29
27160,Facebook,137392,25497,0.1856,2023-07-20 08:46:01
5194,Instagram,92780,18951,0.2043,2018-12-03 14:50:30
29271,Facebook,17343,4696,0.2708,2022-03-05 16:05:24
7887,Facebook,16481,3746,0.2273,2019-10-13 13:46:25
6289,Twitter,191661,48450,0.2528,2024-10-30 19:53:04
14039,LinkedIn,104786,23949,0.2286,2018-10-21 08:49:12
22944,LinkedIn,182217,15809,0.0868,2024-06-27 22:51:35
2590,Instagram,29879,4932,0.1651,2021-10-06 01:21:50
25723,Facebook,60684,18160,0.2993,2022-04-24 04:13:33
24404,Facebook,167331,8088,0.0483,2023-02-24 16:32:08
3110,Twitter,65684,15562,0.2369,2018-09-30 23:27:19
8519,Twitter,68641,12638,0.1841,2021-01-20 03:30:53
15247,LinkedIn,101240,4738,0.0468,2024-07-11 22:39:52
27125,Twitter,187402,49004,0.2615,2020-08-26 21:09:20
5313,Twitter,190116,4037,0.0212,2024-09-25 15:58:02
21533,Facebook,81678,5697,0.0697,2022-01-07 23:13:17
19441,LinkedIn,184218,47320,0.2569,2023-06-25 21:27:53
27168,Facebook,44801,5368,0.1198,2020-05-12 05:08:38
13141,Facebook,150878,23174,0.1536,2023-03-11 13:49:37
8561,Instagram,160985,5482,0.0341,2024-09-22 21:38:58
7856,Facebook,31344,3387,0.1081,2023-03-26 09:55:40
24139,Twitter,5784,1633,0.2823,2024-05-02 06:37:49
18044,Instagram,37657,1440,0.0382,2021-05-29 05:27:01
16064,LinkedIn,25543,1377,0.0539,2020-07-03 20:26:22
24907,Twitter,152732,20477,0.1341,2019-04-14 08:08:56
18547,Twitter,188356,26502,0.1407,2021-02-08 06:35:20
17051,Instagram,101487,6833,0.0673,2021-02-02 08:25:48
27760,Twitter,110331,26351,0.2388,2018-06-19 06:24:35
13282,Twitter,175624,24404,0.139,2024-01-13 10:38:10
20781,LinkedIn,6193,140,0.0226,2019-04-03 12:49:17
29149,LinkedIn,187062,3790,0.0203,2024-11-19 16:37:40
5479,Twitter,76868,3110,0.0405,2024-08-24 08:27:09
4448,Twitter,36660,10541,0.2875,2023-01-15 21:53:25
15729,Facebook,121219,3726,0.0307,2023-02-06 19:38:31
3755,Twitter,10557,1569,0.1486,2023-09-20 06:39:13
1369,LinkedIn,83930,15314,0.1825,2021-10-13 18:55:30
1591,Twitter,98578,20855,0.2116,2023-06-02 02:58:28
22429,LinkedIn,105234,18936,0.1799,2018-01-07 09:13:29
15622,Twitter,56066,14238,0.254,2019-08-29 15:05:48
12522,Facebook,108594,25306,0.233,2021-07-22 21:41:58
438,Facebook,58607,5623,0.0959,2019-07-02 17:10:01
2361,Facebook,58237,15215,0.2613,2022-02-28 04:37:56
5945,Twitter,67156,14037,0.209,2022-05-12 16:32:18
10050,Twitter,97538,22329,0.2289,2024-03-15 13:40:58
21574,LinkedIn,109605,9386,0.0856,2023-05-08 13:02:11
286,LinkedIn,169264,33761,0.1995,2019-05-10 08:11:51
20226,Facebook,7802,1712,0.2194,2019-03-31 17:01:13
230,Facebook,128788,2786,0.0216,2023-10-03 01:58:37
13483,Facebook,17937,1674,0.0933,2024-06-28 18:04:52
21850,Facebook,109942,28560,0.2598,2018-08-16 01:00:55
1590,Instagram,166040,9290,0.056,2021-08-15 13:44:47
4666,Facebook,118162,27073,0.2291,2022-10-23 10:16:14
27113,Instagram,71057,12817,0.1804,2018-04-13 05:40:37
9724,Facebook,25901,5355,0.2067,2021-01-23 03:21:09
29965,LinkedIn,23548,5791,0.2459,2024-10-29 22:50:00
26128,Instagram,118782,5452,0.0459,2019-09-08 23:06:25
10680,Instagram,152256,40772,0.2678,2021-03-11 22:51:56
9804,LinkedIn,184719,10880,0.0589,2022-01-13 15:50:28
23511,Facebook,80329,9408,0.1171,2020-07-26 02:39:17
19993,Instagram,60800,3982,0.0655,2022-03-20 03:08:15
253,Facebook,145949,13107,0.0898,2023-02-19 04:48:02
23113,Facebook,138076,36274,0.2627,2022-12-04 07:41:45
7761,LinkedIn,135447,21077,0.1556,2021-12-16 09:24:16
4740,Twitter,39460,4572,0.1159,2024-10-07 00:01:04
26226,Instagram,154294,35358,0.2292,2018-05-17 04:21:59
17862,Twitter,765,148,0.1935,2022-12-15 15:16:23
1355,LinkedIn,40680,9578,0.2354,2020-05-17 22:21:18
5810,Facebook,187041,27322,0.1461,2022-02-14 08:49:05
20412,LinkedIn,154328,40040,0.2594,2020-07-08 18:53:27
7654,Facebook,137259,9977,0.0727,2023-09-06 22:08:49
23365,LinkedIn,102425,2865,0.028,2023-04-16 13:26:46
21222,LinkedIn,7873,981,0.1246,2023-04-19 21:22:26
10080,LinkedIn,30085,1389,0.0462,2022-05-30 00:07:46
7889,LinkedIn,39158,5122,0.1308,2018-04-30 04:18:47
1390,Facebook,16395,3150,0.1921,2019-04-02 05:33:59
1818,Facebook,124621,29006,0.2328,2018-10-05 11:07:41
5568,Instagram,84383,23901,0.2832,2018-08-07 18:38:16
11644,Instagram,22264,1658,0.0745,2024-01-19 10:16:43
15915,Instagram,27734,6488,0.2339,2019-04-19 01:43:23
14314,LinkedIn,29873,4726,0.1582,2021-05-31 19:23:04
17403,Twitter,95547,6798,0.0711,2018-07-17 00:00:16
7804,Twitter,79420,10728,0.1351,2022-03-09 23:27:20
18004,LinkedIn,978,64,0.0654,2021-03-01 06:54:35
10456,Instagram,175542,4301,0.0245,2023-08-12 16:14:25
29418,Twitter,72596,17074,0.2352,2022-02-13 04:24:24
10660,Twitter,93716,22251,0.2374,2022-11-28 04:42:27
18165,Facebook,154672,12040,0.0778,2018-06-14 01:32:34
486,Twitter,63018,14778,0.2345,2020-03-14 12:01:58
19562,Facebook,194410,28396,0.1461,2018-05-24 10:55:20
29576,Instagram,118085,20090,0.1701,2022-11-26 14:04:58
22833,LinkedIn,67597,6308,0.0933,2018-01-12 21:28:39
9082,Instagram,130222,22640,0.1739,2022-10-07 13:29:37
14316,Twitter,184794,44113,0.2387,2020-04-10 04:05:43
3444,LinkedIn,36302,4743,0.1307,2019-02-19 21:18:07
25200,Twitter,173745,24564,0.1414,2018-04-01 16:18:13
215,Twitter,12777,3451,0.2701,2018-12-08 10:29:32
24434,Twitter,23767,2752,0.1158,2019-11-12 09:14:18
6907,Facebook,17362,1970,0.1135,2023-04-01 13:12:07
5504,Twitter,83873,3645,0.0435,2024-11-06 20:58:55
8957,Twitter,142436,9171,0.0644,2019-10-28 21:08:21
3823,Twitter,170315,41353,0.2428,2024-04-25 23:19:48
14077,Instagram,10953,3169,0.2893,2023-09-06 20:36:05
13445,LinkedIn,19069,4045,0.2121,2020-12-29 13:42:03
9641,Twitter,71521,10225,0.143,2022-11-12 12:03:19
28635,Twitter,82752,3959,0.0478,2024-01-11 11:41:38
21747,Twitter,182131,17374,0.0954,2024-07-11 02:11:32
25771,Facebook,24306,3806,0.1566,2020-04-03 03:30:11
16149,Facebook,117386,23538,0.2005,2024-02-12 14:49:42
17791,Twitter,55109,7934,0.144,2018-03-30 07:16:59
29764,Instagram,127873,7594,0.0594,2024-06-22 01:14:41
573,Facebook,4421,576,0.1303,2023-07-03 11:03:09
28300,LinkedIn,9889,2176,0.22,2021-07-20 07:22:15
29322,Facebook,11173,1926,0.1724,2018-05-31 10:41:13
