store_id,daily_footfall,conversion_rate,weather_condition,date
131,2943,0.14,Sunny,2019-06-01 11:58:54
380,2142,0.08,Rainy,2023-08-21 01:48:12
394,1221,0.23,Cloudy,2018-10-03 20:07:30
196,462,0.15,Rainy,2021-03-20 10:41:59
170,2849,0.29,Rainy,2021-06-21 23:45:05
439,2438,0.17,Cloudy,2020-10-18 08:40:12
368,1085,0.29,Cloudy,2019-05-18 22:03:50
219,2127,0.28,Rainy,2022-04-04 08:51:35
102,85,0.26,Cloudy,2020-06-01 15:10:45
390,539,0.33,Cloudy,2023-07-29 09:38:18
491,1722,0.22,Rainy,2024-06-12 16:04:14
174,1169,0.13,Cloudy,2019-11-13 08:31:18
343,2913,0.06,Sunny,2023-08-07 12:29:30
165,2726,0.32,Cloudy,2022-04-21 16:42:14
277,2628,0.21,Rainy,2021-02-27 13:04:40
71,2405,0.09,Cloudy,2021-06-05 00:50:36
38,1238,0.27,Cloudy,2023-12-25 13:51:41
279,2597,0.24,Rainy,2020-11-14 16:04:25
322,194,0.31,Sunny,2020-11-19 01:41:11
246,1791,0.22,Sunny,2021-12-12 13:44:09
68,442,0.37,Rainy,2018-11-19 14:04:50
318,1686,0.15,Rainy,2022-08-21 03:56:21
498,913,0.16,Sunny,2021-12-16 16:15:01
183,2671,0.26,Rainy,2021-06-18 19:46:08
238,285,0.15,Cloudy,2023-03-24 07:46:04
456,2417,0.29,Sunny,2019-03-12 01:54:06
135,815,0.23,Sunny,2022-02-10 16:53:29
194,2250,0.24,Rainy,2022-05-11 12:04:09
383,257,0.4,Rainy,2022-07-09 22:52:38
451,2802,0.24,Sunny,2021-06-20 00:58:19
312,353,0.06,Rainy,2022-12-15 20:02:19
252,281,0.37,Rainy,2021-06-15 12:25:46
120,2868,0.37,Rainy,2022-06-10 12:58:11
157,2237,0.29,Cloudy,2021-12-01 11:23:14
456,764,0.15,Rainy,2020-01-04 05:49:01
7,593,0.09,Cloudy,2023-12-09 00:47:53
93,2285,0.17,Cloudy,2020-06-15 13:53:42
291,2507,0.21,Rainy,2019-12-12 21:45:30
185,1383,0.27,Rainy,2023-02-26 15:41:21
