product_id,historical_demand,forecasted_demand,forecast_error,season,forecast_month
8235,445,467,22,Summer,2020-09-05 01:54:45
2832,319,326,7,Festive,2019-01-12 16:07:23
6733,419,487,68,Monsoon,2022-02-10 18:33:15
6730,126,204,78,Monsoon,2021-12-25 05:32:01
22140,280,288,8,Winter,2023-09-19 17:26:43
8525,291,261,-30,Winter,2024-01-31 08:23:56
26369,380,374,-6,Winter,2021-04-14 19:32:09
3430,493,548,55,Festive,2018-04-16 13:26:52
21417,190,233,43,Winter,2018-08-16 18:14:07
20053,339,357,18,Summer,2018-07-02 00:00:43
13248,79,66,-13,Monsoon,2023-09-18 00:18:50
20524,335,320,-15,Monsoon,2023-07-29 14:05:48
17061,325,342,17,Winter,2020-06-30 01:31:09
16449,347,330,-17,Summer,2024-11-03 13:50:17
8112,133,111,-22,Monsoon,2020-12-10 16:57:43
10135,334,351,17,Summer,2018-05-14 07:40:56
12912,254,236,-18,Monsoon,2020-01-16 13:40:15
6511,34,74,40,Winter,2020-08-30 19:56:27
7582,289,281,-8,Winter,2023-03-12 09:04:32
25619,284,328,44,Festive,2019-02-12 09:33:10
27424,258,234,-24,Summer,2019-01-19 04:44:11
22851,144,188,44,Winter,2022-02-26 01:59:49
5965,230,277,47,Winter,2018-06-01 02:33:50
4216,488,550,62,Winter,2023-01-22 17:40:25
10333,374,331,-43,Summer,2018-11-06 10:08:24
28270,444,412,-32,Winter,2021-04-12 11:36:26
15749,166,133,-33,Festive,2022-07-10 03:39:44
6768,320,368,48,Winter,2024-03-14 10:45:45
20163,425,395,-30,Festive,2018-01-21 13:33:03
29710,284,332,48,Winter,2022-10-12 08:49:00
28877,45,96,51,Festive,2024-03-11 23:00:46
6902,323,285,-38,Winter,2020-04-05 02:46:10
16108,468,428,-40,Winter,2024-01-19 17:55:07
3327,87,62,-25,Monsoon,2020-07-25 05:35:49
21028,260,211,-49,Festive,2023-02-14 18:21:33
15948,81,34,-47,Winter,2021-06-12 00:56:15
10996,72,130,58,Monsoon,2020-06-05 06:51:14
12856,246,283,37,Summer,2024-07-27 14:47:42
13000,248,209,-39,Winter,2018-09-15 01:28:29
25512,328,286,-42,Festive,2021-03-18 14:34:05
27590,43,8,-35,Summer,2024-05-02 07:50:06
15362,203,215,12,Summer,2023-09-25 01:56:28
866,244,206,-38,Summer,2021-07-31 13:08:34
25898,468,499,31,Summer,2019-07-27 08:42:03
15109,360,381,21,Winter,2021-04-07 02:28:55
312,152,197,45,Festive,2020-05-09 20:49:57
22234,140,91,-49,Winter,2018-01-20 08:33:22
9518,141,115,-26,Monsoon,2024-09-13 00:37:08
