product_id,warehouse_id,current_stock,reorder_level,stock_status,last_updated
13032,96,541,239,Sufficient,2022-05-11 17:56:10
2088,132,770,240,Sufficient,2024-02-29 15:03:25
4934,40,655,217,Sufficient,2021-07-01 11:54:03
16535,194,567,278,Sufficient,2023-05-03 22:17:56
17235,19,94,188,Reorder,2023-03-04 10:52:12
14878,133,588,130,Sufficient,2023-06-23 03:08:54
6976,46,644,252,Sufficient,2022-10-22 21:36:17
4048,188,944,257,Sufficient,2020-07-01 00:14:00
14775,151,825,192,Sufficient,2020-02-05 19:07:46
11990,69,243,128,Sufficient,2023-10-31 12:12:37
4564,68,193,214,Reorder,2020-12-22 05:11:38
3126,111,544,218,Sufficient,2024-03-31 12:29:48
10467,135,214,272,Reorder,2024-04-26 08:48:14
16149,117,516,285,Sufficient,2022-04-13 22:22:56
15639,69,4,183,Reorder,2019-03-18 21:52:17
4327,184,554,180,Sufficient,2023-08-11 23:48:00
4835,65,440,167,Sufficient,2020-10-28 07:31:55
7628,61,751,261,Sufficient,2024-07-06 23:53:11
704,176,612,100,Sufficient,2023-03-21 23:54:12
8216,102,935,164,Sufficient,2022-11-09 15:39:06
8291,144,258,246,Sufficient,2021-08-01 17:36:22
17123,98,999,294,Sufficient,2020-03-06 10:35:44
5160,125,566,227,Sufficient,2018-04-05 11:59:42
3769,177,38,299,Reorder,2022-11-20 14:43:05
16682,12,291,223,Sufficient,2019-03-10 03:31:45
11162,186,437,265,Sufficient,2018-01-01 01:03:31
2437,36,880,138,Sufficient,2022-11-06 19:13:37
7396,70,653,207,Sufficient,2024-04-20 02:32:18
29935,149,247,249,Reorder,2018-03-10 18:01:50
9797,183,70,213,Reorder,2020-07-19 00:52:56
2857,151,499,283,Sufficient,2020-10-01 09:04:58
5638,88,326,146,Sufficient,2023-11-25 16:03:16
19718,148,545,146,Sufficient,2020-11-10 17:53:08
7606,134,793,170,Sufficient,2021-11-16 06:37:36
3314,88,283,282,Sufficient,2021-08-19 16:09:18
6208,77,968,266,Sufficient,2024-02-21 07:53:32
8715,170,434,242,Sufficient,2022-11-30 18:15:36
27705,68,595,243,Sufficient,2018-11-23 09:41:44
16220,118,2,126,Reorder,2022-10-25 03:36:51
4640,83,301,171,Sufficient,2022-08-08 21:42:20
2026,53,338,215,Sufficient,2023-12-05 20:30:35
28074,54,382,106,Sufficient,2018-06-28 09:56:50
23495,119,529,261,Sufficient,2021-01-18 03:41:23
8952,87,955,169,Sufficient,2023-07-18 07:33:45
1673,63,32,142,Reorder,2018-10-22 08:34:00
3145,114,290,240,Sufficient,2020-01-04 07:50:05
7305,99,555,210,Sufficient,2022-06-03 16:12:51
19928,120,689,108,Sufficient,2018-10-19 06:22:41
13975,43,120,119,Sufficient,2018-08-08 15:48:06
21611,147,80,130,Reorder,2021-06-18 23:33:43
6399,147,291,147,Sufficient,2023-10-06 01:34:50
21534,11,750,182,Sufficient,2021-12-19 21:53:55
8035,71,875,270,Sufficient,2024-10-04 15:29:35
24653,70,484,285,Sufficient,2023-03-10 17:40:46
17797,9,177,182,Reorder,2024-07-02 13:08:37
26573,14,467,206,Sufficient,2022-06-14 07:51:53
29916,121,914,274,Sufficient,2019-10-27 21:08:29
26520,99,29,130,Reorder,2022-11-28 11:20:58
22866,127,336,131,Sufficient,2018-06-27 23:02:05
13073,197,72,248,Reorder,2020-07-03 07:35:09
10127,114,433,154,Sufficient,2024-05-03 09:19:17
20596,72,832,108,Sufficient,2021-05-12 03:49:45
26232,43,671,286,Sufficient,2018-09-10 22:14:12
2545,194,685,286,Sufficient,2024-04-09 03:46:53
2494,85,731,286,Sufficient,2023-06-13 08:30:28
10208,43,761,232,Sufficient,2019-04-04 14:35:13
28372,122,672,273,Sufficient,2024-09-14 00:54:10
11106,147,541,122,Sufficient,2020-05-21 16:14:14
23800,177,383,220,Sufficient,2020-12-29 10:00:14
13067,53,391,288,Sufficient,2022-08-11 21:26:47
1085,198,383,272,Sufficient,2021-12-14 05:41:44
28750,105,644,199,Sufficient,2024-07-03 17:44:51
25584,60,648,291,Sufficient,2019-06-27 00:20:32
27243,70,566,150,Sufficient,2023-01-10 06:36:04
26420,2,204,290,Reorder,2018-03-20 09:32:50
2584,131,892,224,Sufficient,2021-02-25 17:27:16
27775,57,418,124,Sufficient,2020-02-10 17:25:41
17900,76,484,198,Sufficient,2018-06-01 03:44:14
11991,146,671,103,Sufficient,2021-03-10 23:36:55
19528,73,495,227,Sufficient,2018-12-04 10:07:50
20588,77,600,129,Sufficient,2018-12-18 12:00:11
2847,186,130,212,Reorder,2021-04-07 20:11:09
15053,154,568,169,Sufficient,2022-09-28 04:09:19
26919,181,405,279,Sufficient,2023-02-10 18:46:10
8067,177,91,120,Reorder,2024-01-17 14:34:57
25056,22,166,113,Sufficient,2020-09-20 05:14:50
19917,56,343,291,Sufficient,2018-03-02 18:57:13
15599,176,362,237,Sufficient,2018-09-08 09:31:01
25129,2,92,192,Reorder,2023-06-21 19:08:19
9968,55,590,113,Sufficient,2022-09-29 13:18:09
28394,18,589,278,Sufficient,2024-03-06 00:34:02
3177,57,928,293,Sufficient,2020-08-19 02:54:43
20456,102,486,115,Sufficient,2022-03-17 23:33:11
21398,74,11,213,Reorder,2019-03-09 12:46:56
8879,128,364,254,Sufficient,2024-11-19 05:13:37
