shipment_id,distance_km,transport_mode,transport_cost,delivery_delay_days
66371,1993,Air,21979.0,6
87201,1825,Air,25187.0,3
29686,779,Rail,24781.0,3
22345,789,Sea,24467.0,6
109760,953,Road,15824.0,5
60788,1811,Road,30078.0,6
83646,826,Sea,18404.0,3
9026,1930,Rail,66615.0,5
72837,1812,Road,18966.0,5
14217,288,Road,8399.0,1
113038,572,Road,10325.0,2
87813,766,Sea,10442.0,6
149853,1473,Sea,36504.0,6
62342,15,Rail,513.0,2
96958,937,Road,14146.0,0
128726,1128,Air,33013.0,2
72181,1387,Sea,24110.0,3
95376,1974,Rail,61558.0,2
27494,288,Road,8091.0,2
11256,543,Road,9798.0,0
117438,1963,Rail,54041.0,4
3490,124,Air,3833.0,4
51222,1810,Road,58145.0,3
13565,529,Rail,7996.0,6
103062,1872,Rail,43044.0,3
53034,1805,Sea,14554.0,5
82815,1247,Sea,10713.0,5
11318,729,Air,21694.0,0
75029,1331,Air,40064.0,1
84232,965,Sea,28121.0,4
121929,1206,Sea,19524.0,5
149043,1875,Road,49177.0,2
53796,646,Sea,14428.0,5
42994,875,Road,26514.0,0
80879,1022,Road,18863.0,4
51920,438,Rail,12700.0,0
68156,1793,Rail,24756.0,5
33317,1726,Rail,53114.0,6
37140,533,Road,7912.0,3
130669,1651,Sea,32391.0,0
12676,276,Air,8930.0,5
24416,941,Rail,9477.0,6
28913,1579,Road,28322.0,3
59823,1609,Rail,46427.0,6
99322,1150,Sea,34637.0,0
22691,1205,Air,33342.0,3
114055,1060,Road,26520.0,5
44572,825,Road,22755.0,4
66339,13,Rail,391.0,0
1251,1373,Road,41226.0,5
92289,946,Rail,14069.0,5
18404,1119,Air,10709.0,6
17129,1935,Road,17338.0,0
134628,1118,Air,30253.0,0
137645,744,Sea,11588.0,3
45802,1639,Rail,50618.0,4
42360,992,Road,25529.0,5
70866,79,Rail,1345.0,3
101334,1817,Rail,61770.0,0
51948,1782,Sea,20480.0,0
107878,568,Rail,11384.0,6
58144,664,Sea,15165.0,6
72438,1164,Sea,27545.0,3
143165,591,Road,10119.0,4
24124,775,Air,21601.0,0
102126,1151,Air,31091.0,1
3558,1941,Air,25830.0,3
85380,1835,Road,39588.0,6
87786,573,Rail,5836.0,2
45511,1810,Road,29742.0,1
14969,353,Air,9944.0,3
79378,367,Rail,6172.0,0
94940,1024,Rail,27541.0,4
115256,1561,Air,36424.0,2
29807,488,Sea,11704.0,3
120672,764,Sea,10792.0,0
97823,1438,Air,23310.0,2
73826,1149,Sea,25177.0,5
43131,778,Air,23511.0,3
5695,769,Air,7728.0,2
19599,1127,Road,29635.0,0
142022,790,Sea,11998.0,6
21279,877,Air,25416.0,6
34327,1672,Rail,30345.0,6
41927,1880,Sea,35952.0,5
145405,292,Rail,9962.0,2
131122,1765,Air,44713.0,4
149724,909,Rail,10715.0,1
82115,621,Sea,20234.0,2
115172,1698,Rail,49465.0,0
143181,720,Road,10911.0,2
55739,964,Air,10676.0,0
61453,734,Rail,6148.0,0
78494,1952,Rail,52815.0,2
73657,383,Air,12535.0,2
114994,179,Rail,1882.0,6
145400,352,Air,5842.0,3
64648,1597,Sea,20906.0,5
71158,1896,Road,40923.0,3
94439,1009,Sea,22442.0,3
118821,748,Road,24191.0,0
14828,1713,Sea,17783.0,5
125470,360,Rail,6366.0,1
123359,148,Rail,2082.0,6
20083,735,Road,7814.0,5
116765,991,Sea,29998.0,1
31822,872,Rail,21613.0,6
31716,1297,Air,34670.0,6
122047,1945,Rail,18735.0,2
57445,1177,Air,33435.0,2
46842,555,Road,7765.0,3
7375,769,Sea,12844.0,4
54630,346,Road,5040.0,1
113120,1203,Sea,32442.0,2
87706,1819,Air,28942.0,1
14728,24,Air,778.0,4
13002,470,Rail,5961.0,5
74660,1176,Sea,35995.0,4
12752,1217,Sea,40883.0,6
74081,1971,Road,67880.0,3
125115,1520,Rail,36105.0,3
77656,518,Sea,14230.0,3
138607,895,Air,13937.0,2
108263,802,Air,10983.0,1
48892,1240,Sea,30403.0,2
36803,1156,Air,10230.0,5
42752,429,Rail,4680.0,2
23071,426,Air,12222.0,3
61334,960,Road,19510.0,6
34119,1067,Sea,13561.0,5
56872,238,Air,3506.0,2
85628,1070,Rail,28837.0,5
66124,481,Air,15368.0,3
62031,523,Rail,14404.0,0
109868,1719,Road,42746.0,1
136853,1973,Air,47834.0,0
65616,468,Rail,9864.0,2
88097,1014,Sea,17632.0,2
67121,155,Road,4129.0,4
68658,1953,Air,54538.0,6
136325,1193,Air,25719.0,6
64559,1671,Air,18438.0,3
126906,1601,Air,48740.0,5
54073,620,Sea,20356.0,6
49906,632,Rail,9768.0,0
88632,799,Rail,22767.0,2
24487,1477,Rail,30539.0,4
