order_id,warehouse_id,order_to_ship_days,delivery_days,fulfillment_status,order_date
156135,80,8,5,Delayed,2018-02-08 03:31:19
255699,173,7,3,Delayed,2023-05-06 15:00:18
227259,19,9,5,Delayed,2021-12-26 12:20:24
276724,80,2,6,Fast,2023-12-13 01:27:49
136143,109,8,4,Delayed,2020-03-03 00:12:19
295917,134,3,3,Fast,2018-02-24 08:33:21
254737,40,6,5,Delayed,2023-12-31 23:14:13
223367,112,7,5,Delayed,2021-06-22 17:44:33
286906,121,9,3,Delayed,2018-10-01 05:34:09
246084,48,2,1,Fast,2020-07-27 06:37:47
228081,100,2,2,Fast,2021-09-11 04:54:04
114856,16,6,3,Delayed,2022-02-17 05:31:15
130678,155,9,6,Delayed,2021-01-13 07:37:08
125729,196,7,3,Delayed,2019-07-22 08:08:50
247907,159,7,5,Delayed,2021-09-13 08:33:21
189129,101,1,2,Fast,2023-12-22 05:44:45
144444,167,7,6,Delayed,2023-01-18 14:28:39
266566,45,7,2,Delayed,2023-11-23 08:54:20
177448,83,3,1,Fast,2023-07-10 05:52:37
109615,87,5,1,Delayed,2018-03-27 18:11:54
182640,67,4,4,Delayed,2018-04-17 13:31:58
145684,90,3,3,Fast,2022-02-01 10:33:19
222266,168,3,2,Fast,2020-12-31 06:17:45
180934,85,2,3,Fast,2020-03-03 04:03:12
299227,182,4,4,Delayed,2023-09-08 15:46:27
216037,92,4,6,Delayed,2018-05-07 04:55:37
133254,87,5,1,Delayed,2024-03-30 19:08:40
202151,34,4,5,Delayed,2021-08-07 18:37:53
269216,7,7,5,Delayed,2018-12-28 16:46:22
271446,109,9,5,Delayed,2021-09-28 23:51:55
171543,56,9,6,Delayed,2018-04-10 00:40:06
101809,106,5,5,Delayed,2018-05-21 06:34:54
258801,185,3,5,Fast,2020-04-28 13:41:09
285037,15,8,5,Delayed,2022-08-03 20:59:18
192434,130,9,3,Delayed,2024-01-03 00:59:15
271354,191,2,5,Fast,2022-10-23 13:33:16
217883,6,6,1,Delayed,2020-08-08 17:33:31
147611,129,7,6,Delayed,2021-08-26 10:23:12
120452,114,7,2,Delayed,2019-07-13 21:43:21
297635,167,7,4,Delayed,2023-08-28 02:55:01
199079,169,1,6,Fast,2020-06-16 15:38:45
274444,122,8,1,Delayed,2023-07-16 15:34:32
209908,1,1,3,Fast,2023-09-23 04:59:57
206205,68,2,4,Fast,2022-11-01 07:02:28
109291,178,8,3,Delayed,2018-03-30 18:46:40
196028,126,2,6,Fast,2018-12-30 14:36:54
271922,52,9,6,Delayed,2021-12-06 13:03:30
215719,83,8,2,Delayed,2020-02-13 22:01:34
155797,185,6,4,Delayed,2024-12-02 17:13:11
266120,115,3,4,Fast,2021-07-06 00:44:20
274498,109,1,5,Fast,2022-05-10 03:23:48
127628,82,4,6,Delayed,2018-10-22 19:12:56
233063,64,2,4,Fast,2019-01-11 09:50:14
149186,164,5,3,Delayed,2019-07-20 03:49:30
237284,92,4,1,Delayed,2019-03-04 18:58:46
125285,56,3,4,Fast,2020-11-15 17:41:04
157143,156,5,1,Delayed,2019-06-05 08:20:45
151735,16,8,6,Delayed,2018-01-17 09:00:41
140562,29,4,2,Delayed,2019-03-02 02:09:09
191990,5,7,4,Delayed,2019-01-10 03:11:11
168523,62,7,3,Delayed,2018-01-09 19:50:16
109039,36,5,3,Delayed,2022-07-29 09:28:35
153091,3,8,5,Delayed,2023-04-18 11:34:15
279073,176,5,6,Delayed,2021-11-15 06:15:03
237569,179,6,1,Delayed,2022-09-27 00:04:26
257160,80,3,1,Fast,2019-03-22 11:38:45
211927,30,5,2,Delayed,2023-08-15 02:37:54
219245,92,8,6,Delayed,2018-03-31 14:13:58
265812,184,7,6,Delayed,2019-12-26 18:01:52
239739,45,3,4,Fast,2022-04-02 20:16:11
206607,28,2,5,Fast,2024-06-28 09:47:48
105991,6,2,6,Fast,2024-03-02 08:42:31
161536,6,8,2,Delayed,2018-01-20 17:39:57
194596,121,7,6,Delayed,2022-12-13 10:39:11
290639,23,3,2,Fast,2018-08-13 16:59:43
262995,30,5,4,Delayed,2021-12-12 12:54:58
180603,170,6,3,Delayed,2020-03-30 23:06:25
185068,162,6,2,Delayed,2023-02-06 00:34:33
159292,104,2,6,Fast,2024-01-26 15:32:33
184119,132,3,2,Fast,2023-02-12 19:48:12
299328,145,1,3,Fast,2022-02-24 10:47:27
249078,158,1,5,Fast,2018-02-28 10:56:01
260042,12,5,3,Delayed,2023-02-09 06:01:14
269459,106,7,5,Delayed,2023-09-26 23:06:06
146256,105,7,6,Delayed,2019-05-19 15:36:10
196022,175,8,5,Delayed,2019-04-09 20:05:56
165010,164,7,6,Delayed,2023-05-20 06:31:47
181076,65,8,2,Delayed,2022-05-17 12:28:02
297140,146,6,2,Delayed,2019-01-26 15:33:01
188468,93,1,3,Fast,2021-05-28 14:09:30
296471,197,8,4,Delayed,2020-10-28 18:04:34
267927,121,1,6,Fast,2021-05-10 11:11:01
168511,127,5,1,Delayed,2023-10-24 13:25:14
293041,182,2,2,Fast,2020-10-26 10:23:35
