product_id,base_price,discount_percent,final_price,units_sold,promotion_flag
24016,1955,17,1623.0,7,No
26818,2675,8,2461.0,8,No
11295,5452,45,2999.0,20,Yes
27786,4003,39,2442.0,7,Yes
6765,331,2,324.0,19,No
10316,1157,27,845.0,11,Yes
884,2917,48,1517.0,34,Yes
5730,241,26,178.0,15,Yes
4510,7332,1,7259.0,1,No
10681,2012,57,865.0,23,Yes
10505,6306,10,5675.0,17,No
8784,6330,49,3228.0,1,Yes
18612,2038,23,1569.0,37,Yes
15804,2807,8,2582.0,8,No
9341,4497,57,1934.0,11,Yes
13471,1701,26,1259.0,32,Yes
26120,2139,8,1968.0,19,No
6741,1865,0,1865.0,3,No
29952,7190,29,5105.0,20,Yes
20543,3446,48,1792.0,12,Yes
4858,4753,3,4610.0,7,No
26979,3182,37,2005.0,3,Yes
17946,4073,19,3299.0,23,No
10512,2657,53,1249.0,29,Yes
27551,6114,49,3118.0,24,Yes
24984,320,54,147.0,6,Yes
2159,567,34,374.0,26,Yes
1190,6307,49,3217.0,30,Yes
20959,5910,31,4078.0,20,Yes
9929,4928,49,2513.0,25,Yes
11274,2074,6,1950.0,25,No
29802,2026,3,1965.0,33,No
2431,3595,36,2301.0,36,Yes
18011,3324,41,1961.0,37,Yes
28083,1015,23,782.0,16,Yes
25791,4653,11,4141.0,18,No
10594,6449,7,5998.0,29,No
17198,4108,41,2424.0,9,Yes
7781,1192,9,1085.0,22,No
28587,4933,36,3157.0,36,Yes
4964,3655,56,1608.0,27,Yes
12303,5429,13,4723.0,34,No
17694,4295,11,3823.0,29,No
13913,7061,26,5225.0,25,Yes
19156,4293,56,1889.0,15,Yes
7253,4421,16,3714.0,20,No
21034,6210,2,6086.0,35,No
7836,1459,31,1007.0,38,Yes
20297,4572,1,4526.0,3,No
17293,2373,14,2041.0,9,No
259,5578,44,3124.0,39,Yes
7037,1849,54,851.0,11,Yes
23473,242,47,128.0,21,Yes
28649,246,48,128.0,26,Yes
8217,5626,44,3151.0,22,Yes
27072,865,10,778.0,8,No
7945,7184,14,6178.0,11,No
9046,1636,41,965.0,24,Yes
7730,4932,35,3206.0,15,Yes
8045,2216,14,1906.0,3,No
24346,6652,21,5255.0,25,Yes
12762,4863,51,2383.0,11,Yes
