product_id,return_reason,return_rate_percent,loss_amount,return_date
4605,Expired,9.19,28954,2019-11-25 11:36:34
16624,Wrong Item,2.1,22786,2021-06-18 01:01:46
5972,Expired,9.68,10246,2023-09-16 13:39:09
28632,Damaged,5.06,15155,2019-08-23 17:48:00
6639,Damaged,11.08,24722,2020-10-31 03:12:46
26724,Wrong Item,13.53,24132,2022-05-30 17:42:29
7763,Customer Return,5.46,24826,2024-05-21 17:36:59
1353,Customer Return,13.01,22238,2023-11-09 01:39:33
13430,Damaged,4.88,7254,2023-06-16 03:08:30
2322,Customer Return,14.46,28156,2021-10-11 08:04:07
7200,Expired,12.18,20183,2023-06-29 15:18:11
2800,Expired,5.65,14146,2020-05-25 18:57:46
6976,Customer Return,5.76,1813,2022-08-22 14:57:40
9991,Damaged,4.9,29247,2019-08-21 21:48:47
29628,Expired,8.49,18427,2024-06-14 11:05:31
28333,Wrong Item,10.79,12293,2021-11-06 18:57:11
129,Expired,13.46,8759,2019-07-31 15:17:27
11819,Damaged,5.59,24142,2018-05-30 05:02:12
7040,Wrong Item,14.14,15388,2018-06-22 14:59:04
24759,Wrong Item,12.2,23525,2018-11-13 04:15:17
15522,Customer Return,13.73,10934,2018-05-04 13:29:41
881,Wrong Item,10.95,5672,2019-12-02 19:42:11
6483,Wrong Item,8.03,25717,2024-09-26 20:08:27
29729,Wrong Item,7.36,21918,2021-01-17 00:16:00
19560,Expired,2.2,15117,2019-11-04 00:21:06
378,Expired,4.83,15966,2023-11-18 02:58:50
26104,Customer Return,1.16,26780,2018-10-23 07:31:27
15064,Expired,3.07,22950,2024-04-18 05:38:39
17508,Damaged,4.74,12844,2021-01-03 20:59:00
18331,Wrong Item,3.03,13877,2023-12-03 12:19:50
29021,Customer Return,11.52,2126,2022-11-11 21:56:19
10583,Expired,10.77,2640,2024-01-16 20:27:27
23987,Customer Return,0.78,14642,2020-03-14 16:22:14
9332,Damaged,6.4,16181,2020-08-06 23:55:22
22072,Customer Return,13.61,9908,2019-09-22 00:19:01
18496,Customer Return,4.18,26871,2020-01-16 14:39:59
6075,Customer Return,3.37,7980,2022-10-09 04:58:44
20812,Damaged,0.48,23384,2018-10-09 20:25:39
10427,Wrong Item,5.24,1485,2018-05-06 20:33:54
4291,Damaged,9.26,9750,2018-05-18 01:09:11
29844,Customer Return,9.45,21238,2023-07-11 03:15:36
24751,Wrong Item,2.32,20609,2018-11-23 01:36:34
21473,Expired,8.87,27272,2024-03-03 08:24:56
13910,Expired,12.59,12416,2019-09-01 20:54:25
25389,Customer Return,1.97,28232,2019-11-08 11:40:43
8466,Expired,12.06,17188,2020-09-18 15:53:42
21984,Wrong Item,10.78,12477,2022-10-01 06:55:36
11997,Damaged,12.64,18312,2022-04-05 04:13:07
5006,Customer Return,3.37,3552,2019-12-25 02:29:09
21260,Wrong Item,10.91,12988,2018-01-19 15:02:52
11333,Wrong Item,9.97,7221,2020-11-10 06:43:38
24109,Customer Return,9.3,7355,2020-07-12 01:15:40
3579,Customer Return,7.23,4592,2023-07-17 20:24:45
11256,Damaged,3.56,20952,2021-08-04 14:08:07
13362,Damaged,5.21,19174,2018-12-22 01:11:34
5665,Wrong Item,9.84,7143,2018-08-21 12:26:35
23841,Customer Return,5.24,2201,2024-10-17 09:57:37
11812,Expired,4.7,8302,2020-03-04 05:53:25
1669,Wrong Item,3.35,22248,2024-09-21 06:42:36
24706,Wrong Item,7.56,26997,2018-11-28 00:28:49
19110,Expired,9.69,18042,2018-02-27 07:55:06
19785,Wrong Item,6.25,28218,2021-11-22 09:22:40
8178,Wrong Item,14.01,16678,2021-02-10 07:32:20
8565,Wrong Item,10.75,21533,2024-06-19 01:58:36
7354,Wrong Item,10.14,1048,2024-04-12 01:50:03
12419,Expired,11.16,13271,2019-07-03 03:19:53
694,Wrong Item,10.68,7997,2020-02-15 01:01:32
1196,Expired,7.13,19974,2018-08-29 02:59:20
29503,Damaged,5.8,8377,2024-06-01 09:55:39
25768,Damaged,7.37,15388,2021-12-29 02:29:55
11272,Damaged,14.62,27215,2019-08-28 06:42:39
22535,Damaged,4.74,15684,2020-08-09 21:15:02
8065,Damaged,5.49,12844,2023-07-01 07:42:19
1707,Expired,12.87,13173,2019-03-28 13:27:43
26185,Expired,9.49,23072,2018-12-28 03:58:57
21997,Wrong Item,8.89,640,2018-02-08 11:53:19
29645,Damaged,6.1,18438,2021-07-05 07:46:22
2480,Customer Return,7.59,14072,2021-04-25 21:22:24
2135,Damaged,14.83,877,2022-03-16 01:48:58
23376,Customer Return,12.82,6846,2022-02-27 16:53:18
9671,Damaged,6.37,28959,2024-03-30 01:42:16
350,Damaged,7.19,17611,2020-09-18 00:26:58
25919,Damaged,6.48,24539,2019-05-28 12:46:18
23868,Damaged,5.78,23711,2024-01-22 07:48:04
18676,Expired,14.86,7531,2020-08-03 00:37:27
7961,Expired,14.17,12593,2018-08-15 21:23:37
17882,Customer Return,6.72,17243,2023-12-23 16:28:10
15831,Damaged,0.17,16023,2020-05-06 00:50:34
20030,Customer Return,6.31,14291,2019-12-08 08:21:37
21017,Customer Return,7.01,14689,2019-06-11 09:37:30
23748,Wrong Item,11.91,28496,2023-03-13 23:10:40
12967,Customer Return,2.51,19833,2020-02-02 01:05:17
9282,Customer Return,0.81,3054,2020-05-05 06:17:44
7484,Damaged,14.16,29213,2024-01-08 07:40:05
9089,Customer Return,8.68,9941,2020-03-24 23:01:24
21852,Customer Return,6.26,28621,2023-07-03 22:28:50
1517,Wrong Item,13.21,11279,2022-06-15 02:51:40
12280,Wrong Item,1.22,18759,2024-10-30 11:51:52
27844,Customer Return,2.62,4491,2018-10-20 12:50:21
24821,Expired,13.2,2936,2018-11-12 18:40:22
16734,Expired,6.58,1563,2023-11-16 07:54:14
3331,Damaged,3.11,25057,2021-12-06 19:44:28
603,Damaged,4.74,21515,2024-02-19 20:19:16
28987,Damaged,7.34,16642,2022-12-12 20:08:30
3920,Expired,14.76,27570,2019-06-08 03:00:14
20101,Expired,10.71,20793,2020-08-29 21:18:47
12359,Expired,0.89,14286,2024-01-23 02:46:33
4769,Wrong Item,12.13,22838,2021-06-02 21:14:25
1055,Expired,2.27,11132,2024-03-18 18:58:48
18161,Wrong Item,1.16,26019,2019-02-17 04:14:34
27252,Damaged,8.74,4170,2024-03-08 10:22:51
10645,Customer Return,4.6,17767,2021-01-26 17:11:34
5613,Expired,4.77,27259,2020-03-17 04:35:24
26444,Customer Return,1.89,24100,2022-05-11 02:51:36
10824,Damaged,4.88,27939,2024-04-06 06:53:52
6541,Wrong Item,13.2,23750,2022-11-25 15:25:52
15169,Expired,4.83,25168,2021-03-06 11:20:25
19324,Damaged,3.36,10711,2023-09-07 07:51:29
9464,Customer Return,11.35,6342,2020-08-25 02:10:07
5000,Damaged,11.68,18795,2023-04-06 14:20:40
22661,Damaged,10.14,20067,2021-05-22 14:46:54
7844,Damaged,0.27,11926,2021-02-22 04:09:23
27723,Customer Return,2.51,7843,2020-12-23 01:17:51
23081,Wrong Item,3.05,23653,2019-10-11 04:36:05
1370,Wrong Item,4.92,3593,2021-07-27 20:04:32
15839,Damaged,13.18,7030,2023-10-10 00:21:00
19715,Damaged,6.1,5297,2023-05-15 23:31:58
25344,Expired,6.47,2676,2018-09-29 10:53:59
7001,Customer Return,7.97,21829,2019-12-09 02:14:30
18332,Customer Return,5.67,11349,2023-01-02 17:26:33
2960,Damaged,14.32,28265,2020-01-08 14:03:16
11421,Customer Return,9.38,10331,2022-03-01 11:27:24
29564,Expired,13.72,5943,2024-03-19 00:52:34
4753,Customer Return,7.27,11849,2019-05-03 03:45:41
24977,Expired,9.02,22936,2023-12-09 08:55:40
26392,Wrong Item,12.04,21179,2018-08-10 23:19:37
3776,Wrong Item,13.33,16452,2021-03-01 17:19:32
7524,Damaged,4.86,18416,2023-06-10 19:34:49
16915,Expired,11.15,16711,2019-08-24 20:48:41
2998,Expired,9.73,7675,2024-09-07 22:40:02
11987,Expired,10.1,15318,2023-08-23 00:00:15
10725,Customer Return,6.32,17441,2019-12-15 09:30:31
3380,Damaged,12.57,4025,2022-02-10 05:03:36
17046,Customer Return,0.66,21694,2020-02-01 21:17:47
9029,Expired,1.21,15232,2019-08-15 22:13:42
24689,Damaged,11.88,25597,2018-12-03 16:49:57
19623,Damaged,8.85,3435,2020-05-10 11:54:48
8046,Wrong Item,12.31,13554,2023-11-12 21:11:15
6009,Customer Return,11.8,15459,2021-04-29 02:32:49
15,Wrong Item,0.79,15737,2018-01-27 09:33:18
8493,Expired,3.8,12996,2019-01-22 19:15:24
25031,Customer Return,3.18,13945,2018-08-23 06:33:43
22931,Damaged,8.58,19619,2023-11-28 05:07:11
22325,Customer Return,4.85,14109,2021-02-07 18:54:55
17301,Customer Return,14.72,22344,2018-06-12 20:21:12
12095,Customer Return,12.17,12097,2023-01-30 13:44:22
2890,Customer Return,9.03,6121,2021-04-16 16:05:08
15510,Expired,13.64,12614,2023-11-28 20:21:37
18615,Damaged,0.27,5542,2018-09-01 08:03:26
6038,Wrong Item,14.9,18242,2019-11-11 00:42:28
20969,Customer Return,5.97,13615,2020-09-15 23:01:47
21536,Wrong Item,9.37,8312,2019-01-05 07:45:12
4006,Wrong Item,3.75,25046,2022-08-12 18:23:32
26639,Expired,12.36,23261,2022-02-07 05:08:23
29261,Customer Return,5.39,27036,2019-06-26 12:04:38
12534,Wrong Item,10.23,20991,2021-10-08 16:05:54
25746,Wrong Item,6.66,14267,2023-11-20 04:23:33
1164,Wrong Item,3.9,4202,2024-10-06 02:19:04
13424,Wrong Item,8.94,17417,2023-06-26 21:47:15
25034,Customer Return,13.05,27010,2020-08-14 08:33:53
22108,Expired,8.17,7858,2020-05-25 05:20:34
18056,Expired,5.74,17919,2023-05-28 13:55:21
6365,Damaged,4.46,6134,2021-06-29 06:04:23
3713,Expired,1.28,25040,2019-01-05 18:48:12
4512,Damaged,1.64,14731,2020-01-15 01:33:56
8355,Customer Return,2.66,2483,2020-06-02 20:29:33
16087,Expired,12.51,24750,2020-12-24 08:25:11
12317,Customer Return,6.44,10370,2024-11-07 14:56:07
17106,Damaged,10.66,29705,2018-06-23 23:04:12
5923,Expired,11.97,16002,2019-08-15 14:13:26
16455,Customer Return,12.8,3913,2021-07-21 19:18:17
2703,Customer Return,13.81,23241,2021-07-12 17:35:23
27798,Damaged,3.74,23131,2018-07-11 23:33:23
12450,Wrong Item,3.11,17808,2024-11-25 14:29:31
14592,Expired,11.75,8381,2019-11-21 13:23:30
2453,Wrong Item,3.75,18572,2019-08-02 19:10:32
8129,Customer Return,4.68,25921,2020-05-21 19:29:06
9082,Customer Return,7.21,11827,2019-11-25 13:40:49
29189,Wrong Item,0.52,25201,2023-06-14 11:26:19
8540,Damaged,5.04,8294,2021-10-19 06:16:09
19100,Wrong Item,12.98,6100,2023-07-20 17:21:50
23935,Wrong Item,6.89,9064,2021-04-23 23:16:48
1414,Expired,8.49,7332,2018-08-01 17:10:32
11452,Expired,2.07,8841,2022-06-26 21:51:44
25001,Wrong Item,2.41,11588,2018-06-10 01:33:09
17286,Customer Return,2.85,8260,2024-07-21 12:15:21
9030,Customer Return,6.05,19383,2022-02-24 11:18:11
11888,Expired,1.62,3781,2022-10-31 23:20:10
18643,Expired,11.15,1367,2023-04-02 08:22:48
26163,Customer Return,13.39,14144,2020-08-22 18:13:31
20930,Expired,8.58,17951,2023-10-03 22:11:03
28995,Wrong Item,6.05,20194,2023-11-12 21:28:45
24752,Damaged,4.19,4528,2023-03-08 15:52:51
20729,Damaged,1.69,8539,2022-03-20 18:41:15
27214,Wrong Item,13.7,25795,2021-07-04 11:08:10
17165,Damaged,1.83,8855,2024-07-26 06:48:28
24425,Damaged,4.31,26292,2024-12-16 07:57:21
15925,Expired,11.47,26676,2020-07-23 06:43:23
24357,Damaged,1.81,3937,2021-08-18 11:17:26
15997,Expired,14.36,8232,2020-06-26 11:44:43
11049,Customer Return,12.54,29791,2018-11-28 18:28:45
1331,Damaged,7.99,16666,2021-12-03 12:01:07
28171,Wrong Item,5.29,11618,2024-04-23 19:32:48
3753,Damaged,14.65,17067,2019-02-13 06:05:15
13769,Customer Return,8.11,5928,2021-10-25 15:35:23
15181,Damaged,0.34,1486,2021-04-10 02:58:25
13138,Wrong Item,12.08,8897,2018-08-30 20:33:58
733,Customer Return,2.05,11807,2020-06-20 01:35:10
16433,Expired,6.64,17666,2019-01-15 11:14:42
28078,Customer Return,0.24,5510,2020-12-19 05:55:50
28899,Expired,14.17,10039,2018-09-18 23:35:03
13560,Damaged,5.8,14493,2023-06-15 09:01:27
24522,Expired,7.65,23832,2024-10-05 15:53:56
13745,Wrong Item,12.59,28924,2018-06-08 23:39:51
23984,Expired,5.72,5806,2022-05-22 00:31:11
27292,Damaged,8.48,3453,2020-09-10 11:58:14
2637,Expired,13.65,5653,2022-05-08 06:58:18
8812,Customer Return,14.76,17918,2018-02-28 21:47:11
23634,Expired,7.84,22418,2018-04-27 19:57:48
26119,Damaged,13.72,7677,2023-05-30 05:32:42
4447,Expired,10.43,23689,2019-06-30 22:55:28
11762,Wrong Item,0.75,25788,2018-08-24 09:16:33
21315,Damaged,7.95,10210,2024-01-28 16:03:08
650,Customer Return,3.68,8669,2019-04-08 15:51:40
