supplier_id,product_category,delivery_days,defect_rate_percent,supplier_rating,last_delivery_date
1724,Grocery,15,3.19,Average,2018-09-30 21:39:19
3126,Clothing,5,7.13,Good,2024-12-18 20:25:23
2814,Electronics,3,4.35,Good,2024-03-29 02:08:43
797,Clothing,3,1.53,Good,2021-11-21 09:50:03
2132,Clothing,14,2.43,Average,2022-06-13 10:12:54
3563,Clothing,18,4.25,Average,2019-10-15 16:13:15
84,Home,6,3.02,Average,2024-05-16 09:12:40
3488,Clothing,16,1.41,Average,2023-04-08 15:11:51
2378,Electronics,6,1.96,Average,2019-03-24 23:16:42
3780,Grocery,2,1.98,Good,2024-06-25 11:17:37
4073,Clothing,7,3.25,Average,2024-10-22 12:23:40
3553,Electronics,19,3.49,Average,2024-11-29 22:45:21
2721,Clothing,1,6.03,Good,2024-05-28 11:06:27
2921,Clothing,1,0.51,Good,2019-04-05 15:46:14
998,Grocery,14,5.95,Average,2023-12-17 20:59:54
4522,Electronics,7,1.98,Average,2022-03-30 09:58:27
44,Grocery,18,5.04,Average,2020-11-03 20:20:00
2752,Grocery,1,3.98,Good,2020-10-10 19:28:24
1231,Home,1,6.84,Good,2023-12-18 16:04:00
3799,Grocery,17,7.98,Average,2024-11-05 06:19:10
2554,Grocery,1,6.1,Good,2022-11-07 14:26:22
4575,Clothing,15,4.2,Average,2019-04-21 10:13:24
3918,Grocery,9,0.48,Average,2022-12-14 13:54:31
1425,Clothing,14,3.22,Average,2020-01-24 02:27:20
1060,Clothing,8,2.51,Average,2024-01-27 16:38:23
1695,Home,10,4.67,Average,2018-06-20 11:04:34
1161,Clothing,10,2.71,Average,2018-10-07 13:53:26
3420,Grocery,17,7.25,Average,2023-08-31 06:41:23
2141,Clothing,7,4.82,Average,2024-12-21 04:44:38
4781,Electronics,5,7.56,Good,2024-04-04 01:30:09
485,Electronics,18,7.25,Average,2018-03-18 15:03:11
2933,Electronics,15,1.43,Average,2021-11-01 19:31:24
4712,Electronics,8,4.01,Average,2023-03-25 10:16:07
2601,Grocery,19,7.21,Average,2024-12-16 17:28:31
2858,Clothing,16,5.2,Average,2024-01-02 19:09:38
724,Home,13,1.1,Average,2022-09-06 07:52:14
302,Electronics,15,1.8,Average,2018-03-25 02:35:57
3680,Clothing,19,5.84,Average,2022-03-08 12:17:30
