warehouse_id,orders_processed,avg_picking_time_minutes,labor_utilization_percent,efficiency_rating
177,1536,34,76,High
54,1608,32,82,Low
87,4306,29,54,Low
41,4983,5,61,Low
49,7326,8,53,High
178,6820,26,75,Low
111,3573,11,97,High
137,2757,11,62,High
140,3742,29,78,High
110,814,37,93,High
9,4770,34,81,Low
45,5125,16,67,Low
24,866,22,61,High
89,4344,39,83,Low
93,2192,9,78,Low
98,1116,26,95,High
47,2490,26,84,Low
150,1741,14,93,Low
31,871,13,52,Low
32,2972,25,75,Low
2,6748,10,98,Low
94,4773,19,67,Low
154,2022,11,66,High
198,1062,6,64,Low
138,7453,12,54,Low
143,5466,28,70,Low
40,3730,10,97,High
197,3546,27,76,High
3,892,13,86,Low
87,2967,27,76,Low
21,3462,27,89,High
16,4550,13,50,Low
12,3376,39,77,Low
112,1253,27,50,High
174,2106,28,59,High
132,6621,35,68,Low
139,570,20,61,High
27,2346,15,64,High
134,7624,21,97,High
148,167,19,96,Low
129,1099,31,68,Low
134,2758,27,82,Low
105,4917,17,95,High
5,6187,34,87,High
34,7064,34,73,Low
56,6050,13,94,Low
191,5058,15,82,High
122,7627,21,60,High
25,1205,34,82,Low
99,2187,6,55,Low
99,2793,10,51,Low
31,7858,24,72,Low
91,3211,6,87,High
172,7907,18,63,High
93,3382,14,52,Low
65,1823,37,91,Low
42,6087,19,60,Low
184,736,5,50,Low
57,1714,15,86,Low
17,2962,19,58,Low
27,1468,12,67,High
112,6975,7,59,High
53,2927,37,54,Low
2,5866,25,76,Low
49,2876,10,65,Low
183,6708,8,83,Low
67,3365,26,94,High
58,4638,18,75,Low
92,2758,37,69,Low
180,6007,27,73,Low
64,1480,35,58,Low
134,3468,27,50,High
49,1161,39,62,Low
35,5632,33,62,Low
190,5063,21,55,High
175,4599,11,87,Low
170,4337,15,71,Low
137,1476,8,70,Low
116,2964,31,98,High
71,6186,15,55,High
74,1400,7,96,Low
34,826,39,56,High
48,1680,21,67,Low
159,6726,19,68,Low
62,5964,27,64,Low
139,3333,28,97,Low
168,7059,34,52,Low
79,5717,19,89,High
145,7498,35,76,Low
11,1936,34,57,Low
19,5020,38,78,Low
157,6109,39,77,High
4,7106,31,56,Low
90,4624,22,80,Low
82,2086,34,96,High
49,4639,23,90,High
160,7499,25,89,High
43,1640,28,73,High
82,7326,9,94,High
127,7213,24,86,Low
77,2463,15,82,Low
35,4560,32,75,High
80,835,25,60,Low
141,634,23,58,Low
139,6995,27,64,Low
17,6076,11,92,High
14,300,9,76,High
176,3749,7,72,Low
199,2345,32,62,High
178,1089,22,80,High
45,6958,35,55,Low
4,1385,29,56,High
21,4852,38,58,High
2,5493,37,66,Low
4,5905,14,68,Low
84,3253,30,95,Low
78,3965,37,75,High
7,7063,36,90,Low
187,2197,6,59,Low
134,3083,23,86,Low
157,5553,34,97,Low
40,7122,37,74,Low
148,4819,7,51,High
99,4568,39,55,Low
71,4322,30,59,Low
55,3870,15,69,High
153,4320,19,92,Low
30,5895,16,71,Low
65,2805,14,62,High
187,5085,32,70,Low
31,4810,28,65,Low
35,4049,34,93,Low
170,7523,11,62,High
31,7484,33,83,Low
150,3507,35,82,Low
76,6422,31,77,Low
153,3065,39,78,Low
127,6565,20,56,Low
40,4677,34,92,Low
101,3337,30,56,Low
84,3377,36,68,High
111,7493,35,93,High
12,3498,31,59,Low
116,1060,13,63,Low
73,6438,8,75,High
191,6255,26,59,Low
60,2524,15,95,Low
176,3604,14,67,High
109,3572,23,78,Low
70,4560,5,85,Low
88,6719,14,79,High
121,1774,25,82,Low
69,3929,28,52,High
31,5075,13,52,Low
150,2660,27,56,High
8,3437,18,81,Low
161,7750,30,57,Low
86,1128,21,86,High
165,5859,14,58,High
107,2483,26,63,High
72,4468,15,70,Low
69,5924,21,96,High
31,653,11,91,Low
90,2211,31,95,High
99,7244,24,89,High
34,1934,30,69,Low
126,5636,6,51,High
91,5497,25,58,Low
149,1262,24,93,Low
93,3999,17,75,High
17,1663,10,82,High
27,7360,23,65,Low
173,1253,27,79,Low
198,3987,30,96,High
53,481,24,75,Low
112,6960,25,50,Low
117,4600,27,99,High
149,7446,14,93,High
45,399,19,96,High
21,7358,21,75,High
77,7342,17,76,Low
110,4557,8,95,High
49,5669,19,59,Low
182,3353,34,55,Low
199,4033,5,99,Low
137,379,13,82,High
190,1883,17,87,Low
7,3352,8,67,Low
132,2911,15,94,High
87,844,6,88,High
159,5231,9,91,High
126,595,7,89,Low
53,2275,14,57,Low
46,3625,17,70,High
156,4855,22,58,Low
62,5811,7,55,Low
100,3503,38,56,High
185,4617,14,66,High
150,7430,35,53,Low
104,2726,39,64,Low
148,1564,8,51,Low
133,2112,36,93,High
55,3997,5,64,High
165,6791,22,50,Low
139,1860,39,71,High
78,3965,10,89,Low
101,5725,23,76,Low
16,2311,19,53,Low
11,7943,39,68,High
144,465,13,98,Low
181,2698,22,71,Low
29,915,7,82,Low
177,3759,6,99,High
9,1414,11,78,Low
188,5465,16,96,Low
193,2323,9,92,High
76,3281,11,79,Low
32,7231,11,85,Low
87,3027,6,97,High
125,3685,12,61,High
110,270,8,93,Low
153,523,19,71,Low
183,3174,31,70,High
148,4784,12,89,Low
127,3147,8,74,High
5,3412,6,86,Low
73,6841,7,58,Low
175,4020,5,90,High
181,3674,17,63,Low
154,7765,23,65,High
183,704,21,57,Low
57,5572,39,87,High
10,5570,32,56,High
146,755,21,81,Low
82,5662,26,62,Low
3,2488,28,85,Low
51,526,31,94,Low
5,1082,28,68,Low
70,1921,37,63,Low
199,6903,8,79,Low
3,1447,8,54,Low
162,4760,13,74,Low
15,7785,11,79,Low
110,219,31,94,Low
153,7096,33,98,Low
44,3148,36,80,Low
45,6732,19,97,Low
146,5807,6,65,Low
118,5365,12,75,Low
64,1981,12,58,Low
80,752,34,82,Low
73,4197,30,51,Low
80,2910,30,83,Low
93,7399,39,53,High
105,5383,29,88,Low
73,1136,14,74,High
185,4514,39,56,Low
28,2231,16,97,Low
158,1643,39,78,High
18,5902,21,63,Low
78,1320,10,91,High
2,3061,21,86,Low
154,5603,28,93,Low
91,836,14,71,High
27,1058,36,70,High
88,2177,13,91,Low
86,6511,37,83,Low
71,4624,36,71,High
65,7164,12,88,Low
194,6565,37,97,Low
121,4175,15,90,Low
30,5363,22,59,Low
156,4130,33,70,Low
191,7592,31,69,High
134,2687,15,51,Low
39,7234,32,66,Low
47,7798,25,79,High
126,1440,5,63,Low
102,6046,35,89,High
66,7703,18,92,Low
116,5590,33,87,High
129,1229,21,78,Low
161,7712,25,55,High
169,3562,23,83,Low
104,1417,29,94,Low
111,935,15,79,High
63,6151,23,61,Low
196,643,30,91,Low
25,2775,35,84,High
81,1618,14,62,High
88,1919,14,73,High
136,7997,30,50,High
197,7564,26,76,Low
39,1880,23,60,High
139,2156,7,95,Low
80,4351,36,55,High
58,5653,19,70,Low
56,3144,10,50,High
13,5772,29,84,Low
15,3125,6,55,Low
111,1571,23,67,High
44,944,23,62,Low
83,5909,29,57,High
149,7847,25,74,High
29,6610,39,64,Low
136,831,10,86,High
171,4066,16,80,Low
137,6679,15,75,Low
91,5282,39,99,High
128,714,27,59,Low
88,7087,7,77,Low
47,2501,11,85,High
193,721,35,66,Low
120,3419,5,72,Low
127,1130,30,99,High
194,824,28,58,Low
57,4167,34,86,Low
94,1644,7,50,High
67,3511,37,88,High
35,747,11,95,High
62,397,34,59,Low
137,4896,17,92,Low
195,5146,9,53,Low
160,7965,38,78,High
85,3040,29,55,Low
158,5077,16,89,Low
182,925,18,64,Low
46,669,32,93,Low
25,4055,13,66,Low
89,2368,34,86,Low
127,5523,7,79,Low
183,7726,8,92,Low
182,1145,8,51,High
8,4661,29,81,High
74,7973,17,85,Low
153,7868,5,71,Low
85,6095,33,62,Low
162,2465,18,62,High
142,3375,23,62,Low
91,5119,32,94,Low
93,3986,5,54,Low
53,5818,37,59,Low
122,1672,28,54,Low
199,7801,14,69,Low
186,3947,31,52,Low
70,2212,9,93,Low
100,5938,27,94,High
85,3181,8,55,High
55,7913,38,95,Low
55,3360,11,86,Low
1,7996,20,78,High
184,2811,31,99,Low
188,7513,32,64,Low
34,7938,29,68,Low
3,7469,12,84,Low
151,7693,13,89,High
3,526,17,84,Low
24,1377,36,76,Low
65,5786,38,91,Low
41,1385,31,84,High
126,6511,16,70,High
162,5627,19,58,High
54,2888,29,82,High
160,6933,17,76,Low
128,7382,6,78,Low
113,2471,19,90,Low
52,2431,14,75,Low
176,4175,7,74,Low
168,6755,16,83,Low
146,6529,33,50,High
186,7526,39,79,High
110,2402,15,79,High
191,6094,12,71,Low
81,2786,13,59,High
156,4673,29,67,High
101,6285,32,60,Low
5,4225,7,83,Low
42,6061,17,61,Low
67,852,15,74,Low
91,6083,11,57,High
180,7906,5,79,Low
137,2641,30,69,Low
68,1857,31,61,High
106,7778,39,76,High
129,3393,15,88,Low
1,4672,8,73,Low
89,5291,5,53,High
175,253,34,95,High
113,1918,35,74,Low
34,4041,22,88,Low
135,5901,11,58,High
58,7779,29,58,Low
137,1060,29,66,Low
95,4239,34,53,Low
22,7923,20,80,High
145,2700,5,66,High
156,1662,15,65,High
94,3289,19,64,Low
31,5831,10,59,Low
42,5040,21,83,High
173,2356,11,95,Low
160,3514,29,73,Low
126,4280,25,51,High
14,2360,6,83,High
123,3542,25,64,Low
186,7062,21,60,Low
54,4052,15,59,Low
113,7617,14,74,Low
163,2466,29,59,Low
45,6854,20,66,Low
47,7554,19,88,Low
54,5485,21,53,High
52,4218,19,83,Low
120,5290,33,67,High
131,1386,20,53,High
126,3705,12,77,Low
153,2477,5,75,Low
154,1787,8,52,High
191,151,15,65,High
85,6820,23,50,Low
107,4761,31,55,Low
195,945,21,53,Low
107,688,5,65,Low
6,1948,22,87,High
122,1379,18,76,High
193,3522,10,88,High
190,4461,35,98,Low
1,5884,18,73,High
114,2089,37,70,Low
65,5371,10,59,Low
132,834,28,84,Low
48,6817,13,65,Low
112,1367,19,77,High
156,5444,38,93,High
186,6388,14,77,High
117,4353,16,94,Low
15,5283,21,84,Low
34,762,11,60,High
46,7156,17,72,Low
150,6616,18,75,Low
38,4901,8,89,Low
11,4314,23,87,Low
164,778,37,59,High
64,6651,5,95,Low
94,970,25,65,High
72,450,29,76,High
169,3178,10,73,Low
197,7441,16,60,High
197,3393,35,65,Low
198,1865,27,89,Low
66,7308,14,58,Low
45,2903,34,60,Low
46,7088,8,97,High
173,491,34,85,High
17,4660,15,96,Low
58,5793,20,93,High
140,3186,25,70,Low
17,3417,29,95,Low
180,4362,25,59,Low
30,1726,32,54,High
31,3793,38,76,Low
33,7284,10,77,High
22,3970,25,56,Low
88,4611,33,67,High
23,6201,5,69,Low
14,127,34,78,Low
153,6533,27,52,High
74,3105,33,88,Low
133,1784,31,70,Low
