station_id,pm2_5,pm10,aqi_category,recorded_date
493,227,284,Very Poor,2024-10-17 16:07:35
756,44,71,Good,2022-12-24 09:02:51
773,272,287,Very Poor,2024-05-29 20:45:27
438,204,284,Very Poor,2024-02-06 01:55:15
358,349,457,Severe,2021-06-26 10:13:35
236,242,304,Very Poor,2020-09-19 06:57:16
486,54,60,Moderate,2019-04-25 18:03:17
434,165,174,Poor,2022-12-08 18:04:01
37,71,94,Moderate,2023-12-27 10:31:09
323,186,228,Poor,2024-06-12 17:27:06
569,336,362,Severe,2021-04-18 09:11:28
701,70,174,Moderate,2021-10-29 21:18:36
114,247,323,Very Poor,2022-06-11 18:05:49
645,231,241,Very Poor,2019-09-28 18:48:47
356,326,363,Severe,2024-02-13 13:38:29
170,18,124,Good,2020-02-09 16:58:06
276,260,317,Very Poor,2022-05-04 12:53:21
685,286,304,Very Poor,2024-02-07 13:50:32
455,72,161,Moderate,2022-04-07 09:33:04
265,234,297,Very Poor,2021-03-21 01:36:45
701,171,285,Poor,2019-05-17 15:42:25
740,143,183,Poor,2019-03-21 05:49:51
446,345,436,Severe,2023-10-06 22:13:18
658,43,100,Good,2020-08-07 12:05:39
530,43,109,Good,2023-11-19 20:43:13
591,105,147,Poor,2019-12-08 05:03:22
218,299,380,Very Poor,2023-03-10 23:07:25
634,337,360,Severe,2024-07-22 11:49:50
555,42,75,Good,2018-05-14 22:08:32
565,277,320,Very Poor,2023-03-20 19:19:07
397,106,206,Poor,2019-12-10 07:12:59
210,322,423,Severe,2022-04-05 11:27:42
324,217,329,Very Poor,2020-04-16 17:45:37
774,28,126,Good,2024-12-20 01:54:46
276,54,147,Moderate,2023-06-17 01:58:53
451,188,258,Poor,2022-09-05 23:54:33
245,25,134,Good,2019-12-25 17:23:32
497,148,160,Poor,2019-02-25 08:45:12
289,256,356,Very Poor,2021-06-14 02:43:26
24,47,132,Good,2020-03-06 22:17:35
372,260,306,Very Poor,2024-09-12 22:43:19
331,146,169,Poor,2023-01-02 14:03:07
140,254,352,Very Poor,2023-04-28 14:45:49
535,216,325,Very Poor,2024-03-17 20:21:40
611,154,162,Poor,2018-10-22 02:40:48
279,22,36,Good,2019-12-20 20:19:09
553,259,321,Very Poor,2018-09-26 08:09:33
766,58,72,Moderate,2024-01-25 15:29:03
266,305,400,Severe,2024-09-27 11:49:53
403,285,371,Very Poor,2018-05-01 10:29:11
135,62,135,Moderate,2024-05-08 11:55:41
582,211,249,Very Poor,2021-02-13 16:02:56
258,273,279,Very Poor,2024-05-25 07:12:10
74,189,266,Poor,2019-05-27 18:55:32
123,241,257,Very Poor,2021-07-26 00:44:39
96,216,334,Very Poor,2023-05-03 10:06:32
597,38,52,Good,2023-05-26 01:35:23
739,150,247,Poor,2021-06-18 14:56:14
131,143,183,Poor,2022-02-20 05:34:51
737,204,298,Very Poor,2021-06-19 11:15:48
141,261,323,Very Poor,2018-12-14 23:19:08
705,181,282,Poor,2021-10-08 10:38:19
602,300,396,Very Poor,2019-05-16 05:17:48
454,149,217,Poor,2024-03-15 07:31:17
334,349,465,Severe,2018-08-17 21:03:33
18,10,87,Good,2024-08-01 20:39:05
693,19,38,Good,2021-07-26 15:11:38
373,208,241,Very Poor,2024-09-04 18:08:29
529,268,346,Very Poor,2023-04-19 23:44:39
18,21,46,Good,2023-07-06 19:34:29
59,337,383,Severe,2020-12-01 04:47:20
240,113,194,Poor,2024-06-02 14:21:04
240,194,297,Poor,2023-09-01 17:56:24
779,56,62,Moderate,2019-03-31 02:07:50
634,33,61,Good,2021-12-29 01:34:08
546,239,336,Very Poor,2024-12-02 01:01:04
346,204,231,Very Poor,2019-11-13 17:45:42
568,338,398,Severe,2019-12-24 04:33:17
777,52,150,Moderate,2023-02-08 13:31:37
686,66,141,Moderate,2019-06-25 14:34:40
469,174,278,Poor,2019-06-17 02:10:18
167,153,241,Poor,2019-08-27 17:48:46
669,137,230,Poor,2020-01-24 10:09:52
96,178,269,Poor,2019-09-13 10:12:48
275,45,104,Good,2021-11-25 19:59:38
481,86,163,Moderate,2023-04-11 14:49:48
598,188,242,Poor,2020-02-11 22:11:53
12,219,229,Very Poor,2019-10-04 02:36:02
243,203,235,Very Poor,2020-02-25 23:39:48
456,260,355,Very Poor,2022-05-04 23:46:22
339,153,248,Poor,2022-04-30 15:33:24
55,60,68,Moderate,2018-04-05 13:48:24
176,29,66,Good,2022-06-06 17:18:16
86,235,304,Very Poor,2024-05-03 01:28:39
535,56,132,Moderate,2023-02-07 10:01:34
650,268,304,Very Poor,2019-11-17 06:55:07
483,325,436,Severe,2020-11-02 20:21:51
134,99,174,Moderate,2020-11-04 04:21:25
718,307,330,Severe,2024-12-02 21:03:18
457,57,153,Moderate,2021-03-21 21:50:00
557,177,277,Poor,2019-09-29 10:55:20
254,122,194,Poor,2018-05-22 07:31:29
254,147,179,Poor,2024-05-14 11:04:05
684,276,372,Very Poor,2018-02-15 03:35:01
131,239,292,Very Poor,2021-07-18 03:08:25
522,329,428,Severe,2019-03-21 09:00:06
10,241,279,Very Poor,2021-12-08 01:27:24
763,262,322,Very Poor,2024-10-03 16:12:20
560,281,347,Very Poor,2023-01-24 13:48:06
11,77,158,Moderate,2020-02-12 14:38:04
461,115,134,Poor,2024-05-24 17:01:38
673,226,261,Very Poor,2024-08-07 19:08:04
661,212,298,Very Poor,2020-04-27 14:31:42
154,132,155,Poor,2018-04-19 20:52:28
190,79,139,Moderate,2019-07-15 18:01:41
615,238,245,Very Poor,2022-04-09 14:32:58
759,263,367,Very Poor,2019-09-14 00:10:26
776,291,389,Very Poor,2024-10-22 06:12:01
740,151,208,Poor,2018-11-19 06:00:58
542,262,293,Very Poor,2019-03-29 01:19:42
38,52,165,Moderate,2018-06-10 09:08:29
360,283,305,Very Poor,2018-11-15 05:16:28
