ticket_id,user_id,issue_type,resolution_time_hours,satisfaction_score,ticket_date
183837,27683,Billing,30,1,2022-11-08 05:47:54
75729,6834,Bug,119,2,2018-04-19 20:57:30
199853,40524,Feature Request,44,4,2024-01-03 16:59:36
141989,49328,Billing,49,2,2021-01-26 17:46:22
56081,15537,Feature Request,55,5,2021-11-05 04:14:32
34502,12643,Feature Request,36,5,2024-03-07 01:09:42
199729,28811,Billing,61,5,2022-12-03 04:59:14
69677,26634,Billing,33,4,2023-03-03 07:13:22
59550,43195,Login,75,4,2022-08-08 01:17:38
18245,43139,Feature Request,45,3,2018-10-13 03:31:00
20068,4339,Bug,11,4,2024-09-17 04:47:47
99143,16959,Feature Request,97,5,2022-11-16 19:45:00
71921,48428,Login,85,3,2022-05-02 11:28:07
171810,20354,Feature Request,59,1,2018-07-21 02:01:50
57941,4163,Bug,86,1,2023-11-23 20:03:48
149935,43785,Billing,9,2,2024-06-09 09:27:06
137173,9512,Login,35,4,2023-03-26 03:43:27
124936,10665,Feature Request,39,4,2024-02-14 08:33:11
192700,758,Billing,56,4,2024-02-17 10:36:39
158667,5177,Feature Request,15,2,2024-09-29 08:08:04
110817,38354,Login,45,3,2019-01-05 17:32:48
81596,2785,Bug,69,1,2020-04-28 00:35:27
73824,22467,Feature Request,29,3,2018-04-30 05:36:11
8107,40393,Login,73,2,2021-12-04 15:41:11
22984,47422,Bug,19,4,2023-12-01 22:44:27
18488,48825,Feature Request,40,5,2024-05-30 03:26:31
142269,44851,Billing,65,2,2018-09-07 04:03:16
198182,1330,Bug,101,5,2022-06-28 07:31:09
101982,40774,Bug,49,1,2024-07-17 00:04:20
182461,47837,Billing,93,3,2018-09-04 10:05:46
122198,41967,Bug,73,3,2019-12-12 14:58:51
88486,11514,Login,27,1,2020-04-11 17:23:55
105806,29874,Bug,111,2,2019-09-29 22:47:38
134328,24744,Billing,118,3,2019-11-20 14:00:20
41268,33243,Bug,57,3,2021-01-01 14:36:38
139569,40696,Feature Request,6,3,2021-09-10 22:29:16
198600,11419,Login,100,4,2021-09-08 23:19:16
50831,13845,Feature Request,26,2,2019-04-16 18:03:34
138603,2234,Bug,95,1,2018-01-07 06:05:33
69592,25004,Feature Request,4,4,2023-09-07 18:59:07
188577,10593,Billing,102,1,2019-02-17 17:47:48
149278,9901,Login,54,3,2019-09-26 02:17:50
89284,22558,Bug,89,5,2022-08-13 07:27:45
39180,3011,Login,68,4,2021-10-01 19:32:01
154440,35383,Billing,24,2,2022-12-04 02:05:44
39945,39526,Bug,1,4,2021-04-28 10:59:55
12390,36273,Login,5,4,2024-09-17 01:27:14
198836,31169,Feature Request,62,4,2019-04-28 20:17:14
122154,44120,Feature Request,97,3,2021-11-25 02:02:48
12239,47332,Feature Request,9,2,2021-05-02 17:57:38
29995,43243,Bug,67,4,2019-02-16 08:48:21
18052,31731,Login,61,4,2022-03-10 19:34:45
128270,24287,Bug,29,2,2023-04-29 11:44:28
78966,3315,Bug,68,3,2021-11-14 13:35:20
27542,18126,Login,39,4,2018-05-21 07:15:52
99204,45967,Feature Request,17,4,2020-07-04 14:02:47
162981,36666,Bug,46,1,2018-03-09 21:25:51
56165,34731,Bug,56,3,2022-12-03 13:11:09
1331,9715,Feature Request,111,3,2019-08-09 03:38:32
157136,11216,Login,29,4,2022-07-23 12:27:40
141416,456,Bug,43,3,2022-10-02 21:14:16
125598,41735,Bug,39,5,2021-08-15 00:16:19
158528,9189,Billing,20,3,2024-07-23 21:33:07
164246,37495,Login,111,5,2021-12-12 21:44:04
162296,7550,Bug,16,2,2020-01-31 07:16:31
109070,6780,Billing,106,5,2024-08-17 15:12:33
192243,12466,Feature Request,32,3,2020-03-26 22:36:12
17322,13028,Bug,55,3,2019-12-08 12:13:51
58037,46976,Billing,78,4,2020-07-07 02:47:05
111809,10561,Feature Request,18,4,2023-09-11 02:21:21
63621,15618,Feature Request,92,2,2021-09-04 15:10:15
75675,18919,Login,92,4,2019-12-05 12:15:25
79829,17774,Login,29,5,2020-05-05 06:16:22
