user_id,feature_name,usage_count,last_used_date,power_user
34053,Dashboard,1,2020-03-05 03:31:08,No
789,Automation,21,2021-04-16 14:37:14,Yes
22948,API,179,2021-02-16 05:14:15,No
27951,Dashboard,421,2018-10-23 21:39:20,No
25560,Billing,234,2020-03-16 13:57:03,No
18810,API,58,2022-01-16 11:10:39,No
15830,API,490,2022-05-18 19:50:24,No
29886,Dashboard,167,2020-11-25 02:15:51,No
46201,API,498,2024-12-06 02:18:34,No
735,Billing,389,2019-10-06 11:39:03,No
43620,Dashboard,32,2022-12-21 16:24:07,Yes
8902,Reports,286,2023-08-28 20:12:03,No
46386,Dashboard,2,2019-10-30 01:25:21,No
206,API,134,2021-06-03 14:57:02,Yes
27421,Dashboard,264,2023-12-05 02:59:00,Yes
49280,Billing,401,2020-10-23 09:30:35,No
22736,API,14,2024-10-14 02:15:39,Yes
23740,Reports,199,2022-02-05 23:45:15,No
37467,API,121,2020-09-16 03:29:48,No
2813,Billing,179,2018-01-01 18:26:25,No
46410,Billing,379,2020-11-29 02:51:59,No
14816,Automation,33,2023-12-05 07:54:43,Yes
23783,Billing,335,2020-11-15 12:39:21,No
4975,Automation,307,2019-03-08 20:30:13,No
917,Dashboard,294,2024-06-29 18:39:19,No
35081,Dashboard,450,2024-10-30 14:18:40,No
31776,API,344,2020-12-25 19:47:35,No
44992,Reports,80,2023-06-26 23:02:44,Yes
46337,Dashboard,41,2019-09-06 20:00:56,No
11721,Dashboard,428,2019-12-24 00:49:51,No
9944,Automation,296,2020-11-24 04:17:20,No
44885,Billing,308,2019-03-29 23:05:08,No
8727,Billing,92,2023-02-01 09:25:45,No
24676,Dashboard,318,2019-05-01 15:27:56,Yes
40859,Billing,15,2020-11-02 19:34:32,Yes
46221,Billing,496,2020-12-19 18:06:03,Yes
30983,Reports,350,2019-11-27 00:23:08,Yes
537,Automation,402,2018-03-23 12:13:03,No
7273,API,31,2023-03-19 19:38:19,No
26534,API,30,2018-07-22 21:55:21,Yes
5550,Automation,294,2019-12-09 17:27:15,Yes
30124,Automation,498,2024-08-08 11:38:06,Yes
692,Automation,90,2022-07-24 03:36:29,No
14620,Dashboard,17,2021-07-06 08:53:14,No
3220,Dashboard,359,2020-10-07 12:18:03,No
3851,API,193,2021-09-13 17:03:21,No
6300,Billing,221,2023-06-29 11:45:00,Yes
40977,Billing,228,2024-10-27 02:33:37,No
11970,API,173,2019-11-05 06:39:12,Yes
47696,Automation,389,2022-12-04 21:54:11,Yes
10935,API,351,2024-12-28 17:42:28,No
36151,Reports,219,2022-06-17 22:33:04,No
3162,Dashboard,424,2024-08-31 11:21:01,Yes
41273,Reports,147,2024-01-31 01:08:03,Yes
