service_name,uptime_percent,incidents_reported,incident_date
API,96.79,7,2024-01-24 05:00:42
Payments,98.86,8,2019-04-24 16:47:36
Dashboard,97.43,1,2024-03-18 04:21:51
API,96.31,4,2022-01-27 22:20:46
Payments,97.41,6,2024-07-25 00:44:28
Auth,98.28,3,2024-03-02 16:39:19
Payments,95.34,9,2020-04-04 01:05:17
Dashboard,97.34,7,2024-03-08 04:12:32
Payments,99.51,0,2024-10-05 19:28:14
Dashboard,99.68,4,2021-06-30 09:32:30
Dashboard,97.02,4,2024-09-10 21:24:40
Auth,97.22,2,2024-07-09 20:58:33
Dashboard,97.34,5,2018-07-01 06:43:31
Auth,99.44,9,2021-08-31 23:00:13
Auth,95.09,3,2018-12-15 20:14:12
Dashboard,96.22,9,2024-02-23 08:53:43
Dashboard,95.84,7,2020-02-02 21:47:55
Auth,99.24,3,2020-09-13 07:52:02
Dashboard,98.78,3,2018-06-28 05:21:40
Auth,97.66,3,2023-04-23 19:15:59
Payments,97.89,0,2022-02-26 01:19:58
Auth,99.1,7,2018-03-24 18:05:16
Payments,97.23,1,2020-07-14 23:24:12
Auth,97.6,3,2018-12-06 15:29:49
API,98.86,2,2020-10-17 20:35:48
Payments,99.53,7,2019-04-12 20:14:08
API,99.35,2,2019-10-25 02:09:21
Dashboard,95.4,3,2019-08-13 20:01:52
API,95.21,8,2018-05-15 13:59:52
Payments,98.19,8,2024-03-23 06:55:16
Dashboard,98.75,3,2022-03-28 14:43:37
Auth,99.71,9,2024-09-04 15:18:44
API,99.65,9,2018-06-08 00:43:29
Payments,97.96,5,2018-06-22 05:17:54
Auth,98.33,0,2023-06-06 23:42:33
Auth,96.24,6,2019-10-22 08:16:45
Dashboard,95.57,8,2023-03-05 02:44:24
Dashboard,95.12,6,2019-01-14 21:54:47
Payments,98.84,7,2019-06-10 08:30:01
Auth,99.83,2,2018-01-15 12:53:28
Dashboard,95.52,4,2018-08-31 09:46:53
Auth,99.24,5,2018-02-27 11:43:17
Dashboard,99.03,8,2024-09-04 05:29:04
API,96.63,9,2024-05-05 04:02:58
Auth,95.21,4,2022-01-09 03:52:55
Dashboard,96.54,6,2020-07-25 01:34:36
Payments,99.96,5,2024-07-17 13:35:57
Auth,97.88,5,2019-07-06 12:51:31
Auth,98.78,0,2018-03-15 20:51:08
Dashboard,98.23,8,2024-01-07 03:35:07
Payments,99.91,0,2024-03-11 02:03:20
API,98.22,8,2020-05-09 03:22:23
Payments,95.79,1,2020-10-01 09:13:47
API,97.29,5,2021-06-19 13:40:27
API,97.89,7,2020-09-15 21:10:36
Auth,99.06,1,2020-04-06 05:07:20
API,99.95,8,2024-07-01 05:22:10
API,97.14,7,2024-09-03 18:35:12
API,99.35,7,2020-11-17 17:00:24
API,97.05,8,2020-08-04 19:52:14
Auth,99.35,7,2020-07-25 04:48:50
API,98.01,2,2020-01-30 04:26:41
Auth,97.82,5,2024-02-12 06:44:11
Auth,99.66,2,2020-08-17 15:21:49
Payments,95.58,6,2023-02-07 00:53:42
API,99.78,5,2019-11-26 11:30:44
API,97.91,1,2019-08-25 03:39:41
API,95.8,1,2023-06-13 09:46:14
Dashboard,98.51,6,2018-11-12 00:46:39
Dashboard,98.21,4,2019-01-25 15:09:58
Auth,96.2,5,2024-07-08 05:45:32
Auth,96.4,7,2020-10-18 14:16:33
Auth,95.97,1,2021-05-04 14:08:29
Payments,98.59,7,2023-08-13 21:12:42
Dashboard,98.47,6,2022-05-12 19:38:56
Dashboard,97.13,6,2024-05-02 09:04:11
Dashboard,96.38,3,2021-05-17 03:17:09
API,97.76,3,2018-01-17 04:53:58
Auth,96.19,6,2021-05-10 18:25:40
Auth,95.54,1,2023-04-26 12:32:54
API,95.91,4,2020-02-05 01:19:30
Dashboard,96.79,4,2021-07-09 03:37:42
Payments,99.7,7,2019-12-31 02:56:10
Auth,98.67,5,2019-06-20 04:05:21
Payments,98.63,9,2020-04-01 00:23:36
API,99.31,1,2021-08-03 20:00:21
Auth,96.6,3,2021-01-06 05:23:54
API,97.96,9,2024-01-19 02:12:39
Dashboard,96.13,6,2021-11-28 07:55:57
Payments,97.11,1,2019-05-28 12:07:40
Dashboard,98.23,5,2020-11-10 13:54:17
Auth,98.11,2,2020-12-30 00:13:18
API,95.91,6,2023-01-21 17:54:24
Auth,99.38,2,2023-07-28 12:59:30
Auth,99.09,3,2020-08-17 06:33:18
Payments,96.88,4,2020-07-26 14:18:50
Auth,95.86,4,2024-01-30 00:00:47
Payments,96.93,3,2019-12-30 00:46:03
Dashboard,99.55,1,2022-03-21 18:36:11
API,98.67,4,2022-05-13 22:56:01
Payments,96.61,7,2020-08-11 02:26:44
Payments,97.7,9,2019-08-11 20:10:01
Payments,96.06,9,2019-02-22 08:11:31
Dashboard,99.3,2,2021-08-24 21:42:03
Auth,95.82,1,2021-03-24 09:06:58
API,96.13,3,2018-08-28 22:32:32
API,95.8,8,2018-05-28 04:14:52
Auth,95.69,5,2022-09-22 09:00:21
API,99.69,7,2023-02-09 06:35:52
Payments,95.52,3,2018-12-13 21:12:18
Auth,97.5,6,2020-07-15 07:11:07
API,98.56,9,2021-03-24 13:42:55
Dashboard,96.11,0,2023-03-22 21:07:24
Auth,99.3,0,2020-05-29 04:28:25
Auth,99.46,2,2021-02-05 22:42:42
Dashboard,98.45,1,2020-12-05 03:13:27
API,98.52,2,2019-05-19 22:45:17
API,99.15,1,2024-11-26 11:30:19
Payments,97.28,7,2018-08-15 19:40:16
Dashboard,99.19,1,2018-09-26 21:23:32
Auth,98.69,4,2021-08-23 01:13:59
API,98.77,4,2020-10-19 06:22:57
Payments,95.74,7,2023-09-01 06:45:06
Payments,96.78,6,2019-04-29 05:45:09
Payments,98.79,4,2022-05-25 18:02:51
Dashboard,97.32,1,2020-04-11 22:12:36
Auth,97.33,5,2020-06-16 06:32:24
Auth,97.9,2,2022-07-23 08:53:53
API,98.05,6,2022-11-11 02:50:44
Dashboard,96.22,8,2022-10-18 10:41:13
Auth,99.34,1,2019-03-31 19:38:39
Auth,97.38,2,2021-11-18 09:47:12
Dashboard,97.92,7,2018-11-03 15:45:55
API,97.0,5,2018-11-02 18:43:48
API,97.3,3,2024-11-30 20:09:14
Payments,95.58,0,2022-02-12 21:04:12
Dashboard,96.2,0,2020-06-09 08:34:55
API,97.32,7,2019-03-17 09:48:22
Payments,96.02,5,2019-07-23 02:01:02
Dashboard,97.57,7,2021-11-05 06:18:01
Dashboard,97.59,4,2019-04-30 07:25:51
Payments,96.04,5,2023-01-31 07:46:11
Auth,96.93,7,2021-01-23 20:06:25
Auth,99.28,7,2018-04-08 07:51:42
API,97.94,6,2020-10-21 03:40:48
API,98.29,2,2019-05-22 20:41:35
API,97.99,9,2019-11-10 05:06:56
Dashboard,98.23,6,2019-03-29 15:17:34
API,98.22,9,2022-10-06 11:12:27
Auth,98.85,5,2022-07-30 03:39:28
Payments,95.62,8,2022-01-09 11:44:44
Payments,99.17,5,2023-03-22 15:30:06
Payments,97.7,1,2020-11-24 06:39:01
Payments,96.95,7,2018-12-18 12:30:40
API,98.35,9,2023-12-13 00:08:41
Payments,95.5,7,2019-02-24 04:01:15
Dashboard,98.83,9,2018-02-18 01:08:02
Payments,96.55,3,2022-09-29 19:37:38
Auth,97.55,2,2024-01-27 23:58:42
Auth,96.86,2,2019-12-16 17:36:53
Payments,99.87,9,2021-04-07 00:40:03
Dashboard,96.08,5,2021-11-28 13:35:12
Dashboard,95.07,9,2019-07-01 01:32:28
Dashboard,99.83,2,2023-05-27 13:54:22
Dashboard,97.25,7,2022-01-18 23:30:18
Payments,97.34,4,2019-01-24 13:59:24
Dashboard,99.91,6,2020-12-05 06:32:43
Payments,96.28,8,2023-05-02 02:18:31
Auth,95.97,9,2019-09-24 04:50:02
Payments,99.55,7,2023-06-03 01:12:03
API,99.05,7,2020-01-13 05:00:07
Dashboard,96.05,8,2023-01-09 18:44:04
Payments,96.46,5,2024-07-17 11:26:23
API,98.51,1,2021-11-26 05:06:34
API,98.88,8,2020-09-04 05:37:23
Dashboard,96.1,1,2023-10-02 01:15:26
Auth,95.27,6,2024-10-15 09:20:58
Dashboard,99.68,5,2018-04-27 02:05:55
API,97.66,8,2018-07-16 02:50:20
